"customer_id","recency_days","monetary_gross","monetary_net","gross_net_gap","frequency_completed","cancellation_count"
"13948",360,548.76,536.86,11.90,4,1
"18039",373,548.22,548.22,0.00,4,0
"15350",372,547.60,547.60,0.00,2,0
"17524",360,539.14,508.90,30.24,3,1
"13961",384,538.40,498.70,39.70,1,1
"15890",394,535.65,535.65,0.00,5,0
"16707",399,533.41,533.41,0.00,4,0
"16935",381,530.86,530.86,0.00,3,0
"18098",395,527.94,527.94,0.00,1,0
"16421",375,526.27,526.27,0.00,3,0
"14417",387,524.65,524.65,0.00,1,0
"13605",386,522.67,522.67,0.00,2,0
"14008",374,509.04,493.74,15.30,1,1
"12907",395,508.91,440.36,68.55,2,1
"14807",390,504.14,504.14,0.00,2,0
"15138",384,502.52,486.59,15.93,1,1
"17276",399,501.24,444.19,57.05,1,1
"17335",383,497.04,497.04,0.00,2,0
"16977",394,496.00,496.00,0.00,4,0
"17269",385,491.81,491.81,0.00,1,0
"17476",392,489.86,446.51,43.35,2,2
"15165",372,487.75,487.75,0.00,1,0
"16021",394,487.03,487.03,0.00,2,0
"17106",388,481.58,481.58,0.00,1,0
"18176",353,476.35,448.65,27.70,1,1
"14237",372,471.14,466.04,5.10,2,1
"17996",379,469.73,469.73,0.00,3,0
"12797",359,468.08,387.43,80.65,2,4
"12958",399,467.34,467.34,0.00,2,0
"18083",397,463.53,463.53,0.00,1,0
"13624",380,462.08,427.18,34.90,1,1
"14599",389,457.89,457.89,0.00,2,0
"18031",378,451.30,451.30,0.00,1,0
"15961",378,451.29,451.29,0.00,1,0
"17643",372,439.70,439.70,0.00,2,0
"13086",382,439.33,439.33,0.00,1,0
"13964",386,438.90,421.90,17.00,2,1
"17807",394,437.87,437.87,0.00,3,0
"13738",395,434.78,434.78,0.00,1,0
"17740",388,426.90,426.90,0.00,6,0
"13807",366,422.20,397.30,24.90,3,1
"14413",361,421.72,421.72,0.00,3,0
"13096",393,419.70,419.70,0.00,1,0
"17258",396,417.30,417.30,0.00,2,0
"15011",395,416.60,416.60,0.00,2,0
"16355",373,416.35,349.20,67.15,1,1
"14082",364,413.36,413.36,0.00,2,0
"18050",358,412.06,412.06,0.00,2,0
"15960",373,410.95,394.00,16.95,4,1
"18011",372,410.79,410.79,0.00,2,0
"17598",380,409.98,409.98,0.00,1,0
"17000",395,406.30,406.30,0.00,2,0
"15968",387,401.80,401.80,0.00,1,0
"14358",388,400.06,400.06,0.00,2,0
"13252",393,399.30,341.30,58.00,2,1
"15037",375,397.76,397.76,0.00,2,0
"15446",376,396.75,390.00,6.75,3,1
"13597",387,396.71,377.21,19.50,2,1
"17300",390,393.64,393.64,0.00,2,0
"12419",385,391.01,391.01,0.00,2,0
"16827",392,387.18,387.18,0.00,5,0
"12889",380,385.46,365.66,19.80,4,2
"16868",393,384.56,384.56,0.00,3,0
"15155",382,383.97,383.97,0.00,1,0
"17804",375,383.78,383.78,0.00,3,0
"12376",389,383.15,383.15,0.00,2,0
"17903",393,381.09,381.09,0.00,1,0
"15922",371,369.50,363.60,5.90,1,1
"15989",375,368.31,368.31,0.00,2,0
"13545",390,364.93,337.64,27.29,2,1
"14122",394,362.42,309.77,52.65,3,2
"13181",380,359.69,359.69,0.00,1,0
"14926",381,359.40,337.65,21.75,2,1
"17200",386,356.71,356.71,0.00,4,0
"12996",375,355.50,355.50,0.00,1,0
"18003",375,353.51,353.51,0.00,1,0
"14252",380,350.99,350.99,0.00,1,0
"15519",382,344.61,344.61,0.00,2,0
"13550",382,342.55,342.55,0.00,1,0
"14203",396,339.34,339.34,0.00,1,0
"17607",375,333.81,333.81,0.00,1,0
"16274",372,331.55,331.55,0.00,1,0
"13010",373,330.12,330.12,0.00,2,0
"17776",386,329.30,322.55,6.75,2,1
"15880",368,329.03,299.03,30.00,1,1
"13646",399,326.25,323.30,2.95,2,1
"18047",380,326.09,326.09,0.00,2,0
"15726",389,321.91,321.91,0.00,1,0
"17976",371,321.79,321.79,0.00,1,0
"13843",380,319.75,319.75,0.00,1,0
"17689",387,317.08,317.08,0.00,2,0
"15204",356,316.58,316.58,0.00,1,0
"16373",381,309.49,309.49,0.00,2,0
"16194",374,308.60,308.60,0.00,1,0
"14927",396,308.20,308.20,0.00,1,0
"13660",395,306.64,295.74,10.90,1,1
"17688",374,304.20,286.50,17.70,1,1
"15454",361,303.89,303.89,0.00,2,0
"16489",379,303.70,303.70,0.00,2,0
"13773",396,301.54,301.54,0.00,2,0
"16437",380,301.25,301.25,0.00,2,0
"12351",374,300.93,300.93,0.00,1,0
"17766",380,299.61,299.61,0.00,2,0
"16583",373,297.95,297.95,0.00,2,0
"14614",385,295.13,295.13,0.00,1,0
"16252",365,295.09,0.00,295.09,1,1
"16579",364,295.05,264.45,30.60,1,1
"14192",387,293.74,293.74,0.00,1,0
"17882",378,291.56,291.56,0.00,2,0
"17551",358,290.34,290.34,0.00,1,0
"17497",389,287.25,287.25,0.00,2,0
"15936",378,282.79,282.79,0.00,2,0
"12515",352,278.70,278.70,0.00,1,0
"17355",385,273.31,273.31,0.00,1,0
"16089",385,263.49,263.49,0.00,2,0
"12892",396,263.38,263.38,0.00,1,0
"17558",392,259.17,259.17,0.00,1,0
"14526",388,258.65,258.65,0.00,1,0
"13369",353,258.28,213.75,44.53,1,1
"15503",362,257.30,257.30,0.00,2,0
"15404",375,257.06,257.06,0.00,1,0
"17992",388,252.88,252.88,0.00,1,0
"16074",389,252.50,252.50,0.00,1,0
"17210",392,251.72,251.72,0.00,1,0
"12807",382,250.35,229.95,20.40,1,1
"17303",360,250.04,250.04,0.00,1,0
"16893",366,249.47,249.47,0.00,2,0
"16381",395,247.85,247.85,0.00,2,0
"15495",378,246.50,246.50,0.00,1,0
"17925",372,244.08,244.08,0.00,1,0
"13582",389,241.68,241.68,0.00,2,0
"13789",387,239.46,239.46,0.00,1,0
"13275",383,238.86,238.86,0.00,2,0
"18002",375,237.62,237.62,0.00,4,0
"17872",381,235.87,235.87,0.00,1,0
"15294",399,233.35,222.30,11.05,1,1
"15566",392,227.87,227.87,0.00,2,0
"17868",385,227.15,227.15,0.00,1,0
"16740",394,226.91,226.91,0.00,1,0
"16346",384,224.51,224.51,0.00,1,0
"17967",371,223.42,223.42,0.00,2,0
"12887",383,222.40,222.40,0.00,1,0
"13033",356,220.55,220.55,0.00,2,0
"14458",380,219.27,219.27,0.00,1,0
"18007",392,215.22,215.22,0.00,1,0
"15460",353,214.26,214.26,0.00,1,0
"12961",378,211.99,211.99,0.00,1,0
"13691",395,210.78,210.78,0.00,1,0
"16874",378,209.89,209.89,0.00,1,0
"17855",372,208.97,208.97,0.00,1,0
"16752",372,207.50,207.50,0.00,1,0
"17989",378,207.33,207.33,0.00,1,0
"15914",377,205.99,205.99,0.00,2,0
"15020",378,198.47,198.47,0.00,1,0
"12927",394,197.31,197.31,0.00,1,0
"15001",393,197.11,197.11,0.00,2,0
"14405",386,195.00,195.00,0.00,1,0
"17283",378,188.46,188.46,0.00,1,0
"18063",390,186.60,186.60,0.00,2,0
"17803",391,184.66,184.66,0.00,1,0
"14119",353,183.37,163.47,19.90,2,1
"18119",367,180.70,180.70,0.00,1,0
"16640",397,179.40,179.40,0.00,1,0
"17170",373,178.68,118.98,59.70,2,1
"17036",382,176.90,176.90,0.00,1,0
"18054",392,176.50,176.50,0.00,1,0
"16559",396,175.00,175.00,0.00,1,0
"16599",385,172.80,172.80,0.00,1,0
"13671",394,172.60,172.60,0.00,1,0
"15515",386,171.81,171.81,0.00,1,0
"17983",394,171.71,171.71,0.00,1,0
"14811",386,170.50,170.50,0.00,1,0
"13747",373,169.80,169.80,0.00,2,0
"18269",357,168.60,138.90,29.70,1,1
"12551",357,168.00,168.00,0.00,1,0
"13903",399,165.45,165.45,0.00,1,0
"18004",361,157.92,157.92,0.00,1,0
"16687",390,157.63,157.63,0.00,1,0
"12441",366,155.55,155.55,0.00,1,0
"15560",397,153.52,153.52,0.00,2,0
"15509",379,152.41,152.41,0.00,1,0
"18076",379,151.49,151.49,0.00,1,0
"16662",393,151.05,151.05,0.00,1,0
"15283",389,148.33,135.43,12.90,3,1
"12858",382,147.27,147.27,0.00,1,0
"15902",379,145.01,145.01,0.00,1,0
"12738",371,137.35,137.35,0.00,1,0
"16665",361,135.40,135.40,0.00,1,0
"17826",373,133.34,133.34,0.00,1,0
"12467",385,132.80,0.00,132.80,1,1
"17089",385,128.45,128.45,0.00,1,0
"15923",372,127.08,127.08,0.00,1,0
"16973",385,127.00,127.00,0.00,1,0
"15161",387,119.92,119.92,0.00,1,0
"17275",382,114.10,114.10,0.00,1,0
"16821",381,113.35,113.35,0.00,1,0
"17208",395,111.15,111.15,0.00,1,0
"18256",354,110.70,60.60,50.10,1,1
"14721",378,109.07,109.07,0.00,1,0
"15846",384,107.01,107.01,0.00,1,0
"17467",394,102.60,102.60,0.00,1,0
"13829",358,102.00,0.00,102.00,1,1
"18195",386,101.16,101.16,0.00,1,0
"17493",384,100.91,100.91,0.00,1,0
"15635",395,100.35,100.35,0.00,1,0
"15583",375,95.96,95.96,0.00,1,0
"17752",358,80.64,80.64,0.00,1,0
"15131",394,80.28,80.28,0.00,1,0
"14373",357,76.55,76.55,0.00,1,0
"18113",368,76.32,76.32,0.00,1,0
"14559",389,75.60,75.60,0.00,1,0
"16420",395,75.00,75.00,0.00,1,0
"12686",371,71.14,71.14,0.00,1,0
"13915",393,70.80,31.20,39.60,1,1
"13172",399,69.60,69.60,0.00,1,0
"17532",385,65.34,65.34,0.00,1,0
"13303",399,61.72,61.72,0.00,1,0
"15899",368,56.25,56.25,0.00,1,0
"16786",393,51.84,51.84,0.00,1,0
"13254",375,51.41,51.41,0.00,1,0
"13011",371,50.55,50.55,0.00,1,0
"14589",371,39.75,39.75,0.00,1,0
"14576",371,35.40,35.40,0.00,1,0
"14610",395,24.35,24.35,0.00,2,0
"17378",373,10.95,0.00,10.95,1,1
