"stock_code","distinct_customers"
"20987",11
"20988",8
"20989",29
"20990",54
"20991",12
"20992",222
"20993",23
"20994",12
"20996",179
"20997",25
"20998",52
"21000",37
"21001",29
"21002",25
"21003",10
"21004",40
"21007",36
"21009",72
"21010",62
"21011",84
"21012",112
"21014",91
"21015",80
"21016",58
"21017",32
"21018",30
"21025",30
"21026",48
"21027",39
"21028",31
"21030",37
"21031",23
"21032",28
"21033",163
"21034",800
"21035",327
"21036",1
"21038",39
"21039",141
"21040",43
"21041",191
"21042",200
"21043",81
"21051",79
"21054",119
"21055",122
"21056",119
"21058",148
"21059",158
"21060",102
"21061",104
"21062",102
"21063",143
"21064",75
"21065",44
"21066",81
"21067",130
"21068",149
"21069",110
"21070",107
"21071",163
"21076",60
"21077",111
"21078",342
"21080",798
"21081",4
"21082",94
"21084",113
"21085",42
"21086",311
"21087",19
"21088",95
"21089",32
"21090",129
"21091",31
"21092",15
"21094",328
"21095",24
"21096",91
"21097",5
"21098",269
"21099",20
"21100",119
"21102",10
"21106",98
"21107",167
"21108",325
"21109",131
"21110",173
"21111",109
"21112",104
"21114",359
"21115",266
"21116",164
"21117",23
"21118",7
"21121",466
"21122",441
"21123",125
"21124",406
"21125",162
"21126",169
"21127",25
"21128",22
"21129",24
"21130",29
"21131",18
"21132",25
"21133",38
"21134",40
"21135",251
"21136",449
"21137",198
"21143",128
"21144",40
"21145",34
"21146",47
"21147",33
"21153",91
"21154",327
"21155",364
"21156",472
"21157",66
"21158",184
"21159",146
"21160",44
"21161",120
"21162",172
"21163",158
"21164",356
"21165",321
"21166",475
"21167",32
"21169",278
"21171",142
"21172",420
"21173",44
"21174",402
"21175",553
"21179",231
"21181",598
"21185",34
"21186",187
"21187",90
"21188",69
"21189",53
"21190",71
"21191",96
"21192",96
"21193",14
"21194",51
"21195",49
"21196",16
"21197",29
"21198",75
"21199",86
"21200",64
"21201",109
"21202",53
"21203",85
"21204",109
"21205",86
"21206",117
"21207",167
"21208",65
"21209",66
"21210",508
"21211",139
"21212",1115
"21213",528
"21214",106
"21215",127
"21216",269
"21217",423
"21218",313
"21219",77
"21220",65
"21221",55
"21222",70
"21223",33
"21224",140
"21225",2
"21226",17
"21228",25
"21231",500
"21232",689
"21238",324
"21239",266
"21240",287
"21241",129
"21242",289
"21243",210
"21244",207
"21245",146
"21246",99
"21247",44
"21248",106
"21249",156
"21250",47
"21251",91
"21252",14
"21253",41
"21255",46
"21256",31
"21257",206
"21258",186
"21259",300
"21260",303
"21261",37
"21262",69
"21263",39
"21264",51
"21265",26
"21267",3
"21268",31
"21269",52
"21270",24
"21272",167
"21274",61
"21275",45
"21276",24
"21277",36
"21278",63
"21279",51
"21280",44
"21281",34
"21282",49
"21283",59
"21284",80
"21285",56
"21286",56
"21287",67
"21288",105
"21289",52
"21291",95
"21292",69
"21293",29
"21294",83
"21298",14
"21299",25
"21300",11
"21303",24
"21304",16
"21306",48
"21307",41
"21308",3
"21309",5
"21310",3
"21311",62
"21312",19
"21313",173
"21314",369
"21316",33
"21317",56
"21318",70
"21319",44
"21320",31
"21321",10
"21322",12
"21323",46
"21324",101
"21326",307
"21327",212
"21328",257
"21329",253
"21330",101
"21331",23
"21332",36
"21333",150
"21335",17
"21336",13
"21337",7
"21338",9
"21339",12
"21340",249
"21341",15
"21343",3
"21344",21
"21347",4
"21348",91
"21349",113
"21350",39
"21351",113
"21352",77
"21353",8
"21354",123
"21355",213
"21356",116
"21357",105
"21358",130
"21359",57
"21360",81
"21361",181
"21363",224
"21364",118
"21365",51
"21366",24
"21367",37
"21368",32
"21369",15
"21370",15
"21371",33
"21372",28
"21373",52
"21374",57
"21375",26
"21376",35
"21377",37
"21378",47
"21379",43
"21380",325
"21381",234
"21382",78
"21383",169
"21384",99
"21385",320
"21386",72
"21387",4
"21388",27
"21389",149
"21390",280
"21391",113
"21392",32
"21393",34
"21394",100
"21395",79
"21396",45
"21397",99
"21398",82
"21399",76
"21400",54
"21401",72
"21402",81
"21403",80
"21407",231
"21408",114
"21409",1
"21410",81
"21411",358
"21412",33
"21413",25
"21414",17
"21415",41
"21416",15
"21417",41
"21418",24
"21419",12
"21420",21
"21421",60
"21422",71
"21424",51
"21425",41
"21426",44
"21427",55
"21428",228
"21429",418
"21430",323
"21431",167
"21432",152
"21437",88
"21438",33
"21439",112
"21440",72
"21441",67
"21442",66
"21443",18
"21444",18
"21445",88
"21446",122
"21447",149
"21448",132
"21450",3
"21452",228
"21454",78
"21455",60
"21456",42
"21457",45
"21458",51
"21459",33
"21460",20
"21461",17
"21462",131
"21463",169
"21464",127
"21465",117
"21466",147
"21467",145
"21468",91
"21469",130
"21470",160
"21471",165
"21472",161
"21473",65
"21474",69
"21475",1
"21476",53
"21477",35
"21478",57
"21479",410
"21480",35
"21481",439
"21482",104
"21484",367
"21485",657
"21486",127
"21488",216
"21489",6
"21490",36
"21491",184
"21493",22
"21494",147
"21495",201
"21496",1
"21497",330
"21498",454
"21499",302
"21500",301
"21503",57
"21504",158
"21506",310
"21507",267
"21508",215
"21509",264
"21511",1
"21518",58
"21519",181
"21520",61
"21523",357
"21524",474
"21525",1
"21527",352
"21528",145
"21529",94
"21530",99
"21531",324
"21532",58
"21533",425
"21534",199
"21535",461
"21536",42
"21537",174
"21538",40
"21539",290
"21540",52
"21541",119
"21542",112
"21543",13
"21544",229
"21545",52
"21547",69
"21548",55
"21549",36
"21550",42
"21551",16
"21552",25
"21553",24
"21554",17
"21555",38
"21556",132
"21557",71
"21558",267
"21559",396
"21561",260
"21562",47
"21563",180
"21564",134
"21576",118
"21577",241
"21578",184
"21579",80
"21580",76
"21581",104
"21582",15
"21584",253
"21585",1
"21586",172
"21587",207
"21588",191
"21589",73
"21590",203
"21591",264
"21592",312
"21593",69
"21609",142
"21610",72
"21611",93
"21612",76
"21613",111
"21614",123
"21615",115
"21616",126
"21617",102
"21618",86
"21619",138
"21620",139
"21621",583
"21622",329
"21623",311
"21624",281
"21625",186
"21626",136
"21627",31
"21628",24
"21629",27
"21630",21
"21631",38
"21632",30
"21633",32
"21634",42
"21635",35
"21636",74
"21637",40
"21638",84
"21639",12
"21640",99
"21641",43
"21642",150
"21643",76
"21644",72
"21645",85
"21647",91
"21648",96
"21649",19
"21650",84
"21651",81
"21652",64
"21653",75
"21654",53
"21655",56
"21656",66
"21657",76
"21658",166
"21659",45
"21661",55
"21662",59
"21663",21
"21664",44
"21665",35
"21666",49
"21667",119
"21668",255
"21669",262
"21670",260
"21671",265
"21672",278
"21673",263
"21674",8
"21675",124
"21676",75
"21677",144
"21678",39
"21679",181
"21680",110
"21681",62
"21682",116
"21683",96
"21684",65
"21685",2
"21686",10
"21687",55
"21688",97
"21689",49
"21690",65
"21691",56
"21692",81
"21693",84
"21694",51
"21695",65
"21696",80
"21697",6
"21698",38
"21699",2
"21700",186
"21702",5
"21703",293
"21704",287
"21705",142
"21706",134
"21707",107
"21708",72
"21709",69
"21710",80
"21711",51
"21713",232
"21714",230
"21715",255
"21716",241
"21717",122
"21718",223
"21719",69
"21720",73
"21721",73
"21722",33
"21723",66
"21724",81
"21725",81
"21726",93
"21728",33
"21729",19
"21730",155
"21731",415
"21732",50
"21733",744
"21734",14
"21735",139
"21736",22
"21737",118
"21738",89
"21739",83
"21740",44
"21741",108
"21742",156
"21743",117
"21744",131
"21745",236
"21746",234
"21747",83
"21749",153
"21750",43
"21752",28
"21754",682
"21755",661
"21756",327
"21757",15
"21758",34
"21759",11
"21760",12
"21761",21
"21763",15
"21764",11
"21765",104
"21767",1
"21768",95
"21769",42
"21770",423
"21772",1
"21773",87
"21774",79
"21775",63
"21777",169
"21779",21
"21780",17
"21781",150
"21784",78
"21785",71
"21786",132
"21787",221
"21788",141
"21789",138
"21790",793
"21791",641
"21792",110
"21793",81
"21794",123
"21795",64
"21796",57
"21801",69
"21802",89
"21803",86
"21804",92
"21805",77
"21806",95
"21807",114
"21808",70
"21809",118
"21810",171
"21811",199
"21812",103
"21813",76
"21814",59
"21815",58
"21816",34
"21817",102
"21818",197
"21819",178
"21820",112
"21821",86
"21822",73
"21823",136
"21824",137
"21825",62
"21826",136
"21827",89
"21828",107
"21829",211
"21830",151
"21832",204
"21833",210
"21836",77
"21837",61
"21838",1
"21839",71
"21841",106
"21842",32
"21843",599
"21844",252
"21845",104
"21846",51
"21847",20
"21849",46
"21850",29
"21851",34
"21852",1
"21864",166
"21865",129
"21866",190
"21867",122
"21868",377
"21869",82
"21870",243
"21871",299
"21872",169
"21873",98
"21874",211
"21875",218
"21876",239
"21877",323
"21878",225
"21879",81
"21880",123
"21881",49
"21882",61
"21883",132
"21884",61
"21888",444
"21889",595
"21890",335
"21891",483
"21892",447
"21893",13
"21894",120
"21895",61
"21896",187
"21897",86
"21898",73
"21899",313
"21900",361
"21901",315
"21902",250
"21903",230
"21904",103
"21905",132
"21906",214
"21907",381
"21908",382
"21910",84
"21911",200
"21912",447
"21913",170
"21914",446
"21915",467
"21916",304
"21917",246
"21918",369
"21922",204
"21923",80
"21924",82
"21925",100
"21926",90
"21927",93
"21928",450
"21929",504
"21930",386
"21931",546
"21932",315
"21933",294
"21934",164
"21935",234
"21936",396
"21937",286
"21942",41
"21943",37
"21944",53
"21945",61
"21946",25
"21947",122
"21948",71
"21949",91
"21950",2
"21955",279
"21967",250
"21972",105
"21973",117
"21974",355
"21975",543
"21976",404
"21977",767
"21980",406
"21981",282
"21982",335
"21983",208
"21984",256
"21985",493
"21986",275
"21987",209
"21988",209
"21989",264
"21990",170
"21991",109
"21992",242
"21993",208
"22021",161
"22023",177
"22024",170
"22025",148
"22026",140
"22027",335
"22028",203
"22029",429
"22030",353
"22031",65
"22032",64
"22033",80
"22034",71
"22035",152
"22036",77
"22037",270
"22038",43
"22039",27
"22040",82
"22041",101
"22042",89
"22043",86
"22044",80
"22045",290
"22046",147
"22047",211
"22048",93
"22049",95
"22050",100
"22051",95
"22052",105
"22053",61
"22054",45
"22055",252
"22056",23
"22057",113
"22058",71
"22059",183
"22060",112
"22061",219
"22062",69
"22063",142
"22064",213
"22065",249
"22066",185
"22067",108
"22068",111
"22069",66
"22070",217
"22071",200
"22072",200
"22073",227
"22074",127
"22075",201
"22076",197
"22077",685
"22078",246
"22079",397
"22080",336
"22081",170
"22082",512
"22083",589
"22084",464
"22085",141
"22086",896
"22087",314
"22088",266
"22089",290
"22090",631
"22091",184
"22092",105
"22093",179
"22094",181
"22095",125
"22096",129
"22097",158
"22098",161
"22099",168
"22100",71
"22101",44
"22102",35
"22103",43
"22104",31
"22105",23
"22106",29
"22107",118
"22108",34
"22109",205
"22110",217
"22111",717
"22112",631
"22113",488
"22114",626
"22115",244
"22116",96
"22117",142
"22118",195
"22119",244
"22120",196
"22121",303
"22122",113
"22123",77
"22124",29
"22125",117
"22127",128
"22128",143
"22129",97
"22130",298
"22131",276
"22132",154
"22133",109
"22134",80
"22135",58
"22136",117
"22137",24
"22138",1137
"22139",941
"22141",313
"22142",336
"22143",51
"22144",392
"22145",153
"22146",93
"22147",582
"22148",209
"22149",684
"22150",505
"22151",361
"22152",154
"22153",136
"22154",163
"22155",165
"22156",259
"22157",88
"22158",374
"22161",156
"22162",92
"22163",86
"22164",40
"22165",82
"22166",31
"22167",92
"22168",250
"22169",276
"22170",279
"22171",269
"22172",124
"22173",383
"22174",178
"22175",161
"22176",125
"22177",90
"22178",593
"22179",201
"22180",226
"22181",85
"22182",58
"22183",58
"22184",60
"22185",298
"22186",234
"22187",230
"22188",292
"22189",536
"22190",88
"22191",335
"22192",260
"22193",265
"22194",100
"22195",325
"22196",304
"22197",601
"22198",240
"22199",158
"22200",120
"22201",76
"22202",91
"22203",166
"22204",66
"22207",189
"22208",237
"22209",159
"22210",179
"22211",161
"22212",323
"22214",43
"22215",245
"22216",48
"22217",152
"22218",143
"22219",384
"22220",190
"22221",108
"22222",203
"22223",89
"22224",234
"22227",195
"22228",148
"22229",101
"22230",96
"22231",166
"22232",96
"22233",112
"22236",251
"22241",242
"22242",186
"22243",181
"22244",169
"22245",166
"22246",84
"22247",86
"22248",77
"22249",126
"22250",98
"22251",141
"22252",85
"22253",62
"22254",95
"22255",73
"22256",78
"22257",23
"22258",69
"22259",31
"22260",85
"22261",126
"22262",135
"22263",34
"22264",80
"22265",107
"22266",101
"22267",91
"22268",117
"22269",107
"22270",104
"22271",400
"22272",207
"22273",423
"22274",344
"22275",168
"22276",213
"22277",147
"22278",164
"22279",108
"22280",79
"22281",83
"22282",92
"22283",196
"22284",157
"22285",165
"22286",119
"22287",81
"22288",75
"22289",45
"22290",60
"22291",141
"22292",145
"22293",114
"22294",414
"22295",381
"22296",428
"22297",391
"22299",103
"22300",254
"22301",273
"22302",212
"22303",266
"22304",98
"22305",87
"22306",125
"22307",87
"22308",75
"22309",117
"22310",64
"22311",120
"22312",104
"22313",74
"22314",101
"22315",191
"22316",62
"22317",83
"22318",204
"22319",141
"22320",130
"22321",118
"22322",77
"22323",57
"22324",53
"22325",129
"22326",439
"22327",256
"22328",401
"22329",261
"22330",15
"22331",225
"22332",233
"22333",333
"22334",180
"22335",242
"22336",136
"22337",67
"22338",143
"22339",86
"22340",81
"22341",128
"22342",109
"22343",90
"22344",65
"22345",62
"22346",43
"22347",50
"22348",344
"22349",226
"22350",169
"22351",1
"22352",366
"22353",200
"22354",157
"22355",393
"22356",423
"22357",259
"22358",295
"22359",117
"22360",209
"22361",189
"22362",133
"22363",99
"22364",164
"22365",193
"22366",252
"22367",593
"22371",285
"22372",163
"22374",226
"22375",135
"22376",145
"22377",200
"22378",167
"22379",423
"22380",300
"22381",349
"22382",790
"22383",664
"22384",681
"22385",412
"22386",601
"22389",74
"22390",56
"22391",45
"22393",75
"22394",43
"22395",31
"22396",122
"22398",273
"22399",180
"22400",159
"22402",158
"22403",137
"22405",173
"22406",145
"22407",55
"22408",72
"22409",108
"22410",136
"22411",658
"22412",166
"22413",446
"22414",92
"22415",156
"22416",122
"22417",521
"22418",332
"22419",191
"22420",111
"22421",172
"22422",119
"22423",1314
"22424",310
"22425",195
"22426",182
"22427",460
"22428",126
"22429",364
"22430",230
"22431",269
"22432",266
"22433",211
"22434",203
"22435",303
"22436",173
"22437",258
"22438",117
"22439",216
"22440",187
"22441",295
"22442",140
"22443",193
"22444",249
"22445",147
"22446",61
"22447",41
"22448",79
"22449",155
"22450",117
"22451",134
"22452",112
"22453",78
"22454",115
"22456",385
"22457",874
"22458",121
"22459",124
"22460",206
"22461",82
"22464",397
"22465",270
"22466",199
"22467",398
"22468",196
"22469",886
"22470",827
"22471",91
"22472",131
"22473",120
"22474",144
"22475",115
"22476",145
"22477",155
"22478",176
"22479",129
"22480",197
"22481",132
"22482",154
"22483",223
"22485",280
"22486",22
"22487",611
"22488",426
"22489",417
"22491",264
"22492",363
"22493",244
"22494",200
"22495",165
"22496",153
"22497",160
"22498",211
"22499",452
"22500",155
"22501",346
"22502",335
"22503",29
"22504",55
"22505",397
"22507",445
"22508",400
"22509",142
"22510",70
"22511",90
"22512",54
"22513",106
"22514",151
"22515",139
"22516",106
"22517",106
"22518",141
"22519",142
"22520",256
"22521",257
"22522",249
"22523",248
"22524",188
"22525",189
"22526",153
"22528",284
"22529",114
"22530",285
"22531",251
"22532",130
"22533",162
"22534",353
"22535",204
"22536",243
"22537",225
"22538",56
"22539",138
"22540",114
"22541",34
"22543",72
"22544",196
"22545",106
"22546",106
"22547",84
"22548",293
"22549",403
"22550",275
"22551",616
"22553",507
"22554",587
"22555",521
"22556",591
"22557",580
"22558",541
"22559",118
"22560",420
"22561",556
"22562",251
"22563",293
"22564",208
"22565",173
"22566",192
"22567",287
"22568",389
"22569",360
"22570",351
"22571",294
"22572",211
"22573",235
"22574",253
"22575",207
"22576",191
"22577",517
"22578",484
"22579",347
"22580",275
"22581",208
"22582",225
"22583",250
"22584",417
"22585",612
"22586",184
"22587",194
"22588",320
"22589",170
"22591",148
"22592",207
"22593",247
"22594",232
"22595",481
"22596",309
"22597",167
"22598",82
"22599",114
"22600",278
"22601",257
"22602",305
"22603",236
"22604",162
"22605",377
"22606",269
"22607",419
"22608",75
"22609",118
"22610",157
"22611",135
"22612",83
"22613",166
"22614",222
"22615",110
"22616",319
"22617",600
"22618",180
"22619",421
"22620",449
"22621",507
"22622",346
"22623",334
"22624",579
"22625",440
"22626",200
"22627",322
"22628",172
"22629",456
"22630",423
"22631",271
"22632",438
"22633",473
"22634",322
"22635",325
"22636",312
"22637",329
"22638",56
"22639",192
"22640",58
"22641",49
"22642",113
"22643",72
"22644",304
"22645",341
"22646",404
"22647",60
"22649",200
"22650",150
"22651",112
"22652",440
"22653",156
"22654",300
"22655",45
"22656",30
"22657",7
"22659",294
"22660",96
"22661",246
"22662",426
"22663",268
"22664",107
"22665",326
"22666",701
"22667",406
"22668",296
"22669",263
"22670",218
"22671",140
"22672",227
"22673",130
"22674",182
"22675",179
"22676",105
"22677",101
"22678",92
"22679",88
"22680",97
"22681",79
"22682",84
"22683",88
"22684",81
"22685",82
"22686",70
"22687",97
"22688",77
"22689",182
"22690",278
"22691",124
"22692",293
"22693",197
"22694",484
"22695",151
"22696",203
"22697",480
"22698",402
"22699",524
"22700",79
"22701",65
"22702",66
"22703",57
"22704",207
"22705",114
"22706",109
"22707",70
"22708",115
"22709",68
"22710",112
"22711",148
"22712",209
"22713",148
"22714",187
"22715",125
"22716",244
"22717",118
"22718",114
"22719",69
"22720",640
"22721",183
"22722",394
"22723",170
"22725",217
"22726",404
"22727",473
"22728",357
"22729",236
"22730",289
"22731",165
"22732",195
"22733",216
"22734",444
"22735",133
"22736",232
"22737",300
"22738",274
"22739",329
"22740",163
"22741",132
"22742",132
"22743",199
"22744",196
"22745",377
"22746",319
"22747",241
"22748",410
"22749",383
"22750",362
"22751",269
"22752",323
"22753",205
"22754",237
"22755",243
"22756",124
"22757",161
"22758",151
"22759",472
"22760",82
"22761",27
"22762",91
"22763",95
"22764",23
"22765",36
"22766",343
"22767",197
"22768",243
"22769",32
"22770",49
"22771",201
"22772",105
"22773",95
"22774",75
"22775",98
"22776",420
"22777",67
"22778",107
"22779",112
"22780",110
"22781",160
"22782",75
"22783",38
"22784",234
"22785",82
"22786",62
"22788",51
"22789",138
"22790",1
"22791",226
"22792",128
"22794",130
"22795",227
"22796",201
"22797",98
"22798",173
"22799",85
"22800",149
"22801",173
"22802",39
"22803",22
"22804",351
"22805",89
"22806",42
"22807",125
"22808",58
"22809",259
"22810",213
"22811",51
"22812",270
"22813",222
"22814",101
"22815",111
"22816",258
"22817",104
"22818",252
"22819",125
"22820",67
"22821",83
"22822",139
"22823",17
"22824",47
"22825",32
"22826",33
"22827",29
"22828",9
"22829",83
"22830",14
"22831",101
"22832",71
"22833",9
"22834",300
"22835",451
"22837",221
"22838",184
"22839",142
"22840",281
"22841",219
"22842",183
"22843",135
"22844",229
"22845",192
"22846",189
"22847",264
"22848",75
"22849",101
"22850",1
"22851",306
"22852",108
"22853",100
"22854",169
"22855",271
"22856",25
"22857",60
"22858",104
"22859",115
"22860",85
"22861",36
"22862",143
"22863",120
"22864",1
"22865",566
"22866",530
"22867",521
"22868",13
"22869",24
"22870",16
"22871",11
"22872",16
"22873",17
"22874",15
"22875",17
"22876",12
"22877",18
"22878",13
"22879",7
"22880",10
"22881",9
"22882",18
"22883",9
"22884",14
"22885",13
"22886",8
"22887",10
"22888",9
"22889",8
"22890",148
"22891",108
"22892",162
"22893",70
"22894",125
"22895",232
"22896",187
"22897",190
"22898",261
"22899",249
"22900",252
"22902",102
"22903",39
"22904",269
"22905",111
"22906",274
"22907",445
"22908",266
"22909",578
"22910",701
"22911",115
"22912",81
"22913",84
"22914",117
"22915",116
"22916",135
"22917",138
"22918",135
"22919",136
"22920",138
"22921",121
"22922",82
"22923",70
"22924",69
"22925",130
"22926",152
"22927",101
"22928",64
"22929",17
"22930",120
"22931",95
"22932",51
"22933",82
"22934",65
"22935",46
"22936",30
"22937",122
"22938",237
"22939",109
"22940",392
"22941",315
"22942",176
"22943",215
"22944",89
"22945",244
"22946",152
"22947",124
"22948",93
"22949",130
"22950",256
"22951",345
"22952",570
"22953",76
"22954",28
"22955",131
"22956",189
"22957",179
"22959",251
"22960",583
"22961",558
"22962",183
"22963",170
"22964",228
"22965",187
"22966",422
"22967",122
"22968",182
"22969",472
"22970",180
"22971",164
"22972",147
"22973",88
"22974",128
"22975",113
"22976",81
"22977",101
"22978",153
"22979",225
"22980",198
"22981",58
"22982",120
"22983",264
"22984",115
"22985",101
"22986",162
"22987",10
"22988",207
"22989",241
"22990",117
"22991",185
"22992",217
"22993",431
"22994",89
"22995",90
"22996",155
"22997",101
"22998",217
"22999",108
"23000",125
"23002",85
"23003",38
"23004",73
"23005",105
"23006",88
"23007",110
"23008",99
"23009",48
"23010",73
"23012",151
"23013",135
"23014",122
"23015",15
"23016",19
"23017",20
"23018",19
"23019",26
"23020",67
"23021",24
"23022",19
"23023",23
"23024",8
"23025",40
"23026",43
"23027",26
"23028",88
"23029",97
"23031",93
"23032",117
"23033",42
"23034",57
"23035",110
"23036",14
"23037",17
"23038",4
"23039",22
"23040",33
"23041",46
"23042",25
"23043",18
"23044",24
"23045",22
"23046",31
"23047",25
"23048",81
"23049",103
"23050",116
"23051",95
"23052",147
"23053",105
"23054",81
"23055",33
"23056",33
"23057",38
"23058",39
"23060",34
"23061",76
"23064",20
"23065",81
"23066",69
"23067",63
"23068",106
"23069",27
"23070",29
"23071",16
"23072",21
"23073",49
"23074",32
"23075",61
"23076",202
"23077",217
"23078",159
"23079",83
"23080",148
"23081",80
"23082",205
"23083",161
"23084",450
"23085",64
"23086",31
"23087",43
"23088",52
"23089",101
"23090",96
"23091",160
"23092",96
"23093",105
"23094",65
"23096",89
"23099",46
"23100",180
"23101",175
"23102",128
"23103",231
"23104",38
"23106",49
"23107",60
"23108",271
"23109",178
"23110",157
"23111",80
"23112",134
"23113",39
"23114",40
"23115",38
"23116",17
"23117",39
"23118",154
"23119",97
"23120",69
"23121",81
"23122",89
"23123",64
"23124",23
"23125",15
"23126",198
"23127",146
"23128",112
"23129",138
"23130",139
"23131",91
"23132",115
"23133",94
"23134",29
"23135",31
"23136",39
"23137",18
"23138",60
"23139",20
"23140",29
"23141",18
"23142",34
"23143",12
"23144",180
"23145",128
"23146",151
"23147",170
"23148",143
"23149",17
