"customer_id","orders_used_in_calc","avg_days_between_orders_fractional"
"15993",6,5.96
"13447",2,6.07
"14096",16,6.08
"17500",2,6.11
"14527",120,6.13
"12971",115,6.27
"13556",1,6.32
"17949",115,6.40
"15009",2,6.41
"16422",106,6.41
"16029",105,6.60
"17502",3,6.62
"13798",109,6.70
"16790",5,6.80
"16689",1,6.92
"15427",2,6.99
"13408",105,6.99
"13596",1,7.00
"14823",2,7.01
"17845",3,7.03
"14385",2,7.08
"17961",99,7.24
"14547",7,7.26
"16812",3,7.31
"16228",2,7.40
"13755",8,7.48
"14063",6,7.48
"18073",11,7.52
"12845",3,7.66
"12835",40,7.72
"15039",92,7.83
"13066",1,7.83
"18214",3,7.88
"16273",1,7.89
"16405",1,7.93
"16264",1,7.95
"12569",31,8.07
"15334",2,8.45
"13093",54,8.52
"17780",2,8.55
"17450",50,8.60
"16013",83,8.77
"16376",1,8.79
"14298",81,8.89
"12559",1,8.98
"15508",5,9.20
"17377",77,9.27
"12912",4,9.47
"17756",2,9.49
"13413",5,9.55
"17811",46,9.59
"16754",28,9.62
"13685",6,9.66
"12901",27,9.70
"14102",4,9.78
"16893",1,9.87
"12855",3,9.88
"15350",1,9.93
"16070",1,9.97
"14170",2,9.98
"12921",73,9.99
"14164",1,10.00
"17528",7,10.00
"14836",2,10.07
"14856",2,10.11
"16729",20,10.15
"14434",5,10.15
"13767",72,10.22
"13468",71,10.35
"13704",8,10.38
"17835",2,10.40
"12471",70,10.43
"16866",2,10.45
"17312",2,10.47
"17675",69,10.55
"13785",3,10.57
"17243",68,10.84
"17808",3,10.92
"14331",1,10.92
"17315",40,10.92
"15501",1,10.94
"13564",35,10.95
"15377",3,10.96
"12950",2,10.99
"13554",6,11.02
"15213",1,11.05
"17792",1,11.06
"13263",37,11.13
"16168",65,11.17
"16133",55,11.18
"12856",5,11.19
"17086",5,11.22
"13199",65,11.25
"13885",1,11.26
"15189",45,11.29
"15235",15,11.39
"16759",2,11.58
"16764",12,11.65
"13098",27,11.70
"14234",3,11.72
"14397",18,11.72
"15413",4,11.76
"15934",1,11.92
"14179",1,11.92
"13493",1,11.95
"17000",1,11.97
"16079",2,11.99
"17232",1,12.00
"12522",1,12.03
"15762",1,12.04
"17389",60,12.25
"13777",60,12.29
"13536",6,12.36
"16910",7,12.42
"17511",59,12.46
"14680",57,12.46
"14698",4,12.50
"16164",2,12.62
"17757",55,12.62
"12967",2,12.67
"16811",1,12.76
"13319",57,12.77
"12931",56,12.80
"17997",7,12.85
"14056",22,12.86
"15390",1,12.91
"16513",3,12.94
"17912",5,13.00
"12685",5,13.03
"15159",33,13.03
"14617",1,13.04
"15881",4,13.04
"13996",1,13.06
"13078",56,13.13
"15005",55,13.14
"12841",39,13.20
"17068",46,13.24
"18118",28,13.25
"16032",5,13.44
"16684",54,13.48
"14735",54,13.56
"17677",53,13.62
"14667",53,13.72
"17920",53,13.76
"17656",4,13.77
"14169",1,13.80
"17434",6,13.83
"14664",1,13.84
"13673",1,13.85
"16590",1,13.87
"17186",1,13.89
"16672",19,13.91
"16919",23,13.95
"14251",4,13.96
"17387",1,13.98
"13321",1,14.00
"16065",7,14.00
"18172",51,14.00
"17874",5,14.01
"13925",3,14.01
"14660",1,14.04
"14554",3,14.05
"16745",16,14.06
"12469",1,14.09
"15274",1,14.11
"16779",52,14.12
"16897",1,14.13
"13924",5,14.15
"18109",37,14.19
"17813",4,14.25
"15078",51,14.28
"15856",51,14.36
"16333",21,14.38
"14592",2,14.47
"17381",37,14.59
"13069",37,14.67
"14160",6,14.68
"14364",7,14.70
"12682",50,14.70
"16522",1,14.89
"17170",1,14.98
"13836",1,15.00
"17810",1,15.01
"15187",14,15.07
"13534",34,15.24
"15911",7,15.28
"13881",42,15.28
"16839",43,15.30
"13471",3,15.37
"12723",4,15.44
"13882",4,15.46
"13997",2,15.51
"17719",14,15.57
"16525",47,15.64
"16553",32,15.71
"17865",45,15.73
"15615",46,15.80
"17061",10,15.89
"16161",42,15.91
"13470",1,15.91
"14432",5,15.95
"16088",1,15.97
"15715",4,15.98
"18051",6,16.01
"15877",1,16.02
"15769",45,16.03
"15102",1,16.08
"15156",2,16.12
"14849",42,16.12
"12806",1,16.13
"13102",36,16.14
"14590",19,16.21
"17732",7,16.43
"15804",12,16.51
"16894",2,16.53
"12681",43,16.56
"16173",5,16.56
"16010",10,16.60
"16626",16,16.62
"14688",27,16.63
"12906",4,16.70
"15498",43,16.76
"13631",10,16.77
"17428",44,16.77
"16360",5,16.79
"14180",32,16.81
"17459",1,16.85
"12822",1,16.85
"16603",1,16.88
"15654",1,16.91
"16814",35,16.94
"14031",43,16.96
"15649",3,16.96
"14560",43,16.98
"14025",7,17.00
"15707",3,17.00
"16484",1,17.06
"13261",1,17.07
"15821",1,17.10
"14456",8,17.13
"13113",36,17.25
"17566",1,17.26
"17837",7,17.28
"14910",3,17.32
"17451",6,17.36
"17131",4,17.50
"17581",42,17.52
"15107",8,17.52
"15787",2,17.54
"15581",33,17.61
"15706",3,17.61
"15358",41,17.75
"15738",40,17.77
"16705",41,17.80
"16931",22,17.82
"12762",1,17.83
"16746",41,17.83
"14367",15,17.86
"17295",2,17.97
"16453",1,17.98
"12720",28,18.00
"17173",7,18.00
"13963",16,18.06
"16187",14,18.06
"12498",2,18.07
"14132",10,18.11
"13318",2,18.11
"13969",34,18.15
"17576",40,18.20
"13854",38,18.21
"16295",3,18.30
"12932",7,18.32
"13949",5,18.38
"15511",4,18.44
"18041",37,18.46
"16033",26,18.46
"15183",2,18.48
"15633",12,18.49
"16549",33,18.51
"14172",2,18.55
"13018",34,18.59
"16997",2,18.62
"15015",12,18.66
"14543",38,18.68
"14121",3,18.69
"15291",38,18.71
"18231",27,18.74
"14671",1,18.80
"15768",33,18.82
"17590",2,18.98
"14808",7,19.00
"14369",1,19.22
"16438",4,19.22
"16742",12,19.23
"16458",29,19.30
"12827",2,19.43
"16782",37,19.46
"15513",34,19.47
"16818",10,19.50
"14895",37,19.51
"17183",5,19.56
"12621",34,19.62
"17306",20,19.65
"16353",37,19.70
"16688",3,19.71
"12647",34,19.79
"17735",25,19.81
"16855",1,19.81
"17750",8,19.87
"16558",37,19.88
"12437",37,19.89
"16935",2,19.92
"14194",35,19.94
"12734",2,19.99
"14416",1,20.01
"16844",1,20.05
"16352",1,20.08
"16478",2,20.08
"14932",1,20.11
"16160",1,20.14
"15565",1,20.16
"16843",34,20.20
"13323",4,20.29
"13460",1,20.31
"15960",3,20.33
"15939",14,20.36
"13004",35,20.37
"12936",3,20.38
"14051",36,20.44
"14040",34,20.53
"15555",35,20.61
"17975",23,20.66
"16361",3,20.66
"15476",3,20.68
"18198",16,20.75
"16506",1,20.85
"13267",35,20.85
"13420",1,20.88
"15011",1,20.96
"14360",3,20.96
"13212",2,20.96
"18130",2,20.97
"13558",3,20.98
"16223",1,20.99
"17770",4,20.99
"14176",4,21.00
"16243",1,21.02
"13987",1,21.02
"14455",3,21.03
"15271",23,21.04
"16930",2,21.04
"17444",1,21.06
"16799",1,21.07
"16427",1,21.08
"14065",2,21.09
"15013",9,21.11
"13860",4,21.29
"15160",3,21.32
"13668",34,21.35
"16904",19,21.41
"16837",10,21.42
"14685",7,21.44
"16923",31,21.45
"13050",33,21.51
"14779",2,21.51
"13429",3,21.57
"12883",3,21.59
"17317",2,21.60
"15808",20,21.60
"13230",29,21.61
"15838",33,21.61
"18258",5,21.62
"13247",3,21.66
"12788",3,21.68
"15908",1,21.69
"12722",3,21.71
"17613",13,21.77
"16813",9,21.78
"14952",31,21.83
"14060",29,21.87
"12415",23,21.88
"15977",1,21.88
"12735",1,21.97
"15531",1,22.04
"13542",16,22.04
"14002",1,22.04
"13090",22,22.09
"14490",1,22.14
"18059",2,22.15
"16945",32,22.16
"13715",16,22.32
"14648",14,22.35
"15113",2,22.35
"16169",3,22.39
"12657",3,22.39
"17848",29,22.49
"17085",27,22.60
"12989",32,22.69
"15044",31,22.71
"13808",4,22.75
"16629",1,22.77
"16713",31,22.77
"16076",9,22.79
"17706",30,22.84
"13001",32,22.87
"16381",1,22.87
"13028",1,22.88
"15465",31,22.90
"18228",1,22.94
"16015",2,22.96
"14110",32,22.97
"16474",6,22.99
"13386",1,22.99
"12540",31,22.99
"16210",32,23.00
"15666",1,23.02
"13902",4,23.03
"15653",1,23.04
"13599",32,23.04
"12709",31,23.07
"17577",1,23.12
"12704",7,23.16
"12474",28,23.19
"15827",27,23.23
"17652",11,23.27
"13446",10,23.33
"17894",17,23.40
"16900",2,23.44
"12879",2,23.50
"14085",31,23.52
"15719",30,23.53
"16851",2,23.58
"15089",5,23.62
"15347",3,23.70
"17238",31,23.74
"16928",25,23.76
"16607",24,23.83
"17366",1,23.85
"17346",25,23.88
"13418",30,23.90
"14217",22,23.91
"15355",1,23.93
"15369",10,23.93
"16465",1,23.95
"15867",30,24.00
"18226",25,24.01
"17681",4,24.06
"12882",1,24.21
"14800",16,24.25
"12952",3,24.25
"15500",3,24.33
"12783",3,24.34
"15805",29,24.35
"16020",2,24.45
"14249",11,24.45
"16533",2,24.46
"12757",8,24.47
"16324",2,24.47
"12843",27,24.48
"12999",2,24.56
"17965",28,24.57
"16656",29,24.59
"15281",15,24.59
"17113",5,24.63
"12675",1,24.71
"16379",3,24.75
"13914",1,24.75
"14134",14,24.79
"14354",1,24.83
"13040",1,24.86
"14780",1,24.90
"13016",2,24.98
"15301",16,24.99
"17595",1,24.99
"18075",19,25.01
"14529",2,25.03
"18143",1,25.06
"15601",29,25.07
"17725",10,25.09
"15612",1,25.09
"18260",22,25.09
"17858",29,25.10
"15538",5,25.18
"17241",11,25.18
"16401",22,25.19
"17062",5,25.19
"14711",10,25.21
"14534",25,25.28
"16523",27,25.29
"16929",6,25.31
"15984",29,25.38
"13458",15,25.40
"15129",22,25.45
"16678",11,25.47
"14116",4,25.48
"12828",5,25.54
"15570",24,25.58
"15144",28,25.65
"15505",4,25.69
"13467",1,25.71
"15640",28,25.75
"14189",15,25.75
"15125",23,25.78
"13730",1,25.83
"16911",1,25.84
"13013",28,25.86
"13999",28,25.86
"15963",1,25.94
"15290",25,25.96
"12627",5,25.98
"14702",28,26.00
"16011",28,26.08
"13537",1,26.09
"17946",1,26.10
"16019",26,26.11
"13073",1,26.19
"13491",26,26.19
"17017",28,26.21
"13991",5,26.23
"14344",19,26.26
"15260",24,26.38
"18061",27,26.44
"14825",23,26.47
"16158",8,26.49
"17562",6,26.51
"16592",27,26.55
"17696",26,26.57
"16460",2,26.57
"16499",7,26.58
"12955",10,26.63
"15297",2,26.64
"13081",27,26.66
"14562",25,26.67
"13576",27,26.70
"16241",15,26.73
"17372",26,26.76
"13346",5,26.79
"12830",5,26.81
"14878",24,26.83
"18065",27,26.84
"18229",27,26.84
"16942",8,26.88
"16698",1,26.89
"16066",4,26.97
"16744",6,26.99
"16538",2,27.01
"17611",27,27.07
"14866",16,27.12
"13097",26,27.15
"15194",27,27.16
"15232",1,27.17
"13731",1,27.18
"14303",1,27.21
"17504",17,27.24
"13269",27,27.26
"17790",19,27.26
"15141",6,27.30
"15751",10,27.30
"15629",3,27.36
"14088",15,27.39
"13399",2,27.42
"12431",24,27.42
"14282",24,27.47
"12518",4,27.47
"17230",17,27.48
"15589",2,27.48
"16125",13,27.54
"14733",14,27.57
"16107",6,27.60
"18180",5,27.60
"13742",11,27.62
"15024",15,27.66
"13206",12,27.68
"13268",9,27.77
"13810",1,27.82
"14796",26,27.85
"13935",2,27.90
"14140",1,27.91
"12985",1,27.92
"17653",3,27.96
"14082",1,27.97
"14261",1,27.97
"12419",1,27.98
"17564",2,27.99
"17549",1,28.00
"15054",1,28.02
"14299",26,28.05
"15491",5,28.05
"15943",1,28.07
"12583",26,28.11
"13148",25,28.12
"17364",26,28.14
"12376",1,28.15
"13552",21,28.19
"14776",14,28.22
"15330",1,28.22
"16186",25,28.32
"16631",6,28.34
"17659",13,28.38
"18122",5,28.41
"17139",24,28.41
"16157",2,28.50
"15046",24,28.54
"12476",17,28.60
"14831",2,28.61
"18116",12,28.65
"16989",5,28.66
"18008",22,28.73
"13571",25,28.76
"12986",9,28.78
"16775",15,28.79
"14539",1,28.91
"13994",5,28.94
"17857",22,28.96
"14178",6,28.99
"12640",2,29.00
"12980",20,29.00
"15349",1,29.01
"15547",25,29.04
"17888",24,29.04
"17014",2,29.05
"13802",18,29.06
"12386",1,29.11
"16373",1,29.11
"16701",25,29.19
"12747",25,29.20
"12839",25,29.21
"18223",25,29.23
"14243",16,29.24
"18225",25,29.27
"15611",23,29.30
"13437",6,29.33
"16326",23,29.34
"14502",10,29.38
"17307",10,29.39
"17021",5,29.40
"15332",5,29.41
"16184",5,29.43
"13082",20,29.55
"12868",7,29.58
"13147",3,29.69
"13644",3,29.70
"15981",20,29.80
"17969",19,29.84
"18087",15,29.87
"12878",1,29.96
"14709",24,29.96
"13588",8,29.97
"15955",21,30.00
"17231",24,30.00
"16606",1,30.03
"17481",3,30.03
"12885",2,30.04
"16747",1,30.05
"12628",2,30.08
"14258",24,30.26
"14755",24,30.28
"13488",22,30.28
"15898",24,30.29
"13047",22,30.32
"16700",24,30.38
"18241",20,30.40
"16426",9,30.44
"16883",18,30.45
"14510",2,30.48
"12549",4,30.50
"14739",24,30.55
"14511",4,30.55
"17073",3,30.63
"13184",9,30.64
"13094",12,30.67
"16335",6,30.68
"17162",9,30.77
"16230",1,30.79
"17730",19,30.85
"13978",1,30.86
"17834",1,30.86
"13559",1,30.92
"16734",2,30.97
"15453",6,30.99
"14815",1,31.00
"13324",17,31.01
"15444",1,31.06
"17716",23,31.08
"15883",1,31.09
"13911",19,31.10
"12546",1,31.10
"14092",23,31.12
"13868",1,31.16
"17447",1,31.17
"18283",21,31.18
"16497",22,31.22
"18055",13,31.23
"13641",3,31.25
"15136",3,31.28
"14062",23,31.30
"13734",3,31.38
"14395",19,31.48
"14492",6,31.49
"17032",4,31.49
"16924",2,31.50
"13812",2,31.53
"16378",2,31.55
"16191",23,31.56
"15801",2,31.58
"17870",12,31.60
"13985",21,31.63
"15644",3,31.66
"16296",3,31.68
"16197",8,31.76
"12493",1,31.81
"16570",19,31.81
"16311",1,31.82
"15874",20,31.90
"13027",18,31.94
"15813",1,31.96
"16145",18,31.99
"14135",23,32.00
"15218",21,32.00
"17332",4,32.02
"14305",2,32.03
"16170",19,32.04
"17573",2,32.05
"15527",22,32.08
"14524",12,32.09
"12919",5,32.24
"16407",13,32.30
"17370",3,32.31
"16985",22,32.36
"12523",22,32.41
"14810",12,32.41
"15093",22,32.41
"16436",2,32.44
"12362",9,32.47
"17223",2,32.47
"12662",19,32.48
"15933",2,32.52
"16638",14,32.56
"15356",12,32.58
"15737",7,32.58
"16712",12,32.66
"18044",17,32.70
"13137",15,32.79
"13756",22,32.82
"14415",22,32.82
"17167",2,32.92
"14067",1,32.93
"12488",2,32.96
"16103",21,33.00
"18237",4,33.00
"15379",7,33.01
"12940",1,33.08
"17416",21,33.14
"14291",22,33.14
"15298",22,33.14
"14262",7,33.15
"17563",1,33.20
"17220",20,33.20
"15694",22,33.26
"12939",19,33.27
"14462",11,33.28
"17406",12,33.34
"18245",19,33.37
"16393",22,33.46
"12793",2,33.48
"15251",20,33.50
"17396",12,33.50
"17724",2,33.54
"16351",12,33.56
"12949",21,33.61
"16290",3,33.67
"15529",11,33.81
"13880",16,33.81
"12765",5,33.83
"17690",19,33.90
"13784",13,33.91
"18050",1,33.94
"14125",2,33.94
"14057",21,33.95
"12630",1,34.00
"14359",2,34.09
"16710",21,34.10
"17402",21,34.22
"16722",21,34.23
"17589",17,34.24
"14141",3,34.27
"17651",15,34.33
"14401",21,34.33
"15214",7,34.44
"14852",17,34.47
"14410",10,34.50
"14961",21,34.52
"14239",20,34.55
"17525",2,34.56
"14390",12,34.58
"12584",8,34.60
"15278",3,34.60
"12610",3,34.61
"15618",3,34.64
"17001",18,34.66
"14634",3,34.68
"16342",3,34.73
"17644",19,34.75
"13426",21,34.75
"15249",17,34.82
"13822",1,34.85
"13178",20,34.85
"17404",20,34.86
"12804",1,34.92
"17477",1,34.93
"12364",3,34.93
"17285",1,34.98
"13374",1,34.98
"16644",1,34.99
"15533",2,35.00
"17822",4,35.02
"14503",5,35.03
"13983",20,35.04
"16322",1,35.05
"14944",18,35.06
"12712",20,35.09
"15544",19,35.32
"15023",19,35.32
"15270",20,35.34
"16725",12,35.34
"14283",3,35.37
"13117",17,35.41
"15568",2,35.43
"13842",17,35.46
"13442",2,35.48
"17287",20,35.50
"15114",11,35.54
"12823",17,35.58
"13857",5,35.59
"14221",16,35.62
"13159",3,35.66
"13200",3,35.68
"13475",3,35.68
"13629",18,35.71
"17049",18,35.72
"16316",12,35.75
"16817",12,35.76
"17503",1,35.92
"15972",4,35.99
"13506",4,36.01
"15701",3,36.03
"13314",2,36.04
"15033",9,36.11
"17132",1,36.11
"15373",16,36.13
"12877",19,36.16
"16180",12,36.18
"16444",16,36.19
"16265",11,36.19
"15854",20,36.25
"16954",19,36.30
"14713",20,36.34
"13695",15,36.41
"12754",2,36.47
"14867",15,36.59
"15606",16,36.63
"13317",18,36.67
"12483",18,36.67
"17554",4,36.69
"16801",3,36.69
"13031",4,36.76
"17491",16,36.82
"16306",6,36.85
"12428",7,36.85
"15344",2,36.92
"17668",1,36.94
"16675",1,36.96
"14937",2,36.96
"13725",7,36.99
"16550",17,37.00
"15632",7,37.01
"12600",19,37.05
"17799",19,37.05
"17800",8,37.12
"12872",11,37.24
"17340",17,37.28
"14071",7,37.29
"14607",19,37.31
"15661",7,37.32
"18168",15,37.34
"14030",19,37.42
"12444",4,37.49
"16670",19,37.51
"14099",19,37.53
"17692",11,37.56
"17634",8,37.63
"12680",3,37.63
"15622",16,37.64
"16696",3,37.65
"13567",3,37.67
"12629",1,37.69
"12553",11,37.74
"14159",19,37.74
"17873",17,37.83
"12626",8,37.90
"14868",11,37.91
"13327",18,37.93
"17809",19,37.94
"16546",4,37.95
"13769",19,37.95
"17777",2,37.95
"13456",5,37.95
"13759",1,37.96
"12683",19,38.00
"18205",1,38.06
"18030",1,38.11
"13214",6,38.14
"16467",6,38.17
"12500",17,38.24
"13575",4,38.24
"16652",15,38.26
"16156",19,38.36
"14659",8,38.37
"13486",2,38.41
"12417",19,38.43
"17524",2,38.46
"14387",2,38.46
"16706",2,38.46
"13232",6,38.48
"14615",4,38.50
"15059",18,38.50
"12472",18,38.51
"17288",10,38.51
"14048",2,38.52
"17884",19,38.52
"14558",2,38.55
"13993",18,38.55
"14260",2,38.57
"15796",16,38.58
"12490",19,38.59
"14883",5,38.60
"18232",3,38.60
"16966",6,38.66
"14352",3,38.68
"17663",16,38.74
"16926",4,38.76
"17890",1,38.84
"17338",16,38.87
"14426",16,38.87
"13952",13,38.92
"14358",1,38.93
"15399",2,38.94
"12731",16,39.01
"13933",1,39.02
"13492",2,39.09
"15378",1,39.11
"14587",8,39.12
"17126",8,39.13
"15876",1,39.15
"16877",5,39.18
"14948",5,39.22
"17203",9,39.22
"14004",10,39.22
"14730",7,39.30
"17612",17,39.36
"14045",15,39.41
"17460",15,39.47
"15173",6,39.49
"13266",18,39.51
"16155",4,39.51
"16609",6,39.52
"17419",17,39.53
"16858",9,39.55
"14505",18,39.61
"18144",18,39.77
"16199",6,39.79
"14210",15,39.81
"14211",17,39.82
"16016",10,39.90
"14907",15,39.93
"17218",17,39.94
"16767",14,39.98
"14399",7,40.00
"17091",18,40.04
"14876",1,40.05
"15267",4,40.06
"14422",18,40.11
"14732",18,40.12
"17164",6,40.13
"15687",8,40.22
"17954",18,40.28
"12889",3,40.36
"13141",16,40.37
"17157",18,40.44
"14414",7,40.44
"15222",10,40.48
"17931",13,40.55
"12708",17,40.70
"15932",7,40.73
"13816",1,40.75
"14341",17,40.77
"13791",1,40.80
"13709",17,40.82
"18239",5,40.82
"13162",15,40.87
"13044",10,40.90
"13051",1,40.92
"13928",3,40.92
"13394",18,40.94
"13432",1,40.94
"13059",9,40.99
"12605",2,41.00
"14250",2,41.02
"12888",1,41.06
"18167",2,41.09
"14482",11,41.09
"12642",2,41.12
"16975",2,41.13
"17425",1,41.16
"12684",5,41.17
"17512",17,41.22
"12524",16,41.25
"15829",1,41.27
"12755",10,41.30
"13659",11,41.38
"17723",6,41.39
"17639",5,41.43
"13593",13,41.45
"15681",13,41.47
"16314",2,41.50
"15974",6,41.52
"13407",2,41.53
"14292",15,41.54
"16556",16,41.63
"15309",3,41.64
"12395",14,41.66
"18037",14,41.71
"15003",5,41.82
"15058",15,41.87
"13250",1,41.90
"12383",4,41.93
"16531",10,41.93
"13831",17,41.94
"17265",1,41.95
"14734",3,41.96
"14486",1,41.97
"14751",1,41.98
"16974",1,41.98
"17090",12,41.99
"16431",2,42.00
"16428",2,42.00
"15580",7,42.00
"15971",17,42.01
"16331",5,42.02
"15671",6,42.02
"16477",10,42.10
"15205",1,42.15
"16957",1,42.19
"13014",10,42.20
"14407",4,42.27
"17769",16,42.31
"13940",3,42.32
"13305",15,42.33
"17825",3,42.33
"14275",5,42.37
"17739",17,42.41
"15953",17,42.42
"16258",14,42.43
"15482",17,42.46
"13533",2,42.48
"17580",4,42.48
"15514",17,42.52
"16234",2,42.58
"18077",17,42.59
"14744",13,42.61
"16034",5,42.63
"12464",7,42.71
"17861",17,42.72
"13590",17,42.76
"13743",6,42.80
"14850",6,42.82
"13827",2,42.94
"16503",10,42.99
"12601",5,42.99
"15108",2,42.99
"16102",2,43.01
"14629",1,43.03
"12572",1,43.04
"13964",1,43.05
"18092",17,43.12
"12439",1,43.15
"12705",12,43.18
"14151",1,43.20
"12935",14,43.22
"15034",13,43.23
"12637",11,43.27
"15750",17,43.28
"15860",16,43.31
"12432",3,43.31
"16008",14,43.36
"16633",5,43.39
"16983",10,43.40
"13561",10,43.40
"14573",12,43.40
"16456",12,43.43
"16027",14,43.49
"16466",14,43.49
"14693",6,43.53
"15523",15,43.54
"13065",4,43.55
"13871",16,43.56
"17209",2,43.60
"16743",13,43.61
"13920",3,43.62
"16359",15,43.62
"12651",3,43.63
"14692",11,43.64
"12663",1,43.80
"15150",12,43.84
"18005",1,43.88
"16674",1,43.90
"14245",1,43.92
"16091",1,43.98
"17160",16,44.01
"12632",1,44.02
"14091",1,44.07
"14530",15,44.13
"14525",16,44.18
"17469",16,44.18
"15521",15,44.21
"12895",1,44.22
"14901",11,44.30
"16218",12,44.31
"17314",16,44.50
"16794",14,44.51
"12352",8,44.52
"15021",11,44.53
"15771",2,44.54
"13186",2,44.55
"14828",12,44.66
"17442",14,44.69
"16225",14,44.70
"13524",4,44.75
"13693",8,44.79
"13183",14,44.85
"12646",1,44.89
"17967",1,44.92
"12481",13,44.98
"14519",1,45.03
"14769",16,45.07
"13856",10,45.08
"13901",14,45.09
"12794",1,45.12
"15304",8,45.12
"15628",16,45.12
"14461",12,45.18
"14388",15,45.20
"14370",5,45.22
"16905",16,45.23
"16806",3,45.27
"15134",9,45.32
"15755",16,45.33
"15643",2,45.36
"14465",10,45.49
"17293",16,45.50
"15607",8,45.50
"15591",2,45.50
"14691",4,45.53
"14740",10,45.53
"12591",2,45.58
"14882",13,45.61
"18219",16,45.62
"13021",16,45.64
"14101",12,45.66
"12599",12,45.68
"16686",15,45.73
"16009",3,45.74
"16682",4,45.76
"14312",10,45.78
"13443",5,45.79
"16918",15,45.80
"16059",11,45.81
"15220",5,45.82
"17646",11,45.83
"15038",8,45.86
"14019",2,45.89
"15763",1,45.90
"13681",3,45.94
"12947",5,45.95
"14227",14,45.95
"15088",1,45.96
"13039",3,46.00
"12567",14,46.00
"15492",1,46.04
"13720",3,46.05
"17229",1,46.05
"14556",2,46.07
"15785",15,46.12
"16266",13,46.14
"16313",1,46.17
"13152",6,46.19
"14532",10,46.21
"17629",9,46.21
"15660",14,46.22
"13728",15,46.25
"17968",3,46.30
"15638",5,46.38
"13041",3,46.38
"17470",10,46.39
"13862",8,46.39
"12963",11,46.45
"17204",8,46.52
"16421",2,46.53
"17457",13,46.61
"15624",3,46.64
"15081",11,46.66
"15351",9,46.67
"13630",6,46.68
"17453",1,46.69
"16249",4,46.71
"13201",3,46.72
"12928",11,46.74
"15518",14,46.79
"15998",15,46.80
"12594",13,46.84
"14963",11,46.91
"16217",1,46.92
"16060",2,46.93
"12526",2,46.95
"16750",4,46.96
"13384",10,46.99
"14069",1,46.99
"14064",14,47.00
"17114",7,47.00
"17814",1,47.01
"12678",14,47.06
"14177",12,47.09
"16202",8,47.12
"12943",1,47.12
"18183",1,47.22
"13507",3,47.35
"12891",10,47.39
"16327",15,47.40
"14081",9,47.43
"17365",14,47.43
"17602",13,47.45
"13634",14,47.50
"17146",12,47.51
"16544",3,47.64
"13870",14,47.65
"16370",3,47.66
"17473",1,47.70
"16255",14,47.72
"15727",14,47.72
"14745",11,47.73
"17507",1,47.74
"17726",6,47.82
"15906",9,47.89
"14430",2,47.91
"13225",15,47.95
"18025",5,47.96
"17484",1,47.98
"13450",12,48.06
"15708",8,48.12
"14701",14,48.14
"16242",13,48.15
"16437",1,48.18
"14032",15,48.21
"17714",4,48.25
"17610",4,48.25
"13648",7,48.27
"14209",14,48.29
"12643",10,48.29
"16996",8,48.40
"14515",11,48.45
"12836",14,48.50
"15749",2,48.51
"12520",4,48.54
"14113",15,48.55
"18081",2,48.60
"15602",15,48.61
"17145",3,48.62
"16005",9,48.67
"13457",1,48.83
"15258",1,48.93
"15429",1,48.95
"16827",4,48.95
"14267",2,48.97
"17412",15,48.99
"16098",13,49.00
"15502",11,49.01
"17737",1,49.02
"15815",4,49.04
