"customer_id","recency_days","frequency_completed","monetary_gross","recency_quartile","monetary_quartile","lapsed_whale_flag"
"17859",304,1,141.92,3,1,NULL
"14889",335,1,135.90,3,1,NULL
"17881",303,1,133.35,3,1,NULL
"14438",305,1,131.90,3,1,NULL
"15843",303,1,118.95,3,1,NULL
"14457",310,1,113.64,3,1,NULL
"15395",325,1,107.45,3,1,NULL
"15753",304,1,79.20,3,1,NULL
"14090",324,1,76.32,3,1,NULL
"18032",333,1,73.50,3,1,NULL
"12401",302,1,69.30,3,1,NULL
"15940",310,1,35.80,3,1,NULL
