"stock_code","avg_interval_whole_day","avg_interval_fractional_day"
"17084P",10.1,10.60
"17084R",10.8,11.28
"17090A",28.0,28.54
"17090D",20.9,21.30
"17091A",4.0,4.55
"17091B",5.1,5.54
"17091F",4.3,4.99
"17091J",3.8,4.17
"17096",7.4,7.92
"17107D",8.1,8.60
"17108D",5.0,5.48
"17109A",9.0,9.51
"17109B",5.3,5.81
"17109C",5.9,6.50
"17109D",12.7,13.24
"17129C",12.7,13.26
"17129D",2.0,2.41
"17129F",4.6,5.04
"17136A",20.7,21.22
"17164B",4.9,5.26
"17164D",3.6,4.00
"17165B",5.2,5.59
"17165D",4.2,4.63
"17174",109.8,110.20
"17178",11.7,12.26
"17181",3.5,3.86
"17191A",65.4,65.89
"18007",7.9,8.38
"18010",6.8,7.26
"18094C",6.5,6.95
"18096C",3.0,3.39
"18097A",42.6,43.10
"18097B",23.0,23.06
"18097C",3.0,3.51
"18098A",2.0,2.90
"18098B",35.5,36.46
"18098C",1.3,1.65
"20615",3.3,3.76
"20616",5.7,6.14
"20617",6.6,7.08
"20618",4.9,5.40
"20619",3.3,3.77
"20620",4.4,4.85
"20621",8.1,8.56
"20622",5.3,5.78
"20652",3.8,4.26
"20653",8.7,9.16
"20654",5.6,6.19
"20655",3.5,3.90
"20657",5.6,5.97
"20658",1.5,1.89
"20659",4.9,5.39
"20660",9.4,9.72
"20661",5.5,5.98
"20662",13.9,14.32
"20663",15.3,15.72
"20664",20.3,20.76
"20665",1.7,2.11
"20666",12.6,13.09
"20667",26.4,26.99
"20668",1.6,2.01
"20669",3.0,3.46
"20670",14.6,15.04
"20671",2.1,2.62
"20672",2.2,2.66
"20673",2.0,2.03
"20674",1.1,1.60
"20675",0.6,1.07
"20676",0.4,0.76
"20677",0.6,0.97
"20679",0.7,1.03
"20680",14.0,14.37
"20681",1.0,1.36
"20682",0.8,1.24
"20684",3.0,3.42
"20685",0.2,0.43
"20686",3.5,3.98
"20688",9.9,10.30
"20689",5.1,5.48
"20692",1.6,2.04
"20693",5.4,5.99
"20694",13.2,13.60
"20695",11.6,11.94
"20696",11.5,12.01
"20697",35.0,35.50
"20698",33.3,33.75
"20699",8.0,8.41
"20700",6.1,6.47
"20701",11.4,11.74
"20702",2.4,2.84
"20703",2.5,2.97
"20704",8.8,9.28
"20705",13.5,14.02
"20707",3.3,3.69
"20711",0.4,0.69
"20712",0.2,0.52
"20713",0.3,0.56
"20714",1.2,1.55
"20716",1.9,2.35
"20717",0.6,0.97
"20718",0.3,0.61
"20719",0.2,0.47
"20723",0.2,0.54
"20724",0.1,0.36
"20725",0.1,0.24
"20726",0.1,0.38
"20727",0.1,0.31
"20728",0.1,0.36
"20729",1.3,1.64
"20730",2.4,2.75
"20731",7.3,7.78
"20733",2.1,2.51
"20734",3.8,4.23
"20735",3.2,3.63
"20736",5.3,5.67
"20738",4.4,4.88
"20747",1.2,1.55
"20748",3.6,3.99
"20749",0.6,0.96
"20750",0.4,0.81
"20751",1.1,1.56
"20752",1.6,2.03
"20753",0.6,0.87
"20754",0.5,0.85
"20755",5.6,6.03
"20756",11.0,11.45
"20757",8.9,9.35
"20758",7.4,7.83
"20759",11.2,11.61
"20760",8.6,9.00
"20761",4.6,5.08
"20762",4.9,5.42
"20763",9.5,9.99
"20764",3.4,3.83
"20765",4.6,5.06
"20766",4.3,4.74
"20767",3.7,4.13
"20768",4.5,4.97
"20769",8.9,9.35
"20770",3.2,3.63
"20771",4.9,5.29
"20772",4.2,4.60
"20773",5.1,5.60
"20774",5.2,5.65
"20775",6.2,6.57
"20776",3.0,3.49
"20777",4.0,4.39
"20778",5.2,5.73
"20780",7.2,7.60
"20781",11.7,12.22
"20782",8.2,8.58
"20783",4.3,4.69
"20784",8.0,8.52
"20785",11.7,12.20
"20786",9.0,9.53
"20787",9.3,9.69
"20793",30.1,30.70
"20794",14.3,14.85
"20795",25.5,25.94
"20796",32.9,33.38
"20798",4.6,5.06
"20799",11.8,12.35
"20800",19.3,19.55
"20801",4.0,4.47
"20802",5.7,6.19
"20803",5.8,6.25
"20804",3.2,3.53
"20812",28.5,29.08
"20814",6.7,7.09
"20816",74.3,74.69
"20818",17.3,17.86
"20819",10.9,11.37
"20820",54.5,54.91
"20821",27.8,28.36
"20823",30.4,30.84
"20825",49.3,49.72
"20826",40.7,41.00
"20827",62.8,63.26
"20828",0.8,1.22
"20829",1.1,1.54
"20830",7.7,8.17
"20831",9.0,9.46
"20832",4.2,4.70
"20833",22.5,23.25
"20835",68.0,68.55
"20836",29.6,30.09
"20837",41.6,42.11
"20838",10.2,10.63
"20839",5.7,6.19
"20840",7.3,7.74
"20845",26.7,27.04
"20846",3.8,4.30
"20847",27.2,27.76
"20848",62.7,63.25
"20849",14.7,15.17
"20850",13.6,14.05
"20851",18.3,18.71
"20852",28.8,28.99
"20854",3.7,4.19
"20855",5.8,6.21
"20856",4.8,5.29
"20857",5.6,6.08
"20860",24.6,24.92
"20861",24.3,24.78
"20862",5.4,5.83
"20863",4.8,5.25
"20864",11.1,11.50
"20865",6.0,6.59
"20866",3.5,3.88
"20867",4.4,4.84
"20868",10.0,10.46
"20869",13.7,14.16
"20870",2.8,3.53
"20871",2.6,2.99
"20877",1.5,1.92
"20878",4.0,4.38
"20879",1.4,1.77
"20881",5.0,5.81
"20882",3.0,3.00
"20884",3.0,3.85
"20886",1.9,2.30
"20887",2.7,3.00
"20888",5.9,6.39
"20889",9.2,9.51
"20890",28.7,29.28
"20891",48.0,48.52
"20892",9.9,10.41
"20893",9.1,9.53
"20894",8.9,9.36
"20895",18.3,18.66
"20896",18.9,19.40
"20897",8.1,8.61
"20898",12.8,13.23
"20899",13.9,14.36
"20901",10.4,10.80
"20902",4.9,5.35
"20903",7.7,8.13
"20905",18.3,18.98
"20906",10.2,10.59
"20910",7.7,8.21
"20913",0.9,1.12
"20914",0.1,0.36
"20931",4.2,4.69
"20932",8.6,9.10
"20933",13.9,14.43
"20934",9.1,9.62
"20935",15.2,15.73
"20936",9.3,9.77
"20940",0.3,0.57
"20941",4.2,4.73
"20942",6.7,7.00
"20943",4.3,4.64
"20950",4.0,4.40
"20952",14.6,15.14
"20953",31.4,31.89
"20954",190.0,190.05
"20956",2.7,3.13
"20957",15.9,16.55
"20958",26.9,27.53
"20960",1.7,2.15
"20961",1.0,1.44
"20963",1.0,1.45
"20964",103.8,104.20
"20966",1.1,1.51
"20967",1.9,2.35
"20968",1.8,2.33
"20969",0.8,1.20
"20970",0.9,1.29
"20971",0.3,0.64
"20972",0.2,0.53
"20973",0.6,0.96
"20974",0.5,0.90
"20975",0.5,0.82
"20976",3.6,4.08
"20977",1.0,1.46
"20978",0.9,1.33
"20979",0.7,1.04
"20980",10.3,10.79
"20981",1.0,1.44
"20982",0.9,1.28
"20983",0.7,1.15
"20984",2.4,2.83
"20985",2.1,2.54
"20986",3.2,3.63
"20987",0.7,1.01
"20988",10.6,11.00
"20989",1.5,1.89
"20990",1.4,1.89
"20991",2.1,2.58
"20992",1.3,1.71
"20993",2.6,3.07
"20994",4.5,5.01
"20996",1.8,2.20
"20997",8.4,8.90
"20998",4.9,5.41
"21000",7.4,7.91
"21001",7.6,8.11
"21002",3.2,3.67
"21003",9.8,10.25
"21004",4.4,4.91
"21007",5.7,6.15
"21009",3.4,3.76
"21010",3.6,3.98
"21011",2.9,3.28
"21012",2.1,2.48
"21014",3.5,3.84
"21015",3.6,3.99
"21016",4.0,4.44
"21017",3.7,4.10
"21018",16.3,16.77
"21025",8.7,9.19
"21026",5.5,5.99
"21027",9.0,9.43
"21028",7.6,8.06
"21030",13.6,14.10
"21031",18.3,18.81
"21032",14.3,14.81
"21033",0.8,1.13
"21034",0.1,0.39
"21035",0.4,0.80
"21038",9.4,9.88
"21039",2.8,3.24
"21040",6.6,6.99
"21041",1.0,1.38
"21042",1.5,1.85
"21043",3.5,3.91
"21051",5.4,5.83
"21054",3.5,3.93
"21055",2.9,3.34
"21056",3.3,3.79
"21058",2.2,2.69
"21059",2.8,3.33
"21060",4.4,4.85
"21061",4.0,4.48
"21062",4.9,5.36
"21063",2.6,3.10
"21064",3.9,4.34
"21065",5.9,6.30
"21066",5.2,5.61
"21067",2.1,2.54
"21068",1.6,1.98
"21069",1.8,2.24
"21070",2.8,3.23
"21071",1.1,1.48
"21076",0.8,1.14
"21077",1.1,1.47
"21078",0.6,0.92
"21080",0.1,0.35
"21081",19.7,20.31
"21082",3.1,3.54
"21084",2.8,3.29
"21085",3.0,3.43
"21086",0.5,0.87
"21087",14.0,14.48
"21088",4.9,5.36
"21089",14.9,15.38
"21090",2.2,2.59
"21091",1.9,2.33
"21092",4.8,5.32
"21094",0.4,0.75
"21095",13.6,14.01
"21096",4.7,5.13
"21097",25.8,26.15
"21098",1.0,1.24
"21099",4.5,4.91
"21100",1.4,1.83
"21102",4.9,5.27
"21106",3.9,4.35
"21107",1.9,2.35
"21108",0.8,1.21
"21109",2.9,3.30
"21110",1.8,2.21
"21111",3.0,3.46
"21112",3.4,3.90
"21114",1.1,1.49
"21115",1.3,1.72
"21116",1.0,1.34
"21117",28.0,28.52
"21118",6.2,6.66
"21119",141.0,141.47
"21121",0.5,0.85
"21122",0.5,0.92
"21123",2.5,2.93
"21124",0.8,1.18
"21125",2.6,3.01
"21126",2.1,2.60
"21127",3.6,4.02
"21128",12.4,12.86
"21129",11.8,12.32
"21130",4.9,5.39
"21131",14.8,15.18
"21132",15.3,15.74
"21133",6.3,6.65
"21134",7.3,7.78
"21135",1.4,1.81
"21136",0.6,1.00
"21137",0.8,1.17
"21143",3.1,3.48
"21144",6.1,6.51
"21145",14.5,14.89
"21146",5.4,5.88
"21147",5.8,6.25
"21153",1.7,2.14
"21154",0.5,0.82
"21155",0.4,0.76
"21156",0.4,0.79
"21157",3.5,3.96
"21158",1.9,2.38
"21159",2.5,2.95
"21160",6.1,6.63
"21161",2.3,2.70
"21162",2.1,2.60
"21163",2.3,2.76
"21164",0.6,1.02
"21165",0.4,0.76
"21166",0.3,0.52
"21167",6.0,6.45
"21169",0.6,0.95
"21171",2.0,2.38
"21172",0.4,0.76
"21173",1.1,1.59
"21174",0.3,0.65
"21175",0.2,0.45
"21179",0.9,1.30
"21181",0.2,0.41
"21185",4.6,5.02
"21186",0.7,1.03
"21187",3.9,4.27
"21188",4.3,4.79
"21189",5.5,6.04
"21190",6.0,6.47
"21191",3.3,3.68
"21192",3.0,3.36
"21193",5.4,6.00
"21194",7.3,7.83
"21195",3.1,3.56
"21196",31.2,31.75
"21197",14.0,14.52
"21198",5.8,6.29
"21199",4.4,4.90
"21200",5.4,5.90
"21201",2.7,3.14
"21202",10.3,10.82
"21203",1.3,1.79
"21204",3.1,3.58
"21205",4.6,5.11
"21206",2.6,3.04
"21207",2.2,2.61
"21208",5.6,6.02
"21209",4.8,5.32
"21210",0.3,0.64
"21211",2.6,3.08
"21212",0.1,0.24
"21213",0.2,0.50
"21214",1.2,1.56
"21215",2.1,2.53
"21216",0.6,0.92
"21217",0.4,0.80
"21218",0.5,0.82
"21219",3.7,4.19
"21220",4.2,4.66
"21221",6.5,6.95
"21222",5.1,5.54
"21223",2.5,3.05
"21224",1.9,2.37
"21225",9.0,10.00
"21226",19.2,19.83
"21228",14.7,15.17
"21231",0.2,0.50
"21232",0.1,0.30
"21238",0.5,0.82
"21239",0.6,0.98
"21240",0.6,0.96
"21241",0.8,1.22
"21242",0.7,1.12
"21243",1.0,1.47
"21244",1.2,1.66
"21245",2.0,2.43
"21246",2.7,3.13
"21247",3.7,4.10
"21248",4.2,4.70
"21249",2.4,2.86
"21250",11.8,12.32
"21251",5.1,5.57
"21252",2.2,2.63
"21253",5.6,6.09
"21255",1.1,1.45
"21256",0.9,1.23
"21257",1.0,1.39
"21258",1.1,1.40
"21259",0.7,1.13
"21260",1.0,1.38
"21261",9.1,9.63
"21262",5.2,5.62
"21263",7.7,8.17
"21264",10.4,10.86
"21265",21.8,22.15
"21266",1.6,1.86
"21267",1.4,1.79
"21268",7.1,7.52
"21269",10.7,11.16
"21270",14.0,14.54
"21272",1.4,1.83
"21274",2.8,3.23
"21275",12.5,13.00
"21276",4.1,4.51
"21277",14.7,15.21
"21278",4.6,4.99
"21279",6.8,7.32
"21280",9.7,10.22
"21281",10.3,10.71
"21282",4.6,5.10
"21283",4.0,4.47
"21284",4.9,5.30
"21285",7.1,7.50
"21286",6.9,7.36
"21287",7.5,7.96
"21288",2.9,3.29
"21289",6.7,7.23
"21291",4.3,4.78
"21292",7.7,8.14
"21293",8.3,8.72
"21294",4.5,4.99
"21298",5.8,6.07
"21299",2.6,3.06
"21300",7.8,8.17
"21303",2.9,3.35
"21304",7.4,7.78
"21306",10.4,10.92
"21307",7.9,8.29
"21308",6.8,7.40
"21309",17.5,17.77
"21310",143.3,143.95
"21311",7.4,7.86
"21312",10.5,10.92
"21313",1.3,1.78
"21314",0.4,0.69
"21316",10.3,10.71
"21317",9.5,9.90
"21318",5.1,5.57
"21319",7.2,7.69
"21320",8.3,8.79
"21321",7.1,7.59
"21322",2.2,2.54
"21323",2.4,2.91
"21324",2.5,3.00
"21326",0.8,1.15
"21327",1.1,1.49
"21328",0.8,1.15
"21329",0.9,1.33
"21330",1.3,1.71
"21331",24.1,24.49
"21332",12.2,12.63
"21333",1.8,2.22
"21335",5.8,6.23
"21336",13.1,13.63
"21337",32.5,33.00
"21338",10.3,10.76
"21339",19.4,19.82
"21340",1.4,1.76
"21341",10.4,10.83
"21343",31.5,32.02
"21344",29.1,29.48
"21347",40.0,40.09
"21348",2.7,3.19
"21349",3.7,4.12
"21350",7.8,8.24
"21351",3.8,4.17
"21352",4.2,4.55
"21353",2.3,2.64
"21354",2.9,3.38
"21355",1.8,2.17
"21356",1.7,2.12
"21357",1.9,2.30
"21358",2.9,3.33
"21359",8.1,8.57
"21360",5.2,5.66
"21361",1.4,1.85
"21363",1.1,1.57
"21364",3.7,4.10
"21365",9.1,9.62
"21366",9.1,9.57
"21367",11.9,12.32
"21368",15.3,15.80
"21369",33.4,33.90
"21370",34.2,34.81
"21371",11.2,11.70
"21372",14.4,14.82
"21373",11.7,12.22
"21374",9.7,10.18
"21375",11.8,12.22
"21376",15.6,16.18
"21377",7.1,7.60
"21378",8.0,8.41
"21379",5.5,5.95
"21380",0.7,1.12
"21381",1.0,1.38
"21382",3.3,3.73
"21383",1.9,2.27
"21384",0.7,1.13
"21385",0.7,1.07
"21386",6.2,6.65
"21387",1.7,2.03
"21388",3.7,4.18
"21389",2.4,2.81
"21390",0.9,1.25
"21391",3.6,4.11
"21392",9.5,9.98
"21393",10.0,10.57
"21394",3.9,4.37
"21395",5.7,6.11
"21396",1.8,2.18
"21397",2.6,3.03
"21398",3.6,4.06
"21399",4.2,4.68
"21400",7.6,8.12
"21401",5.6,6.09
"21402",4.4,4.91
"21403",4.2,4.71
"21407",1.2,1.60
"21408",2.6,3.08
"21410",2.0,2.49
"21411",0.8,1.18
"21412",5.0,5.38
"21413",13.4,13.82
"21414",12.1,12.63
"21415",8.5,9.00
"21416",21.7,22.10
"21417",5.8,6.31
"21418",10.8,11.25
"21419",11.9,12.51
"21420",22.9,23.40
"21421",4.9,5.36
"21422",4.5,4.97
"21424",4.4,4.88
"21425",7.3,7.81
"21426",7.0,7.49
"21427",5.7,6.21
"21428",1.2,1.58
"21429",0.4,0.74
"21430",0.6,0.91
"21431",0.9,1.26
"21432",1.1,1.50
"21437",0.6,1.02
"21438",2.5,3.01
"21439",2.6,3.08
"21440",1.8,2.26
"21441",5.0,5.49
"21442",4.9,5.35
"21443",4.2,4.65
"21444",3.7,4.17
"21445",3.7,4.12
"21446",2.7,3.18
"21447",1.5,1.96
"21448",2.8,3.25
"21450",5.3,5.66
"21452",1.1,1.54
"21454",3.2,3.61
"21455",3.7,4.09
"21456",11.0,11.45
"21457",10.5,11.01
"21458",7.7,8.10
"21459",9.9,10.35
"21460",15.5,16.08
"21461",19.2,19.65
"21462",3.8,4.32
"21463",2.0,2.42
"21464",2.9,3.38
"21465",3.4,3.92
"21466",2.2,2.69
"21467",2.5,2.92
"21468",4.7,5.16
"21469",3.1,3.52
"21470",1.9,2.32
"21471",1.9,2.32
"21472",1.7,2.08
"21473",7.5,7.95
"21474",2.1,2.51
"21476",7.1,7.60
"21477",2.4,2.73
"21478",3.3,3.67
"21479",0.6,0.79
"21480",0.1,0.38
"21481",0.4,0.70
"21482",1.4,1.75
"21484",0.6,0.86
"21485",0.3,0.53
"21486",0.9,1.27
"21488",0.9,1.27
"21489",5.8,6.01
"21490",5.3,5.43
"21491",1.3,1.54
"21493",10.3,10.45
"21494",1.1,1.48
"21495",1.5,1.97
"21497",1.1,1.52
"21498",0.5,0.92
"21499",1.2,1.61
"21500",1.1,1.49
"21503",10.9,11.33
"21504",1.8,2.24
"21506",0.7,1.11
"21507",0.9,1.26
"21508",0.9,1.37
"21509",0.8,1.17
"21511",37.0,37.99
"21518",5.0,5.44
"21519",0.9,1.34
"21520",6.4,6.86
"21523",0.3,0.65
"21524",0.3,0.64
"21525",0.0,0.00
"21527",0.3,0.64
"21528",2.4,2.88
"21529",1.5,1.88
"21530",4.1,4.55
"21531",0.6,0.95
"21532",3.0,3.49
"21533",0.4,0.77
"21534",1.7,2.15
"21535",0.3,0.66
"21536",1.5,1.95
"21537",2.4,2.87
"21538",7.0,7.46
"21539",0.6,0.98
"21540",2.8,3.29
"21541",1.3,1.75
"21542",1.2,1.66
"21543",0.5,0.87
"21544",1.0,1.47
"21545",2.4,2.85
"21547",3.5,4.03
"21548",2.7,3.16
"21549",2.2,2.66
"21550",2.2,2.70
"21551",2.3,2.77
"21552",4.9,5.38
"21553",3.0,3.32
"21554",2.0,2.43
"21555",5.1,5.52
"21556",2.0,2.46
"21557",2.0,2.45
"21558",0.6,0.96
"21559",0.3,0.60
"21560",7.0,7.01
"21561",1.0,1.41
"21562",9.0,9.48
"21563",1.6,2.04
"21564",2.1,2.51
"21576",3.2,3.61
"21577",1.2,1.59
"21578",1.5,1.94
"21579",5.0,5.44
"21580",3.9,4.31
"21581",3.2,3.65
"21582",5.1,5.47
"21584",1.7,2.10
"21586",2.6,2.98
"21587",2.3,2.65
"21588",2.2,2.60
"21589",1.8,2.27
"21590",0.8,1.21
"21591",1.7,2.03
"21592",1.2,1.55
"21593",1.4,1.86
"21594",99.8,100.30
"21595",45.6,46.25
"21596",42.0,42.25
"21609",2.5,2.93
"21610",3.3,3.66
"21611",1.8,2.25
"21612",2.2,2.70
"21613",4.3,4.82
"21614",2.4,2.82
"21615",4.0,4.39
"21616",3.5,3.85
"21617",3.8,4.28
"21618",4.7,5.17
"21619",3.1,3.49
"21620",2.9,3.32
"21621",0.3,0.57
"21622",0.8,1.17
"21623",0.8,1.22
"21624",1.4,1.83
"21625",1.7,2.21
"21626",3.1,3.55
"21627",5.6,6.04
"21628",8.1,8.56
"21629",6.6,7.07
"21630",7.3,7.81
"21631",12.9,13.36
"21632",7.5,7.93
"21633",9.6,10.10
"21634",9.6,10.03
"21635",13.8,14.29
"21636",7.1,7.54
"21637",7.0,7.37
"21638",4.8,5.23
"21639",6.2,6.58
"21640",3.2,3.61
"21641",5.5,5.94
"21642",2.5,2.95
"21643",3.1,3.55
"21644",4.9,5.32
"21645",2.2,2.65
"21647",4.7,5.08
"21648",2.8,3.21
"21649",1.0,1.35
"21650",3.3,3.76
"21651",3.1,3.62
"21652",2.8,3.26
"21653",2.3,2.84
"21654",7.5,8.02
"21655",4.5,4.95
"21656",3.2,3.69
"21657",3.3,3.80
"21658",0.8,1.19
"21659",4.7,5.23
"21661",4.1,4.59
"21662",5.4,5.84
"21663",3.7,4.26
"21664",9.8,10.35
"21665",2.0,2.36
"21666",8.3,8.74
"21667",2.0,2.50
"21668",0.5,0.90
"21669",0.5,0.92
"21670",0.6,0.96
"21671",0.6,1.02
"21672",0.5,0.91
"21673",0.6,0.97
"21674",11.1,11.61
"21675",2.3,2.76
"21676",4.2,4.64
"21677",2.2,2.65
"21678",8.8,9.33
"21679",1.6,1.99
"21680",2.3,2.75
"21681",5.3,5.73
"21682",4.3,4.81
"21683",4.4,4.85
"21684",6.7,7.16
"21685",0.0,0.90
"21686",20.2,20.63
"21687",2.4,2.87
"21688",4.7,5.18
"21689",11.6,12.15
"21690",4.8,5.22
"21691",4.2,4.68
"21692",3.6,4.10
"21693",5.6,6.12
"21694",10.1,10.64
"21695",6.8,7.28
"21696",6.3,6.79
"21697",11.2,11.68
"21698",6.1,6.57
"21699",30.5,31.04
"21700",1.0,1.40
"21702",7.5,8.00
"21703",0.9,1.32
"21704",0.9,1.30
"21705",2.9,3.29
"21706",2.4,2.91
"21707",3.8,4.30
"21708",5.3,5.74
"21709",5.8,6.31
"21710",6.2,6.64
"21711",9.8,10.33
"21713",1.5,1.87
"21714",1.1,1.40
"21715",1.1,1.49
"21716",1.1,1.47
"21717",2.3,2.71
"21718",1.1,1.56
"21719",4.8,5.24
"21720",4.9,5.40
"21721",4.7,5.11
"21722",9.0,9.45
"21723",5.0,5.47
"21724",3.7,4.17
"21725",3.7,4.16
"21726",4.3,4.78
"21728",5.5,5.94
"21729",1.2,1.62
"21730",2.1,2.52
"21731",0.2,0.48
"21732",4.8,5.28
"21733",0.2,0.42
"21734",3.1,3.51
"21735",2.0,2.48
"21736",17.6,18.08
"21737",1.6,1.97
"21738",4.9,5.29
"21739",3.8,4.19
"21740",2.5,2.77
"21741",3.4,3.78
"21742",3.4,3.84
"21743",3.2,3.60
"21744",2.9,3.35
"21745",1.1,1.52
"21746",1.1,1.49
"21747",4.3,4.80
"21749",2.1,2.52
"21750",10.9,11.38
"21752",7.1,7.60
"21754",0.1,0.36
"21755",0.2,0.44
"21756",0.9,1.27
"21757",10.1,10.63
"21758",8.7,9.24
"21759",8.5,8.83
"21760",14.3,14.78
"21761",30.0,30.54
"21763",32.2,32.57
"21764",18.6,18.99
"21765",2.0,2.41
"21768",1.7,2.15
"21769",9.0,9.46
"21770",0.8,1.13
"21773",1.9,2.40
"21774",1.6,2.00
"21775",2.2,2.67
"21777",0.6,1.01
"21779",1.5,2.00
"21780",0.9,1.17
"21781",1.2,1.61
"21784",3.1,3.61
"21785",4.0,4.43
"21786",1.2,1.64
"21787",0.9,1.33
"21788",3.1,3.59
"21789",2.9,3.37
"21790",0.1,0.39
"21791",0.3,0.56
"21792",3.6,4.00
"21793",6.3,6.73
"21794",3.1,3.58
"21795",2.7,3.20
"21796",3.4,3.83
"21801",2.3,2.71
"21802",1.8,2.23
"21803",1.9,2.30
"21804",4.9,5.36
"21805",3.1,3.48
"21806",2.5,2.86
"21807",3.8,4.22
"21808",4.7,5.16
"21809",3.2,3.58
"21810",1.8,2.15
"21811",1.5,1.89
"21812",3.2,3.62
"21813",3.6,4.03
"21814",7.3,7.74
"21815",7.5,7.93
"21816",14.3,14.82
"21817",5.0,5.49
"21818",2.2,2.59
"21819",2.6,2.98
"21820",3.7,4.10
"21821",4.4,4.83
"21822",4.8,5.23
"21823",3.0,3.35
"21824",3.0,3.39
"21825",4.3,4.70
"21826",1.5,1.96
"21827",3.2,3.63
"21828",3.7,4.12
"21829",1.2,1.69
"21830",2.3,2.78
"21832",1.2,1.61
"21833",1.3,1.66
"21836",3.7,4.13
"21837",1.4,1.87
"21839",5.4,5.86
"21841",5.1,5.56
"21842",1.7,2.02
"21843",0.2,0.48
"21844",1.1,1.49
"21845",4.1,4.58
"21846",2.4,2.80
"21847",9.5,10.12
"21849",5.0,5.50
"21850",6.4,6.92
"21851",4.5,4.95
"21852",13.0,13.85
"21853",68.5,68.92
"21857",9.0,9.34
"21858",69.0,69.07
"21864",1.4,1.80
"21865",2.1,2.49
"21866",1.2,1.63
"21867",2.1,2.57
"21868",0.5,0.83
"21869",1.2,1.57
"21870",0.6,1.00
"21871",0.6,0.95
"21872",1.8,2.24
"21873",3.3,3.72
"21874",0.8,1.20
"21875",1.4,1.79
"21876",0.8,1.19
"21877",0.6,0.98
"21878",1.1,1.55
"21879",4.5,4.87
"21880",1.8,2.24
"21881",5.9,6.29
"21882",5.7,6.15
"21883",2.8,3.27
"21884",4.1,4.57
"21888",0.6,0.89
"21889",0.4,0.66
"21890",1.0,1.35
"21891",0.6,0.88
"21892",0.6,0.90
"21893",3.7,4.00
