"customer_id","frequency_completed","cancellation_count"
"12981",2,0
"12982",8,9
"12983",1,0
"12984",1,0
"12985",2,1
"12986",10,2
"12987",5,1
"12988",1,0
"12989",33,6
"12990",7,0
"12991",3,0
"12992",1,0
"12993",8,2
"12994",3,2
"12995",1,1
"12996",1,0
"12997",8,8
"12998",3,1
"12999",3,0
"13000",4,1
"13001",33,4
"13002",3,0
"13003",3,0
"13004",36,10
"13005",4,2
"13006",1,0
"13007",1,0
"13008",3,4
"13009",1,0
"13010",2,0
"13011",1,0
"13012",11,4
"13013",29,2
"13014",11,7
"13015",11,3
"13016",3,0
"13017",1,0
"13018",35,2
"13019",6,2
"13020",2,3
"13021",17,7
"13022",1,0
"13023",3,0
"13024",2,1
"13025",1,0
"13026",9,4
"13027",19,4
"13028",2,1
"13029",5,0
"13030",2,0
"13031",5,0
"13032",9,2
"13033",2,0
"13034",3,0
"13035",3,1
"13036",1,0
"13037",12,4
"13038",3,0
"13039",4,0
"13040",2,0
"13041",4,0
"13042",3,1
"13043",1,1
"13044",11,2
"13045",3,0
"13046",3,0
"13047",24,18
"13048",9,4
"13049",4,1
"13050",35,22
"13051",2,0
"13052",7,0
"13053",1,0
"13055",4,2
"13056",1,0
"13057",3,1
"13058",3,0
"13059",10,2
"13060",1,0
"13061",1,0
"13062",1,0
"13063",1,0
"13064",6,0
"13065",5,1
"13066",2,1
"13067",3,0
"13068",2,0
"13069",38,4
"13070",4,1
"13071",1,0
"13072",1,0
"13073",2,0
"13074",4,1
"13075",1,0
"13076",1,0
"13077",11,3
"13078",57,38
"13079",6,0
"13080",4,1
"13081",28,16
"13082",21,4
"13083",3,0
"13084",1,1
"13085",8,2
"13086",1,0
"13087",1,0
"13088",1,0
"13089",203,44
"13090",24,6
"13091",3,3
"13092",12,3
"13093",55,33
"13094",13,4
"13095",1,0
"13096",1,0
"13097",28,12
"13098",28,13
"13099",1,0
"13101",4,0
"13102",37,5
"13103",3,0
"13104",9,0
"13105",1,0
"13106",2,1
"13107",9,6
"13108",2,0
"13109",3,4
"13110",12,2
"13111",1,0
"13112",1,2
"13113",37,23
"13114",1,0
"13115",10,13
"13116",1,1
"13117",18,1
"13118",9,3
"13119",1,0
"13120",1,0
"13121",1,1
"13122",2,0
"13123",2,0
"13124",4,0
"13125",1,0
"13126",13,6
"13127",1,0
"13128",1,0
"13129",2,0
"13130",1,0
"13131",7,1
"13132",1,0
"13133",3,0
"13134",6,3
"13135",2,0
"13136",13,11
"13137",16,1
"13138",7,1
"13139",8,1
"13140",5,0
"13141",17,4
"13142",1,0
"13143",1,1
"13144",2,0
"13145",7,1
"13146",1,0
"13147",4,0
"13148",26,10
"13149",4,0
"13150",3,1
"13151",3,2
"13152",7,2
"13153",1,0
"13154",3,2
"13155",6,0
"13156",3,0
"13157",9,1
"13158",5,0
"13159",4,1
"13160",1,0
"13161",2,0
"13162",16,3
"13163",1,1
"13164",2,1
"13165",3,0
"13166",2,1
"13167",5,0
"13168",5,1
"13169",3,0
"13170",1,0
"13171",3,2
"13172",1,0
"13173",11,2
"13174",12,0
"13175",2,2
"13176",1,0
"13177",2,0
"13178",21,4
"13179",1,0
"13180",1,0
"13181",1,0
"13182",1,0
"13183",15,3
"13184",10,2
"13185",1,0
"13186",3,2
"13187",4,1
"13188",1,0
"13189",2,0
"13190",3,1
"13191",1,0
"13192",6,2
"13193",1,0
"13194",2,0
"13195",1,0
"13196",7,1
"13197",1,0
"13198",8,4
"13199",67,2
"13200",4,0
"13201",4,0
"13202",7,1
"13203",10,1
"13204",1,0
"13205",1,0
"13206",13,2
"13207",4,0
"13208",9,1
"13209",13,3
"13210",1,0
"13211",10,2
"13212",3,1
"13213",11,3
"13214",7,0
"13215",1,0
"13216",1,0
"13217",4,2
"13218",1,0
"13219",1,0
"13220",5,0
"13221",2,0
"13222",1,0
"13223",6,0
"13224",2,1
"13225",16,1
"13226",2,0
"13227",1,0
"13228",1,0
"13229",1,0
"13230",30,1
"13232",7,0
"13233",4,0
"13234",2,0
"13235",1,1
"13236",2,1
"13237",1,0
"13238",6,1
"13239",5,1
"13240",8,1
"13241",1,0
"13242",7,0
"13243",5,0
"13244",1,0
"13245",2,0
"13246",11,3
"13247",4,0
"13248",2,0
"13249",9,0
"13250",2,1
"13251",1,0
"13252",2,1
"13253",4,0
"13254",1,0
"13255",3,1
"13257",1,2
"13258",5,0
"13259",9,0
"13260",1,0
"13261",2,0
"13262",3,0
"13263",39,0
"13264",1,0
"13265",5,0
"13266",19,11
"13267",36,14
"13268",11,4
"13269",28,2
"13270",1,0
"13271",1,1
"13272",2,0
"13273",1,0
"13274",1,0
"13275",2,0
"13276",5,2
"13277",7,0
"13278",4,1
"13279",1,1
"13280",7,1
"13281",1,2
"13282",4,3
"13283",4,0
"13284",1,1
"13285",6,0
"13286",1,0
"13287",3,4
"13288",5,1
"13289",1,0
"13290",1,2
"13291",11,0
"13292",5,1
"13293",6,1
"13294",3,0
"13295",4,5
"13296",6,0
"13297",7,1
"13298",1,0
"13299",3,2
"13300",3,2
"13301",4,0
"13302",2,0
"13303",1,0
"13304",4,3
"13305",16,0
"13306",1,0
"13307",3,0
"13308",4,1
"13309",6,0
"13310",5,3
"13311",2,0
"13312",1,0
"13313",12,3
"13314",3,1
"13315",1,0
"13316",10,2
"13317",19,12
"13318",3,0
"13319",58,20
"13320",6,3
"13321",2,0
"13322",1,0
"13323",5,0
"13324",18,5
"13325",1,0
"13326",1,0
"13327",20,2
"13328",1,0
"13329",8,6
"13330",6,0
"13331",1,0
"13332",1,0
"13333",3,0
"13334",5,1
"13336",1,0
"13337",1,1
"13338",4,6
"13339",1,0
"13340",12,0
"13341",1,0
"13343",1,1
"13344",3,0
"13345",1,1
"13346",6,0
"13347",1,0
"13348",1,0
"13349",1,0
"13350",2,1
"13351",1,0
"13352",1,1
"13354",1,0
"13355",1,0
"13356",1,0
"13357",5,0
"13358",1,0
"13359",2,2
"13360",4,3
"13361",2,0
"13362",7,3
"13363",3,0
"13364",1,1
"13365",2,2
"13366",1,0
"13367",1,0
"13368",4,1
"13369",1,1
"13370",1,1
"13371",2,2
"13372",1,0
"13373",6,0
"13374",2,0
"13375",2,1
"13376",3,0
"13377",2,2
"13379",3,0
"13380",1,0
"13381",12,3
"13382",5,0
"13383",1,0
"13384",11,4
"13385",1,0
"13386",2,0
"13387",1,0
"13388",3,1
"13389",3,0
"13390",1,0
"13391",1,0
"13392",1,0
"13393",4,2
"13394",19,5
"13395",3,0
"13396",2,2
"13397",10,3
"13398",2,0
"13399",3,0
"13400",1,1
"13402",4,0
"13403",3,0
"13404",2,0
"13405",6,3
"13406",2,1
"13407",3,3
"13408",106,29
"13410",9,3
"13411",1,0
"13412",1,0
"13413",6,2
"13414",6,1
"13415",4,1
"13416",3,0
"13417",6,1
"13418",31,6
"13419",1,0
"13420",2,2
"13421",8,3
"13422",1,1
"13423",1,0
"13424",1,1
"13425",5,3
"13426",22,2
"13427",6,0
"13428",3,0
"13429",4,0
"13430",2,2
"13431",8,1
"13432",2,0
"13433",4,1
"13434",5,0
"13435",9,2
"13436",1,0
"13437",7,0
"13438",1,0
"13439",3,0
"13440",7,3
"13441",2,0
"13442",3,0
"13443",6,1
"13444",2,0
"13445",1,0
"13446",11,7
"13447",3,1
"13448",13,6
"13449",1,0
"13450",13,1
"13451",11,2
"13452",3,0
"13453",3,2
"13454",1,0
"13455",6,5
"13456",6,1
"13457",2,2
"13458",16,8
"13459",2,0
"13460",2,0
"13461",6,2
"13462",5,1
"13464",6,1
"13465",2,0
"13466",5,2
"13467",2,0
"13468",72,15
"13469",1,0
"13470",2,0
"13471",4,0
"13472",2,0
"13473",8,2
"13474",3,0
"13475",4,0
"13476",5,2
"13477",11,2
"13478",5,2
"13479",4,3
"13480",2,0
"13481",11,3
"13482",2,0
"13483",1,0
"13484",3,1
"13485",11,4
"13486",3,0
"13487",5,0
"13488",23,6
"13489",4,0
"13490",1,0
"13491",27,0
"13492",3,0
"13493",2,0
"13494",1,0
"13495",10,3
"13496",2,1
"13497",6,1
"13498",1,0
"13499",5,2
"13500",4,1
"13501",3,2
"13502",5,1
"13503",6,6
"13504",1,0
"13505",4,4
"13506",5,3
"13507",4,0
"13508",2,0
"13509",8,0
"13510",11,6
"13511",1,1
"13512",4,0
"13513",3,1
"13514",4,0
"13515",6,0
"13516",4,0
"13517",3,2
"13518",1,0
"13519",2,1
"13520",11,4
"13521",3,0
"13522",1,0
"13523",6,1
"13524",5,0
"13525",2,0
"13526",2,2
"13527",12,2
"13529",2,0
"13530",1,0
"13531",6,0
"13532",1,0
"13533",3,0
"13534",35,25
"13535",1,0
"13536",7,0
"13537",2,0
"13538",12,0
"13539",7,2
"13540",3,0
"13541",2,1
"13542",17,1
"13543",2,0
"13544",6,1
"13545",2,1
"13546",5,0
"13547",1,0
"13548",3,0
"13549",8,1
"13550",1,0
"13551",2,0
"13552",22,10
"13553",1,0
"13554",7,3
"13555",13,3
"13556",2,0
"13557",13,3
"13558",4,0
"13559",2,0
"13560",1,0
"13561",11,0
"13562",8,0
"13563",2,0
"13564",37,17
"13565",3,0
"13566",5,0
"13567",4,1
"13568",1,0
"13569",4,0
"13570",1,0
"13571",26,0
"13572",1,0
"13573",6,0
"13574",1,0
"13575",5,0
"13576",28,4
"13577",11,3
"13578",1,0
"13579",5,1
"13580",1,0
"13581",2,0
"13582",2,0
"13583",2,0
"13584",3,2
"13585",3,1
"13586",1,0
"13587",4,2
"13588",9,4
"13589",6,0
"13590",18,3
"13591",7,1
"13592",4,0
"13593",14,2
"13594",2,1
"13595",3,0
"13596",2,0
"13597",2,1
"13598",5,1
"13599",33,19
"13600",2,0
"13601",4,0
"13602",4,0
"13603",1,0
"13604",1,1
"13605",2,0
"13606",3,0
"13607",2,1
"13608",1,0
"13609",1,0
"13610",14,3
"13611",10,4
"13612",1,1
"13613",5,0
"13614",6,0
"13615",8,4
"13616",2,0
"13617",8,1
"13618",1,0
"13619",2,0
"13620",1,0
"13621",1,0
"13622",1,1
"13623",10,5
"13624",1,1
"13625",1,0
"13626",2,1
"13627",7,3
"13628",1,0
"13629",19,0
"13630",7,4
"13631",11,1
"13632",8,2
"13634",16,1
"13635",4,2
"13636",5,1
"13637",3,0
"13638",1,0
"13639",2,0
"13640",1,0
"13641",5,2
"13642",4,1
"13643",10,5
"13644",4,1
"13645",1,0
"13646",2,1
"13647",8,1
"13648",8,3
"13649",6,0
"13650",10,6
"13651",3,1
"13652",5,0
"13653",1,0
"13654",11,0
"13655",6,2
"13656",4,3
"13657",2,0
"13658",9,4
"13659",12,5
"13660",1,1
"13661",1,0
"13662",11,6
"13663",5,1
"13665",3,0
"13666",5,0
"13667",1,0
"13668",35,12
"13669",3,0
"13670",1,0
"13671",1,0
"13672",3,4
"13673",2,0
"13674",1,1
"13675",2,0
"13676",2,1
"13677",2,0
"13678",1,0
"13679",3,0
"13680",12,1
"13681",4,0
"13682",1,0
"13683",1,0
"13684",4,2
"13685",7,0
"13686",3,0
"13687",1,0
"13688",1,0
"13689",2,0
"13690",1,0
"13691",1,0
"13692",5,3
"13693",9,4
"13694",143,21
"13695",16,0
"13696",3,1
"13697",1,0
"13698",2,0
"13699",2,1
"13700",13,1
"13701",1,1
"13702",1,0
"13703",2,1
"13704",9,1
"13705",7,0
"13706",2,0
"13707",5,0
"13708",1,0
"13709",18,4
"13710",3,0
"13711",9,6
"13712",2,0
"13713",3,0
"13714",1,0
"13715",17,4
"13716",1,0
"13717",8,3
"13718",2,0
"13719",11,0
"13720",4,0
"13721",2,0
"13722",10,1
"13723",6,0
"13724",1,0
"13725",8,3
"13726",2,0
"13727",8,1
"13728",16,0
"13729",3,2
"13730",2,0
"13731",2,0
"13732",1,0
"13733",2,1
"13734",4,2
"13735",13,9
"13736",7,5
"13737",1,0
"13738",1,0
"13739",2,0
"13740",5,0
"13741",3,1
"13742",12,2
"13743",7,1
"13744",2,0
"13745",2,2
"13746",1,0
"13747",2,0
"13748",9,0
"13750",11,2
"13751",1,0
"13752",7,0
"13753",4,0
"13754",3,0
"13755",9,1
"13756",23,2
"13757",1,0
"13758",15,4
"13759",2,0
"13760",5,1
"13761",6,0
"13762",5,1
"13763",3,3
"13764",6,0
"13765",1,0
"13766",1,0
"13767",73,23
"13768",2,6
"13769",20,9
"13770",4,0
"13771",9,1
"13772",8,1
"13773",2,0
"13774",1,0
"13775",1,0
"13776",2,6
"13777",61,12
"13778",4,1
"13779",1,0
"13780",3,0
"13781",3,1
"13782",13,1
"13783",4,0
"13784",14,1
"13785",4,0
"13786",6,2
"13787",6,3
"13788",1,0
"13789",1,0
"13790",1,0
"13791",2,1
"13792",3,0
"13793",1,0
"13794",1,0
"13795",4,0
"13796",1,0
"13797",3,1
"13798",110,15
"13799",9,4
"13800",3,0
"13801",1,0
"13802",19,5
"13803",3,1
"13804",9,0
"13805",2,0
"13806",1,0
"13807",3,1
"13808",5,0
"13809",3,0
"13810",3,1
"13811",3,1
"13812",3,0
"13813",8,4
"13814",3,2
"13815",8,2
"13816",2,2
"13817",2,0
"13818",1,0
"13819",6,1
"13820",3,2
"13821",6,1
"13822",2,0
"13823",7,1
"13824",12,2
"13825",2,0
"13826",1,1
"13827",3,0
"13828",1,0
"13829",1,1
"13830",1,1
"13831",18,2
"13832",2,1
"13833",2,0
"13834",2,1
"13835",7,1
"13836",2,1
"13837",2,0
"13838",10,0
"13839",1,0
"13840",1,0
"13841",1,0
"13842",18,1
"13843",1,0
"13844",1,0
"13845",1,0
"13846",4,1
"13847",1,0
"13848",8,0
"13849",5,1
"13850",1,1
"13851",8,1
"13852",1,1
"13853",1,1
"13854",39,6
"13855",4,1
"13856",11,4
"13857",6,1
"13858",1,0
"13859",2,0
"13860",5,1
"13861",2,1
"13862",9,2
"13863",4,2
"13864",1,0
"13865",4,0
"13866",1,0
"13867",3,0
"13868",2,0
"13869",10,0
"13870",15,3
"13871",17,4
"13872",3,3
"13873",8,1
"13874",7,3
"13875",14,0
"13876",1,0
"13877",3,2
"13878",4,0
"13879",1,0
"13880",17,0
"13881",43,8
"13882",5,1
"13883",15,11
"13884",10,4
"13885",2,0
"13886",1,0
"13887",1,0
"13888",7,0
"13889",6,2
"13890",14,8
"13891",3,0
"13892",6,0
"13893",1,0
"13894",3,2
"13895",6,2
"13896",1,0
"13897",3,0
"13898",2,0
"13899",2,0
"13900",6,1
"13901",15,5
"13902",5,3
"13903",1,0
"13904",2,0
"13905",1,2
"13906",1,0
"13907",1,0
"13908",4,1
"13909",2,0
"13911",20,2
"13912",1,0
"13913",1,0
"13914",2,1
"13915",1,1
"13916",4,1
"13917",2,0
"13918",2,0
"13919",4,1
"13920",4,1
"13921",4,1
"13922",3,2
"13923",1,0
"13924",6,5
"13925",4,2
"13926",1,0
"13927",2,1
"13928",4,0
"13929",11,3
"13930",2,0
"13931",11,1
"13932",1,0
"13933",2,0
"13934",1,0
"13935",3,0
"13936",3,1
"13937",2,1
"13938",1,0
"13939",7,3
"13940",4,0
"13941",15,2
"13942",1,0
"13943",1,0
"13944",1,0
"13945",2,0
"13946",6,1
"13947",1,0
"13948",4,1
"13949",6,0
"13950",4,1
"13951",3,0
"13952",14,3
"13953",12,0
"13954",2,1
"13955",3,0
"13956",5,0
"13957",3,0
"13958",8,4
"13959",6,0
"13960",2,0
"13961",1,1
"13962",3,0
"13963",17,1
"13964",2,1
"13965",3,2
"13966",1,0
"13967",2,0
"13968",1,0
"13969",35,4
"13970",2,0
"13971",14,4
"13972",2,0
"13973",1,0
"13974",2,2
"13975",12,2
"13976",4,0
"13977",1,0
"13978",2,0
"13979",7,4
"13980",5,4
"13981",1,1
"13982",9,4
"13983",21,9
"13984",12,1
"13985",22,2
"13986",1,0
"13987",2,0
"13988",8,3
"13989",5,0
"13990",1,0
"13991",6,1
"13992",3,0
"13993",19,5
"13994",6,0
"13995",14,4
"13996",2,0
"13997",3,0
"13998",3,0
"13999",29,7
"14000",5,3
"14001",9,1
"14002",2,0
"14003",1,0
"14004",11,0
"14005",5,0
"14006",7,0
"14007",1,0
"14008",1,1
"14009",3,1
"14010",2,1
"14011",2,1
"14012",1,0
"14013",5,1
"14014",3,0
"14015",1,0
"14016",11,2
"14017",1,0
"14018",1,0
"14019",3,1
"14020",4,1
"14021",7,0
"14022",2,0
"14023",2,0
"14024",3,0
"14025",8,2
"14026",2,0
"14027",1,0
"14028",3,2
"14029",2,0
"14030",20,2
"14031",44,11
"14032",16,9
"14033",1,0
"14034",3,1
"14035",9,2
"14036",1,0
"14037",6,1
"14038",5,3
"14039",2,0
"14040",35,7
"14041",1,0
"14042",1,0
"14043",2,1
"14044",10,1
"14045",16,3
"14046",1,0
"14047",14,5
"14048",3,1
"14049",13,5
"14050",2,0
"14051",37,5
"14052",2,0
"14053",4,0
"14054",1,0
"14055",3,0
"14056",23,6
"14057",22,1
"14058",2,0
"14059",1,0
"14060",30,2
"14061",3,0
"14062",24,3
"14063",9,4
"14064",15,6
"14065",3,1
"14066",1,0
"14067",2,0
"14068",4,1
"14069",2,0
"14070",1,0
"14071",8,1
"14072",1,0
"14073",1,1
"14074",1,0
"14075",6,0
"14076",1,0
"14077",6,0
"14078",9,0
"14079",2,0
"14080",5,1
"14081",10,6
"14082",2,0
"14083",11,0
"14084",1,0
"14085",33,1
"14086",1,0
"14087",3,2
"14088",16,4
"14089",1,0
"14090",1,0
"14091",2,0
"14092",24,3
"14093",1,0
"14094",1,1
"14095",1,0
"14096",17,17
"14097",2,0
"14098",1,0
"14099",20,2
"14100",1,0
"14101",13,1
"14102",5,3
"14103",1,0
"14104",5,0
"14105",5,4
"14106",1,0
"14107",11,2
"14108",4,1
