"customer_id","recency_days","frequency_completed","monetary_net"
"17739",11,18,7718.14
"17085",122,28,7705.27
"16592",3,28,7624.46
"16556",66,17,7610.23
"17426",3,13,7606.37
"13373",60,6,7587.19
"13137",10,16,7586.94
"14159",19,20,7526.62
"13141",84,17,7524.13
"13709",3,18,7492.41
"17091",2,19,7462.15
"15179",17,13,7426.82
"14030",17,20,7405.10
"17696",37,27,7380.89
"15046",8,25,7375.83
"16242",7,14,7370.50
"14175",50,8,7350.44
"12643",127,11,7334.30
"17238",2,32,7331.17
"13534",1,35,7324.50
"15622",2,17,7318.08
"13082",125,21,7268.92
"14282",2,25,7245.76
"15270",15,21,7241.19
"17602",1,14,7240.73
"16253",66,7,7222.20
"14092",7,24,7215.64
"12380",21,8,7171.00
"14841",52,14,7163.00
"16745",86,17,7157.10
"14243",8,17,7152.06
"16729",35,21,7045.41
"13451",25,11,7017.97
"13183",7,15,7010.88
"14145",46,7,7006.05
"17231",11,25,6958.83
"17690",29,20,6954.30
"17769",12,17,6944.96
"14800",47,17,6890.73
"17965",37,29,6879.70
"15950",1,10,6878.71
"15301",50,17,6867.44
"15129",49,23,6860.18
"16570",8,20,6844.81
"16187",31,15,6841.24
"18231",191,28,6815.47
"12830",37,6,6814.64
"16170",50,20,6813.67
"12841",4,40,6808.00
"15413",691,5,6798.72
"14028",549,3,6786.00
"15521",35,16,6780.39
"12720",2,29,6710.49
"14401",3,22,6703.40
"16497",49,23,6695.28
"16145",8,19,6693.60
"13993",31,19,6690.36
"14844",63,10,6688.43
"14688",7,28,6666.93
"14461",147,13,6660.62
"16265",8,12,6643.62
"17001",0,19,6640.80
"17700",16,14,6640.72
"13953",6,12,6640.68
"13983",29,21,6638.85
"13384",30,11,6635.09
"16401",0,23,6629.24
"17975",14,24,6591.88
"13552",65,22,6588.63
"15321",48,12,6573.40
"13831",15,18,6571.14
"13815",21,8,6547.79
"12836",58,15,6520.58
"14855",118,7,6520.30
"14221",41,17,6506.59
"12823",74,18,6501.50
"15980",88,7,6496.28
"13015",52,11,6459.08
"16655",17,13,6423.26
"12428",25,8,6366.00
"15750",2,18,6362.60
"13394",1,19,6329.38
"14227",25,15,6324.76
"18094",81,13,6322.62
"13883",0,14,6321.59
"14562",3,26,6314.30
"13654",42,11,6308.00
"14766",7,11,6301.88
"14702",0,29,6298.48
"14388",8,16,6289.95
"13590",10,18,6284.74
"12913",4,13,6283.24
"12749",3,9,6278.49
"14154",238,8,6263.60
"14004",42,11,6258.45
"16940",51,8,6245.41
"18245",6,20,6236.23
"12843",65,28,6219.07
"15674",72,12,6217.85
"13615",312,8,6212.23
"15673",87,9,6199.37
"13334",81,5,6195.05
"16938",8,9,6162.11
"12779",20,14,6158.60
"14113",3,16,6156.75
"18118",10,29,6155.47
"17669",42,10,6142.35
"17799",21,20,6121.78
"13136",49,13,6119.75
"13935",596,3,6116.92
"14852",57,18,6108.88
"17419",10,18,6100.65
"12662",0,20,6091.69
"14390",9,13,6079.48
"18061",21,28,6075.31
"12406",21,5,6072.21
"17509",57,8,6069.24
"13317",63,19,6068.53
"13230",3,30,6065.95
"18178",113,11,6054.49
"14560",6,44,6050.44
"16954",0,20,6037.33
"12613",30,9,6033.82
"16103",6,22,6002.76
"16456",98,13,6000.94
"12497",81,3,5996.50
"16717",8,14,5987.41
"17625",17,8,5978.90
"17819",71,12,5977.25
"12835",417,41,5972.19
"14530",25,16,5968.62
"13266",10,19,5965.30
"14918",115,9,5955.81
"15372",136,8,5954.42
"14257",50,9,5942.00
"15755",0,17,5936.95
"16156",8,20,5931.01
"14180",10,33,5909.00
"16710",18,22,5908.60
"12417",2,20,5889.71
"14440",7,13,5870.13
"17644",0,20,5864.54
"17873",79,18,5849.63
"15785",29,16,5825.33
"18065",5,28,5816.88
"14535",58,9,5803.79
"12712",22,21,5801.78
"17457",126,14,5799.01
"12429",8,8,5792.01
"17146",105,13,5788.39
"13658",9,9,5772.07
"12910",22,13,5747.02
"13771",63,9,5726.07
"12455",72,9,5722.95
"12626",22,9,5722.35
"14105",84,5,5703.98
"14534",2,26,5698.37
"16458",2,30,5690.89
"13870",1,15,5689.84
"14099",15,20,5685.71
"16279",20,9,5685.38
"13157",48,9,5667.71
"16409",35,12,5652.74
"12656",16,8,5636.78
"17491",0,17,5636.72
"17651",11,16,5635.05
"13722",119,10,5629.16
"16320",171,6,5618.79
"16003",29,10,5613.83
"12356",22,6,5611.73
"13901",71,15,5599.34
"16200",3,12,5594.60
"17672",43,6,5592.19
"18145",12,11,5592.04
"16011",7,29,5585.86
"18075",22,20,5579.91
"16735",78,14,5578.86
"15854",3,21,5578.28
"15228",65,6,5570.52
"17203",35,10,5564.09
"15299",66,9,5550.52
"16316",63,13,5533.31
"14112",22,13,5524.51
"14210",90,16,5509.37
"12500",22,18,5494.31
"12484",34,9,5490.80
"17092",49,11,5479.76
"14572",2,11,5479.08
"14907",2,16,5476.62
"16992",10,13,5460.10
"14189",1,16,5453.38
"16609",14,7,5450.96
"14732",7,19,5447.52
"13593",107,14,5444.81
"13769",1,20,5444.33
"17069",27,14,5441.35
"17685",16,12,5439.95
"17512",28,18,5432.27
"12664",7,11,5420.04
"12378",129,2,5416.32
"14249",410,12,5400.46
"13115",8,10,5379.45
"14459",154,2,5375.74
"16607",17,25,5375.18
"14626",8,11,5374.77
"17719",37,15,5367.80
"17863",58,12,5360.48
"13362",2,7,5357.57
"15641",104,12,5345.55
"16008",23,15,5339.13
"13520",58,11,5337.25
"17584",6,6,5294.42
"13842",58,18,5294.39
"15628",4,17,5284.18
"14442",1,7,5272.02
"15514",11,18,5272.01
"17204",168,9,5263.69
"15394",9,11,5251.40
"13931",85,11,5250.78
"13975",30,12,5224.85
