"stock_code","recency_days","monetary_net","frequency_completed","category"
"21582",656,193.05,16,"Overdue Restock"
"16161E",654,75.00,9,"Overdue Restock"
"37485",654,207.69,15,"Overdue Restock"
"72754A",653,201.24,6,"Overdue Restock"
"84396",653,1689.44,49,"Overdue Restock"
"18096C",653,407.58,26,"Overdue Restock"
"82081",653,566.45,23,"Overdue Restock"
"46775A",652,1986.76,32,"Overdue Restock"
"20814",652,195.14,13,"Overdue Restock"
"84520D",651,762.75,94,"Overdue Restock"
"84706A",649,344.56,7,"Overdue Restock"
"20988",648,46.80,9,"Overdue Restock"
"85007",647,408.94,21,"Overdue Restock"
"79338",647,272.59,13,"Overdue Restock"
"16239",647,515.94,21,"Overdue Restock"
"84893",647,186.35,15,"Overdue Restock"
"84619",646,1801.77,29,"Overdue Restock"
"17109C",646,659.54,15,"Overdue Restock"
"84623",646,359.53,14,"Overdue Restock"
"21842",645,1360.33,47,"Overdue Restock"
"72045D",645,79.70,6,"Overdue Restock"
"72484",645,1024.55,64,"Overdue Restock"
"17129D",644,2357.82,40,"Overdue Restock"
"17109B",644,899.77,17,"Overdue Restock"
"35096B",643,110.35,25,"Overdue Restock"
"35096A",643,316.51,50,"Overdue Restock"
"84030C",643,556.56,19,"Overdue Restock"
"20672",643,257.00,36,"Overdue Restock"
"90111",641,7.35,6,"Overdue Restock"
"84830",641,1144.30,7,"Overdue Restock"
"85185F",641,115.05,19,"Overdue Restock"
"84427B",641,72.25,5,"Overdue Restock"
"20993",640,1362.73,32,"Overdue Restock"
"47347B",640,190.04,11,"Overdue Restock"
"84255B",640,254.32,18,"Overdue Restock"
"47503F",639,728.30,11,"Overdue Restock"
"21674",639,680.85,9,"Overdue Restock"
"21639",639,238.85,15,"Overdue Restock"
"16243B",638,483.79,8,"Overdue Restock"
"84533B",637,462.06,24,"Overdue Restock"
"47503G",637,445.53,35,"Overdue Restock"
"90171",637,105.55,27,"Overdue Restock"
"84706B",636,189.51,9,"Overdue Restock"
"21102",636,118.31,20,"Overdue Restock"
"84767",635,828.74,6,"Overdue Restock"
"20693",635,209.03,18,"Overdue Restock"
"82607C",634,238.72,44,"Overdue Restock"
"20736",634,236.90,19,"Overdue Restock"
"35001B",633,56.92,6,"Overdue Restock"
"21298",633,656.10,14,"Overdue Restock"
"84537B",633,49.14,11,"Overdue Restock"
"16244A",633,665.82,28,"Overdue Restock"
"21076",632,843.58,92,"Overdue Restock"
"84765",632,165.71,6,"Overdue Restock"
"20989",631,812.41,57,"Overdue Restock"
"21091",631,1920.24,47,"Overdue Restock"
"85190",631,126.77,17,"Overdue Restock"
"20688",631,358.90,11,"Overdue Restock"
"21303",631,1045.83,30,"Overdue Restock"
"20833",630,761.85,5,"Overdue Restock"
"21438",630,1267.44,36,"Overdue Restock"
"17164D",630,449.52,28,"Overdue Restock"
"84402D",629,371.01,13,"Overdue Restock"
"22657",628,50.15,7,"Overdue Restock"
"21309",627,315.65,5,"Overdue Restock"
"84458",627,106.25,20,"Overdue Restock"
"90139",627,211.73,18,"Overdue Restock"
"35973",627,63.75,13,"Overdue Restock"
"85205A",626,168.30,21,"Overdue Restock"
"51012L",626,11.25,6,"Overdue Restock"
"84447",626,100.64,19,"Overdue Restock"
"84653",625,1047.46,12,"Overdue Restock"
"84909A",625,2810.30,30,"Overdue Restock"
"84469",625,2408.14,44,"Overdue Restock"
"21299",625,1060.95,34,"Overdue Restock"
"21300",625,818.50,12,"Overdue Restock"
"84414B",624,575.33,10,"Overdue Restock"
"20889",622,404.08,13,"Overdue Restock"
"20888",622,595.67,19,"Overdue Restock"
"17109A",622,333.61,13,"Overdue Restock"
"84582",622,72.25,11,"Overdue Restock"
"72755C",622,770.25,14,"Overdue Restock"
"72753B",622,965.51,14,"Overdue Restock"
"72755D",622,693.25,13,"Overdue Restock"
"84219",621,386.92,28,"Overdue Restock"
"72267",621,580.98,45,"Overdue Restock"
"84925A",620,349.63,17,"Overdue Restock"
"21437",620,2460.99,109,"Overdue Restock"
"47562",620,375.80,41,"Overdue Restock"
"85014D",619,6721.30,90,"Overdue Restock"
"85196",619,864.92,71,"Overdue Restock"
"21388",619,336.39,29,"Overdue Restock"
"72750C",618,476.40,15,"Overdue Restock"
"20800",618,349.72,5,"Overdue Restock"
"21443",618,752.11,26,"Overdue Restock"
"21173",617,668.87,77,"Overdue Restock"
"72083A",617,50.40,7,"Overdue Restock"
"22290",617,1275.74,78,"Overdue Restock"
"84532B",617,609.06,31,"Overdue Restock"
"37348",617,30.60,7,"Overdue Restock"
"21477",617,3278.13,45,"Overdue Restock"
"85167A",617,333.10,14,"Overdue Restock"
"84450B",616,139.70,35,"Overdue Restock"
"37494A",616,1097.25,54,"Overdue Restock"
"17108D",612,149.10,24,"Overdue Restock"
"21553",611,762.99,39,"Overdue Restock"
"21223",610,609.66,43,"Overdue Restock"
"21193",610,390.38,22,"Overdue Restock"
"84705A",610,65.10,7,"Overdue Restock"
"37410",610,3550.23,34,"Overdue Restock"
"35824C",609,117.05,9,"Overdue Restock"
"21276",609,1497.48,29,"Overdue Restock"
"22253",609,1220.17,86,"Overdue Restock"
"84934",609,590.75,13,"Overdue Restock"
"35918B",609,11.25,5,"Overdue Restock"
"21321",609,324.15,18,"Overdue Restock"
"84437A",608,92.65,18,"Overdue Restock"
"84454",608,98.81,18,"Overdue Restock"
"35979",608,341.81,27,"Overdue Restock"
"84455",608,89.62,20,"Overdue Restock"
"84596I",606,83.13,10,"Overdue Restock"
"84615",605,587.45,21,"Overdue Restock"
"51012C",605,211.25,27,"Overdue Restock"
"21549",604,1297.28,51,"Overdue Restock"
"21338",604,898.15,13,"Overdue Restock"
"21304",604,642.56,18,"Overdue Restock"
"21663",604,530.12,32,"Overdue Restock"
"84578",603,1114.14,113,"Overdue Restock"
"21255",600,1021.61,96,"Overdue Restock"
"16050",599,62.40,8,"Overdue Restock"
"84926B",599,67.50,10,"Overdue Restock"
"84705F",599,37.20,5,"Overdue Restock"
"85023A",598,53.55,10,"Overdue Restock"
"84657",598,538.71,20,"Overdue Restock"
"84932D",598,608.67,22,"Overdue Restock"
"10138",598,36.80,21,"Overdue Restock"
"84529A",597,419.56,19,"Overdue Restock"
"22054",596,766.87,74,"Overdue Restock"
"21734",596,830.23,29,"Overdue Restock"
"84621",595,279.87,15,"Overdue Restock"
"84529B",594,104.45,5,"Overdue Restock"
"84599",594,272.60,6,"Overdue Restock"
"84932B",592,401.30,17,"Overdue Restock"
"84869",592,775.83,27,"Overdue Restock"
"47570",591,2649.47,78,"Overdue Restock"
"84292B",588,59.75,5,"Overdue Restock"
"72796A",588,18.15,5,"Overdue Restock"
"21759",588,1580.86,13,"Overdue Restock"
"72750A",588,762.95,17,"Overdue Restock"
"85147",586,292.05,16,"Overdue Restock"
"85231L",585,866.00,116,"Overdue Restock"
"85117",584,695.19,61,"Overdue Restock"
"17129C",584,59.68,12,"Overdue Restock"
"75149N",583,340.00,25,"Overdue Restock"
"79413",583,37.50,9,"Overdue Restock"
"72779",583,81.12,15,"Overdue Restock"
"82585",582,302.17,47,"Overdue Restock"
"21092",582,1617.66,29,"Overdue Restock"
"16202C",582,259.88,12,"Overdue Restock"
"84867A",582,146.53,5,"Overdue Restock"
"84770",581,283.55,16,"Overdue Restock"
"21099",581,1448.68,33,"Overdue Restock"
"84937",580,5923.46,126,"Overdue Restock"
"85221",577,1547.41,47,"Overdue Restock"
"85184B",577,38.35,7,"Overdue Restock"
"47504G",577,416.93,57,"Overdue Restock"
"84925C",577,71.40,10,"Overdue Restock"
"35004S",577,591.88,25,"Overdue Restock"
"84948",577,469.62,36,"Overdue Restock"
"84472",576,5194.34,30,"Overdue Restock"
"72225D",575,220.04,11,"Overdue Restock"
"84899E",574,89.11,21,"Overdue Restock"
"82587",574,175.62,40,"Overdue Restock"
"47587A",574,286.12,27,"Overdue Restock"
"35824B",574,206.22,6,"Overdue Restock"
"84425A",574,85.20,9,"Overdue Restock"
"21396",572,1322.72,77,"Overdue Restock"
"20899",572,129.80,12,"Overdue Restock"
"72800A",571,809.81,46,"Overdue Restock"
"84807",569,215.93,9,"Overdue Restock"
"37492C",569,477.30,24,"Overdue Restock"
"21837",569,1948.18,91,"Overdue Restock"
"35233",569,37.50,8,"Overdue Restock"
"21384",568,2153.57,150,"Overdue Restock"
"84625B",568,268.80,18,"Overdue Restock"
"37492D",567,688.43,26,"Overdue Restock"
"84656",567,142.80,13,"Overdue Restock"
"84762C",566,991.20,43,"Overdue Restock"
"20747",566,14181.89,108,"Overdue Restock"
"21550",566,1687.32,64,"Overdue Restock"
"21593",564,1600.56,94,"Overdue Restock"
"21869",564,1487.06,111,"Overdue Restock"
"16256C",564,65.10,10,"Overdue Restock"
"37422",562,442.48,73,"Overdue Restock"
"21665",561,802.50,75,"Overdue Restock"
"84985B",561,218.98,25,"Overdue Restock"
"21740",557,912.22,66,"Overdue Restock"
"84858B",554,431.00,10,"Overdue Restock"
"21552",554,851.70,35,"Overdue Restock"
"79072",553,3848.65,107,"Overdue Restock"
"47581B",553,1074.04,36,"Overdue Restock"
"84529C",552,606.73,37,"Overdue Restock"
"84684",552,807.30,40,"Overdue Restock"
"84797A",552,5236.63,61,"Overdue Restock"
"84782B",551,127.50,7,"Overdue Restock"
"84251J",550,48.88,17,"Overdue Restock"
"47505",550,3631.14,179,"Overdue Restock"
"37483",549,230.34,10,"Overdue Restock"
"85162B",548,1905.15,13,"Overdue Restock"
"85162A",548,1226.48,20,"Overdue Restock"
"85162C",548,1908.30,46,"Overdue Restock"
"84564",547,207.86,11,"Overdue Restock"
"84914A",547,233.55,5,"Overdue Restock"
"21127",546,1151.51,48,"Overdue Restock"
"16256B",546,257.64,35,"Overdue Restock"
"85014C",545,1797.61,72,"Overdue Restock"
"84555A",544,136.80,16,"Overdue Restock"
"85231E",543,722.03,107,"Overdue Restock"
"84932A",542,602.60,24,"Overdue Restock"
"84797B",542,2467.24,53,"Overdue Restock"
"85168A",542,218.90,15,"Overdue Restock"
"72756",542,5449.05,129,"Overdue Restock"
"84815",541,1345.14,53,"Overdue Restock"
"20729",541,2373.84,121,"Overdue Restock"
"84292",540,430.11,14,"Overdue Restock"
"84247H",540,82.56,20,"Overdue Restock"
"47552A",539,20.10,11,"Overdue Restock"
"21097",535,27.20,7,"Overdue Restock"
"85222",535,1621.21,50,"Overdue Restock"
"47503K",535,1480.38,42,"Overdue Restock"
"16156N",535,630.00,56,"Overdue Restock"
"84288B",533,122.85,24,"Overdue Restock"
"90037D",533,56.44,8,"Overdue Restock"
"47598",531,112.24,32,"Overdue Restock"
"84456",531,28.05,16,"Overdue Restock"
"85121B",529,1269.98,48,"Overdue Restock"
"84595B",529,412.65,16,"Overdue Restock"
"20862",527,727.65,37,"Overdue Restock"
"21589",526,2563.05,88,"Overdue Restock"
"84932C",526,606.90,34,"Overdue Restock"
"21536",525,483.28,61,"Overdue Restock"
"84886",525,129.35,9,"Overdue Restock"
"21440",525,611.37,95,"Overdue Restock"
"72796B",523,46.20,12,"Overdue Restock"
"21764",522,619.20,12,"Overdue Restock"
"21185",522,966.77,44,"Overdue Restock"
"84902",522,437.32,53,"Overdue Restock"
"84762A",519,465.51,29,"Overdue Restock"
"35955",518,34.62,5,"Overdue Restock"
"85142",518,599.71,35,"Overdue Restock"
"84855",516,239.95,16,"Overdue Restock"
"84705D",515,149.30,14,"Overdue Restock"
"21085",515,1902.24,66,"Overdue Restock"
"35085E",513,44.25,9,"Overdue Restock"
"21339",513,544.50,12,"Overdue Restock"
"84972L",513,481.90,46,"Overdue Restock"
"21419",512,619.58,19,"Overdue Restock"
"84081",512,436.77,20,"Overdue Restock"
"20689",512,768.80,41,"Overdue Restock"
"85041",511,2558.86,92,"Overdue Restock"
"48103",511,201.73,10,"Overdue Restock"
"84250M",511,29.52,13,"Overdue Restock"
"84601A",511,481.48,15,"Overdue Restock"
"84791",507,1290.96,106,"Overdue Restock"
"47592B",506,165.10,29,"Overdue Restock"
"48195",505,1819.87,87,"Overdue Restock"
"21728",504,2850.12,40,"Overdue Restock"
"21545",504,1747.29,83,"Overdue Restock"
"45008C",504,1042.54,35,"Overdue Restock"
"40018E",502,1043.54,81,"Overdue Restock"
"84467",500,30484.32,83,"Overdue Restock"
"79328",500,284.62,17,"Overdue Restock"
"22056",499,692.41,34,"Overdue Restock"
"79030A",498,627.35,34,"Overdue Restock"
"46307",498,472.26,33,"Overdue Restock"
"48197",498,7373.33,227,"Overdue Restock"
"21323",497,2799.78,81,"Overdue Restock"
"37502",496,2895.73,171,"Overdue Restock"
"20660",495,88.75,26,"Overdue Restock"
"37482B",495,1196.57,10,"Overdue Restock"
"37441",494,1970.10,54,"Overdue Restock"
"84837",494,3504.83,143,"Overdue Restock"
"20804",494,650.87,61,"Overdue Restock"
"84795E",494,79.50,5,"Overdue Restock"
"85185C",494,182.90,27,"Overdue Restock"
"84510B",493,1678.10,148,"Overdue Restock"
"84795D",493,1683.58,83,"Overdue Restock"
"72799A",492,877.80,18,"Overdue Restock"
"72728",491,547.80,54,"Overdue Restock"
"17181",491,943.62,65,"Overdue Restock"
"84795A",491,1933.74,71,"Overdue Restock"
"35654",491,59.40,5,"Overdue Restock"
"44091C",491,41.16,17,"Overdue Restock"
"44241C",491,61.20,8,"Overdue Restock"
"84327A",490,1845.06,123,"Overdue Restock"
"84926C",490,215.45,31,"Overdue Restock"
"72023F",487,712.19,49,"Overdue Restock"
"84989B",487,566.55,63,"Overdue Restock"
"17039",487,862.67,43,"Overdue Restock"
"79315W",486,659.57,13,"Overdue Restock"
"79303B",486,375.29,10,"Overdue Restock"
"79303D",486,350.20,19,"Overdue Restock"
"21335",485,1140.24,28,"Overdue Restock"
"21796",485,2794.94,67,"Overdue Restock"
"21950",483,138.16,18,"Overdue Restock"
"85018A",482,63.75,10,"Overdue Restock"
"84690",480,206.70,14,"Overdue Restock"
"47591C",480,2258.09,162,"Overdue Restock"
"20863",480,637.77,50,"Overdue Restock"
"79029",480,5825.14,343,"Overdue Restock"
"20783",479,1423.42,56,"Overdue Restock"
"85091",479,540.57,20,"Overdue Restock"
"84676",478,2055.85,110,"Overdue Restock"
"21203",478,2742.50,145,"Overdue Restock"
"85060",478,1805.31,89,"Overdue Restock"
"21652",478,1829.08,79,"Overdue Restock"
"84845C",477,48.75,14,"Overdue Restock"
"20896",477,118.00,14,"Overdue Restock"
"90002C",477,147.51,19,"Overdue Restock"
"90002E",477,68.04,11,"Overdue Restock"
"84726",476,394.85,5,"Overdue Restock"
"17014D",476,214.44,8,"Overdue Restock"
"17011A",476,209.12,12,"Overdue Restock"
"17014E",476,39.90,6,"Overdue Restock"
"17013F",476,28.35,5,"Overdue Restock"
"84782A",476,763.95,27,"Overdue Restock"
"85113",476,617.10,48,"Overdue Restock"
"22122",475,3537.81,191,"Overdue Restock"
"22347",475,3301.91,115,"Overdue Restock"
"81985A",474,58.65,7,"Overdue Restock"
"72708",473,9.24,5,"Overdue Restock"
"84249D",472,349.06,64,"Overdue Restock"
"37508",471,237.29,46,"Overdue Restock"
"47591A",471,365.83,70,"Overdue Restock"
"37506",471,214.20,26,"Overdue Restock"
"22177",470,3396.28,125,"Overdue Restock"
"21130",470,1282.71,50,"Overdue Restock"
"84367",470,130.05,9,"Overdue Restock"
"72715",470,39.48,13,"Overdue Restock"
"85129A",466,588.32,75,"Overdue Restock"
"47597",465,973.56,124,"Overdue Restock"
"77081",464,360.00,33,"Overdue Restock"
"72801E",462,442.40,28,"Overdue Restock"
"20621",462,485.44,33,"Overdue Restock"
"78027",461,148.40,5,"Overdue Restock"
"20730",460,1485.40,102,"Overdue Restock"
"84680",460,356.40,18,"Overdue Restock"
"40018F",460,2176.82,117,"Overdue Restock"
"85097B",459,416.99,40,"Overdue Restock"
"84782C",459,459.80,18,"Overdue Restock"
"20990",458,1829.18,103,"Overdue Restock"
"20692",456,3922.77,139,"Overdue Restock"
"45016",456,553.71,26,"Overdue Restock"
"85217",455,2149.39,165,"Overdue Restock"
"21752",455,1412.37,38,"Overdue Restock"
"21760",455,1490.00,14,"Overdue Restock"
"21077",455,2125.67,192,"Overdue Restock"
"17091B",455,347.16,51,"Overdue Restock"
"21312",453,1235.24,27,"Overdue Restock"
"21474",453,4189.50,94,"Overdue Restock"
"46775E",453,2311.55,51,"Overdue Restock"
"84762B",452,1101.24,48,"Overdue Restock"
"21540",452,2512.90,88,"Overdue Restock"
"47592A",452,867.34,101,"Overdue Restock"
"47502",452,7003.65,79,"Overdue Restock"
"21529",451,2004.38,153,"Overdue Restock"
"90040D",451,206.74,25,"Overdue Restock"
"21133",451,734.61,44,"Overdue Restock"
"21687",450,2119.13,101,"Overdue Restock"
"20855",450,232.65,47,"Overdue Restock"
"84858A",449,140.96,9,"Overdue Restock"
"17178",448,156.65,24,"Overdue Restock"
"21923",448,2825.63,119,"Overdue Restock"
"84761",448,903.35,61,"Overdue Restock"
"20776",447,966.77,84,"Overdue Restock"
"21490",445,1319.00,55,"Overdue Restock"
"20865",444,370.02,33,"Overdue Restock"
"84251F",444,108.66,50,"Overdue Restock"
"85033G",444,524.60,32,"Overdue Restock"
"21007",442,978.11,49,"Overdue Restock"
"35963",442,38.38,12,"Overdue Restock"
"21153",442,4735.58,139,"Overdue Restock"
"90150",441,105.00,8,"Overdue Restock"
"84627",438,249.90,19,"Overdue Restock"
"85080",438,55.76,23,"Overdue Restock"
"84918",438,1550.99,64,"Overdue Restock"
"85110",437,764.04,23,"Overdue Restock"
"84682",437,647.33,49,"Overdue Restock"
"84493",437,65.76,5,"Overdue Restock"
"35838B",437,87.55,23,"Overdue Restock"
"21732",437,3219.44,58,"Overdue Restock"
"85184D",437,2995.32,67,"Overdue Restock"
"22612",437,4069.05,109,"Overdue Restock"
"35600D",436,519.40,14,"Overdue Restock"
"35838A",436,192.05,20,"Overdue Restock"
"47503E",436,1204.40,25,"Overdue Restock"
"72799D",435,339.19,18,"Overdue Restock"
"21612",435,2121.24,113,"Overdue Restock"
"21493",435,294.95,30,"Overdue Restock"
