"stock_code","monetary_gross","monetary_net"
"21165",16264.68,16182.09
"21166",39248.38,38281.15
"21167",750.36,739.86
"21169",15086.64,15032.07
"21171",2695.24,2695.24
"21172",12371.60,12260.75
"21173",688.67,668.87
"21174",21373.11,21365.31
"21175",45643.72,41858.14
"21179",3995.73,3991.05
"21181",52398.98,52173.08
"21185",1011.22,966.77
"21186",9335.29,9320.79
"21187",2541.01,2541.01
"21188",3079.08,2989.43
"21189",2531.01,2531.01
"21190",1486.78,1375.13
"21191",4493.52,4493.52
"21192",4929.03,4859.43
"21193",390.38,390.38
"21194",1004.36,997.86
"21195",3226.64,3226.64
"21196",353.08,353.08
"21197",722.06,687.41
"21198",1640.14,1575.43
"21199",1719.94,1699.78
"21200",2405.97,2365.37
"21201",7053.97,7020.82
"21202",1231.06,1156.51
"21203",2813.75,2742.50
"21204",3028.08,2956.83
"21205",2038.94,1985.39
"21206",3316.10,3297.95
"21207",5857.64,5148.39
"21208",1243.93,1226.29
"21209",1719.56,1681.53
"21210",22854.06,22656.51
"21211",3538.63,3521.23
"21212",60260.27,59657.81
"21213",24462.34,24413.39
"21214",3263.44,3261.99
"21215",3068.67,3051.03
"21216",24356.23,24244.48
"21217",34096.63,33612.13
"21218",25169.17,24891.92
"21219",1543.60,1531.10
"21220",1119.05,1119.05
"21221",840.93,840.93
"21222",937.12,937.12
"21223",609.66,609.66
"21224",2946.42,2911.42
"21225",2.50,2.50
"21226",308.60,308.60
"21228",126.39,126.39
"21231",26464.47,26075.54
"21232",57606.43,56656.34
"21238",9323.78,9197.39
"21239",7642.56,7598.49
"21240",7630.50,7592.51
"21241",1981.54,1980.69
"21242",13509.03,13438.05
"21243",10350.81,10323.77
"21244",9143.23,9104.36
"21245",4605.98,4599.22
"21246",4325.96,4286.36
"21247",733.46,733.46
"21248",1406.30,1373.14
"21249",5308.01,5261.61
"21250",1044.60,1044.60
"21251",1914.36,1914.36
"21252",441.67,441.67
"21253",1851.75,1851.75
"21255",1043.06,1021.61
"21256",731.18,731.18
"21257",18386.47,18181.17
"21258",28366.49,27006.34
"21259",15277.88,15098.43
"21260",12453.26,12256.01
"21261",1457.49,1457.49
"21262",3296.94,3208.49
"21263",734.88,730.98
"21264",1053.30,1037.70
"21265",740.93,685.93
"21266",197.80,197.80
"21267",121.90,121.90
"21268",313.74,313.74
"21269",1172.68,1172.68
"21270",1251.61,1251.61
"21272",3516.55,3500.30
"21274",2828.53,2815.78
"21275",1951.06,1812.61
"21276",1573.68,1497.48
"21277",1649.98,1562.18
"21278",1956.65,1636.25
"21279",1899.81,1473.96
"21280",1886.68,1574.68
"21281",1881.40,1497.40
"21282",1675.31,1624.31
"21283",1761.65,1722.65
"21284",1889.99,1839.35
"21285",1492.82,1426.82
"21286",1838.20,1807.60
"21287",1920.18,1920.18
"21288",3078.09,3013.94
"21289",1783.47,1758.47
"21290",5.00,5.00
"21291",2160.79,2103.84
"21292",1447.09,1433.49
"21293",1205.05,1200.85
"21294",1842.12,1842.12
"21298",755.80,656.10
"21299",1094.35,1060.95
"21300",946.00,818.50
"21303",1122.28,1045.83
"21304",642.56,642.56
"21306",382.70,375.38
"21307",727.84,725.74
"21308",757.95,742.05
"21309",325.60,315.65
"21310",209.65,179.70
"21311",603.23,595.40
"21312",1260.59,1235.24
"21313",7203.47,7093.32
"21314",28694.52,26397.72
"21316",1284.03,1275.18
"21317",1725.55,1709.70
"21318",1020.54,980.48
"21319",846.96,790.01
"21320",1100.02,1047.52
"21321",358.35,324.15
"21322",618.45,618.45
"21323",2812.53,2799.78
"21324",3280.72,3140.62
"21326",12849.12,12782.82
"21327",4264.62,4264.62
"21328",6533.86,6533.86
"21329",4885.33,4852.33
"21330",2775.09,2760.24
"21331",1099.62,1061.37
"21332",1845.44,1735.69
"21333",3437.53,3354.89
"21335",1225.04,1140.24
"21336",653.48,538.21
"21337",118.56,118.56
"21338",898.15,898.15
"21339",544.50,544.50
"21340",20499.55,19778.45
"21341",570.48,570.48
"21343",92.00,58.10
"21344",791.84,754.09
"21347",47.60,47.60
"21348",2170.48,2116.23
"21349",4828.46,4774.46
"21350",650.70,644.80
"21351",4386.80,4294.85
"21352",3987.86,3913.61
"21353",177.80,177.80
"21354",3161.67,3161.67
"21355",4453.95,4378.95
"21356",2617.37,2616.12
"21357",2025.10,1965.10
"21358",1522.12,1520.87
"21359",2319.06,2279.26
"21360",2949.47,2929.57
"21361",8300.63,8098.43
"21363",6083.51,5990.86
"21364",3783.79,3770.29
"21365",854.24,854.24
"21366",1677.75,1677.75
"21367",354.10,354.10
"21368",252.33,252.33
"21369",255.72,255.72
"21370",328.59,328.59
"21371",722.62,722.62
"21372",340.79,340.79
"21373",569.63,560.63
"21374",919.34,919.34
"21375",1266.95,1266.95
"21376",982.67,982.67
"21377",990.36,971.16
"21378",856.44,856.44
"21379",955.65,955.65
"21380",15416.49,13814.79
"21381",9290.19,8340.48
"21382",1908.12,1902.12
"21383",1979.96,1924.06
"21384",2153.57,2153.57
"21385",10393.30,10388.20
"21386",764.87,764.87
"21387",21.25,21.25
"21388",336.39,336.39
"21389",2189.25,2163.75
"21390",14256.80,14133.05
"21391",2090.48,2084.18
"21392",1558.05,1079.61
"21393",1206.49,875.71
"21394",1933.99,1925.41
"21395",1463.16,1439.76
"21396",1328.97,1322.72
"21397",2399.94,2384.94
"21398",2435.05,2430.85
"21399",1667.84,1622.45
"21400",236.60,231.56
"21401",340.34,340.34
"21402",385.86,385.44
"21403",605.56,605.56
"21406",17.30,17.30
"21407",7160.41,7151.91
"21408",4073.28,4052.03
"21409",4.25,4.25
"21410",1879.81,1875.56
"21411",9559.49,9525.49
"21412",446.70,442.92
"21413",1200.18,1200.18
"21414",962.38,960.28
"21415",838.63,838.63
"21416",633.42,633.42
"21417",1344.92,1292.42
"21418",692.33,684.68
"21419",619.58,619.58
"21420",368.70,368.70
"21421",2228.41,2220.91
"21422",2789.98,2786.58
"21424",3983.74,3831.84
"21425",1621.72,1530.27
"21426",1955.54,1794.14
"21427",1303.62,1270.02
"21428",12858.81,12692.81
"21429",12777.00,12656.70
"21430",21370.59,21147.81
"21431",2740.92,2737.62
"21432",5573.17,5443.82
"21437",2479.74,2460.99
"21438",1282.44,1267.44
"21439",3098.85,2666.37
"21440",613.87,611.37
"21441",770.71,770.71
"21442",848.27,848.27
"21443",774.61,752.11
"21444",1040.31,1036.56
"21445",2040.88,2025.88
"21446",1906.28,1906.28
"21447",4802.93,4801.68
"21448",1803.59,1803.59
"21450",77.35,17.85
"21452",6379.41,6255.36
"21454",1089.05,1068.65
"21455",1167.84,1153.39
"21456",819.60,818.35
"21457",768.25,768.25
"21458",965.98,965.98
"21459",575.20,540.10
"21460",312.10,296.50
"21461",191.93,182.18
"21462",2620.67,2580.17
"21463",7918.47,7521.12
"21464",2308.00,2218.75
"21465",3294.92,3287.42
"21466",3901.69,3901.69
"21467",3622.23,3603.48
"21468",2586.11,2578.61
"21469",3815.86,3748.36
"21470",4694.68,4660.93
"21471",5866.31,5851.31
"21472",4486.19,4486.19
"21473",3451.77,3371.97
"21474",4329.15,4189.50
"21475",14.95,0.00
"21476",2575.02,2545.12
"21477",3535.38,3278.13
"21478",1045.85,1038.35
"21479",45242.28,44565.10
"21480",1119.49,1101.79
"21481",29447.40,27381.50
"21482",2703.77,2686.07
"21484",22271.01,22113.06
"21485",40040.71,39862.51
"21486",4810.47,4806.72
"21488",11655.01,11655.01
"21489",252.00,252.00
"21490",1373.60,1319.00
"21491",5566.97,5467.52
"21493",294.95,294.95
"21494",9242.72,9237.72
"21495",5140.30,5129.80
"21496",10.50,0.00
"21497",6999.00,6999.00
"21498",10874.60,10832.60
"21499",6071.18,5988.68
"21500",6485.00,6485.00
"21503",740.42,740.00
"21504",2067.36,2062.32
"21506",4882.06,4856.86
"21507",3678.02,3667.94
"21508",3005.67,3000.63
"21509",3778.37,3768.29
"21511",16.80,16.80
"21518",521.92,521.92
"21519",3431.20,3416.08
"21520",455.22,454.38
"21523",51237.58,51190.04
"21524",38788.19,38731.80
"21525",13.50,0.00
"21527",26895.20,25544.74
"21528",6422.65,6209.25
"21529",2031.98,2004.38
"21530",1568.20,1511.16
"21531",11134.49,11041.94
"21532",1481.02,1447.42
"21533",18075.29,17700.29
"21534",5465.53,5321.98
"21535",17796.80,17573.75
"21536",497.98,483.28
"21537",4652.67,4405.67
"21538",1989.02,1981.52
"21539",15012.23,14677.92
"21540",2594.40,2512.90
"21541",1802.58,1773.68
"21542",1758.10,1662.90
"21543",243.05,243.05
"21544",5504.92,5467.52
"21545",1753.19,1747.29
"21547",2034.49,2028.59
"21548",2016.64,1972.39
"21549",1317.93,1297.28
"21550",1693.27,1687.32
"21551",876.95,876.95
"21552",869.55,851.70
"21553",768.94,762.99
"21554",805.65,787.80
"21555",1478.54,1475.99
"21556",5207.72,5194.97
"21557",4580.39,4577.44
"21558",12385.22,12152.27
"21559",22222.02,22105.17
"21560",30.88,30.88
"21561",7786.09,7778.44
"21562",1013.85,1013.85
"21563",7342.55,7290.50
"21564",4811.53,4773.98
"21576",2038.71,2018.46
"21577",6784.54,6748.54
"21578",5850.72,5828.22
"21579",1781.55,1743.30
"21580",1865.01,1851.51
"21581",2297.33,2252.33
"21582",193.05,193.05
"21584",6081.60,6037.05
"21585",1.65,1.65
"21586",6059.55,5965.20
"21587",5218.95,5203.65
"21588",7748.55,7684.80
"21589",2593.65,2563.05
"21590",4153.78,4121.28
"21591",7881.83,7814.33
"21592",6571.21,6541.21
"21593",1630.56,1600.56
"21594",42.12,42.12
"21595",153.90,153.90
"21596",85.28,85.28
"21609",4245.13,4245.13
"21610",1593.99,1593.99
"21611",2253.73,2236.03
"21612",2138.94,2121.24
"21613",1920.30,1920.30
"21614",4623.69,4287.64
"21615",2462.84,2462.84
"21616",2675.91,2675.91
"21617",2300.02,2300.02
"21618",2128.48,2128.48
"21619",2305.54,2305.54
"21620",2462.71,2440.21
"21621",66139.46,65595.46
"21622",21378.41,21165.56
"21623",46018.53,45519.33
"21624",11294.32,11165.57
"21625",8444.60,8444.60
"21626",3274.89,3157.89
"21627",5694.80,5616.10
"21628",4876.06,4816.26
"21629",3129.79,3121.84
"21630",3037.98,3002.18
"21631",1731.40,1731.40
"21632",1379.94,1367.19
"21633",2287.77,2262.27
"21634",1590.38,1439.13
"21635",874.23,829.23
"21636",1037.43,1006.83
"21637",1945.66,1923.16
"21638",2379.68,2362.88
"21639",245.65,238.85
"21640",2409.58,2409.58
"21641",1151.49,1151.49
"21642",2879.51,2707.17
"21643",2628.68,2611.18
"21644",1665.44,1630.44
"21645",1735.95,1686.45
"21647",2143.76,2135.36
"21648",4771.08,4496.68
"21649",1205.03,1193.23
"21650",1500.61,1493.45
"21651",2340.47,2340.47
"21652",1870.03,1829.08
"21653",2734.04,2719.34
"21654",944.21,944.21
"21655",2530.30,2328.38
"21656",2096.23,2093.33
"21657",2400.06,2365.31
"21658",10953.33,10593.60
"21659",2191.70,2131.90
"21661",1743.57,1708.37
"21662",2090.00,2066.20
"21663",571.77,530.12
"21664",1236.81,1210.56
"21665",802.50,802.50
"21666",1198.80,1196.85
"21667",6979.95,6586.20
"21668",16377.59,16271.17
"21669",15563.15,15415.83
"21670",14253.87,14153.87
"21671",13916.17,13678.86
"21672",16468.04,16386.74
"21673",15522.35,15378.40
"21674",680.85,680.85
"21675",1816.77,1806.57
"21676",1000.08,1000.08
"21677",2040.93,2010.33
"21678",487.21,487.21
"21679",4312.55,3659.87
"21680",2788.04,2762.54
"21681",2305.42,2275.57
"21682",2867.97,2848.17
"21683",2907.24,2904.29
"21684",1457.21,1446.16
"21685",44.85,29.90
"21686",2623.33,2373.68
"21687",2122.88,2119.13
"21688",3183.80,3166.10
"21689",1309.93,1309.93
"21690",1052.48,1052.48
"21691",1023.42,1023.42
"21692",1983.21,1968.21
"21693",2910.14,2910.14
"21694",1670.12,1670.12
"21695",2226.56,2223.61
"21696",2336.98,2248.48
"21697",295.08,295.08
"21698",529.68,529.68
"21699",82.44,82.44
"21700",9270.19,9167.34
"21701",0.00,-20.28
"21702",918.68,918.68
"21703",5876.85,5804.61
"21704",13719.78,13207.71
"21705",3408.21,3366.71
"21706",5717.89,5569.39
"21707",4436.28,4436.28
"21708",2604.06,2584.26
"21709",3156.03,3156.03
"21710",2406.11,2371.46
"21711",1699.87,1699.87
"21713",5818.63,5585.63
"21714",8657.41,8587.31
"21715",10407.61,10337.86
"21716",11049.56,11024.06
"21717",4723.31,4679.96
"21718",6088.03,6023.03
"21719",927.44,927.44
"21720",1004.63,994.43
"21721",1129.87,1128.17
"21722",415.80,413.25
"21723",852.31,852.31
"21724",998.08,996.38
"21725",1182.91,1181.21
"21726",992.68,990.98
