"customer_id","recency_days","frequency_completed","cancellation_count","monetary_gross","monetary_net","avg_interval_whole_day","avg_interval_fractional_day","distinct_variants_purchased","distinct_families_purchased","order_return_rate_pct","line_item_return_rate_pct"
"12421",15,6,1,874.60,869.60,97.4,97.96,43,43,14.3,1.7
"12422",95,12,0,3639.35,3639.35,56.3,56.90,135,128,0.0,0.0
"12423",0,10,1,2301.39,2291.19,51.1,51.67,127,120,9.1,0.6
"12424",162,4,3,3340.03,3289.78,128.3,128.62,78,76,42.9,5.2
"12425",77,2,1,1741.41,1680.81,370.0,370.14,87,81,33.3,4.2
"12426",194,2,1,1201.21,1167.41,468.0,468.16,72,72,33.3,6.3
"12427",11,3,2,699.80,582.37,174.5,174.96,25,25,40.0,12.5
"12428",25,8,3,6405.26,6366.00,36.6,36.85,256,243,27.3,1.7
"12429",8,8,1,5842.41,5792.01,76.4,76.74,123,122,11.1,0.7
"12430",42,1,0,216.40,216.40,NULL,NULL,10,10,0.0,0.0
"12431",35,25,6,10102.22,9963.66,27.0,27.42,243,233,19.4,1.8
"12432",42,4,0,4359.32,4359.32,43.0,43.31,106,101,0.0,0.0
"12433",0,10,0,16794.14,16794.14,52.4,52.89,285,273,0.0,0.0
"12434",84,3,2,1103.43,1062.48,147.5,148.48,62,61,40.0,5.4
"12435",79,6,0,13925.93,13925.93,131.2,131.56,88,86,0.0,0.0
"12436",99,1,0,429.01,429.01,NULL,NULL,15,14,0.0,0.0
"12437",1,38,7,11282.40,11011.85,19.4,19.89,272,266,15.6,3.3
"12438",13,2,0,2466.85,2466.85,125.0,126.00,83,83,0.0,0.0
"12439",682,2,1,1142.88,1089.18,43.0,43.15,69,69,33.3,4.1
"12440",456,2,1,739.20,648.15,255.0,255.05,20,17,33.3,9.1
"12441",366,1,0,155.55,155.55,NULL,NULL,10,10,0.0,0.0
"12442",2,1,0,144.06,144.06,NULL,NULL,11,11,0.0,0.0
"12443",731,1,0,365.31,365.31,NULL,NULL,20,20,0.0,0.0
"12444",20,5,0,4085.46,4085.46,37.3,37.49,137,136,0.0,0.0
"12445",21,2,1,378.98,370.48,398.0,398.26,23,21,33.3,4.2
"12446",57,1,0,1002.31,1002.31,NULL,NULL,57,57,0.0,0.0
"12447",242,1,0,431.49,431.49,NULL,NULL,25,25,0.0,0.0
"12448",43,1,0,365.45,365.45,NULL,NULL,21,20,0.0,0.0
"12449",21,5,0,4274.89,4274.89,103.5,104.04,124,122,0.0,0.0
"12450",155,5,2,688.20,666.95,79.0,79.52,31,31,28.6,7.5
"12451",10,8,2,12629.88,12506.53,73.6,74.12,351,336,20.0,0.6
"12452",16,1,0,348.57,348.57,NULL,NULL,20,20,0.0,0.0
"12453",133,1,0,707.09,707.09,NULL,NULL,43,43,0.0,0.0
"12454",52,4,3,16459.78,4098.96,121.0,121.66,23,22,42.9,44.3
"12455",72,9,0,5722.95,5722.95,80.5,81.02,198,191,0.0,0.0
"12456",43,3,1,2581.04,2553.89,104.5,105.11,104,101,25.0,3.2
"12457",57,7,6,2555.91,2032.31,61.0,61.47,62,62,46.2,9.0
"12458",70,4,0,1502.49,1502.49,138.3,138.73,70,65,0.0,0.0
"12459",604,1,0,398.36,398.36,NULL,NULL,22,22,0.0,0.0
"12460",455,1,0,296.65,296.65,NULL,NULL,17,17,0.0,0.0
"12461",154,1,0,626.88,626.88,NULL,NULL,34,34,0.0,0.0
"12462",1,2,2,937.59,872.01,284.0,284.77,50,50,50.0,14.3
"12463",45,4,2,1200.78,1165.63,62.0,62.68,64,63,33.3,4.8
"12464",9,8,0,957.05,957.05,42.3,42.71,5,5,0.0,0.0
"12465",7,2,1,682.19,673.89,152.0,152.12,45,45,33.3,8.2
"12467",385,1,1,132.80,0.00,NULL,NULL,9,9,50.0,50.0
"12468",142,5,5,3238.74,3192.55,123.3,123.77,126,121,50.0,8.2
"12469",522,2,0,3070.54,3070.54,14.0,14.09,76,66,0.0,0.0
"12470",689,1,0,211.95,211.95,NULL,NULL,23,19,0.0,0.0
"12471",1,71,49,35099.90,33294.92,10.1,10.43,252,252,40.8,12.6
"12472",30,19,18,14971.29,14169.69,37.8,38.51,396,376,48.6,13.1
"12473",53,3,1,2585.73,2545.27,68.5,69.03,138,133,25.0,4.2
"12474",16,29,23,11310.75,10886.75,22.7,23.19,368,362,44.2,7.2
"12475",53,2,0,1065.64,1065.64,356.0,356.06,53,53,0.0,0.0
"12476",0,18,15,12319.91,11920.12,28.2,28.60,357,353,45.5,8.8
"12477",22,9,3,20276.37,20173.64,74.8,75.10,295,280,25.0,1.4
"12478",3,1,0,545.99,545.99,NULL,NULL,35,35,0.0,0.0
"12479",3,1,2,473.20,423.30,NULL,NULL,30,29,66.7,11.8
"12480",27,7,1,4834.85,4805.10,79.5,79.84,176,167,12.5,1.3
"12481",22,14,3,11033.51,10889.15,44.5,44.98,247,238,17.6,1.1
"12482",575,27,0,21941.72,21941.72,2.9,2.97,41,41,0.0,0.0
"12483",16,19,4,4069.18,4007.93,36.2,36.67,67,64,17.4,3.9
"12484",34,9,4,5557.10,5490.80,80.4,80.74,328,314,30.8,1.9
"12485",528,1,0,708.10,708.10,NULL,NULL,34,32,0.0,0.0
"12486",431,1,0,917.28,917.28,NULL,NULL,48,47,0.0,0.0
"12487",730,1,1,285.30,259.80,NULL,NULL,2,2,50.0,33.3
"12488",9,3,0,1244.66,1244.66,32.5,32.96,45,44,0.0,0.0
"12489",335,1,0,298.93,298.93,NULL,NULL,14,14,0.0,0.0
"12490",4,20,1,8764.64,8759.64,38.2,38.59,194,190,4.8,0.2
"12491",38,1,0,424.40,424.40,NULL,NULL,24,24,0.0,0.0
"12492",62,3,0,607.21,607.21,169.5,170.01,37,36,0.0,0.0
"12493",165,2,1,379.74,362.79,31.0,31.81,18,18,33.3,4.8
"12494",9,9,8,1563.27,1451.92,69.4,70.10,82,79,47.1,9.1
"12495",634,1,1,277.40,243.40,NULL,NULL,16,14,50.0,11.1
"12496",619,2,0,45.34,45.34,0.0,0.01,10,10,0.0,0.0
"12497",81,3,0,5996.50,5996.50,281.0,281.56,40,40,0.0,0.0
"12498",20,3,0,349.70,349.70,18.0,18.07,20,20,0.0,0.0
"12499",559,1,0,357.72,357.72,NULL,NULL,26,26,0.0,0.0
"12500",22,18,6,5559.21,5494.31,37.8,38.24,87,83,25.0,6.5
"12501",314,1,1,2025.39,1945.68,NULL,NULL,148,143,50.0,6.9
"12502",95,5,0,2995.87,2995.87,53.3,53.51,101,98,0.0,0.0
"12503",583,1,0,896.00,896.00,NULL,NULL,1,1,0.0,0.0
"12504",17,4,2,689.05,321.00,192.3,192.74,10,10,33.3,26.1
"12505",392,1,1,787.20,744.50,NULL,NULL,41,41,50.0,8.9
"12506",232,1,0,73.50,73.50,NULL,NULL,23,23,0.0,0.0
"12507",133,4,1,1508.06,1461.31,150.0,150.11,45,45,20.0,2.1
"12508",25,2,0,397.88,397.88,2.0,2.97,57,57,0.0,0.0
"12509",283,1,0,158.50,158.50,NULL,NULL,6,5,0.0,0.0
"12510",142,7,2,3039.03,2989.33,98.0,98.81,92,85,22.2,2.8
"12511",414,1,1,3084.02,3065.77,NULL,NULL,190,187,50.0,2.1
"12512",65,2,0,132.18,132.18,0.0,0.00,31,31,0.0,0.0
"12513",84,1,1,558.29,532.79,NULL,NULL,34,34,50.0,2.9
"12514",266,2,0,1597.76,1597.76,374.0,374.18,76,74,0.0,0.0
"12515",352,1,0,278.70,278.70,NULL,NULL,15,14,0.0,0.0
"12516",77,4,0,2288.62,2288.62,173.3,173.93,48,45,0.0,0.0
"12517",27,4,1,2301.60,2263.65,53.3,53.98,231,222,20.0,0.7
"12518",0,5,0,1840.89,1840.89,27.0,27.47,83,82,0.0,0.0
"12519",63,2,1,626.54,595.19,413.0,413.05,33,31,33.3,5.1
"12520",78,5,1,2346.26,2294.51,48.3,48.54,120,116,16.7,2.0
"12521",142,1,0,545.68,545.68,NULL,NULL,37,37,0.0,0.0
"12522",38,2,0,156.72,156.72,12.0,12.03,10,10,0.0,0.0
"12523",1,23,7,4010.35,3877.05,31.9,32.41,175,171,23.3,5.6
"12524",8,17,1,9794.11,9759.36,40.9,41.25,156,153,5.6,0.9
"12525",490,3,5,883.73,745.18,74.0,74.54,55,54,62.5,22.4
"12526",0,3,0,1172.66,1172.66,46.5,46.95,63,63,0.0,0.0
"12527",81,5,0,717.51,717.51,111.3,111.96,25,24,0.0,0.0
"12528",8,6,2,1645.48,1634.28,60.4,60.65,49,48,25.0,3.4
"12529",522,1,1,316.48,311.78,NULL,NULL,21,21,50.0,8.7
"12530",59,9,2,3381.26,3329.86,72.4,72.86,93,88,18.2,2.0
"12531",14,2,1,1771.20,1737.05,671.0,671.87,125,122,33.3,4.5
"12532",29,1,0,313.83,313.83,NULL,NULL,15,15,0.0,0.0
"12533",618,2,4,1223.89,1005.99,110.0,110.96,62,58,66.7,20.5
"12534",130,1,0,981.18,981.18,NULL,NULL,62,59,0.0,0.0
"12535",91,2,0,716.35,716.35,94.0,94.83,28,27,0.0,0.0
"12536",7,1,1,4279.71,4151.26,NULL,NULL,259,258,50.0,3.4
"12537",408,1,0,612.94,612.94,NULL,NULL,42,41,0.0,0.0
"12538",28,2,0,640.45,640.45,349.0,349.18,33,31,0.0,0.0
"12539",21,7,0,11186.75,11186.75,115.2,115.67,275,269,0.0,0.0
"12540",19,32,2,19250.49,19159.29,22.5,22.99,353,342,5.9,0.4
"12541",29,3,0,841.18,841.18,125.0,125.52,45,45,0.0,0.0
"12542",483,2,2,481.88,423.38,156.0,156.12,39,38,50.0,13.3
"12543",447,1,0,840.25,840.25,NULL,NULL,42,42,0.0,0.0
"12544",29,1,1,316.70,299.70,NULL,NULL,18,17,50.0,5.3
"12545",74,2,0,832.39,832.39,184.0,184.07,41,36,0.0,0.0
"12546",46,2,1,1021.50,1001.50,31.0,31.10,58,58,33.3,1.5
"12547",197,3,0,299.58,299.58,150.5,151.47,12,12,0.0,0.0
"12548",165,1,0,67.20,67.20,NULL,NULL,4,4,0.0,0.0
"12549",575,5,0,1570.68,1570.68,30.0,30.50,37,35,0.0,0.0
"12550",78,1,0,824.83,824.83,NULL,NULL,56,56,0.0,0.0
"12551",357,1,0,168.00,168.00,NULL,NULL,10,9,0.0,0.0
"12552",39,1,0,317.82,317.82,NULL,NULL,19,17,0.0,0.0
"12553",7,12,5,4104.75,4044.82,37.2,37.74,108,105,29.4,2.6
"12554",448,1,0,384.50,384.50,NULL,NULL,25,24,0.0,0.0
"12556",49,2,0,599.56,599.56,100.0,100.98,100,99,0.0,0.0
"12557",15,8,0,18096.14,18096.14,100.4,100.89,15,12,0.0,0.0
"12558",1,1,1,269.96,0.00,NULL,NULL,11,11,50.0,50.0
"12559",310,2,1,525.71,500.21,8.0,8.98,20,20,33.3,4.8
"12560",4,2,1,1918.01,1885.39,137.0,137.92,90,90,33.3,5.5
"12561",302,1,0,238.85,238.85,NULL,NULL,16,16,0.0,0.0
"12562",7,9,0,4426.92,4426.92,53.0,53.40,112,111,0.0,0.0
"12563",408,1,0,221.24,221.24,NULL,NULL,12,10,0.0,0.0
"12564",260,1,0,402.90,402.90,NULL,NULL,20,20,0.0,0.0
"12565",281,1,1,145.92,131.17,NULL,NULL,9,9,50.0,10.0
"12566",72,1,1,297.65,292.70,NULL,NULL,18,18,50.0,5.3
"12567",22,15,2,10741.48,10425.44,45.5,46.00,364,359,11.8,3.4
"12568",644,1,0,52.00,52.00,NULL,NULL,4,4,0.0,0.0
"12569",1,32,1,3152.69,3128.99,7.6,8.07,91,88,3.0,0.6
"12571",39,2,0,519.61,519.61,81.0,81.91,31,31,0.0,0.0
"12572",8,2,1,912.42,896.72,43.0,43.04,52,52,33.3,3.3
"12573",226,5,0,717.41,717.41,58.8,59.48,107,102,0.0,0.0
"12574",315,1,0,182.45,182.45,NULL,NULL,10,10,0.0,0.0
"12575",456,2,0,568.82,568.82,69.0,69.16,33,33,0.0,0.0
"12576",35,8,3,2062.72,2003.87,69.6,70.12,113,113,27.3,3.4
"12577",34,8,1,1613.15,1550.75,99.9,100.11,258,252,11.1,0.3
"12578",20,4,3,4026.45,3956.45,140.0,140.70,148,146,42.9,5.1
"12579",72,1,1,386.42,374.72,NULL,NULL,28,28,50.0,3.4
"12580",246,2,0,962.90,962.90,329.0,329.94,51,47,0.0,0.0
"12581",39,1,0,179.71,179.71,NULL,NULL,14,14,0.0,0.0
"12582",238,4,0,1820.40,1820.40,112.7,112.98,87,85,0.0,0.0
"12583",2,27,3,12493.58,12409.04,27.6,28.11,140,139,10.0,0.9
"12584",3,9,9,2254.15,1809.95,34.0,34.60,43,43,50.0,24.0
"12585",233,2,2,1824.10,1766.81,117.0,117.03,76,76,50.0,10.5
"12586",16,4,1,2062.67,2045.67,235.0,235.38,82,82,20.0,1.1
"12587",7,1,0,104.00,104.00,NULL,NULL,3,3,0.0,0.0
"12588",38,3,1,718.78,698.98,279.0,279.06,30,30,25.0,4.5
"12589",28,6,2,3294.91,2752.17,131.8,132.18,119,115,25.0,14.8
"12590",189,1,3,9341.26,9330.48,NULL,NULL,67,64,75.0,5.6
"12591",316,3,0,1114.95,1114.95,45.5,45.58,62,62,0.0,0.0
"12592",91,4,0,1723.64,1723.64,142.0,142.35,40,40,0.0,0.0
"12593",108,3,0,382.10,382.10,55.0,55.07,13,13,0.0,0.0
"12594",37,14,1,4890.11,4862.51,46.3,46.84,77,76,6.7,1.0
"12595",504,1,0,281.02,281.02,NULL,NULL,18,18,0.0,0.0
"12596",50,2,0,450.27,450.27,190.0,190.99,24,24,0.0,0.0
"12597",18,4,1,3195.22,3067.13,82.7,82.99,183,183,20.0,3.8
"12598",9,10,4,4192.09,4072.67,70.4,71.01,129,126,28.6,2.5
"12599",28,13,0,2026.72,2026.72,45.1,45.68,46,46,0.0,0.0
"12600",28,20,2,4385.85,4343.60,36.6,37.05,51,47,9.1,4.4
"12601",189,6,1,573.26,565.76,42.4,42.99,23,23,14.3,3.4
"12602",58,1,0,153.12,153.12,NULL,NULL,12,12,0.0,0.0
"12603",21,1,0,613.20,613.20,NULL,NULL,1,1,0.0,0.0
"12604",78,2,0,236.18,236.18,182.0,182.08,14,14,0.0,0.0
"12605",364,3,1,1124.95,1117.45,40.5,41.00,62,60,25.0,4.0
"12607",57,1,1,1579.51,0.00,NULL,NULL,101,100,50.0,50.0
"12608",404,1,0,415.79,415.79,NULL,NULL,16,16,0.0,0.0
"12609",77,9,0,3021.86,3021.86,79.9,80.14,128,127,0.0,0.0
"12610",22,4,2,1747.54,1705.99,34.0,34.61,84,84,33.3,4.7
"12611",51,1,0,1193.32,1193.32,NULL,NULL,65,64,0.0,0.0
"12612",57,1,1,668.04,607.59,NULL,NULL,18,8,50.0,10.0
"12613",30,9,3,6277.37,6033.82,83.1,83.51,217,211,25.0,5.9
"12614",277,1,0,315.60,315.60,NULL,NULL,20,18,0.0,0.0
"12615",1,8,3,5362.98,5186.88,89.6,89.86,197,195,27.3,2.9
"12616",84,3,4,1023.10,937.35,146.5,146.58,31,31,57.1,8.9
"12617",28,1,0,352.98,352.98,NULL,NULL,39,39,0.0,0.0
"12618",21,1,0,137.31,137.31,NULL,NULL,10,10,0.0,0.0
"12619",15,9,3,3085.70,3048.95,67.8,68.01,53,52,25.0,4.2
"12620",14,3,0,1303.41,1303.41,94.5,94.96,88,87,0.0,0.0
"12621",1,35,9,22097.20,21900.70,19.1,19.62,343,336,20.5,2.2
"12622",231,1,0,162.10,162.10,NULL,NULL,10,10,0.0,0.0
"12623",275,7,0,3315.84,3315.84,69.7,70.01,111,111,0.0,0.0
"12624",105,2,0,569.13,569.13,71.0,71.10,35,33,0.0,0.0
"12625",211,4,1,4678.88,4627.38,127.7,128.31,143,138,20.0,2.2
"12626",22,9,4,5954.48,5722.35,37.5,37.90,231,229,30.8,4.4
"12627",10,6,0,4082.53,4082.53,25.4,25.98,161,159,0.0,0.0
"12628",3,3,1,732.46,715.61,29.5,30.08,33,32,25.0,5.0
"12629",385,2,0,1198.22,1198.22,37.0,37.69,39,39,0.0,0.0
"12630",9,2,0,1030.88,1030.88,34.0,34.00,59,59,0.0,0.0
"12631",56,6,1,3321.57,3292.27,126.8,127.19,130,125,14.3,1.6
"12632",520,2,2,714.88,684.88,44.0,44.02,31,31,50.0,5.7
"12633",58,7,3,5156.16,5073.21,77.3,77.83,219,217,30.0,2.3
"12634",547,1,0,360.00,360.00,NULL,NULL,19,19,0.0,0.0
"12635",89,4,0,2624.41,2624.41,122.0,122.34,158,150,0.0,0.0
"12637",66,12,1,8085.81,8071.16,42.8,43.27,294,290,7.7,0.5
"12638",32,2,0,681.49,681.49,606.0,606.11,46,45,0.0,0.0
"12639",238,3,0,1072.37,1072.37,194.5,194.58,57,54,0.0,0.0
"12640",23,3,0,994.58,994.58,28.5,29.00,46,46,0.0,0.0
"12641",114,1,0,145.90,145.90,NULL,NULL,9,9,0.0,0.0
"12642",24,3,0,905.26,905.26,41.0,41.12,38,38,0.0,0.0
"12643",127,11,2,7803.82,7334.30,47.8,48.29,13,11,15.4,8.7
"12644",129,4,2,1900.49,1797.54,188.0,188.30,105,102,33.3,9.8
"12645",33,8,2,3215.30,3175.10,90.0,90.73,110,110,20.0,1.9
"12646",4,2,0,1346.97,1346.97,44.0,44.89,43,40,0.0,0.0
"12647",21,35,7,14109.55,13919.74,19.2,19.79,239,218,16.7,3.2
"12648",154,4,1,1039.00,1024.00,182.0,182.24,37,33,20.0,1.6
"12649",106,8,2,2096.65,2060.50,83.7,84.13,93,91,20.0,3.4
"12650",2,1,0,242.44,242.44,NULL,NULL,19,19,0.0,0.0
"12651",334,4,1,377.75,365.30,43.3,43.63,30,30,20.0,6.3
"12652",321,2,1,891.03,885.58,102.0,102.99,50,50,33.3,5.7
"12653",148,3,0,4160.83,4160.83,188.5,189.02,76,75,0.0,0.0
"12654",10,5,0,529.98,529.98,70.8,71.22,30,30,0.0,0.0
"12655",423,1,0,243.35,243.35,NULL,NULL,15,15,0.0,0.0
"12656",16,8,4,5723.83,5636.78,77.4,77.89,173,171,33.3,2.4
"12657",10,4,1,1427.18,1008.06,22.0,22.39,34,34,20.0,15.4
"12658",18,1,0,632.05,632.05,NULL,NULL,35,30,0.0,0.0
"12659",29,1,0,73.68,73.68,NULL,NULL,4,4,0.0,0.0
"12660",10,1,0,227.10,227.10,NULL,NULL,12,12,0.0,0.0
"12661",435,1,0,162.00,162.00,NULL,NULL,11,11,0.0,0.0
"12662",0,20,2,6130.54,6091.69,31.9,32.48,162,157,9.1,1.3
"12663",624,2,1,185.40,150.00,43.0,43.80,8,8,33.3,11.1
"12664",7,11,0,5420.04,5420.04,71.3,71.83,9,6,0.0,0.0
"12665",324,3,2,259.60,247.45,171.5,172.36,12,12,40.0,22.2
"12666",358,1,1,1248.42,1020.98,NULL,NULL,31,31,50.0,6.1
"12667",57,1,0,460.13,460.13,NULL,NULL,32,32,0.0,0.0
"12668",6,9,2,9906.03,9842.06,82.8,83.22,262,254,18.2,1.3
"12669",150,2,0,1427.73,1427.73,105.0,105.99,96,95,0.0,0.0
"12670",9,7,1,3436.29,3426.39,109.0,109.37,70,69,12.5,1.8
"12671",605,1,0,2622.48,2622.48,NULL,NULL,44,43,0.0,0.0
"12672",329,2,1,407.05,380.50,265.0,265.97,21,21,33.3,12.5
"12673",4,3,0,1140.02,1140.02,198.0,198.07,67,64,0.0,0.0
"12674",11,4,3,1844.60,1796.26,56.3,56.38,51,51,42.9,8.1
"12675",553,2,2,873.25,849.55,24.0,24.71,110,106,50.0,1.8
"12676",24,10,0,2333.09,2333.09,50.6,51.00,66,65,0.0,0.0
"12677",554,2,1,359.10,353.30,111.0,111.02,12,12,33.3,9.5
"12678",41,15,2,32595.18,32165.13,46.4,47.06,197,194,11.8,1.4
"12679",51,4,5,951.02,896.67,74.3,75.00,42,39,55.6,15.4
"12680",0,4,0,790.81,790.81,37.0,37.63,32,32,0.0,0.0
"12681",14,44,9,26936.76,26679.24,16.1,16.56,458,444,17.0,1.9
"12682",3,51,1,20736.22,20648.12,14.2,14.70,326,320,1.9,0.3
"12683",3,20,6,10445.70,10167.52,37.6,38.00,235,230,23.1,4.1
"12684",7,6,0,2073.63,2073.63,40.6,41.17,59,59,0.0,0.0
"12685",27,6,0,2575.08,2575.08,12.6,13.03,116,116,0.0,0.0
"12686",371,1,0,71.14,71.14,NULL,NULL,6,6,0.0,0.0
"12687",480,1,0,1858.91,1858.91,NULL,NULL,125,124,0.0,0.0
"12688",113,1,0,4873.81,4873.81,NULL,NULL,171,164,0.0,0.0
"12689",25,2,0,1139.61,1139.61,101.0,101.94,56,55,0.0,0.0
"12690",205,1,0,335.01,335.01,NULL,NULL,15,15,0.0,0.0
"12691",27,6,0,1044.40,1044.40,78.0,78.44,23,23,0.0,0.0
"12692",636,1,0,110.95,110.95,NULL,NULL,13,12,0.0,0.0
"12693",120,7,4,1415.02,1352.42,65.3,65.86,62,61,36.4,5.3
"12694",69,3,1,1663.35,1659.45,174.5,175.36,68,68,25.0,1.2
"12695",6,7,0,1371.12,1371.12,109.2,109.67,45,44,0.0,0.0
"12696",434,2,0,731.91,731.91,74.0,74.03,42,41,0.0,0.0
"12697",20,3,2,757.59,739.02,69.5,70.36,36,36,40.0,5.0
"12698",589,1,0,285.75,285.75,NULL,NULL,15,15,0.0,0.0
"12699",417,1,0,566.11,566.11,NULL,NULL,40,39,0.0,0.0
"12700",7,4,0,4525.99,4525.99,68.7,69.26,192,187,0.0,0.0
"12701",79,6,0,2248.41,2248.41,110.0,110.78,117,116,0.0,0.0
"12702",19,1,0,201.00,201.00,NULL,NULL,11,11,0.0,0.0
"12703",63,4,3,898.53,802.18,204.0,204.41,55,53,42.9,11.4
"12704",6,8,0,1740.84,1740.84,22.6,23.16,63,58,0.0,0.0
