"stock_code","overdue_multiple","monetary_net","frequency_completed","recency_days"
"84975",207.4,3476.52,212,365
"21153",206.5,4735.58,139,442
"22347",206.5,3301.91,115,475
"85041",206.0,2558.86,92,511
"85068",205.6,7167.12,197,366
"21299",204.2,1060.95,34,625
"22353",201.9,9071.38,494,214
"84676",201.7,2055.85,110,478
"85014C",201.1,1797.61,72,545
"22073",200.0,9745.99,477,218
"35832",198.9,5674.30,188,360
"84619",198.8,1801.77,29,646
"22525",198.3,3331.73,330,234
"22521",197.3,2127.84,371,217
"84670",193.9,2134.28,182,382
"22145",192.1,2926.72,197,365
"40018F",191.7,2176.82,117,460
"21303",188.4,1045.83,30,631
"48195",186.3,1819.87,87,505
"20681",182.4,5278.80,342,248
"22520",181.4,2180.77,372,205
"21611",180.9,2236.03,148,407
"21768",180.9,8129.74,163,389
"21474",180.5,4189.50,94,453
"35001W",179.9,3392.33,192,358
"85060",179.7,1805.31,89,478
"84797A",179.2,5236.63,61,552
"85206A",178.5,4513.12,318,266
"21545",176.8,1747.29,83,504
"84467",176.1,30484.32,83,500
"85047",175.0,6834.86,236,315
"84909A",172.7,2810.30,30,625
"22769",172.4,3714.77,45,338
"79320",171.9,4696.96,151,337
"21323",170.8,2799.78,81,497
"40018E",170.2,1043.54,81,502
"10002",168.3,6362.70,362,234
"20730",167.3,1485.40,102,460
"84795D",167.1,1683.58,83,493
"85221",166.8,1547.41,47,577
"22088",166.0,14868.81,619,156
"21911",163.0,4532.00,344,238
"21612",161.1,2121.24,113,435
"21765",161.0,3472.13,144,388
"85064",160.3,8068.30,280,242
"21924",159.2,2586.02,123,417
"37410",158.4,3550.23,34,610
"21687",156.8,2119.13,101,450
"22168",153.5,5212.41,314,241
"22415",153.1,2520.15,204,317
"22444",150.5,16592.89,456,140
"84815",150.3,1345.14,53,541
"21085",150.1,1902.24,66,515
"85124A",148.3,1311.31,105,433
"21410",147.0,1875.56,150,366
"21652",146.6,1829.08,79,478
"85206B",145.7,2608.40,183,322
"84797B",144.5,2467.24,53,542
"84795A",142.7,1933.74,71,491
"85067",140.0,8784.27,175,329
"22502",139.6,66750.61,932,74
"22524",139.2,3266.05,299,199
"20671",138.9,1177.37,143,364
"21540",137.4,2512.90,88,452
"21826",136.2,2504.78,241,267
"21127",135.8,1151.51,48,546
"21276",135.0,1497.48,29,609
"22719",132.5,2574.67,239,212
"22518",132.3,3284.22,270,205
"22021",132.2,2714.57,233,263
"21653",131.3,2719.34,111,373
"21100",131.1,4717.70,272,240
"85162C",131.1,1908.30,46,548
"21806",130.8,1279.70,128,374
"21667",130.4,6586.20,163,326
"85222",130.2,1621.21,50,535
"20960",128.8,2931.73,215,277
"23412",128.3,2425.46,76,59
"21795",128.1,3824.16,80,410
"21548",127.2,1972.39,107,402
"85063",127.0,5320.58,181,249
"21645",126.8,1686.45,133,336
"47502",126.6,7003.65,79,452
"21796",126.6,2794.94,67,485
"85040B",123.6,3873.00,255,241
"21274",123.5,2815.78,105,399
"48189",122.3,9839.32,279,225
"22855",122.0,6401.92,427,100
"47570B",121.5,10709.16,232,254
"21532",121.5,1447.42,91,424
"85121B",120.8,1269.98,48,529
"20871",120.1,2238.60,127,359
"35957",119.1,1683.54,148,330
"21099",118.3,1448.68,33,581
"22451",118.0,4918.33,238,210
"35962",116.6,1609.46,92,414
"47581B",115.2,1074.04,36,553
"37424",115.1,1019.39,108,382
"84596E",112.5,1521.02,218,252
"22202",111.9,5167.15,269,217
"21333",111.7,3354.89,222,248
"84854",111.3,2852.69,110,373
"21357",110.9,1965.10,211,255
"22519",110.8,3353.16,263,185
"84840",110.2,2641.44,140,259
"90167",110.1,1716.92,111,369
"21805",110.1,1040.46,103,383
"21478",109.8,1038.35,92,403
"21092",109.4,1617.66,29,582
"22184",109.0,4030.14,146,316
"47503K",108.5,1480.38,42,535
"37441",108.3,1970.10,54,494
"21011",107.6,1493.47,118,353
"21870",107.0,8009.06,630,107
"84459B",107.0,2744.73,213,245
"21610",105.2,1593.99,97,385
"84472",103.8,5194.34,30,576
"21010",103.0,1207.02,83,410
"20783",102.1,1423.42,56,479
"21444",99.5,1036.56,36,415
"21348",99.4,2116.23,133,317
"84985A",99.3,1250.51,161,282
"85031C",98.9,1491.51,106,358
"22272",98.9,4008.82,301,183
"22458",97.9,3981.33,174,233
"21717",96.7,4679.96,176,262
"85132A",96.1,6644.00,261,199
"85184D",96.0,2995.32,67,437
"84795C",95.7,3243.93,132,311
"84653",95.4,1047.46,12,625
"21009",94.7,1864.98,102,356
"21781",93.8,11041.59,364,151
"22323",93.8,1959.32,116,330
"22837",93.7,18327.46,450,74
"84918",93.6,1550.99,64,438
"85164B",93.5,2554.94,66,435
"22459",93.4,3614.52,174,226
"82615",91.0,1670.69,90,372
"21130",87.2,1282.71,50,470
"85098B",87.1,1587.33,114,271
"21691",86.5,1023.42,72,405
"22143",85.0,1026.56,70,407
"21283",85.0,1722.65,81,380
"21728",84.8,2850.12,40,504
"20878",84.0,1071.13,85,368
"22618",83.6,6132.79,243,163
"85055",83.3,1755.28,107,325
"84691",82.8,2358.50,236,192
"21732",82.8,3219.44,58,437
"21825",82.8,1074.33,75,389
"46775E",82.4,2311.55,51,453
"21895",82.0,1880.01,85,364
"21490",82.0,1319.00,55,445
"85170A",81.9,1740.28,84,366
"22127",81.6,4185.46,157,253
"22146",80.7,2834.01,107,317
"21033",80.5,13769.26,574,91
"21651",80.1,2340.47,124,290
"35958",79.5,1034.26,82,364
"85031B",78.8,1193.38,85,357
"84990",78.7,2104.95,193,214
"21836",78.0,1149.03,100,322
"21335",77.8,1140.24,28,485
"20738",76.8,1332.89,75,375
"21657",76.6,2365.31,118,291
"21282",76.5,1624.31,69,390
"21659",75.9,2131.90,66,397
"84762B",75.3,1101.24,48,452
"21361",75.1,8098.43,286,139
"45008C",74.2,1042.54,35,504
"18098C",73.9,6517.83,374,122
"21910",73.8,1464.66,111,295
"35160",73.6,1594.04,56,422
"47503J",72.0,3261.45,74,366
"85165",71.4,1586.32,59,406
"72800F",71.2,1090.66,67,383
"21324",71.0,3140.62,175,213
"20966",70.9,5347.23,420,107
"44230",70.4,5251.15,53,424
"21472",70.2,4486.19,285,146
"84405A",70.0,1171.27,51,430
"21692",70.0,1968.21,111,287
"21827",70.0,1113.59,134,254
"20716",69.4,2130.53,246,163
"84849B",69.1,3533.32,293,141
"84968B",69.0,7981.03,138,247
"21146",68.4,1569.79,58,402
"22482",68.1,2851.77,214,156
"21161",68.1,1951.82,206,184
"21614",68.1,4287.64,194,192
"21785",66.8,1564.06,100,296
"21759",66.6,1580.86,13,588
"84279B",66.5,3269.94,215,175
"22443",65.8,5801.67,264,125
"21272",65.6,3500.30,339,120
"21547",64.8,2028.59,119,261
"22830",64.4,3898.22,18,326
"22245",64.1,4387.80,413,98
"21179",63.8,3991.05,506,83
"20703",63.6,1925.44,169,189
"85018D",63.4,1000.05,80,328
"85118",63.3,1096.54,81,321
"21661",63.0,1708.37,98,289
"20798",62.6,1606.35,84,317
"21397",62.0,2384.94,181,188
"84763",61.3,2027.73,171,195
"35809A",61.3,2118.83,187,182
"21078",60.9,7261.33,741,56
"21655",60.6,2328.38,89,300
"22788",60.5,4208.54,84,176
"21752",59.9,1412.37,38,455
"21690",59.8,1052.48,82,312
"21656",59.3,2093.33,141,219
"22569",59.2,20173.02,784,45
"79000",58.8,10940.31,439,87
"85016",58.4,2591.41,167,192
"20734",58.4,1860.54,117,247
"85121C",58.2,1098.32,53,386
"22740",57.9,12412.19,301,70
"22957",57.9,5085.10,214,70
"21195",57.6,3226.64,150,205
"21398",55.4,2430.85,127,225
"85162A",55.1,1226.48,20,548
"35241",55.0,1922.19,131,219
"22149",54.9,26945.25,1383,28
"84750A",54.3,1489.11,106,245
"90200C",53.4,1167.01,98,262
"21904",53.2,1071.34,145,197
"72815",52.0,1161.72,70,317
"84509F",52.0,2494.20,46,394
"22854",51.0,6041.35,244,78
"22777",50.9,4286.14,100,140
"84562A",50.5,1675.32,78,291
"21171",50.4,2695.24,260,120
"21069",50.4,5128.43,279,113
"21681",50.4,2275.57,79,289
"84908B",50.1,1348.83,35,385
"21898",49.5,2727.74,113,226
"85179B",49.4,1113.12,45,389
"84908A",49.4,1313.72,36,392
"22480",49.3,2995.56,263,102
"85200",49.0,1354.23,105,234
"21538",48.8,1981.52,51,364
"77101A",48.7,1331.46,88,263
"20784",48.6,6131.09,39,414
"85031A",48.5,1252.68,102,239
"85008",47.9,1145.74,99,242
"90062",47.2,3688.59,109,224
"21043",47.1,2304.26,141,184
"21658",47.1,10593.60,519,56
"85132C",46.9,6807.15,307,98
"84856L",46.7,1807.11,81,266
"85232A",46.6,1938.39,140,185
"84685",46.5,1937.34,125,201
"22501",46.4,40726.02,772,32
"21897",46.3,2679.70,106,226
"21082",46.0,1632.66,163,163
"21363",45.2,5990.86,401,71
"17091A",45.1,1316.13,117,205
"72750B",44.9,1010.05,39,392
"84678",44.5,1204.11,81,261
"22060",44.1,5910.90,159,160
"20801",44.1,1974.14,111,197
"21839",43.7,1102.18,83,256
"20910",43.6,1049.44,47,358
"84313B",43.1,1814.34,84,252
"85049D",42.8,3029.37,402,71
"79030G",41.9,1767.06,123,188
"84830",41.8,1144.30,7,641
"21312",41.5,1235.24,27,453
"20684",40.9,2002.62,176,140
"22833",40.9,4313.49,13,309
"85049B",40.9,2741.12,342,79
"21632",40.9,1367.19,53,324
"37482P",40.8,1260.30,86,239
"21399",40.0,1622.45,118,187
"20786",40.0,6157.00,33,381
"85132B",39.9,3133.49,133,170
"21447",39.8,4801.68,336,78
"20787",39.3,4634.75,33,381
"84050",38.8,15626.07,716,38
"20658",38.6,2781.03,353,73
"21040",38.3,1240.25,68,268
"35915C",38.3,1055.88,83,234
"22764",37.9,3468.61,25,259
"84526",36.3,2843.48,34,386
"85162B",36.0,1905.15,13,548
"84750B",35.7,1319.21,78,233
"47503E",35.6,1204.40,25,436
"85049F",34.9,2671.61,314,74
"75131",34.7,1559.80,68,248
"23028",34.6,2752.42,137,36
"85220",34.3,3229.35,5,660
"22760",34.3,4846.93,120,95
"21609",34.1,4245.13,218,100
"22783",33.9,6355.43,45,178
"20892",33.8,1284.85,38,352
"21445",33.7,2025.88,146,139
"21735",33.5,10730.00,265,83
"84872A",33.4,5121.37,150,135
"16033",33.2,1501.32,50,294
"20803",33.0,1029.55,85,206
"85214",33.0,1081.11,169,120
"20941",32.8,1031.59,124,155
"85224",32.8,1190.78,61,260
"22052",32.6,1462.18,128,150
"84596L",31.9,1311.90,256,82
"23091",31.8,3849.39,209,28
"21792",31.8,2528.71,141,127
"21421",31.5,2220.91,106,169
"85130A",31.4,1272.58,86,199
"21143",31.0,4441.80,182,108
"21760",30.8,1490.00,14,455
"22194",30.8,3455.15,160,120
"37501",30.6,3691.85,177,107
"21360",30.4,2929.57,101,172
"84905",30.1,1623.57,105,162
"21769",29.8,7635.07,49,282
"84823",29.7,1170.05,29,304
"21187",29.5,2541.01,144,126
"85144",29.4,1032.35,70,219
"21278",29.3,1636.25,118,146
"84789",29.1,1622.78,124,140
"40016",28.9,6013.50,245,78
"85167B",28.9,1494.28,60,238
"47589",28.4,1150.91,76,199
"22244",27.5,9881.62,431,42
"84912A",27.4,3732.75,232,78
"22950",27.1,10944.68,352,32
"21784",27.1,4731.66,178,98
"85126",27.0,1110.22,34,315
"84313C",27.0,1823.63,74,188
"21188",26.7,2989.43,128,128
"21392",26.7,1079.61,48,266
"21246",26.5,4286.36,210,83
"23066",26.4,2303.72,85,56
"21320",26.4,1047.52,57,232
"85160A",26.2,1360.78,35,317
"22858",26.1,2011.08,139,63
"21829",26.0,3483.64,412,44
"22570",26.0,21055.32,807,20
"84873A",25.7,2633.32,75,190
"21071",25.7,5683.27,472,38
"21067",25.6,4318.86,266,65
"37333",25.6,1064.80,61,220
"21539",25.5,14677.92,714,25
"22652",25.4,18635.89,830,15
"84754",24.9,2775.98,218,76
"84709B",24.5,1393.76,86,165
"21743",24.2,3926.56,182,87
"22904",23.9,11513.91,463,22
"22461",23.8,3362.87,146,86
"21316",22.6,1275.18,47,242
"84688",22.5,1446.99,81,148
"20902",22.4,2737.09,116,120
"85141",22.3,1243.43,71,175
"20731",22.0,1268.54,73,171
"35653",21.8,1425.21,113,120
"22849",21.7,6451.60,162,50
"20977",21.2,5687.34,485,31
"20754",21.2,11494.12,852,18
"21992",21.1,10035.86,656,23
"85025C",21.0,1539.42,126,106
"40003",20.4,1301.69,60,185
"20785",20.2,5646.95,37,247
"15044B",20.1,4908.91,189,71
"85103",19.9,2483.16,88,137
"23134",19.9,6447.74,38,81
"37342",19.9,2168.63,131,97
"21662",19.7,2066.20,107,115
"22665",19.7,11876.92,709,14
"22035",19.6,1833.68,362,38
"21587",19.6,5203.65,260,52
"85198",19.4,1517.76,51,204
"23297",19.3,6864.56,161,16
"84686",19.3,1357.64,76,151
"22157",19.1,1400.85,124,99
"79323W",19.0,12257.79,350,38
"37482B",18.7,1196.57,10,495
"22180",18.5,10855.46,410,32
"20967",18.3,4148.59,297,43
"84466",17.9,1073.17,73,147
"17096",17.9,1152.53,76,142
"22412",17.3,5616.34,402,28
"22256",17.0,1359.56,119,92
"21448",16.6,1803.59,211,54
"84507B",16.4,1894.16,115,93
"22548",16.4,4935.52,429,23
"84856S",16.2,1948.12,33,239
"84660C",16.0,1665.85,113,92
"20984",15.9,1949.87,246,45
"20773",15.5,1036.36,117,87
"21163",15.2,1892.49,253,42
"22271",15.2,13759.80,787,14
"20702",15.1,3368.65,245,43
"22759",15.0,17551.82,795,9
"84352",14.9,3660.41,127,78
"85116",14.8,3209.82,181,56
"21801",14.8,2139.00,258,40
"79323P",14.4,10356.41,266,38
"22427",14.3,20777.88,805,10
"84631",14.1,1473.12,50,161
"21641",14.0,1151.49,111,83
"21359",13.9,2279.26,73,119
"21364",13.9,3770.29,167,57
"20886",13.9,3907.34,308,32
"22336",13.9,2440.21,215,45
"20701",13.7,1045.48,50,161
"85017B",13.5,1689.59,317,30
"85087",13.4,2454.27,146,62
"84967B",13.4,1189.45,11,401
"84637",13.3,2041.73,114,76
"22700",13.1,3165.23,99,62
"84508A",13.0,8087.31,109,79
"22637",12.9,12436.72,600,12
"21002",12.8,2546.94,184,47
"47504K",12.7,3393.54,312,29
"22892",12.4,4267.37,295,17
"22147",12.3,17406.31,1132,8
"84910A",12.3,1325.23,53,141
"37343",12.1,2125.78,105,77
"47574A",11.9,1141.96,129,62
"84913A",11.8,3911.58,266,31
"84818",11.7,2509.84,215,38
"20897",11.7,1048.10,75,101
"21794",11.7,3797.96,179,42
"37370",11.6,13687.66,494,17
"20774",11.5,1081.96,120,65
"15060B",11.4,8784.72,454,18
"84559B",11.3,1265.78,220,36
"85035A",11.2,2494.51,181,43
"37479B",11.2,1180.22,34,176
"85131A",11.1,2165.51,199,39
"21157",11.1,1953.62,176,44
"22579",11.1,4270.22,554,10
"20700",11.0,1822.60,103,71
"21041",10.9,11761.63,525,15
"21586",10.7,5965.20,238,32
"23268",10.7,2038.70,92,19
"21407",10.6,7151.91,453,17
"22241",10.5,7204.47,474,16
"23065",10.4,3739.58,99,20
"22062",10.4,1439.88,127,56
"22322",10.3,2142.67,272,27
"72816",10.3,2019.72,136,52
"72802B",10.2,3770.08,212,34
"20998",10.2,1247.17,127,55
"20711",10.1,31084.17,1056,7
"90209B",9.9,1007.72,97,68
"23032",9.6,4024.56,200,8
"35810A",9.5,1925.02,171,39
"84660B",9.5,1100.67,67,93
"21738",9.5,1511.01,131,50
"84944",9.4,3505.81,196,34
"22268",9.4,1447.72,236,28
"22859",9.3,2223.30,165,23
"79323LP",9.2,5948.58,171,38
"21332",9.1,1735.69,50,115
"21424",9.0,3831.84,143,44
"21349",9.0,4774.46,171,37
"10133",8.9,2823.03,290,22
"22236",8.9,13857.89,424,15
"23159",8.9,4812.31,223,10
"21613",8.7,1920.30,145,42
"35400",8.7,16508.65,420,15
"84016",8.7,7115.66,67,85
"21294",8.6,1842.12,140,43
"22829",8.6,2692.94,118,27
"21811",8.5,5197.67,382,16
"85124C",8.4,1282.89,123,47
"22137",8.3,1599.86,43,120
"85078",8.3,1533.19,162,36
"85035B",8.3,2938.10,137,42
"20830",8.2,1391.88,83,67
"21802",8.1,2831.02,323,18
"21637",8.0,1923.16,93,59
"85032D",8.0,1584.50,134,42
