"stock_code","numeric_part","trailing_letter"
"17011D",17011,"D"
"17011E",17011,"E"
"17011F",17011,"F"
"17012A",17012,"A"
"17012B",17012,"B"
"17012C",17012,"C"
"17012D",17012,"D"
"17012E",17012,"E"
"17012F",17012,"F"
"17013A",17013,"A"
"17013B",17013,"B"
"17013C",17013,"C"
"17013D",17013,"D"
"17013E",17013,"E"
"17013F",17013,"F"
"17014A",17014,"A"
"17014B",17014,"B"
"17014C",17014,"C"
"17014D",17014,"D"
"17014E",17014,"E"
"17014F",17014,"F"
"17027A",17027,"A"
"17028J",17028,"J"
"17084A",17084,"A"
"17084F",17084,"F"
"17084G",17084,"G"
"17084J",17084,"J"
"17084N",17084,"N"
"17084P",17084,"P"
"17084R",17084,"R"
"17090A",17090,"A"
"17090D",17090,"D"
"17091A",17091,"A"
"17091B",17091,"B"
"17091F",17091,"F"
"17091J",17091,"J"
"17107D",17107,"D"
"17108D",17108,"D"
"17109A",17109,"A"
"17109B",17109,"B"
"17109C",17109,"C"
"17109D",17109,"D"
"17129C",17129,"C"
"17129D",17129,"D"
"17129F",17129,"F"
"17136A",17136,"A"
"17164B",17164,"B"
"17164D",17164,"D"
"17165B",17165,"B"
"17165D",17165,"D"
"17191A",17191,"A"
"18094A",18094,"A"
"18094C",18094,"C"
"18096B",18096,"B"
"18096c",18096,"c"
"18096C",18096,"C"
"18097A",18097,"A"
"18097B",18097,"B"
"18097C",18097,"C"
"18098A",18098,"A"
"18098B",18098,"B"
"18098c",18098,"c"
"18098C",18098,"C"
"30086C",30086,"C"
"35001B",35001,"B"
"35001C",35001,"C"
"35001G",35001,"G"
"35001P",35001,"P"
"35001W",35001,"W"
"35004B",35004,"B"
"35004c",35004,"c"
"35004C",35004,"C"
"35004G",35004,"G"
"35004p",35004,"p"
"35004P",35004,"P"
"35004s",35004,"s"
"35004S",35004,"S"
"35051B",35051,"B"
"35085E",35085,"E"
"35095A",35095,"A"
"35095B",35095,"B"
"35096A",35096,"A"
"35096B",35096,"B"
"35271S",35271,"S"
"35471A",35471,"A"
"35471B",35471,"B"
"35471D",35471,"D"
"35591G",35591,"G"
"35591T",35591,"T"
"35592T",35592,"T"
"35597A",35597,"A"
"35597B",35597,"B"
"35597D",35597,"D"
"35598A",35598,"A"
"35598B",35598,"B"
"35598C",35598,"C"
"35598D",35598,"D"
"35599B",35599,"B"
"35599D",35599,"D"
"35600A",35600,"A"
"35600D",35600,"D"
"35603B",35603,"B"
"35603C",35603,"C"
"35604B",35604,"B"
"35605A",35605,"A"
"35607A",35607,"A"
"35607B",35607,"B"
"35608A",35608,"A"
"35608C",35608,"C"
"35609A",35609,"A"
"35610A",35610,"A"
"35610B",35610,"B"
"35610C",35610,"C"
"35611B",35611,"B"
"35630B",35630,"B"
"35631A",35631,"A"
"35631B",35631,"B"
"35632A",35632,"A"
"35633B",35633,"B"
"35637A",35637,"A"
"35637C",35637,"C"
"35638A",35638,"A"
"35638B",35638,"B"
"35751A",35751,"A"
"35751C",35751,"C"
"35751D",35751,"D"
"35809a",35809,"a"
"35809A",35809,"A"
"35809B",35809,"B"
"35810A",35810,"A"
"35810B",35810,"B"
"35811A",35811,"A"
"35813A",35813,"A"
"35815B",35815,"B"
"35815P",35815,"P"
"35816B",35816,"B"
"35816P",35816,"P"
"35817B",35817,"B"
"35817P",35817,"P"
"35818B",35818,"B"
"35818C",35818,"C"
"35818P",35818,"P"
"35819B",35819,"B"
"35819P",35819,"P"
"35821B",35821,"B"
"35821P",35821,"P"
"35822B",35822,"B"
"35822P",35822,"P"
"35823P",35823,"P"
"35824B",35824,"B"
"35824C",35824,"C"
"35824P",35824,"P"
"35833G",35833,"G"
"35833P",35833,"P"
"35838A",35838,"A"
"35838B",35838,"B"
"35908C",35908,"C"
"35909A",35909,"A"
"35909B",35909,"B"
"35910A",35910,"A"
"35910B",35910,"B"
"35911A",35911,"A"
"35911B",35911,"B"
"35912B",35912,"B"
"35913B",35913,"B"
"35915A",35915,"A"
"35915B",35915,"B"
"35915C",35915,"C"
"35916A",35916,"A"
"35916B",35916,"B"
"35916C",35916,"C"
"35918B",35918,"B"
"35975A",35975,"A"
"35975B",35975,"B"
"35976B",35976,"B"
"35977B",35977,"B"
"35980A",35980,"A"
"35980B",35980,"B"
"35980C",35980,"C"
"35981C",35981,"C"
"37365Y",37365,"Y"
"37379A",37379,"A"
"37379B",37379,"B"
"37444A",37444,"A"
"37444B",37444,"B"
"37444C",37444,"C"
"37445A",37445,"A"
"37445C",37445,"C"
"37445D",37445,"D"
"37452A",37452,"A"
"37452B",37452,"B"
"37462B",37462,"B"
"37462E",37462,"E"
"37477B",37477,"B"
"37477C",37477,"C"
"37477D",37477,"D"
"37479B",37479,"B"
"37479P",37479,"P"
"37482b",37482,"b"
"37482B",37482,"B"
"37482p",37482,"p"
"37482P",37482,"P"
"37487B",37487,"B"
"37488A",37488,"A"
"37489A",37489,"A"
"37489B",37489,"B"
"37489C",37489,"C"
"37489D",37489,"D"
"37490C",37490,"C"
"37490D",37490,"D"
"37491A",37491,"A"
"37491B",37491,"B"
"37491C",37491,"C"
"37491D",37491,"D"
"37492A",37492,"A"
"37492B",37492,"B"
"37492C",37492,"C"
"37492D",37492,"D"
"37493B",37493,"B"
"37493C",37493,"C"
"37493D",37493,"D"
"37494a",37494,"a"
"37494A",37494,"A"
"40005B",40005,"B"
"40018E",40018,"E"
"40018F",40018,"F"
"40046A",40046,"A"
"40046C",40046,"C"
"44089A",44089,"A"
"44089C",44089,"C"
"44091A",44091,"A"
"44091C",44091,"C"
"44092B",44092,"B"
"44092C",44092,"C"
"44217M",44217,"M"
"44241C",44241,"C"
"44242A",44242,"A"
"44242B",44242,"B"
"44242C",44242,"C"
"44266F",44266,"F"
"45007B",45007,"B"
"45008C",45008,"C"
"45008L",45008,"L"
"46000M",46000,"M"
"46000P",46000,"P"
"46000R",46000,"R"
"46000S",46000,"S"
"46000U",46000,"U"
"46037A",46037,"A"
"46115B",46115,"B"
"46126A",46126,"A"
"46137D",46137,"D"
"46138B",46138,"B"
"46138D",46138,"D"
"46775A",46775,"A"
"46775B",46775,"B"
"46775D",46775,"D"
"46775E",46775,"E"
"46776a",46776,"a"
"46776A",46776,"A"
"46776b",46776,"b"
"46776B",46776,"B"
"46776C",46776,"C"
"46776D",46776,"D"
"46776e",46776,"e"
"46776E",46776,"E"
"46776f",46776,"f"
"46776F",46776,"F"
"47013A",47013,"A"
"47013C",47013,"C"
"47021G",47021,"G"
"47284V",47284,"V"
"47285B",47285,"B"
"47310M",47310,"M"
"47340A",47340,"A"
"47340B",47340,"B"
"47341A",47341,"A"
"47341B",47341,"B"
"47343A",47343,"A"
"47344B",47344,"B"
"47347A",47347,"A"
"47347B",47347,"B"
"47348A",47348,"A"
"47351B",47351,"B"
"47367B",47367,"B"
"47369A",47369,"A"
"47369B",47369,"B"
"47503A",47503,"A"
"47503E",47503,"E"
"47503F",47503,"F"
"47503G",47503,"G"
"47503H",47503,"H"
"47503J",47503,"J"
"47503K",47503,"K"
"47504E",47504,"E"
"47504F",47504,"F"
"47504G",47504,"G"
"47504H",47504,"H"
"47504J",47504,"J"
"47504K",47504,"K"
"47518f",47518,"f"
"47518F",47518,"F"
"47552A",47552,"A"
"47556b",47556,"b"
"47556B",47556,"B"
"47559b",47559,"b"
"47559B",47559,"B"
"47563A",47563,"A"
"47563B",47563,"B"
"47566b",47566,"b"
"47566B",47566,"B"
"47567b",47567,"b"
"47567B",47567,"B"
"47570b",47570,"b"
"47570B",47570,"B"
"47574A",47574,"A"
"47574B",47574,"B"
"47578A",47578,"A"
"47581A",47581,"A"
"47581B",47581,"B"
"47583A",47583,"A"
"47583B",47583,"B"
"47585A",47585,"A"
"47586A",47586,"A"
"47587A",47587,"A"
"47590a",47590,"a"
"47590A",47590,"A"
"47590b",47590,"b"
"47590B",47590,"B"
"47591A",47591,"A"
"47591b",47591,"b"
"47591B",47591,"B"
"47591c",47591,"c"
"47591C",47591,"C"
"47591d",47591,"d"
"47591D",47591,"D"
"47592A",47592,"A"
"47592B",47592,"B"
"47593a",47593,"a"
"47593A",47593,"A"
"47593b",47593,"b"
"47593B",47593,"B"
"47594a",47594,"a"
"47594A",47594,"A"
"47594B",47594,"B"
"47595B",47595,"B"
"47599A",47599,"A"
"47599B",47599,"B"
"48173A",48173,"A"
"48173c",48173,"c"
"48173C",48173,"C"
"49031B",49031,"B"
"51012C",51012,"C"
"51012L",51012,"L"
"51014A",51014,"A"
"51014c",51014,"c"
"51014C",51014,"C"
"51014L",51014,"L"
"51020A",51020,"A"
"51020B",51020,"B"
"62043B",62043,"B"
"62074B",62074,"B"
"62086A",62086,"A"
"62094B",62094,"B"
"62095B",62095,"B"
"62096A",62096,"A"
"62096B",62096,"B"
"62097A",62097,"A"
"62097B",62097,"B"
"70037L",70037,"L"
"71028A",71028,"A"
"71028B",71028,"B"
"71101A",71101,"A"
"71101E",71101,"E"
"71263G",71263,"G"
"71406B",71406,"B"
"71406C",71406,"C"
"71409B",71409,"B"
"71434B",71434,"B"
"71495A",71495,"A"
"71495B",71495,"B"
"71496A",71496,"A"
"71496B",71496,"B"
"72023F",72023,"F"
"72024HC",72024,"HC"
"72024U",72024,"U"
"72038B",72038,"B"
"72038P",72038,"P"
"72045A",72045,"A"
"72045D",72045,"D"
"72051S",72051,"S"
"72083A",72083,"A"
"72084B",72084,"B"
"72140D",72140,"D"
"72140E",72140,"E"
"72140F",72140,"F"
"72225C",72225,"C"
"72225D",72225,"D"
"72226D",72226,"D"
"72331R",72331,"R"
"72348B",72348,"B"
"72349b",72349,"b"
"72349B",72349,"B"
"72351a",72351,"a"
"72351A",72351,"A"
"72351B",72351,"B"
"72369A",72369,"A"
"72529w",72529,"w"
"72529W",72529,"W"
"72606A",72606,"A"
"72620A",72620,"A"
"72655C",72655,"C"
"72671B",72671,"B"
"72697A",72697,"A"
"72739B",72739,"B"
"72739C",72739,"C"
"72740A",72740,"A"
"72740B",72740,"B"
"72750A",72750,"A"
"72750B",72750,"B"
"72750C",72750,"C"
"72750D",72750,"D"
"72751A",72751,"A"
"72751B",72751,"B"
"72751C",72751,"C"
"72751D",72751,"D"
"72752A",72752,"A"
"72752B",72752,"B"
"72752C",72752,"C"
"72752D",72752,"D"
"72753A",72753,"A"
"72753B",72753,"B"
"72753C",72753,"C"
"72753D",72753,"D"
"72754A",72754,"A"
"72754B",72754,"B"
"72754C",72754,"C"
"72754D",72754,"D"
"72755A",72755,"A"
"72755B",72755,"B"
"72755C",72755,"C"
"72755D",72755,"D"
"72760B",72760,"B"
"72771B",72771,"B"
"72771C",72771,"C"
"72785A",72785,"A"
"72785B",72785,"B"
"72796A",72796,"A"
"72796B",72796,"B"
"72796C",72796,"C"
"72798A",72798,"A"
"72798B",72798,"B"
"72798C",72798,"C"
"72799A",72799,"A"
"72799B",72799,"B"
"72799C",72799,"C"
"72799D",72799,"D"
"72799E",72799,"E"
"72799F",72799,"F"
"72800A",72800,"A"
"72800B",72800,"B"
"72800C",72800,"C"
"72800D",72800,"D"
"72800E",72800,"E"
"72800F",72800,"F"
"72801c",72801,"c"
"72801C",72801,"C"
"72801d",72801,"d"
"72801D",72801,"D"
"72801e",72801,"e"
"72801E",72801,"E"
"72801F",72801,"F"
"72801g",72801,"g"
"72801G",72801,"G"
"72801H",72801,"H"
"72802a",72802,"a"
"72802A",72802,"A"
"72802B",72802,"B"
"72802c",72802,"c"
"72802C",72802,"C"
"72803A",72803,"A"
"72803b",72803,"b"
"72803B",72803,"B"
"72807a",72807,"a"
"72807A",72807,"A"
"72807b",72807,"b"
"72807B",72807,"B"
"72807c",72807,"c"
"72807C",72807,"C"
"75013B",75013,"B"
"75049L",75049,"L"
"75149N",75149,"N"
"77101A",77101,"A"
"78034B",78034,"B"
"79003B",79003,"B"
"79023B",79023,"B"
"79026B",79026,"B"
"79030A",79030,"A"
"79030D",79030,"D"
"79030G",79030,"G"
"79051a",79051,"a"
"79051A",79051,"A"
"79053A",79053,"A"
"79053B",79053,"B"
"79053D",79053,"D"
"79057B",79057,"B"
"79062D",79062,"D"
"79063C",79063,"C"
"79063D",79063,"D"
"79064C",79064,"C"
"79065A",79065,"A"
"79065B",79065,"B"
"79066k",79066,"k"
"79066K",79066,"K"
"79069A",79069,"A"
"79070b",79070,"b"
"79070B",79070,"B"
"79071A",79071,"A"
"79071B",79071,"B"
"79082C",79082,"C"
"79144B",79144,"B"
"79144C",79144,"C"
"79149B",79149,"B"
"79151B",79151,"B"
"79157B",79157,"B"
"79157V",79157,"V"
"79161A",79161,"A"
"79172D",79172,"D"
"79190A",79190,"A"
"79190B",79190,"B"
"79190D",79190,"D"
"79191B",79191,"B"
"79191C",79191,"C"
"79191D",79191,"D"
"79192A",79192,"A"
"79302C",79302,"C"
"79302J",79302,"J"
"79302m",79302,"m"
"79302M",79302,"M"
"79303A",79303,"A"
"79303B",79303,"B"
"79303D",79303,"D"
"79308B",79308,"B"
"79309A",79309,"A"
"79315B",79315,"B"
"79315W",79315,"W"
"79323B",79323,"B"
"79323G",79323,"G"
"79323GR",79323,"GR"
"79323LP",79323,"LP"
"79323P",79323,"P"
"79323S",79323,"S"
"79323W",79323,"W"
"79340P",79340,"P"
"79340W",79340,"W"
"79342b",79342,"b"
"79342B",79342,"B"
"81950B",81950,"B"
"81950V",81950,"V"
"81952B",81952,"B"
"81952V",81952,"V"
"81953B",81953,"B"
"81953P",81953,"P"
"81985A",81985,"A"
"82001s",82001,"s"
"82001S",82001,"S"
"82011A",82011,"A"
"82011B",82011,"B"
"82011C",82011,"C"
"82011E",82011,"E"
"82039C",82039,"C"
"82494l",82494,"l"
"82494L",82494,"L"
"82545A",82545,"A"
"82607A",82607,"A"
"82607C",82607,"C"
"82607E",82607,"E"
"82613a",82613,"a"
"82613A",82613,"A"
"82613b",82613,"b"
"82613B",82613,"B"
"82613c",82613,"c"
"82613C",82613,"C"
"82613D",82613,"D"
"82616A",82616,"A"
"82616B",82616,"B"
"82616C",82616,"C"
"84029c",84029,"c"
"84029C",84029,"C"
"84029D",84029,"D"
"84029E",84029,"E"
"84029G",84029,"G"
"84030b",84030,"b"
"84030B",84030,"B"
"84030c",84030,"c"
"84030C",84030,"C"
"84030e",84030,"e"
"84030E",84030,"E"
"84031a",84031,"a"
"84031A",84031,"A"
"84031b",84031,"b"
"84031B",84031,"B"
"84032A",84032,"A"
"84032B",84032,"B"
"84078A",84078,"A"
"84086B",84086,"B"
"84086C",84086,"C"
"84201B",84201,"B"
"84201C",84201,"C"
"84205C",84205,"C"
"84206A",84206,"A"
"84206B",84206,"B"
"84206C",84206,"C"
"84247B",84247,"B"
"84247C",84247,"C"
"84247D",84247,"D"
"84247E",84247,"E"
"84247G",84247,"G"
"84247H",84247,"H"
"84247J",84247,"J"
"84247K",84247,"K"
"84247L",84247,"L"
"84247N",84247,"N"
"84248B",84248,"B"
"84248E",84248,"E"
"84248F",84248,"F"
"84249A",84249,"A"
"84249D",84249,"D"
"84250H",84250,"H"
"84250M",84250,"M"
"84251B",84251,"B"
"84251C",84251,"C"
"84251F",84251,"F"
"84251G",84251,"G"
"84251J",84251,"J"
"84255A",84255,"A"
"84255B",84255,"B"
"84279B",84279,"B"
"84279P",84279,"P"
"84288B",84288,"B"
"84292B",84292,"B"
"84313A",84313,"A"
"84313B",84313,"B"
"84313C",84313,"C"
"84327A",84327,"A"
"84341A",84341,"A"
"84341B",84341,"B"
"84387A",84387,"A"
"84402B",84402,"B"
"84402C",84402,"C"
"84402D",84402,"D"
"84405A",84405,"A"
"84406b",84406,"b"
"84406B",84406,"B"
"84414B",84414,"B"
"84415A",84415,"A"
"84415B",84415,"B"
"84424A",84424,"A"
"84425A",84425,"A"
"84427B",84427,"B"
"84429A",84429,"A"
"84437A",84437,"A"
"84439B",84439,"B"
"84440B",84440,"B"
"84444C",84444,"C"
"84450A",84450,"A"
"84450B",84450,"B"
"84459A",84459,"A"
"84459B",84459,"B"
"84460A",84460,"A"
"84476A",84476,"A"
"84494B",84494,"B"
"84507B",84507,"B"
"84507C",84507,"C"
"84508A",84508,"A"
"84508B",84508,"B"
"84508C",84508,"C"
"84509a",84509,"a"
"84509A",84509,"A"
"84509b",84509,"b"
"84509B",84509,"B"
"84509c",84509,"c"
"84509C",84509,"C"
"84509e",84509,"e"
"84509E",84509,"E"
"84509F",84509,"F"
"84509g",84509,"g"
"84509G",84509,"G"
"84510a",84510,"a"
"84510A",84510,"A"
"84510b",84510,"b"
"84510B",84510,"B"
"84510c",84510,"c"
"84510C",84510,"C"
"84510e",84510,"e"
"84510E",84510,"E"
"84510F",84510,"F"
"84519A",84519,"A"
"84519B",84519,"B"
"84519D",84519,"D"
"84520b",84520,"b"
"84520B",84520,"B"
"84520D",84520,"D"
"84529A",84529,"A"
"84529B",84529,"B"
"84529C",84529,"C"
"84531A",84531,"A"
"84531B",84531,"B"
"84532B",84532,"B"
"84533B",84533,"B"
"84534b",84534,"b"
"84534B",84534,"B"
"84535A",84535,"A"
"84535B",84535,"B"
"84536a",84536,"a"
"84536A",84536,"A"
"84536b",84536,"b"
"84536B",84536,"B"
"84537B",84537,"B"
"84555A",84555,"A"
"84558a",84558,"a"
"84558A",84558,"A"
"84558B",84558,"B"
"84559a",84559,"a"
"84559A",84559,"A"
"84559b",84559,"b"
"84559B",84559,"B"
"84559d",84559,"d"
"84559D",84559,"D"
"84562A",84562,"A"
"84562B",84562,"B"
"84563A",84563,"A"
"84563B",84563,"B"
"84569A",84569,"A"
"84569B",84569,"B"
"84569C",84569,"C"
"84569D",84569,"D"
"84570B",84570,"B"
"84575A",84575,"A"
"84575B",84575,"B"
"84585L",84585,"L"
"84586L",84586,"L"
"84595B",84595,"B"
"84595E",84595,"E"
"84596b",84596,"b"
"84596B",84596,"B"
"84596e",84596,"e"
"84596E",84596,"E"
"84596f",84596,"f"
"84596F",84596,"F"
"84596g",84596,"g"
"84596G",84596,"G"
"84596I",84596,"I"
"84596j",84596,"j"
"84596J",84596,"J"
"84596K",84596,"K"
"84596l",84596,"l"
"84596L",84596,"L"
"84597A",84597,"A"
"84597B",84597,"B"
"84597C",84597,"C"
"84600A",84600,"A"
"84601A",84601,"A"
"84611B",84611,"B"
"84612B",84612,"B"
"84613A",84613,"A"
"84613C",84613,"C"
"84614A",84614,"A"
"84614C",84614,"C"
"84625A",84625,"A"
"84625B",84625,"B"
"84625C",84625,"C"
"84625D",84625,"D"
"84659A",84659,"A"
"84660a",84660,"a"
"84660A",84660,"A"
"84660b",84660,"b"
"84660B",84660,"B"
"84660c",84660,"c"
"84660C",84660,"C"
"84661a",84661,"a"
"84661A",84661,"A"
"84661b",84661,"b"
"84661B",84661,"B"
"84661c",84661,"c"
"84661C",84661,"C"
"84663A",84663,"A"
"84671A",84671,"A"
"84671B",84671,"B"
"84672A",84672,"A"
"84673A",84673,"A"
"84673B",84673,"B"
"84705A",84705,"A"
"84705b",84705,"b"
"84705B",84705,"B"
"84705C",84705,"C"
"84705D",84705,"D"
"84705E",84705,"E"
"84705F",84705,"F"
"84706A",84706,"A"
"84706B",84706,"B"
"84706C",84706,"C"
"84706D",84706,"D"
"84706E",84706,"E"
"84706F",84706,"F"
"84707A",84707,"A"
"84707B",84707,"B"
"84708B",84708,"B"
"84709A",84709,"A"
"84709B",84709,"B"
"84711A",84711,"A"
"84711B",84711,"B"
"84712B",84712,"B"
"84732B",84732,"B"
"84732D",84732,"D"
"84741C",84741,"C"
"84743C",84743,"C"
"84745A",84745,"A"
"84745B",84745,"B"
"84750A",84750,"A"
"84750B",84750,"B"
"84750C",84750,"C"
"84751B",84751,"B"
"84752B",84752,"B"
"84753A",84753,"A"
"84760L",84760,"L"
"84760S",84760,"S"
"84762A",84762,"A"
"84762B",84762,"B"
"84762C",84762,"C"
"84782A",84782,"A"
"84782B",84782,"B"
"84782C",84782,"C"
"84795A",84795,"A"
"84795b",84795,"b"
"84795B",84795,"B"
"84795C",84795,"C"
"84795D",84795,"D"
"84795E",84795,"E"
"84796a",84796,"a"
"84796A",84796,"A"
"84796b",84796,"b"
"84796B",84796,"B"
"84797a",84797,"a"
"84797A",84797,"A"
"84797b",84797,"b"
"84797B",84797,"B"
"84798A",84798,"A"
"84798B",84798,"B"
"84798C",84798,"C"
"84800L",84800,"L"
"84800M",84800,"M"
"84800S",84800,"S"
"84801A",84801,"A"
"84801B",84801,"B"
"84802A",84802,"A"
"84802B",84802,"B"
"84803A",84803,"A"
"84803B",84803,"B"
"84804A",84804,"A"
"84804B",84804,"B"
"84805A",84805,"A"
"84805B",84805,"B"
"84806A",84806,"A"
"84806B",84806,"B"
"84809A",84809,"A"
"84809B",84809,"B"
"84810C",84810,"C"
"84811A",84811,"A"
"84814A",84814,"A"
"84814B",84814,"B"
"84845A",84845,"A"
"84845B",84845,"B"
"84845C",84845,"C"
"84845D",84845,"D"
"84846A",84846,"A"
"84849A",84849,"A"
"84849B",84849,"B"
"84849C",84849,"C"
"84849D",84849,"D"
"84856L",84856,"L"
"84856S",84856,"S"
"84857A",84857,"A"
"84857B",84857,"B"
"84857C",84857,"C"
"84858A",84858,"A"
"84858B",84858,"B"
"84858C",84858,"C"
"84859A",84859,"A"
"84859B",84859,"B"
"84859C",84859,"C"
"84864A",84864,"A"
"84867a",84867,"a"
"84867A",84867,"A"
"84867b",84867,"b"
"84867B",84867,"B"
"84868A",84868,"A"
"84868B",84868,"B"
"84870B",84870,"B"
"84870C",84870,"C"
"84872a",84872,"a"
"84872A",84872,"A"
"84873a",84873,"a"
"84873A",84873,"A"
"84873B",84873,"B"
"84874A",84874,"A"
"84874B",84874,"B"
"84875A",84875,"A"
"84875B",84875,"B"
"84875D",84875,"D"
"84876B",84876,"B"
"84876C",84876,"C"
"84876D",84876,"D"
"84877A",84877,"A"
"84877B",84877,"B"
"84877C",84877,"C"
"84877D",84877,"D"
"84884a",84884,"a"
"84884A",84884,"A"
"84891B",84891,"B"
"84896C",84896,"C"
"84897A",84897,"A"
"84898E",84898,"E"
"84898F",84898,"F"
"84899A",84899,"A"
"84899E",84899,"E"
"84899F",84899,"F"
"84908A",84908,"A"
"84908B",84908,"B"
"84909A",84909,"A"
"84910A",84910,"A"
"84912a",84912,"a"
"84912A",84912,"A"
"84912B",84912,"B"
"84913A",84913,"A"
"84913B",84913,"B"
"84914A",84914,"A"
"84924A",84924,"A"
"84924D",84924,"D"
"84924F",84924,"F"
"84925A",84925,"A"
"84925C",84925,"C"
"84925D",84925,"D"
"84925E",84925,"E"
"84925F",84925,"F"
"84926A",84926,"A"
"84926B",84926,"B"
"84926C",84926,"C"
"84926D",84926,"D"
"84926E",84926,"E"
"84926F",84926,"F"
"84927A",84927,"A"
"84927C",84927,"C"
"84927D",84927,"D"
"84927E",84927,"E"
"84927F",84927,"F"
"84931A",84931,"A"
"84931B",84931,"B"
"84932A",84932,"A"
"84932B",84932,"B"
"84932C",84932,"C"
"84932D",84932,"D"
"84933A",84933,"A"
"84933B",84933,"B"
"84933C",84933,"C"
"84933D",84933,"D"
"84951A",84951,"A"
"84951b",84951,"b"
"84951B",84951,"B"
"84952A",84952,"A"
"84952B",84952,"B"
"84952C",84952,"C"
"84963A",84963,"A"
"84963B",84963,"B"
"84964A",84964,"A"
"84964B",84964,"B"
"84965A",84965,"A"
"84965B",84965,"B"
"84966A",84966,"A"
"84966B",84966,"B"
"84966C",84966,"C"
"84967A",84967,"A"
"84967B",84967,"B"
"84967C",84967,"C"
"84968a",84968,"a"
"84968A",84968,"A"
"84968b",84968,"b"
"84968B",84968,"B"
"84968C",84968,"C"
"84968d",84968,"d"
"84968D",84968,"D"
"84968e",84968,"e"
"84968E",84968,"E"
"84968f",84968,"f"
"84968F",84968,"F"
"84970l",84970,"l"
"84970L",84970,"L"
"84970s",84970,"s"
"84970S",84970,"S"
"84971l",84971,"l"
"84971L",84971,"L"
"84971s",84971,"s"
"84971S",84971,"S"
"84972L",84972,"L"
"84972M",84972,"M"
"84984A",84984,"A"
"84984B",84984,"B"
"84984C",84984,"C"
"84984D",84984,"D"
"84985a",84985,"a"
"84985A",84985,"A"
"84985b",84985,"b"
"84985B",84985,"B"
"84986A",84986,"A"
"84986b",84986,"b"
"84986B",84986,"B"
"84989a",84989,"a"
"84989A",84989,"A"
"84989b",84989,"b"
"84989B",84989,"B"
"84993a",84993,"a"
"84993A",84993,"A"
"84993b",84993,"b"
"84993B",84993,"B"
"84997a",84997,"a"
"84997A",84997,"A"
"84997b",84997,"b"
"84997B",84997,"B"
"84997c",84997,"c"
"84997C",84997,"C"
"84997d",84997,"d"
"84997D",84997,"D"
"85014a",85014,"a"
"85014A",85014,"A"
"85014b",85014,"b"
"85014B",85014,"B"
"85014C",85014,"C"
"85014D",85014,"D"
"85017A",85017,"A"
"85017B",85017,"B"
"85017C",85017,"C"
"85017D",85017,"D"
"85018A",85018,"A"
"85018B",85018,"B"
"85018C",85018,"C"
"85018D",85018,"D"
"85019A",85019,"A"
"85019B",85019,"B"
"85019C",85019,"C"
"85023A",85023,"A"
"85023B",85023,"B"
"85023C",85023,"C"
"85024A",85024,"A"
"85024B",85024,"B"
"85024C",85024,"C"
"85025A",85025,"A"
"85025B",85025,"B"
"85025C",85025,"C"
"85026B",85026,"B"
"85027L",85027,"L"
"85028L",85028,"L"
"85028S",85028,"S"
"85031A",85031,"A"
"85031B",85031,"B"
"85031C",85031,"C"
"85032A",85032,"A"
"85032B",85032,"B"
"85032C",85032,"C"
"85032D",85032,"D"
"85033G",85033,"G"
"85033S",85033,"S"
"85034a",85034,"a"
"85034A",85034,"A"
"85034b",85034,"b"
"85034B",85034,"B"
"85034C",85034,"C"
"85035a",85035,"a"
"85035A",85035,"A"
"85035b",85035,"b"
