"customer_id","recency_days","frequency_completed","monetary_gross"
"12539",21,7,11186.75
"12540",19,32,19250.49
"12541",29,3,841.18
"12542",483,2,481.88
"12543",447,1,840.25
"12544",29,1,316.70
"12545",74,2,832.39
"12546",46,2,1021.50
"12547",197,3,299.58
"12548",165,1,67.20
"12549",575,5,1570.68
"12550",78,1,824.83
"12551",357,1,168.00
"12552",39,1,317.82
"12553",7,12,4104.75
"12554",448,1,384.50
"12556",49,2,599.56
"12557",15,8,18096.14
"12558",1,1,269.96
"12559",310,2,525.71
"12560",4,2,1918.01
"12561",302,1,238.85
"12562",7,9,4426.92
"12563",408,1,221.24
"12564",260,1,402.90
"12565",281,1,145.92
"12566",72,1,297.65
"12567",22,15,10741.48
"12568",644,1,52.00
"12569",1,32,3152.69
"12571",39,2,519.61
"12572",8,2,912.42
"12573",226,5,717.41
"12574",315,1,182.45
"12575",456,2,568.82
"12576",35,8,2062.72
"12577",34,8,1613.15
"12578",20,4,4026.45
"12579",72,1,386.42
"12580",246,2,962.90
"12581",39,1,179.71
"12582",238,4,1820.40
"12583",2,27,12493.58
"12584",3,9,2254.15
"12585",233,2,1824.10
"12586",16,4,2062.67
"12587",7,1,104.00
"12588",38,3,718.78
"12589",28,6,3294.91
"12590",189,1,9341.26
"12591",316,3,1114.95
"12592",91,4,1723.64
"12593",108,3,382.10
"12594",37,14,4890.11
"12595",504,1,281.02
"12596",50,2,450.27
"12597",18,4,3195.22
"12598",9,10,4192.09
"12599",28,13,2026.72
"12600",28,20,4385.85
"12601",189,6,573.26
"12602",58,1,153.12
"12603",21,1,613.20
"12604",78,2,236.18
"12605",364,3,1124.95
"12607",57,1,1579.51
"12608",404,1,415.79
"12609",77,9,3021.86
"12610",22,4,1747.54
"12611",51,1,1193.32
"12612",57,1,668.04
"12613",30,9,6277.37
"12614",277,1,315.60
"12615",1,8,5362.98
"12616",84,3,1023.10
"12617",28,1,352.98
"12618",21,1,137.31
"12619",15,9,3085.70
"12620",14,3,1303.41
"12621",1,35,22097.20
"12622",231,1,162.10
"12623",275,7,3315.84
"12624",105,2,569.13
"12625",211,4,4678.88
"12626",22,9,5954.48
"12627",10,6,4082.53
"12628",3,3,732.46
"12629",385,2,1198.22
"12630",9,2,1030.88
"12631",56,6,3321.57
"12632",520,2,714.88
"12633",58,7,5156.16
"12634",547,1,360.00
"12635",89,4,2624.41
"12637",66,12,8085.81
"12638",32,2,681.49
"12639",238,3,1072.37
"12640",23,3,994.58
"12641",114,1,145.90
"12642",24,3,905.26
"12643",127,11,7803.82
"12644",129,4,1900.49
"12645",33,8,3215.30
"12646",4,2,1346.97
"12647",21,35,14109.55
"12648",154,4,1039.00
"12649",106,8,2096.65
"12650",2,1,242.44
"12651",334,4,377.75
"12652",321,2,891.03
"12653",148,3,4160.83
"12654",10,5,529.98
"12655",423,1,243.35
"12656",16,8,5723.83
"12657",10,4,1427.18
"12658",18,1,632.05
"12659",29,1,73.68
"12660",10,1,227.10
"12661",435,1,162.00
"12662",0,20,6130.54
"12663",624,2,185.40
"12664",7,11,5420.04
"12665",324,3,259.60
"12666",358,1,1248.42
"12667",57,1,460.13
"12668",6,9,9906.03
"12669",150,2,1427.73
"12670",9,7,3436.29
"12671",605,1,2622.48
"12672",329,2,407.05
"12673",4,3,1140.02
"12674",11,4,1844.60
"12675",553,2,873.25
"12676",24,10,2333.09
"12677",554,2,359.10
"12678",41,15,32595.18
"12679",51,4,951.02
"12680",0,4,790.81
"12681",14,44,26936.76
"12682",3,51,20736.22
"12683",3,20,10445.70
"12684",7,6,2073.63
"12685",27,6,2575.08
"12686",371,1,71.14
"12687",480,1,1858.91
"12688",113,1,4873.81
"12689",25,2,1139.61
"12690",205,1,335.01
"12691",27,6,1044.40
"12692",636,1,110.95
"12693",120,7,1415.02
"12694",69,3,1663.35
"12695",6,7,1371.12
"12696",434,2,731.91
"12697",20,3,757.59
"12698",589,1,285.75
"12699",417,1,566.11
"12700",7,4,4525.99
"12701",79,6,2248.41
"12702",19,1,201.00
"12703",63,4,898.53
"12704",6,8,1740.84
"12705",14,13,11114.10
"12707",291,1,603.42
"12708",29,18,4559.66
"12709",2,32,29487.18
"12710",96,3,1023.02
"12711",611,2,1213.05
"12712",22,21,5985.03
"12713",0,1,794.55
"12714",8,12,12815.71
"12715",105,1,263.36
"12716",3,2,963.49
"12717",150,3,1058.91
"12718",70,1,202.25
"12719",4,2,572.95
"12720",2,29,6905.28
"12721",31,8,3635.08
"12722",84,4,979.63
"12723",3,5,707.07
"12724",4,7,2083.52
"12725",370,3,1906.76
"12726",27,11,3690.60
"12727",10,10,4905.53
"12728",70,5,926.17
"12729",113,1,417.01
"12730",521,1,703.25
"12731",23,17,25631.71
"12732",179,1,218.26
"12733",233,4,2424.02
"12734",352,3,603.65
"12735",314,2,689.57
"12736",332,1,144.00
"12738",371,1,137.35
"12739",98,2,2421.23
"12740",63,1,427.60
"12741",532,1,236.07
"12742",599,1,1201.52
"12743",133,2,540.13
"12744",55,8,13158.16
"12745",486,2,723.85
"12746",527,1,254.55
"12747",1,26,8898.48
"12748",0,322,49173.79
"12749",3,9,6847.36
"12750",128,1,275.88
"12751",444,1,268.27
"12752",80,1,4366.78
"12753",3,6,21429.39
"12754",235,3,3010.74
"12755",249,11,5236.26
"12756",86,1,112.08
"12757",15,9,4176.75
"12758",116,7,9903.24
"12759",51,8,4618.74
"12760",455,1,317.80
"12761",464,1,712.95
"12762",7,2,1702.52
"12763",137,2,494.08
"12764",316,1,1693.88
"12765",471,6,1299.58
"12766",3,9,8134.99
"12767",375,1,949.82
"12768",431,1,168.69
"12769",238,1,1143.60
"12770",210,2,3246.45
"12771",464,1,226.30
"12772",59,1,752.47
"12773",563,1,124.25
"12774",535,1,83.70
"12775",16,7,1551.12
"12776",667,1,27.50
"12777",457,1,519.45
"12778",19,9,1541.68
"12779",20,14,6474.11
"12780",598,1,322.40
"12781",21,2,786.74
"12782",4,11,3862.24
"12783",1,4,1295.87
"12784",14,2,1511.15
"12785",2,3,904.40
"12786",609,1,668.50
"12787",9,4,799.18
"12788",462,4,384.90
"12789",64,3,225.35
"12790",191,2,546.85
"12791",373,5,656.83
"12792",256,2,715.01
"12793",334,3,745.53
"12794",52,2,860.41
"12795",18,1,318.48
"12796",627,1,351.00
"12797",359,2,468.08
"12798",9,4,8510.93
"12799",528,1,219.35
"12800",469,2,500.25
"12801",477,1,871.82
"12802",183,5,2186.42
"12803",392,1,1017.81
"12804",465,2,325.37
"12805",381,4,1230.95
"12806",571,2,2558.96
"12807",382,1,250.35
"12808",36,5,748.70
"12809",167,3,1384.34
"12810",534,2,534.99
"12811",261,4,893.90
"12812",44,1,229.64
"12813",501,3,1621.80
"12814",101,1,85.92
"12815",147,2,863.46
"12816",95,2,452.20
"12817",280,3,570.98
"12818",177,1,1182.08
"12819",457,1,540.52
"12820",2,11,2689.52
"12821",213,2,220.80
"12822",70,2,948.88
"12823",74,18,6501.50
"12824",59,1,397.12
"12825",520,2,518.63
"12826",2,12,2800.75
"12827",5,3,430.15
"12828",2,6,1018.71
"12829",321,3,385.30
"12830",37,6,6814.64
"12831",261,3,451.11
"12832",31,2,383.03
"12833",144,1,417.38
"12834",282,1,312.38
"12835",417,41,5996.83
"12836",58,15,6559.73
"12837",172,2,662.66
"12838",33,10,2975.91
"12839",2,26,9669.12
"12840",143,7,4041.97
"12841",4,40,6958.20
"12842",69,4,1917.99
"12843",65,28,6461.87
"12844",28,4,648.60
"12845",266,4,354.09
"12847",21,2,1609.00
"12848",675,1,208.00
"12849",30,6,3015.98
"12850",445,1,330.00
"12851",96,2,280.76
"12852",289,1,311.55
"12853",107,11,3907.50
"12854",78,7,2970.97
"12855",372,4,612.84
"12856",7,6,2170.78
"12857",210,6,3688.00
"12858",382,1,147.27
"12859",458,1,575.10
"12860",692,1,54.22
"12861",619,1,68.25
"12862",425,2,984.62
"12863",51,6,2792.55
"12864",137,2,299.57
"12865",25,4,3323.47
"12866",282,3,1092.35
"12867",25,13,7829.26
"12868",185,8,2043.76
"12869",681,1,337.67
"12870",365,3,1676.95
"12871",83,3,744.02
"12872",326,12,3283.96
"12873",281,3,2027.30
"12874",384,2,873.42
"12875",142,5,1356.99
"12876",57,4,3751.79
"12877",3,20,2942.14
"12878",17,2,854.99
"12879",44,3,573.22
"12880",381,2,640.13
"12881",275,1,298.00
"12882",8,2,1463.04
"12883",24,4,703.47
"12884",87,1,309.05
"12885",62,3,1175.22
"12886",67,2,1378.40
"12887",383,1,222.40
"12888",213,2,354.12
"12889",380,4,385.46
"12890",23,2,706.02
"12891",185,11,840.50
"12892",396,1,263.38
"12893",30,1,176.55
"12894",574,1,157.35
"12895",41,2,372.80
"12896",730,NULL,NULL
"12897",204,4,514.25
"12898",463,2,296.21
"12899",413,1,366.40
"12900",421,1,340.33
"12901",8,28,17654.54
"12902",264,1,138.68
"12903",428,1,833.53
"12904",17,2,496.06
"12905",576,2,1018.42
"12906",11,5,2919.81
"12907",395,2,508.91
"12908",175,5,1776.00
"12909",39,8,3103.19
"12910",22,13,5796.52
"12911",551,1,1651.72
"12912",2,5,1662.30
"12913",4,13,6283.24
"12914",400,1,223.98
"12915",148,4,975.10
"12916",138,7,4479.73
"12917",127,6,4359.20
"12919",7,6,1335.19
"12920",16,4,486.64
"12921",3,74,35233.24
"12922",160,1,405.38
"12923",63,3,769.17
"12924",87,12,2461.45
"12925",4,3,729.33
"12926",410,4,1523.59
"12927",394,1,197.31
"12928",34,12,4304.89
"12929",121,1,117.85
"12930",77,2,415.80
"12931",21,57,92347.34
"12932",538,8,1698.56
"12933",23,8,1636.63
"12934",736,1,181.65
"12935",1,15,4243.86
"12936",16,4,1063.90
"12937",14,9,3097.61
"12938",25,1,114.14
"12939",63,20,25264.80
"12940",45,2,899.69
"12941",723,1,377.49
"12942",130,3,675.60
"12943",300,2,496.50
"12944",35,2,604.51
"12945",287,2,900.11
"12946",436,1,324.45
"12947",143,6,1603.99
"12948",15,9,2317.43
"12949",30,22,15526.70
"12950",1,3,1843.00
"12951",8,15,3213.72
"12952",5,4,1387.79
"12953",9,2,828.81
"12954",638,1,162.45
"12955",0,11,4757.16
"12956",305,4,521.89
"12957",3,13,8706.97
"12958",399,2,467.34
"12959",483,1,150.95
"12960",413,4,1322.07
"12961",378,1,211.99
"12962",6,2,266.39
"12963",7,12,3235.79
"12964",436,1,132.24
"12965",88,1,769.81
"12966",9,1,160.18
"12967",2,3,2938.52
"12968",111,1,135.95
"12969",602,1,122.45
"12970",6,10,1452.54
"12971",3,116,15704.60
"12972",413,4,1161.20
"12973",413,1,385.55
"12974",197,2,408.95
"12975",429,6,2100.09
"12976",211,8,3156.38
"12977",155,4,513.88
"12978",384,5,2502.82
"12979",728,1,517.70
"12980",155,21,16245.78
"12981",29,2,372.22
"12982",239,8,2744.81
"12983",597,1,490.08
"12984",18,1,97.50
"12985",0,2,1239.38
"12986",402,10,2729.84
"12987",73,5,1312.21
"12988",291,1,505.82
"12989",2,33,13551.75
"12990",30,7,955.50
"12991",22,3,764.82
"12992",724,1,93.35
"12993",22,8,1259.63
"12994",3,3,974.42
"12995",77,1,211.32
"12996",375,1,355.50
"12997",21,8,2110.91
"12998",492,3,920.08
"12999",195,3,455.88
"13000",106,4,1032.50
"13001",3,33,24042.65
"13002",317,3,414.13
"13003",105,3,149.05
"13004",11,36,11650.85
"13005",173,4,999.68
"13006",55,1,81.57
"13007",579,1,175.25
"13008",322,3,612.13
"13009",672,1,234.00
"13010",373,2,330.12
"13011",371,1,50.55
"13012",8,11,2957.83
"13013",0,29,11097.43
"13014",2,11,5381.08
"13015",52,11,6579.78
"13016",72,3,789.89
"13017",6,1,204.00
"13018",15,35,9763.16
"13019",378,6,1229.95
"13020",547,2,618.96
"13021",3,17,4887.24
"13022",429,1,50.30
"13023",63,3,1251.03
"13024",463,2,555.87
"13025",731,1,323.39
"13026",0,9,1733.08
"13027",113,19,17239.20
"13028",22,2,661.32
"13029",30,5,1927.30
"13030",10,2,752.44
"13031",406,5,3292.84
"13032",38,9,2815.96
"13033",356,2,220.55
"13034",54,3,756.82
"13035",57,3,1364.20
"13036",684,1,307.10
"13037",137,12,3914.95
"13038",79,3,908.46
"13039",583,4,1010.73
"13040",8,2,676.99
"13041",450,4,799.13
"13042",583,3,1488.59
"13043",253,1,516.42
"13044",290,11,4848.05
"13045",98,3,808.92
"13046",30,3,949.25
"13047",45,23,8423.58
"13048",13,9,4049.13
"13049",63,4,1408.24
"13050",8,34,11877.29
"13051",578,2,155.80
"13052",211,7,3118.48
"13053",621,1,127.65
"13055",63,4,2321.11
"13056",550,1,209.48
"13057",529,3,709.59
"13058",24,3,271.40
"13059",249,10,2291.77
"13060",253,1,307.53
"13061",71,1,248.61
"13062",190,1,346.98
"13063",480,1,188.40
"13064",12,6,1666.84
"13065",372,5,1055.05
"13066",23,2,470.80
"13067",81,3,508.51
"13068",9,2,344.00
"13069",0,38,9284.45
"13070",191,4,751.70
"13071",611,1,129.22
"13072",266,1,177.15
"13073",410,2,418.08
"13074",510,4,1378.74
"13075",129,1,919.61
"13076",457,1,135.40
"13077",0,11,2740.65
"13078",0,57,29018.06
"13079",3,6,419.18
"13080",178,4,280.73
"13081",0,28,56838.37
"13082",125,21,7335.75
"13083",3,3,395.43
"13084",487,1,122.40
"13085",157,8,2433.28
"13086",382,1,439.33
"13087",725,1,313.64
"13088",416,1,236.11
"13089",2,203,113416.91
"13090",8,23,13076.74
"13091",20,2,1108.80
"13092",70,12,2140.28
"13093",266,55,54144.25
"13094",20,13,2209.44
"13095",70,1,74.40
"13096",393,1,419.70
"13097",32,27,13015.36
"13098",0,28,28882.44
"13099",98,1,207.36
"13101",233,4,695.40
"13102",0,37,11380.10
"13103",39,3,709.64
"13104",2,9,1709.10
"13105",435,1,72.00
"13106",128,2,603.46
"13107",43,9,5253.07
"13108",372,2,748.46
"13109",2,3,1134.03
"13110",30,12,2957.47
"13111",718,1,321.88
"13112",540,1,20.60
"13113",0,37,18230.07
"13114",730,1,234.38
"13115",8,10,5494.70
"13116",116,1,501.14
"13117",21,18,2255.66
"13118",19,9,2415.41
"13119",668,1,134.90
"13120",238,1,30.60
"13121",268,1,283.73
"13122",93,2,922.39
"13123",472,2,506.75
"13124",89,4,4641.66
"13125",523,1,148.62
"13126",4,13,3774.81
"13127",77,1,259.17
"13128",630,1,263.50
"13129",451,2,233.25
"13130",93,1,64.00
"13131",22,7,3313.77
"13132",261,1,77.30
"13133",273,3,200.45
"13134",72,6,2475.23
"13135",196,2,3371.45
"13136",49,13,6274.56
"13137",10,16,7586.94
"13138",21,7,1274.01
"13139",15,8,8202.98
"13140",107,5,1054.92
"13141",84,17,7656.08
"13142",18,1,307.09
"13143",581,1,405.10
"13144",332,2,135.35
"13145",39,7,1128.52
"13146",25,1,228.91
"13147",9,4,712.80
"13148",28,26,8488.32
"13149",13,4,1676.06
"13150",470,3,449.97
"13151",202,3,2454.71
"13152",416,7,2146.38
"13153",5,1,486.22
"13154",398,3,1624.84
"13155",32,6,1370.48
"13156",384,3,1586.54
"13157",48,9,5687.36
"13158",94,5,1508.18
"13159",8,4,1429.35
"13160",21,1,91.80
"13161",312,2,472.13
"13162",121,16,9275.49
"13163",609,1,17.65
"13164",568,2,372.20
"13165",45,3,1451.16
"13166",281,2,875.93
"13167",18,5,1113.15
"13168",35,5,1840.73
"13169",63,3,840.08
"13170",26,1,108.81
"13171",7,3,468.41
"13172",399,1,69.60
"13173",3,11,2389.82
"13174",15,11,7972.46
"13175",553,2,831.45
"13176",45,1,481.49
"13177",64,2,512.20
"13178",25,21,14059.19
"13179",618,1,572.31
"13180",606,1,86.10
"13181",380,1,359.69
"13182",44,1,121.18
"13183",7,15,7036.18
"13184",14,10,1667.95
"13185",267,1,71.40
"13186",39,3,1575.89
"13187",336,4,328.36
"13188",10,1,114.60
"13189",18,2,260.68
"13190",543,3,570.66
"13191",657,1,159.21
"13192",94,6,2558.58
"13193",60,1,112.08
"13194",135,2,472.78
"13195",413,1,136.73
"13196",10,7,3068.84
"13197",609,1,373.01
"13198",9,8,4974.23
"13199",3,66,15949.21
"13200",18,4,870.09
"13201",501,4,1233.06
"13202",378,7,1580.30
"13203",9,10,2648.25
"13204",730,1,966.66
"13205",442,1,2803.20
"13206",399,13,8308.19
"13207",14,4,535.86
"13208",58,8,1951.82
"13209",29,13,8509.51
"13210",93,1,353.48
"13211",9,10,2618.77
"13212",8,3,786.83
"13213",56,11,3851.52
"13214",417,7,3264.23
"13215",401,1,81.60
"13216",267,1,333.74
"13217",121,4,666.48
"13218",126,1,62.64
"13219",617,1,76.23
"13220",77,5,1336.09
"13221",239,2,844.86
"13222",576,1,88.50
"13223",199,6,969.12
"13224",59,2,2152.95
"13225",2,16,16260.07
"13226",272,2,312.46
"13227",201,1,257.70
"13228",80,1,358.00
"13229",225,1,160.95
"13230",3,30,6109.51
"13232",12,7,1327.75
"13233",73,4,1176.46
"13234",672,2,346.50
"13235",211,1,1031.07
"13236",24,2,744.85
"13237",387,1,643.00
"13238",10,6,1006.63
"13239",261,5,1594.69
"13240",95,8,1455.39
"13241",411,1,112.53
"13242",111,7,699.40
"13243",202,5,1220.38
"13244",92,1,121.74
"13245",50,2,989.22
"13246",17,11,3351.75
"13247",17,4,501.12
"13248",124,2,465.68
"13249",91,9,1608.93
"13250",452,2,253.09
"13251",401,1,252.68
"13252",393,2,399.30
"13253",156,4,2951.11
"13254",375,1,51.41
"13255",3,3,678.76
"13257",427,1,149.75
"13258",11,5,1009.43
"13259",61,9,1398.79
"13260",60,1,557.62
"13261",268,2,944.10
"13262",262,3,573.45
"13263",0,38,8650.98
"13264",442,1,722.56
"13265",52,5,2092.66
"13266",10,19,6135.04
"13267",2,36,9429.81
"13268",17,10,3152.71
"13269",0,28,8537.32
"13270",365,1,590.00
"13271",36,1,211.49
"13272",30,2,276.56
"13273",112,1,138.98
"13274",408,1,360.85
"13275",383,2,238.86
"13276",63,5,1891.91
"13277",15,7,523.30
"13278",40,4,1425.35
"13279",63,1,137.75
"13280",121,7,2293.33
"13281",436,1,350.85
"13282",17,4,1313.19
"13283",59,4,373.36
"13284",322,1,201.19
"13285",22,6,3364.59
"13286",599,1,734.91
"13287",582,3,781.59
"13288",442,5,927.61
"13289",723,1,307.95
"13291",155,11,3270.79
"13292",38,5,994.51
"13293",391,6,1192.94
"13294",189,3,1689.53
"13295",359,4,1101.97
"13296",136,6,792.51
"13297",7,7,4368.62
"13298",0,1,360.00
"13299",267,3,1218.70
"13300",164,3,1285.51
"13301",103,4,600.19
"13302",154,2,159.20
"13303",399,1,61.72
"13304",350,4,1217.99
"13305",3,16,3616.41
"13306",429,1,53.65
"13307",119,3,273.34
"13308",22,4,1670.37
"13309",6,6,1706.37
"13310",8,5,1541.20
"13311",3,2,598.57
"13312",450,1,124.75
"13313",21,12,3445.32
"13314",1,3,775.94
"13315",688,1,310.26
"13316",36,10,12940.82
"13317",63,19,6486.09
"13318",0,3,640.76
"13319",4,58,21323.22
"13320",69,6,2211.60
"13321",71,2,567.36
"13322",16,1,199.48
"13323",2,5,787.85
"13324",31,18,10513.47
"13325",81,1,675.30
"13326",431,1,281.76
"13327",38,19,9052.87
"13328",315,1,1308.48
"13329",31,8,4808.77
"13330",92,6,2796.10
"13331",401,1,262.40
"13332",13,1,350.90
"13333",410,3,1015.74
"13334",81,5,6201.80
"13336",76,1,795.12
"13337",518,1,1575.26
"13338",153,4,2345.62
"13339",200,1,860.12
"13340",44,12,22100.56
"13341",260,1,775.85
"13342",581,NULL,NULL
"13343",172,1,303.43
"13344",67,3,2511.69
"13345",276,1,339.50
"13346",462,6,299.40
"13347",69,1,291.36
"13348",63,1,233.76
"13349",10,1,197.32
"13350",15,2,879.12
"13351",65,1,323.94
"13352",7,1,347.98
"13353",388,NULL,NULL
"13354",70,1,743.53
"13355",121,1,674.70
"13356",79,1,768.24
"13357",256,5,3795.01
"13358",268,1,389.03
"13359",58,2,943.31
"13360",427,4,1503.65
"13361",471,2,1450.50
"13362",2,7,5394.07
"13363",17,3,1623.86
"13364",66,1,134.96
"13365",8,2,2225.37
"13366",49,1,56.16
"13367",431,1,460.20
"13368",256,4,1021.50
"13369",353,1,258.28
"13370",365,1,754.87
"13371",498,2,2297.66
"13372",89,1,328.64
"13373",60,6,7587.19
"13374",414,2,372.80
"13375",80,2,1792.23
"13376",98,3,869.76
"13377",396,2,1452.88
"13379",25,3,572.56
"13380",432,1,62.40
"13381",20,12,8224.37
"13382",280,5,1387.58
"13383",543,1,305.28
"13384",30,11,6680.83
"13385",329,1,534.57
"13386",413,2,835.46
"13387",416,1,181.84
"13388",120,3,1185.65
"13389",10,3,797.96
"13390",74,1,544.08
"13391",203,1,59.80
"13392",676,1,91.14
"13393",583,4,1131.45
"13394",1,19,6621.70
"13395",184,3,1180.23
"13396",21,2,1360.99
"13397",72,10,3191.87
"13398",191,2,670.34
"13399",463,3,275.40
"13400",573,1,310.83
"13402",126,4,1226.85
"13403",17,3,229.50
"13404",0,2,252.49
"13405",203,5,1198.81
"13406",426,2,568.92
"13407",578,3,2244.70
"13408",1,106,50174.78
"13410",8,9,2201.96
"13411",106,1,213.55
"13412",619,1,487.35
"13413",639,6,429.44
"13414",133,6,2494.14
"13415",472,4,784.17
"13416",43,3,940.80
"13417",4,6,1669.49
"13418",11,31,11559.66
"13419",63,1,221.06
"13420",134,2,159.85
"13421",39,8,4048.25
"13422",50,1,2626.30
"13423",428,1,217.03
"13424",443,1,572.77
"13425",107,5,3390.43
"13426",0,22,8167.38
"13427",18,6,1006.53
"13428",9,3,478.54
"13429",10,4,1006.80
"13430",18,2,679.45
"13431",66,8,3316.24
"13432",570,2,436.55
"13433",436,4,658.32
"13434",73,5,1666.86
"13435",4,9,4447.33
"13436",1,1,196.89
"13437",13,7,3408.06
"13438",546,1,46.50
"13439",254,3,986.61
"13440",422,7,1295.25
"13441",91,2,720.90
"13442",666,3,419.87
"13443",448,6,1269.37
"13444",373,2,619.08
"13445",625,1,241.90
"13446",419,11,3881.89
"13447",22,3,1129.14
"13448",16,12,8386.22
"13449",23,1,291.88
"13450",26,13,4120.04
"13451",25,11,7088.92
"13452",258,3,729.80
"13453",165,3,781.69
"13454",640,1,219.87
"13455",24,6,2212.99
"13456",17,6,1766.72
"13457",688,2,148.22
"13458",6,16,11959.27
"13459",624,2,1160.41
"13460",28,2,183.44
"13461",38,6,4160.00
"13462",182,5,1153.85
"13464",57,6,3097.64
"13465",445,2,931.12
"13466",99,5,1013.35
"13467",10,2,1071.91
"13468",1,72,12793.28
"13469",652,1,82.40
"13470",98,2,165.00
"13471",0,4,2501.84
"13472",463,2,592.24
"13473",60,8,2657.76
"13474",235,3,646.59
"13475",190,4,1431.78
"13476",178,5,2061.47
"13477",37,11,2819.17
"13478",468,5,2215.78
"13479",197,4,851.37
"13480",416,2,627.82
"13481",45,11,3830.84
"13482",231,2,336.09
"13483",65,1,140.34
