"customer_id","recency_days","monetary_gross","frequency_completed","cancellation_count","order_return_rate_pct"
"17002",72,2571.55,7,1,12.5
"17095",21,2572.25,7,4,36.4
"14229",51,2594.04,7,4,36.4
"17744",3,2649.14,7,0,0.0
"16369",17,2654.48,7,0,0.0
"15671",18,2657.13,7,3,30.0
"16232",32,2712.97,7,3,30.0
"15985",122,2715.28,7,1,12.5
"14665",60,2749.65,7,2,22.2
"13736",4,2752.47,7,5,41.7
"16335",551,2753.52,7,1,12.5
"17115",7,2761.49,7,6,46.2
"18210",1,2768.83,7,0,0.0
"15993",8,2768.97,7,3,30.0
"15353",254,2794.47,7,1,12.5
"17386",7,2812.77,7,0,0.0
"16755",113,2864.68,7,3,30.0
"14758",144,2864.97,7,0,0.0
"16467",508,2869.16,7,1,12.5
"14195",201,2615.60,6,4,40.0
"15043",30,2855.32,6,0,0.0
"13994",3,2274.14,6,0,0.0
"15089",9,2420.84,6,0,0.0
"12685",27,2575.08,6,0,0.0
"14555",56,2304.03,6,1,14.3
"13761",49,1952.17,6,0,0.0
"14597",10,2184.63,6,0,0.0
"13949",2,2427.32,6,0,0.0
"13192",94,2558.58,6,2,25.0
"13924",1,1838.85,6,5,45.5
"17113",504,2305.59,6,2,25.0
"12701",79,2248.41,6,0,0.0
"15789",357,1962.01,6,1,14.3
"16331",431,2037.70,6,0,0.0
"13655",113,2280.51,6,2,25.0
"17320",99,2444.85,6,0,0.0
"16032",455,1965.72,6,0,0.0
"14967",49,1982.61,6,0,0.0
"15272",56,2030.95,6,0,0.0
"17414",43,2249.52,6,0,0.0
"15506",22,2030.33,6,0,0.0
"14432",9,2248.50,6,0,0.0
"16889",194,2526.65,6,0,0.0
"15563",8,2820.46,6,3,33.3
"13889",92,1991.23,6,2,25.0
"14421",56,2469.37,6,1,14.3
"14870",261,1838.95,6,3,33.3
"13414",133,2494.14,6,1,14.3
"13134",72,2475.23,6,3,33.3
"15638",300,2265.20,6,3,33.3
"14631",50,2025.69,6,1,14.3
"15822",2,1840.06,6,2,25.0
"14869",3,2778.14,6,3,33.3
"17031",11,2773.85,6,0,0.0
"18180",4,1843.75,6,0,0.0
"17018",40,2287.70,6,0,0.0
"16229",86,2867.86,6,1,14.3
"13330",92,2796.10,6,0,0.0
"16496",8,2330.77,6,1,14.3
"13614",23,2332.74,6,0,0.0
"12975",429,2100.09,6,2,25.0
"17047",84,2289.23,6,0,0.0
"16633",16,2883.10,6,1,14.3
"16049",39,1852.15,6,0,0.0
"13946",78,1876.23,6,1,14.3
"16520",185,2148.38,6,2,25.0
"12391",21,2724.84,6,1,14.3
"15197",8,1877.51,6,3,33.3
"12863",51,2792.55,6,1,14.3
"18151",134,1879.44,6,1,14.3
"16934",54,2083.14,6,1,14.3
"15402",148,1830.12,6,1,14.3
"16676",33,2361.90,6,1,14.3
"12856",7,2170.78,6,2,25.0
"14403",129,1880.51,6,3,33.3
"16871",21,2812.34,6,1,14.3
"17165",283,1794.32,6,2,25.0
"17827",4,2376.17,6,1,14.3
"12684",7,2073.63,6,0,0.0
"13455",24,2212.99,6,5,45.5
"18161",9,1803.10,6,1,14.3
"14327",162,1894.93,6,0,0.0
"14127",122,1900.08,6,0,0.0
"16555",34,1915.68,6,4,40.0
"13819",301,2642.35,6,1,14.3
"15814",2,2634.44,6,2,25.0
"16807",142,2123.88,6,2,25.0
"13320",69,2211.60,6,3,33.3
"12393",71,2399.45,6,1,14.3
"18258",463,2059.67,6,2,25.0
"15142",45,2619.92,6,1,14.3
"12412",74,2404.93,6,2,25.0
"16163",224,2407.98,6,8,57.1
"16833",0,2409.04,6,0,0.0
"14188",8,2054.36,6,4,40.0
"18220",219,1921.76,6,5,45.5
"17086",6,2050.08,6,0,0.0
"14407",106,2142.73,5,3,37.5
"13652",45,2262.05,5,0,0.0
"16825",38,1826.89,5,0,0.0
"14481",164,2284.69,5,0,0.0
"16485",76,2287.19,5,2,28.6
"18095",312,2303.09,5,0,0.0
"14691",30,2114.33,5,0,0.0
"17282",129,2308.54,5,0,0.0
"16201",2,2112.12,5,1,16.7
"14346",120,2315.75,5,0,0.0
"17244",52,1826.04,5,0,0.0
"15252",35,2103.41,5,2,28.6
"15815",63,2100.60,5,0,0.0
"17159",21,2099.59,5,1,16.7
"12520",78,2346.26,5,1,16.7
"13265",52,2092.66,5,0,0.0
"14443",53,2082.97,5,3,37.5
"15797",112,2806.08,5,0,0.0
"16105",248,2386.19,5,0,0.0
"16147",133,2398.91,5,2,28.6
"13476",178,2061.47,5,2,28.6
"14232",31,2048.07,5,3,37.5
"17642",119,1824.49,5,0,0.0
"17666",3,2047.80,5,0,0.0
"13663",178,2047.51,5,1,16.7
"14000",205,2046.34,5,3,37.5
"17505",161,2435.48,5,0,0.0
"15111",28,2442.37,5,0,0.0
"14256",253,2460.79,5,4,44.4
"17131",4,2463.17,5,0,0.0
"13762",203,2472.48,5,1,16.7
"13989",65,2026.06,5,0,0.0
"17671",15,2009.16,5,2,28.6
"14628",90,1998.00,5,0,0.0
"12978",384,2502.82,5,1,16.7
"17158",31,1980.00,5,1,16.7
"17554",0,1952.45,5,0,0.0
"15807",49,1817.52,5,1,16.7
"14163",86,2594.62,5,0,0.0
"13029",30,1927.30,5,0,0.0
"16788",122,1927.28,5,0,0.0
"16618",30,2647.59,5,1,16.7
"14332",22,1917.41,5,0,0.0
"15157",3,2654.11,5,2,28.6
"15530",21,1808.68,5,0,0.0
"15133",127,1806.90,5,0,0.0
"17046",156,1906.07,5,0,0.0
"14389",8,1898.01,5,6,54.5
"13276",63,1891.91,5,2,28.6
"18173",86,2696.36,5,0,0.0
"15381",213,1890.57,5,1,16.7
"15389",171,2733.80,5,0,0.0
"14251",1,2879.70,5,0,0.0
"14912",16,1849.58,5,1,16.7
"16797",392,1802.02,5,4,44.4
"16249",52,1800.07,5,0,0.0
"12518",0,1840.89,5,0,0.0
"13168",35,1840.73,5,1,16.7
"16317",119,2192.51,5,1,16.7
"12802",183,2186.42,5,2,28.6
"13478",468,2215.78,5,2,28.6
"17648",60,2216.37,5,1,16.7
"18215",88,2232.49,5,1,16.7
"17822",419,2154.08,5,0,0.0
"14216",2,2150.04,5,1,16.7
"15865",40,2241.42,5,0,0.0
"14005",9,2874.72,5,0,0.0
"14903",20,2795.33,5,5,50.0
"16004",474,2146.39,5,0,0.0
"16134",21,2145.34,5,2,28.6
"15221",365,2062.20,4,3,42.9
"12517",27,2301.60,4,1,20.0
"15620",49,1942.36,4,4,50.0
"15425",399,1941.12,4,0,0.0
"16619",253,1938.33,4,1,20.0
"13878",54,2416.90,4,0,0.0
"15826",50,2598.28,4,2,33.3
"15803",50,1929.66,4,0,0.0
"14431",298,2614.20,4,1,20.0
"17272",41,2148.63,4,1,20.0
"16176",420,2052.69,4,3,42.9
"13644",8,2624.26,4,1,20.0
"12635",89,2624.41,4,0,0.0
"12842",69,1917.99,4,0,0.0
"16812",360,2392.00,4,1,20.0
"14634",437,2124.46,4,3,42.9
"15944",276,2164.24,4,0,0.0
"12644",129,1900.49,4,2,33.3
"16379",3,2157.40,4,1,20.0
"12516",77,2288.62,4,0,0.0
"16108",84,2235.92,4,4,50.0
"12586",16,2062.67,4,1,20.0
"14295",39,2352.91,4,3,42.9
"16083",100,2351.42,4,0,0.0
"13338",153,2345.62,4,5,55.6
"14130",318,1858.77,4,0,0.0
"14469",415,2093.46,4,0,0.0
"13753",287,2094.57,4,0,0.0
"14554",9,2279.49,4,0,0.0
"15629",449,2240.90,4,0,0.0
"12674",11,1844.60,4,3,42.9
"17004",45,2324.36,4,0,0.0
"15734",114,2263.30,4,0,0.0
"13055",63,2321.11,4,2,33.3
"14121",3,2780.15,4,2,33.3
"13908",79,2319.55,4,1,20.0
"16054",144,2111.88,4,3,42.9
"13507",2,2479.16,4,0,0.0
"12418",112,2021.20,4,1,20.0
"17152",194,2016.50,4,1,20.0
"17594",84,2497.88,4,0,0.0
"13471",0,2501.84,4,0,0.0
"14301",107,1992.18,4,3,42.9
"15384",169,2027.79,4,1,20.0
"17088",27,1991.01,4,0,0.0
"16529",189,1986.80,4,0,0.0
"15476",379,2209.98,4,1,20.0
"17337",150,1979.61,4,3,42.9
"16169",7,1822.97,4,0,0.0
"14842",34,2824.69,4,4,50.0
"14225",434,2031.07,4,1,20.0
"16214",170,2038.25,4,0,0.0
"16290",464,1957.70,4,0,0.0
"12582",238,1820.40,4,0,0.0
"16036",86,2556.84,4,0,0.0
"17787",152,1817.54,4,0,0.0
"14360",31,2118.03,4,0,0.0
"12733",233,2424.02,4,2,33.3
"12725",370,1906.76,3,0,0.0
"13696",421,2020.40,3,1,25.0
"16275",196,2151.11,3,0,0.0
"14305",70,1858.96,3,2,40.0
"12873",281,2027.30,3,0,0.0
"17015",28,1838.61,3,0,0.0
"13151",202,2454.71,3,2,40.0
"14014",76,1948.21,3,0,0.0
"12456",43,2581.04,3,1,25.0
"12473",53,2585.73,3,1,25.0
"15478",39,1940.98,3,0,0.0
"15817",420,2766.40,3,0,0.0
"14418",3,1937.25,3,0,0.0
"13501",242,2885.11,3,2,40.0
"17317",45,2600.34,3,2,40.0
"12950",1,1843.00,3,0,0.0
"14756",14,2603.76,3,1,25.0
"16102",41,1842.14,3,0,0.0
"15678",52,1825.94,3,0,0.0
"13407",578,2244.70,3,3,50.0
"16276",176,2629.39,3,0,0.0
"13814",55,2257.32,3,2,40.0
"14893",9,1809.61,3,2,40.0
"18204",70,1975.35,3,1,25.0
"16795",364,2062.41,3,2,40.0
"13517",59,2128.42,3,2,40.0
"14250",6,1904.05,3,0,0.0
"12374",24,2669.22,3,0,0.0
"15946",502,2304.18,3,0,0.0
"16716",266,2149.68,3,1,25.0
"18235",71,1796.48,3,0,0.0
"15248",410,1893.93,3,1,25.0
"13344",67,2511.69,3,0,0.0
"14875",8,2862.40,3,3,50.0
"14125",10,2720.63,3,0,0.0
"15077",455,2428.08,2,2,50.0
"14938",501,2322.43,2,2,50.0
"15341",80,2402.72,2,1,33.3
"12438",13,2466.85,2,0,0.0
"14935",296,2849.83,2,0,0.0
"15531",7,1972.39,2,0,0.0
"12585",233,1824.10,2,2,50.0
"15934",417,2190.66,2,0,0.0
"18026",500,2074.07,2,0,0.0
"13371",498,2297.66,2,2,50.0
"13365",8,2225.37,2,2,50.0
"17444",151,2389.10,2,0,0.0
"14564",426,2605.62,2,3,60.0
"12397",35,2214.90,2,0,0.0
"13224",59,2152.95,2,1,33.3
"12806",571,2558.96,2,0,0.0
"15151",422,2085.61,2,0,0.0
"16917",276,1851.88,2,1,33.3
"12560",4,1918.01,2,1,33.3
"16698",226,1998.00,2,0,0.0
"14212",89,2190.14,2,0,0.0
"12739",98,2421.23,2,0,0.0
"16993",462,1950.95,2,1,33.3
"17919",87,1840.32,2,0,0.0
"14887",78,1862.00,1,0,0.0
"12671",605,2622.48,1,0,0.0
"16077",573,2300.40,1,1,50.0
"12687",480,1858.91,1,0,0.0
"16152",268,1829.04,1,0,0.0
"13422",50,2626.30,1,1,50.0
"13205",442,2803.20,1,0,0.0
"17305",648,2135.46,1,0,0.0
"12501",314,2025.39,1,1,50.0
"17039",603,1954.99,1,0,0.0
"17313",17,2328.84,1,1,50.0
"15481",400,1993.34,1,0,0.0
