"customer_id","invoice_no","invoice_date","stock_code","cancelled_qty","total_purchased","excess_qty"
"12755","C489713","2009-12-02 10:55:00","22071",18,0,18
"13091","C490807","2009-12-08 12:25:00","20940",18,0,18
"13091","C490946","2009-12-08 14:28:00","20940",18,0,18
"14895","C513485","2010-06-24 17:48:00","79323W",17,0,17
"14277","C490120","2009-12-03 17:52:00","22333",16,0,16
"17706","C511813","2010-06-10 15:51:00","79341",16,0,16
"14337","C490942","2009-12-08 14:04:00","11001",16,0,16
"13091","C490946","2009-12-08 14:28:00","85175",96,80,16
"14277","C490798","2009-12-08 11:51:00","22333",16,0,16
"13091","C490946","2009-12-08 14:28:00","84596B",16,0,16
"13091","C490807","2009-12-08 12:25:00","84596B",16,0,16
"13091","C490807","2009-12-08 12:25:00","85175",96,80,16
"15935","C490996","2009-12-08 17:23:00","85172",16,0,16
"16928","C529908","2010-10-31 14:12:00","21291",32,16,16
"17340","C579878","2011-11-30 17:12:00","84849A",16,0,16
"13091","C490807","2009-12-08 12:25:00","84596E",16,0,16
"13281","C506001","2010-04-27 11:00:00","20979",16,0,16
"14970","C513587","2010-06-27 10:41:00","79323P",16,0,16
"14337","C490942","2009-12-08 14:04:00","85172",16,0,16
"13091","C490946","2009-12-08 14:28:00","84596E",16,0,16
"17706","C511813","2010-06-10 15:51:00","79323W",14,0,14
"17706","C511813","2010-06-10 15:51:00","79323GR",13,0,13
"13694","C511814","2010-06-10 15:54:00","79323GR",13,0,13
"17611","C514139","2010-06-30 13:47:00","79323W",13,0,13
"12989","C508459","2010-05-14 17:23:00","79323P",13,0,13
"12967","C580954","2011-12-06 14:19:00","21428",25,12,13
"14337","C490942","2009-12-08 14:04:00","21679",12,0,12
"13883","C493332","2009-12-23 10:00:00","20952",12,0,12
"17716","C567704","2011-09-22 09:41:00","22349",12,0,12
"18072","C559347","2011-07-07 17:22:00","85032D",12,0,12
"17426","C510212","2010-05-28 08:12:00","79323W",12,0,12
"12770","C514095","2010-06-30 12:17:00","20682",12,0,12
"12839","C493836","2010-01-07 13:49:00","21355",24,12,12
"16807","C499413","2010-02-26 15:52:00","85098B",12,0,12
"16436","C490739","2009-12-07 17:50:00","22295",12,0,12
"16262","C496071","2010-01-28 16:43:00","72802A",12,0,12
"16128","C489527","2009-12-01 11:50:00","21173",12,0,12
"13026","C576401","2011-11-15 10:52:00","21990",12,0,12
"15997","C503518","2010-04-01 13:04:00","20689",12,0,12
"15935","C490996","2009-12-08 17:23:00","35976B",12,0,12
"13057","C501655","2010-03-18 13:00:00","21477",12,0,12
"17850","C510226","2010-05-28 08:48:00","79323S",12,0,12
"15935","C490996","2009-12-08 17:23:00","22341",12,0,12
"15935","C490996","2009-12-08 17:23:00","22135",12,0,12
"17850","C510226","2010-05-28 08:48:00","79323G",12,0,12
"15935","C490996","2009-12-08 17:23:00","22077",12,0,12
"13091","C490807","2009-12-08 12:25:00","20658",12,0,12
"13091","C490946","2009-12-08 14:28:00","20658",12,0,12
"17850","C510226","2010-05-28 08:48:00","79323B",12,0,12
"13091","C490807","2009-12-08 12:25:00","21490",12,0,12
"13091","C490946","2009-12-08 14:28:00","21490",12,0,12
"15935","C490996","2009-12-08 17:23:00","21010",12,0,12
"15823","C540307","2011-01-06 12:58:00","22212",12,0,12
"15767","C500565","2010-03-08 15:48:00","85123A",12,0,12
"15767","C500565","2010-03-08 15:48:00","15056N",12,0,12
"15311","C507361","2010-05-07 15:55:00","79323S",12,0,12
"15137","C491019","2009-12-08 18:47:00","21731",12,0,12
"15101","C511443","2010-06-08 12:24:00","79191B",12,0,12
"15031","C512272","2010-06-14 13:32:00","84249D",12,0,12
"15031","C512272","2010-06-14 13:32:00","84247L",12,0,12
"15031","C512272","2010-06-14 13:32:00","22037",12,0,12
"15031","C512272","2010-06-14 13:32:00","22028",12,0,12
"15031","C512272","2010-06-14 13:32:00","22027",12,0,12
"15031","C512272","2010-06-14 13:32:00","21509",12,0,12
"12472","C491052","2009-12-09 10:47:00","21284",12,0,12
"14864","C490987","2009-12-08 17:07:00","72739C",12,0,12
"12472","C491052","2009-12-09 10:47:00","21286",12,0,12
"14562","C559983","2011-07-14 11:41:00","23083",12,0,12
"14430","C508707","2010-05-17 17:12:00","79323P",12,0,12
"13381","C489632","2009-12-01 15:18:00","20814",12,0,12
"14337","C490942","2009-12-08 14:04:00","21889",12,0,12
"14337","C490942","2009-12-08 14:04:00","21832",12,0,12
"14337","C490942","2009-12-08 14:04:00","21791",12,0,12
"14337","C490942","2009-12-08 14:04:00","21701",12,0,12
"14290","C494992","2010-01-20 12:04:00","22135",12,0,12
"14290","C494992","2010-01-20 12:04:00","22134",12,0,12
"14277","C490120","2009-12-03 17:52:00","21099",12,0,12
"14277","C490798","2009-12-08 11:51:00","21099",12,0,12
"14277","C490120","2009-12-03 17:52:00","21094",12,0,12
"14277","C490798","2009-12-08 11:51:00","21094",12,0,12
"14277","C490120","2009-12-03 17:52:00","21092",12,0,12
"14277","C490798","2009-12-08 11:51:00","21092",12,0,12
"14277","C490120","2009-12-03 17:52:00","21086",12,0,12
"14277","C490798","2009-12-08 11:51:00","21086",12,0,12
"13282","C567712","2011-09-22 10:08:00","22725",11,0,11
"16406","C499161","2010-02-24 17:01:00","84520D",11,0,11
"15513","C513489","2010-06-24 18:33:00","79323LP",11,0,11
"17617","C508727","2010-05-18 09:52:00","79323W",10,0,10
"17426","C510212","2010-05-28 08:12:00","79341",10,0,10
"16436","C490739","2009-12-07 17:50:00","22003",10,0,10
"15485","C508410","2010-05-14 16:02:00","79323G",10,0,10
"15485","C508410","2010-05-14 16:02:00","79323B",10,0,10
"17511","C508399","2010-05-14 15:31:00","79323P",34,24,10
"17552","C570480","2011-10-10 17:00:00","22382",10,0,10
"14105","C512300","2010-06-14 15:30:00","79323G",10,0,10
"16406","C499161","2010-02-24 17:01:00","21080",11,1,10
"14430","C508707","2010-05-17 17:12:00","79323W",10,0,10
"14277","C490120","2009-12-03 17:52:00","22138",9,0,9
"17406","C498295","2010-02-18 09:04:00","84466",9,0,9
"14277","C490798","2009-12-08 11:51:00","22138",9,0,9
"12683","C565615","2011-09-05 15:20:00","21197",21,12,9
"12921","C491594","2009-12-11 13:13:00","85220",9,0,9
"14507","C491402","2009-12-10 17:16:00","21108",9,0,9
"12578","C542273","2011-01-27 10:01:00","20980",9,0,9
"17345","C489636","2009-12-01 15:34:00","21330",9,0,9
"16210","C511833","2010-06-10 17:05:00","79341",8,0,8
"13113","C570221","2011-10-09 12:56:00","20723",18,10,8
"17661","C500573","2010-03-08 16:28:00","79323LP",8,0,8
"16807","C499747","2010-03-02 11:38:00","85097B",8,0,8
"17115","C509570","2010-05-24 13:26:00","79323B",12,4,8
"17345","C489636","2009-12-01 15:34:00","21329",8,0,8
"12474","C574061","2011-11-02 14:18:00","22779",12,4,8
"17755","C526456","2010-10-11 15:45:00","20675",8,0,8
"14606","C565848","2011-09-07 12:48:00","21670",38,30,8
"14527","C495697","2010-01-26 12:29:00","21340",8,0,8
"17426","C510212","2010-05-28 08:12:00","79341",8,0,8
"14277","C490120","2009-12-03 17:52:00","22331",8,0,8
"17511","C508399","2010-05-14 15:31:00","79341",8,0,8
"14337","C490942","2009-12-08 14:04:00","84032A",8,0,8
"13394","C574027","2011-11-02 12:32:00","22662",8,0,8
"14337","C490942","2009-12-08 14:04:00","22111",8,0,8
"14277","C490798","2009-12-08 11:51:00","22331",8,0,8
"15831","C541589","2011-01-19 14:44:00","79323W",8,0,8
"17769","C509391","2010-05-23 10:43:00","22534",17,9,8
"13799","C508421","2010-05-14 16:14:00","79323P",32,24,8
"17755","C526456","2010-10-11 15:45:00","20677",8,0,8
"15935","C490996","2009-12-08 17:23:00","22054",8,0,8
"15935","C490996","2009-12-08 17:23:00","84879",8,0,8
"12921","C507456","2010-05-10 10:24:00","79323B",8,0,8
"14337","C490942","2009-12-08 14:04:00","21581",8,0,8
"14337","C490942","2009-12-08 14:04:00","21479",8,0,8
"13148","C495170","2010-01-21 12:45:00","22319",8,0,8
"14290","C512768","2010-06-17 16:35:00","79341",8,0,8
"17730","C518845","2010-08-12 11:19:00","71459",8,0,8
"16735","C507650","2010-05-10 15:54:00","79323W",8,0,8
"13209","C551683","2011-05-03 12:47:00","22362",14,6,8
"15179","C491614","2009-12-11 13:55:00","22334",7,0,7
"15179","C491614","2009-12-11 13:55:00","22333",7,0,7
"15527","C508726","2010-05-18 09:43:00","79323W",24,17,7
"17426","C510212","2010-05-28 08:12:00","79323GR",7,0,7
"14191","C491446","2009-12-11 10:47:00","47503J",7,0,7
"14667","C508922","2010-05-19 10:59:00","79323P",10,3,7
"13777","C520965","2010-09-01 12:19:00","35001G",7,0,7
"12921","C491594","2009-12-11 13:13:00","22055",7,0,7
"15796","C531179","2010-11-05 14:56:00","22617",6,0,6
"12705","C489911","2009-12-03 10:26:00","85232A",6,0,6
"12748","C562188","2011-08-03 12:16:00","85099B",100,94,6
"12907","C499008","2010-02-24 11:56:00","21463",6,0,6
"13069","C578832","2011-11-25 15:18:00","22834",32,26,6
"13081","C505395","2010-04-22 09:46:00","84803B",6,0,6
"13091","C490946","2009-12-08 14:28:00","20670",6,0,6
"13091","C490807","2009-12-08 12:25:00","20670",6,0,6
"13178","C508307","2010-05-14 11:12:00","84678",6,0,6
"13293","C489476","2009-12-01 10:55:00","22149",6,0,6
"13446","C499530","2010-03-01 11:28:00","85066",6,0,6
"13539","C550029","2011-04-14 11:27:00","90185C",6,0,6
"13545","C489553","2009-12-01 12:41:00","35001W",6,0,6
"13564","C499462","2010-02-28 11:22:00","84625D",6,0,6
"13696","C494332","2010-01-13 12:08:00","21626",6,0,6
"13777","C499291","2010-02-25 19:32:00","79301",6,0,6
"13874","C491600","2009-12-11 13:23:00","85180A",6,0,6
"13916","C489504","2009-12-01 11:10:00","85083",6,0,6
"14013","C490746","2009-12-07 18:09:00","22138",6,0,6
"14277","C490798","2009-12-08 11:51:00","20681",6,0,6
"14277","C490120","2009-12-03 17:52:00","20681",6,0,6
"14277","C490798","2009-12-08 11:51:00","20682",6,0,6
"14277","C490120","2009-12-03 17:52:00","20682",6,0,6
"14277","C490120","2009-12-03 17:52:00","22352",12,6,6
"14277","C490798","2009-12-08 11:51:00","22352",12,6,6
"14277","C490798","2009-12-08 11:51:00","22353",6,0,6
"14277","C490120","2009-12-03 17:52:00","22353",6,0,6
"14337","C490942","2009-12-08 14:04:00","20935",6,0,6
"14337","C490942","2009-12-08 14:04:00","20936",6,0,6
"14337","C490942","2009-12-08 14:04:00","21480",6,0,6
"14337","C490942","2009-12-08 14:04:00","21481",6,0,6
"14337","C490942","2009-12-08 14:04:00","21482",6,0,6
"14337","C490942","2009-12-08 14:04:00","21485",6,0,6
"14337","C490942","2009-12-08 14:04:00","21576",6,0,6
"14337","C490942","2009-12-08 14:04:00","21578",6,0,6
"14337","C490942","2009-12-08 14:04:00","21579",6,0,6
"14337","C490942","2009-12-08 14:04:00","21580",6,0,6
"14337","C490942","2009-12-08 14:04:00","84029E",6,0,6
"14337","C490942","2009-12-08 14:04:00","84032B",6,0,6
"14399","C496687","2010-02-03 13:08:00","22342",6,0,6
"14426","C559939","2011-07-14 10:19:00","84688",12,6,6
"14430","C508707","2010-05-17 17:12:00","79323LP",6,0,6
"14507","C491402","2009-12-10 17:16:00","22130",6,0,6
"14527","C507358","2010-05-07 15:30:00","79323B",6,0,6
"14527","C514340","2010-07-01 15:01:00","84596J",6,0,6
"14680","C568879","2011-09-29 12:38:00","21668",6,0,6
"14685","C491676","2009-12-13 12:09:00","21868",12,6,6
"14695","C490700","2009-12-07 14:37:00","90214A",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214C",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214E",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214G",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214I",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214J",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214L",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214P",6,0,6
"14695","C490700","2009-12-07 14:37:00","90214S",6,0,6
"14817","C491022","2009-12-08 18:52:00","20665",6,0,6
"14817","C491022","2009-12-08 18:52:00","21157",6,0,6
"15194","C508761","2010-05-18 12:08:00","79323P",6,0,6
"15317","C490977","2009-12-08 16:43:00","85006",6,0,6
"15580","C497487","2010-02-09 15:59:00","22143",6,0,6
"15767","C500565","2010-03-08 15:48:00","21533",6,0,6
"15767","C500565","2010-03-08 15:48:00","21535",6,0,6
"15796","C531179","2010-11-05 14:56:00","22138",6,0,6
"15814","C580970","2011-12-06 15:01:00","22946",6,0,6
"15823","C540307","2011-01-06 12:58:00","85014A",6,0,6
"15935","C490996","2009-12-08 17:23:00","22131",6,0,6
"15935","C490996","2009-12-08 17:23:00","22276",6,0,6
"15935","C490996","2009-12-08 17:23:00","35599D",6,0,6
"15935","C490996","2009-12-08 17:23:00","35979",6,0,6
"15935","C490996","2009-12-08 17:23:00","85016",6,0,6
"15950","C495635","2010-01-26 10:54:00","79341",6,0,6
"16128","C489527","2009-12-01 11:50:00","85124A",6,0,6
"16570","C515095","2010-07-08 11:42:00","22302",6,0,6
"16732","C530910","2010-11-04 15:56:00","22359",6,0,6
"16853","C491002","2009-12-08 17:32:00","79342B",6,0,6
"16940","C510202","2010-05-28 07:44:00","79323B",6,0,6
"16940","C510202","2010-05-28 07:44:00","79341",6,0,6
"16955","C489555","2009-12-01 12:44:00","21260",6,0,6
"17170","C530399","2010-11-02 17:45:00","22618",6,0,6
"17338","C508740","2010-05-18 11:27:00","79323P",6,0,6
"17426","C516460","2010-07-20 13:50:00","79323W",6,0,6
"17603","C496287","2010-01-29 17:03:00","79323LP",6,0,6
"15861","C521971","2010-09-09 19:31:00","79191C",8,3,5
"16166","C508411","2010-05-14 16:07:00","79323P",5,0,5
"13650","C520961","2010-09-01 12:12:00","22591",5,0,5
"14337","C490942","2009-12-08 14:04:00","84031B",5,0,5
"15856","C556457","2011-06-10 16:50:00","37449",5,0,5
"14864","C490987","2009-12-08 17:07:00","85103",5,0,5
"13749","C493864","2010-01-07 16:52:00","85226A",5,0,5
"12921","C491594","2009-12-11 13:13:00","22063",5,0,5
"12896","C491037","2009-12-09 09:28:00","22121",5,0,5
"15125","C508724","2010-05-18 09:29:00","79323P",5,0,5
"14970","C513587","2010-06-27 10:41:00","79323W",29,24,5
"16422","C489587","2009-12-01 13:52:00","21639",5,0,5
"17426","C510212","2010-05-28 08:12:00","79323P",9,4,5
"17426","C510212","2010-05-28 08:12:00","79323G",5,0,5
"16670","C520994","2010-09-01 13:32:00","79323B",5,0,5
"15194","C508761","2010-05-18 12:08:00","79323LP",5,0,5
"16167","C508926","2010-05-19 11:17:00","79323LP",5,0,5
"14337","C490942","2009-12-08 14:04:00","84031A",5,0,5
"17755","C526456","2010-10-11 15:45:00","37447",5,0,5
"14337","C490942","2009-12-08 14:04:00","84030E",5,0,5
"16013","C545833","2011-03-07 13:14:00","22158",5,0,5
"15805","C508677","2010-05-17 16:39:00","79341",5,0,5
"13089","C513745","2010-06-28 12:24:00","79323P",5,0,5
"14257","C571858","2011-10-19 13:38:00","23149",5,0,5
"16001","C512326","2010-06-15 09:51:00","22335",5,0,5
"14738","C514010","2010-06-30 10:04:00","79323W",5,0,5
"15805","C508677","2010-05-17 16:39:00","79323S",5,0,5
"15805","C508677","2010-05-17 16:39:00","79323B",9,4,5
"17596","C502062","2010-03-22 15:00:00","22055",5,0,5
"15867","C503715","2010-04-06 14:55:00","20816",5,0,5
"12770","C514095","2010-06-30 12:17:00","20684",5,0,5
"15179","C491614","2009-12-11 13:55:00","21892",5,0,5
"13000","C508725","2010-05-18 09:33:00","79323W",4,0,4
"13979","C508057","2010-05-12 13:20:00","79323S",4,0,4
"14389","C491414","2009-12-10 19:13:00","22356",4,0,4
"13979","C508057","2010-05-12 13:20:00","79323LP",4,0,4
"16166","C508432","2010-05-14 16:22:00","79323G",4,0,4
"16485","C510213","2010-05-28 08:15:00","79323B",4,0,4
"13327","C508695","2010-05-17 17:01:00","79323B",4,0,4
"14337","C490942","2009-12-08 14:04:00","84029G",4,0,4
"16166","C508432","2010-05-14 16:22:00","79323GR",4,0,4
"13958","C491466","2009-12-11 11:52:00","21206",4,0,4
"15858","C492721","2009-12-18 10:54:00","21315",4,0,4
"15823","C540307","2011-01-06 12:58:00","79323B",4,0,4
"17469","C504561","2010-04-14 13:59:00","20770",4,0,4
"12712","C494492","2010-01-14 17:21:00","84466",4,0,4
"14410","C560855","2011-07-21 13:00:00","21877",5,1,4
"13915","C490929","2009-12-08 13:42:00","22139",4,0,4
"18286","C513486","2010-06-24 17:51:00","79323B",8,4,4
"14337","C490942","2009-12-08 14:04:00","20694",4,0,4
"13915","C490929","2009-12-08 13:42:00","22138",4,0,4
"14350","C546519","2011-03-14 12:27:00","84559B",4,0,4
"15819","C503223","2010-03-30 16:24:00","84849A",4,0,4
"16735","C507650","2010-05-10 15:54:00","79323B",4,0,4
"16735","C507650","2010-05-10 15:54:00","79323GR",4,0,4
"14627","C491618","2009-12-11 14:08:00","21490",4,0,4
"13889","C516754","2010-07-22 16:32:00","79323LP",4,0,4
"15031","C512272","2010-06-14 13:32:00","22145",4,0,4
"14667","C508922","2010-05-19 10:59:00","79323B",4,0,4
"14337","C490942","2009-12-08 14:04:00","21888",4,0,4
"16001","C512326","2010-06-15 09:51:00","35957",4,0,4
"15125","C508724","2010-05-18 09:29:00","79323LP",28,24,4
"15796","C489538","2009-12-01 12:18:00","22183",4,0,4
"14120","C525539","2010-10-05 19:12:00","82483",4,0,4
"17211","C527389","2010-10-17 13:14:00","79323B",4,0,4
"13042","C506828","2010-05-04 13:10:00","79323W",5,1,4
"15971","C491023","2009-12-08 18:57:00","85174",64,60,4
"18223","C508738","2010-05-18 11:04:00","79323LP",4,0,4
"16838","C512913","2010-06-18 15:06:00","79323B",4,0,4
"17894","C534442","2010-11-22 15:23:00","22567",12,8,4
"16853","C491002","2009-12-08 17:32:00","79323S",4,0,4
"17049","C510217","2010-05-28 08:23:00","79341",4,0,4
"15194","C490980","2009-12-08 16:55:00","21890",4,0,4
"17049","C510217","2010-05-28 08:23:00","79323W",4,0,4
"15680","C492668","2009-12-17 18:08:00","85047",4,0,4
"17049","C510217","2010-05-28 08:23:00","79323G",4,0,4
"17049","C510217","2010-05-28 08:23:00","79323B",4,0,4
"14454","C497206","2010-02-07 12:12:00","22342",4,0,4
"15971","C492211","2009-12-15 16:45:00","85174",64,60,4
"15941","C515793","2010-07-14 16:01:00","79323P",10,6,4
"14527","C494033","2010-01-11 10:56:00","84078A",4,0,4
"17667","C506827","2010-05-04 13:08:00","79323W",4,0,4
"14290","C494992","2010-01-20 12:04:00","22204",4,0,4
"15935","C490996","2009-12-08 17:23:00","22113",4,0,4
"13082","C517624","2010-07-30 11:55:00","20798",4,0,4
"13091","C490946","2009-12-08 14:28:00","84029E",4,0,4
"13091","C490807","2009-12-08 12:25:00","84029E",4,0,4
"13091","C490807","2009-12-08 12:25:00","84030C",4,0,4
"13091","C490946","2009-12-08 14:28:00","84030C",4,0,4
"17576","C490098","2009-12-03 16:11:00","21868",5,1,4
"15091","C489541","2009-12-01 12:18:00","21254",4,0,4
"13148","C495170","2010-01-21 12:45:00","85006",3,0,3
"12577","C574512","2011-11-04 13:28:00","23085",6,3,3
"16220","C491606","2009-12-11 13:36:00","35001C",3,0,3
"16395","C490469","2009-12-06 12:23:00","90195A",3,0,3
"14389","C491414","2009-12-10 19:13:00","21929",3,0,3
"13503","C511518","2010-06-08 16:25:00","22466",3,0,3
"13098","C542245","2011-01-26 15:06:00","22941",3,0,3
"12921","C491594","2009-12-11 13:13:00","85218",3,0,3
"15321","C492692","2009-12-17 18:46:00","22278",3,0,3
"12921","C489591","2009-12-01 14:17:00","79323B",3,0,3
"17801","C511485","2010-06-08 14:11:00","51014A",3,0,3
"14410","C560855","2011-07-21 13:00:00","22261",4,1,3
"15523","C491156","2009-12-10 09:54:00","22061",3,0,3
"14621","C491533","2009-12-11 12:32:00","72807C",3,0,3
"14337","C490942","2009-12-08 14:04:00","20695",3,0,3
"12921","C491594","2009-12-11 13:13:00","22061",3,0,3
"14030","C489577","2009-12-01 13:38:00","37503",3,0,3
"15538","C500722","2010-03-09 15:40:00","21639",3,0,3
"15538","C500722","2010-03-09 15:40:00","21645",3,0,3
"16779","C493673","2010-01-05 12:26:00","85219",3,0,3
"15538","C499419","2010-02-26 16:26:00","21645",3,0,3
"15538","C500722","2010-03-09 15:40:00","21648",3,0,3
"13612","C515307","2010-07-09 16:18:00","79323W",3,0,3
"14173","C491076","2009-12-09 12:52:00","85047",3,0,3
"12907","C499008","2010-02-24 11:56:00","85180A",3,0,3
"12907","C499008","2010-02-24 11:56:00","85179A",3,0,3
"16858","C513944","2010-06-29 13:14:00","79323GR",3,0,3
"14425","C526137","2010-10-08 14:24:00","72807A",3,0,3
"15580","C497487","2010-02-09 15:59:00","20707",3,0,3
"13659","C518968","2010-08-12 15:48:00","22424",3,0,3
"14462","C543239","2011-02-04 13:47:00","84800M",3,0,3
"17706","C511813","2010-06-10 15:51:00","79323B",3,0,3
"17049","C510217","2010-05-28 08:23:00","79323S",3,0,3
"15736","C525563","2010-10-05 19:59:00","22423",6,3,3
"14817","C491022","2009-12-08 18:52:00","22139",3,0,3
"15767","C500565","2010-03-08 15:48:00","15056BL",3,0,3
"14825","C524560","2010-09-29 14:39:00","79323P",3,0,3
"17113","C516762","2010-07-22 17:00:00","79320",3,0,3
"15767","C500565","2010-03-08 15:48:00","20679",3,0,3
"15767","C490309","2009-12-04 14:56:00","22138",3,0,3
"15767","C500565","2010-03-08 15:48:00","85232B",3,0,3
"17213","C522163","2010-09-13 11:04:00","84849A",3,0,3
"13451","C501905","2010-03-21 16:01:00","37495",3,0,3
"14290","C494992","2010-01-20 12:04:00","22138",3,0,3
"17345","C489636","2009-12-01 15:34:00","84032B",3,0,3
"17411","C511674","2010-06-09 14:52:00","79323GR",3,0,3
"14521","C519685","2010-08-19 13:04:00","22138",6,3,3
"14914","C504358","2010-04-13 10:14:00","47594B",3,0,3
"14525","C556453","2011-06-10 16:33:00","21622",6,3,3
"14952","C502084","2010-03-22 15:52:00","22216",3,0,3
"17485","C489610","2009-12-01 14:52:00","21892",3,0,3
"14337","C490942","2009-12-08 14:04:00","22125",3,0,3
"17511","C501536","2010-03-17 13:16:00","22215",3,0,3
"15867","C503715","2010-04-06 14:55:00","17165D",3,0,3
"13211","C490510","2009-12-06 14:37:00","47589",3,0,3
"14970","C501873","2010-03-21 12:29:00","79323LP",3,0,3
"12708","C500551","2010-03-08 15:33:00","85232A",6,3,3
"15874","C529145","2010-10-26 15:33:00","85047",3,0,3
"12705","C489911","2009-12-03 10:26:00","21491",3,0,3
"17581","C491461","2009-12-11 11:35:00","22202",3,0,3
"17597","C529185","2010-10-26 18:41:00","22139",3,0,3
"17627","C491413","2009-12-10 19:08:00","15060B",3,0,3
"13078","C494358","2010-01-13 15:07:00","35004S",3,0,3
"13503","C514309","2010-07-01 13:13:00","22466",3,0,3
