"stock_code","recency_days","monetary_net","frequency_completed","category"
"22122",475,3537.81,191,"Overdue Restock"
"22347",475,3301.91,115,"Overdue Restock"
"21130",470,1282.71,50,"Overdue Restock"
"22177",470,3396.28,125,"Overdue Restock"
"20730",460,1485.40,102,"Overdue Restock"
"40018F",460,2176.82,117,"Overdue Restock"
"20990",458,1829.18,103,"Overdue Restock"
"20692",456,3922.77,139,"Overdue Restock"
"21760",455,1490.00,14,"Overdue Restock"
"21752",455,1412.37,38,"Overdue Restock"
"21077",455,2125.67,192,"Overdue Restock"
"85217",455,2149.39,165,"Overdue Restock"
"21312",453,1235.24,27,"Overdue Restock"
"21474",453,4189.50,94,"Overdue Restock"
"46775E",453,2311.55,51,"Overdue Restock"
"84762B",452,1101.24,48,"Overdue Restock"
"47502",452,7003.65,79,"Overdue Restock"
"21540",452,2512.90,88,"Overdue Restock"
"21529",451,2004.38,153,"Overdue Restock"
"21687",450,2119.13,101,"Overdue Restock"
"21923",448,2825.63,119,"Overdue Restock"
"21490",445,1319.00,55,"Overdue Restock"
"21153",442,4735.58,139,"Overdue Restock"
"84918",438,1550.99,64,"Overdue Restock"
"21732",437,3219.44,58,"Overdue Restock"
"85184D",437,2995.32,67,"Overdue Restock"
"22612",437,4069.05,109,"Overdue Restock"
"47503E",436,1204.40,25,"Overdue Restock"
"21612",435,2121.24,113,"Overdue Restock"
"85164B",435,2554.94,66,"Overdue Restock"
"22172",435,4030.64,185,"Overdue Restock"
"85124A",433,1311.31,105,"Overdue Restock"
"84405A",430,1171.27,51,"Overdue Restock"
"21214",426,3261.99,200,"Overdue Restock"
"44230",424,5251.15,53,"Overdue Restock"
"21532",424,1447.42,91,"Overdue Restock"
"21542",424,1662.90,190,"Overdue Restock"
"82607A",423,1140.21,160,"Overdue Restock"
"21241",422,1980.69,260,"Overdue Restock"
"35160",422,1594.04,56,"Overdue Restock"
"47568",421,5442.29,410,"Overdue Restock"
"21482",417,2686.07,184,"Overdue Restock"
"21924",417,2586.02,123,"Overdue Restock"
"21737",416,7405.17,164,"Overdue Restock"
"21444",415,1036.56,36,"Overdue Restock"
"35962",414,1609.46,92,"Overdue Restock"
"20784",414,6131.09,39,"Overdue Restock"
"21010",410,1207.02,83,"Overdue Restock"
"21795",410,3824.16,80,"Overdue Restock"
"21611",407,2236.03,148,"Overdue Restock"
"22143",407,1026.56,70,"Overdue Restock"
"85165",406,1586.32,59,"Overdue Restock"
"21691",405,1023.42,72,"Overdue Restock"
"82597",403,2800.69,215,"Overdue Restock"
"21478",403,1038.35,92,"Overdue Restock"
"21146",402,1569.79,58,"Overdue Restock"
"21548",402,1972.39,107,"Overdue Restock"
"84967B",401,1189.45,11,"Overdue Restock"
"21274",399,2815.78,105,"Overdue Restock"
"21659",397,2131.90,66,"Overdue Restock"
"21330",396,2760.24,201,"Overdue Restock"
"84509F",394,2494.20,46,"Overdue Restock"
"21590",393,4121.28,286,"Overdue Restock"
"72750B",392,1010.05,39,"Overdue Restock"
"84908A",392,1313.72,36,"Overdue Restock"
"21282",390,1624.31,69,"Overdue Restock"
"72008",389,1571.80,215,"Overdue Restock"
"21768",389,8129.74,163,"Overdue Restock"
"85179B",389,1113.12,45,"Overdue Restock"
"21825",389,1074.33,75,"Overdue Restock"
"21541",388,1773.68,201,"Overdue Restock"
"21765",388,3472.13,144,"Overdue Restock"
"21431",387,2737.62,279,"Overdue Restock"
"85121C",386,1098.32,53,"Overdue Restock"
"84526",386,2843.48,34,"Overdue Restock"
"84908B",385,1348.83,35,"Overdue Restock"
"21610",385,1593.99,97,"Overdue Restock"
"21432",384,5443.82,237,"Overdue Restock"
"72800F",383,1090.66,67,"Overdue Restock"
"21805",383,1040.46,103,"Overdue Restock"
"37424",382,1019.39,108,"Overdue Restock"
"84670",382,2134.28,182,"Overdue Restock"
"20786",381,6157.00,33,"Overdue Restock"
"20787",381,4634.75,33,"Overdue Restock"
"21283",380,1722.65,81,"Overdue Restock"
"20738",375,1332.89,75,"Overdue Restock"
"21806",374,1279.70,128,"Overdue Restock"
"21653",373,2719.34,111,"Overdue Restock"
"84854",373,2852.69,110,"Overdue Restock"
"82615",372,1670.69,90,"Overdue Restock"
"22275",371,8392.21,313,"Overdue Restock"
"90167",369,1716.92,111,"Overdue Restock"
"20878",368,1071.13,85,"Overdue Restock"
"84270",367,4733.10,477,"Overdue Restock"
"47503J",366,3261.45,74,"Overdue Restock"
"85068",366,7167.12,197,"Overdue Restock"
"21410",366,1875.56,150,"Overdue Restock"
"21486",366,4806.72,294,"Overdue Restock"
"22528",366,8860.74,554,"Overdue Restock"
"85170A",366,1740.28,84,"Overdue Restock"
"84975",365,3476.52,212,"Overdue Restock"
"22145",365,2926.72,197,"Overdue Restock"
"21538",364,1981.52,51,"Overdue Restock"
"35958",364,1034.26,82,"Overdue Restock"
"22765",364,3791.35,53,"Overdue Restock"
"21777",364,9969.72,367,"Overdue Restock"
"21895",364,1880.01,85,"Overdue Restock"
"20671",364,1177.37,143,"Overdue Restock"
"35832",360,5674.30,188,"Overdue Restock"
"37503",359,26556.41,523,"Overdue Restock"
"20871",359,2238.60,127,"Overdue Restock"
"21186",359,9320.79,369,"Overdue Restock"
"35001W",358,3392.33,192,"Overdue Restock"
"20910",358,1049.44,47,"Overdue Restock"
"22218",358,6073.82,265,"Overdue Restock"
"85031C",358,1491.51,106,"Overdue Restock"
"21491",357,5467.52,248,"Overdue Restock"
"85031B",357,1193.38,85,"Overdue Restock"
"21009",356,1864.98,102,"Overdue Restock"
"21011",353,1493.47,118,"Overdue Restock"
"20892",352,1284.85,38,"Overdue Restock"
"79067",352,7554.00,397,"Overdue Restock"
"22769",338,3714.77,45,"Overdue Restock"
"79320",337,4696.96,151,"Overdue Restock"
"21645",336,1686.45,133,"Overdue Restock"
"85042",336,11630.72,293,"Overdue Restock"
"22323",330,1959.32,116,"Overdue Restock"
"35957",330,1683.54,148,"Overdue Restock"
"85067",329,8784.27,175,"Overdue Restock"
"85018D",328,1000.05,80,"Overdue Restock"
"22830",326,3898.22,18,"Overdue Restock"
"21667",326,6586.20,163,"Overdue Restock"
"85055",325,1755.28,107,"Overdue Restock"
"21632",324,1367.19,53,"Overdue Restock"
"85206B",322,2608.40,183,"Overdue Restock"
"21836",322,1149.03,100,"Overdue Restock"
"85118",321,1096.54,81,"Overdue Restock"
"20798",317,1606.35,84,"Overdue Restock"
"22146",317,2834.01,107,"Overdue Restock"
"85160A",317,1360.78,35,"Overdue Restock"
"72815",317,1161.72,70,"Overdue Restock"
"22862",317,3736.44,221,"Overdue Restock"
"22415",317,2520.15,204,"Overdue Restock"
"21348",317,2116.23,133,"Overdue Restock"
"22184",316,4030.14,146,"Overdue Restock"
"85126",315,1110.22,34,"Overdue Restock"
"85047",315,6834.86,236,"Overdue Restock"
"21690",312,1052.48,82,"Overdue Restock"
"84795C",311,3243.93,132,"Overdue Restock"
"22833",309,4313.49,13,"Overdue Restock"
"84823",304,1170.05,29,"Overdue Restock"
"21655",300,2328.38,89,"Overdue Restock"
"85232B",300,15721.45,562,"Overdue Restock"
"21785",296,1564.06,100,"Overdue Restock"
"22242",296,7758.42,368,"Overdue Restock"
"21910",295,1464.66,111,"Overdue Restock"
"16033",294,1501.32,50,"Overdue Restock"
"84562A",291,1675.32,78,"Overdue Restock"
"21657",291,2365.31,118,"Overdue Restock"
"21651",290,2340.47,124,"Overdue Restock"
"21661",289,1708.37,98,"Overdue Restock"
"21681",289,2275.57,79,"Overdue Restock"
"85065",289,7936.58,257,"Overdue Restock"
"21692",287,1968.21,111,"Overdue Restock"
"21488",283,11655.01,359,"Overdue Restock"
"84985A",282,1250.51,161,"Overdue Restock"
"21769",282,7635.07,49,"Overdue Restock"
"84520B",280,8051.10,732,"Overdue Restock"
"20960",277,2931.73,215,"Overdue Restock"
"35004C",276,18432.25,380,"Overdue Restock"
"85098B",271,1587.33,114,"Overdue Restock"
"21040",268,1240.25,68,"Overdue Restock"
"21826",267,2504.78,241,"Overdue Restock"
"84856L",266,1807.11,81,"Overdue Restock"
"85206A",266,4513.12,318,"Overdue Restock"
"21392",266,1079.61,48,"Overdue Restock"
"22021",263,2714.57,233,"Overdue Restock"
"77101A",263,1331.46,88,"Overdue Restock"
"90200C",262,1167.01,98,"Overdue Restock"
"21717",262,4679.96,176,"Overdue Restock"
"21547",261,2028.59,119,"Overdue Restock"
"84678",261,1204.11,81,"Overdue Restock"
"85224",260,1190.78,61,"Overdue Restock"
"22764",259,3468.61,25,"Overdue Restock"
"84840",259,2641.44,140,"Overdue Restock"
"21839",256,1102.18,83,"Overdue Restock"
"21357",255,1965.10,211,"Overdue Restock"
"47570B",254,10709.16,232,"Overdue Restock"
"21827",254,1113.59,134,"Overdue Restock"
"22127",253,4185.46,157,"Overdue Restock"
"84596E",252,1521.02,218,"Overdue Restock"
"84313B",252,1814.34,84,"Overdue Restock"
"85063",249,5320.58,181,"Overdue Restock"
"21333",248,3354.89,222,"Overdue Restock"
"20681",248,5278.80,342,"Overdue Restock"
"75131",248,1559.80,68,"Overdue Restock"
"20734",247,1860.54,117,"Overdue Restock"
"20785",247,5646.95,37,"Overdue Restock"
"84968B",247,7981.03,138,"Overdue Restock"
"84459B",245,2744.73,213,"Overdue Restock"
"84750A",245,1489.11,106,"Overdue Restock"
"85008",242,1145.74,99,"Overdue Restock"
"85064",242,8068.30,280,"Overdue Restock"
"84839",242,9213.80,394,"Overdue Restock"
"21316",242,1275.18,47,"Overdue Restock"
"22168",241,5212.41,314,"Overdue Restock"
"85040B",241,3873.00,255,"Overdue Restock"
"21100",240,4717.70,272,"Overdue Restock"
"37482P",239,1260.30,86,"Overdue Restock"
"84856S",239,1948.12,33,"Overdue Restock"
"85031A",239,1252.68,102,"Overdue Restock"
"85167B",238,1494.28,60,"Overdue Restock"
"21911",238,4532.00,344,"Overdue Restock"
"47556B",234,13663.37,454,"Overdue Restock"
"85200",234,1354.23,105,"Overdue Restock"
"10002",234,6362.70,362,"Overdue Restock"
"35915C",234,1055.88,83,"Overdue Restock"
"22525",234,3331.73,330,"Overdue Restock"
"84750B",233,1319.21,78,"Overdue Restock"
"22458",233,3981.33,174,"Overdue Restock"
"21320",232,1047.52,57,"Overdue Restock"
"21897",226,2679.70,106,"Overdue Restock"
"22459",226,3614.52,174,"Overdue Restock"
"21898",226,2727.74,113,"Overdue Restock"
"21398",225,2430.85,127,"Overdue Restock"
"48189",225,9839.32,279,"Overdue Restock"
"90062",224,3688.59,109,"Overdue Restock"
"22198",222,14641.22,646,"Overdue Restock"
"37333",220,1064.80,61,"Overdue Restock"
"35241",219,1922.19,131,"Overdue Restock"
"85144",219,1032.35,70,"Overdue Restock"
"21656",219,2093.33,141,"Overdue Restock"
"22073",218,9745.99,477,"Overdue Restock"
"22521",217,2127.84,371,"Overdue Restock"
"22202",217,5167.15,269,"Overdue Restock"
"82599",215,6256.82,506,"Overdue Restock"
"84990",214,2104.95,193,"Overdue Restock"
"22353",214,9071.38,494,"Overdue Restock"
"22926",213,4457.82,216,"Overdue Restock"
"21324",213,3140.62,175,"Overdue Restock"
"22719",212,2574.67,239,"Overdue Restock"
"22451",210,4918.33,238,"Overdue Restock"
"21527",207,25544.74,832,"Overdue Restock"
"20803",206,1029.55,85,"Overdue Restock"
"22518",205,3284.22,270,"Overdue Restock"
"17091A",205,1316.13,117,"Overdue Restock"
"21195",205,3226.64,150,"Overdue Restock"
"22520",205,2180.77,372,"Overdue Restock"
"85198",204,1517.76,51,"Overdue Restock"
"84685",201,1937.34,125,"Overdue Restock"
"85132A",199,6644.00,261,"Overdue Restock"
"85130A",199,1272.58,86,"Overdue Restock"
"22524",199,3266.05,299,"Overdue Restock"
"47589",199,1150.91,76,"Overdue Restock"
"21904",197,1071.34,145,"Overdue Restock"
"20801",197,1974.14,111,"Overdue Restock"
"84763",195,2027.73,171,"Overdue Restock"
"85016",192,2591.41,167,"Overdue Restock"
"21614",192,4287.64,194,"Overdue Restock"
"84691",192,2358.50,236,"Overdue Restock"
"84873A",190,2633.32,75,"Overdue Restock"
"20703",189,1925.44,169,"Overdue Restock"
"79030G",188,1767.06,123,"Overdue Restock"
"84313C",188,1823.63,74,"Overdue Restock"
"21397",188,2384.94,181,"Overdue Restock"
"21399",187,1622.45,118,"Overdue Restock"
"40003",185,1301.69,60,"Overdue Restock"
"22519",185,3353.16,263,"Overdue Restock"
"85232A",185,1938.39,140,"Overdue Restock"
"21161",184,1951.82,206,"Overdue Restock"
"21043",184,2304.26,141,"Overdue Restock"
"22272",183,4008.82,301,"Overdue Restock"
"35809A",182,2118.83,187,"Overdue Restock"
"22783",178,6355.43,45,"Overdue Restock"
"37479B",176,1180.22,34,"Overdue Restock"
"22788",176,4208.54,84,"Overdue Restock"
"84279B",175,3269.94,215,"Overdue Restock"
"85141",175,1243.43,71,"Overdue Restock"
"21360",172,2929.57,101,"Overdue Restock"
"20731",171,1268.54,73,"Overdue Restock"
"85132B",170,3133.49,133,"Overdue Restock"
"21421",169,2220.91,106,"Overdue Restock"
"84709B",165,1393.76,86,"Overdue Restock"
"20716",163,2130.53,246,"Overdue Restock"
"22618",163,6132.79,243,"Overdue Restock"
"21082",163,1632.66,163,"Overdue Restock"
"84905",162,1623.57,105,"Overdue Restock"
"84631",161,1473.12,50,"Overdue Restock"
"20701",161,1045.48,50,"Overdue Restock"
"22060",160,5910.90,159,"Overdue Restock"
"22482",156,2851.77,214,"Overdue Restock"
"22088",156,14868.81,619,"Overdue Restock"
"20941",155,1031.59,124,"Overdue Restock"
"84686",151,1357.64,76,"Overdue Restock"
"21781",151,11041.59,364,"Overdue Restock"
"22052",150,1462.18,128,"Overdue Restock"
"84688",148,1446.99,81,"Overdue Restock"
"84466",147,1073.17,73,"Overdue Restock"
"21278",146,1636.25,118,"Overdue Restock"
"21472",146,4486.19,285,"Overdue Restock"
"17096",142,1152.53,76,"Overdue Restock"
"84910A",141,1325.23,53,"Overdue Restock"
"84849B",141,3533.32,293,"Overdue Restock"
"22444",140,16592.89,456,"Overdue Restock"
"20684",140,2002.62,176,"Overdue Restock"
"84789",140,1622.78,124,"Overdue Restock"
"22777",140,4286.14,100,"Overdue Restock"
"21445",139,2025.88,146,"Overdue Restock"
"21361",139,8098.43,286,"Overdue Restock"
"85103",137,2483.16,88,"Overdue Restock"
"84872A",135,5121.37,150,"Overdue Restock"
"21188",128,2989.43,128,"Overdue Restock"
"21792",127,2528.71,141,"Overdue Restock"
"21187",126,2541.01,144,"Overdue Restock"
"22443",125,5801.67,264,"Overdue Restock"
"18098C",122,6517.83,374,"Overdue Restock"
"20902",120,2737.09,116,"Overdue Restock"
"35653",120,1425.21,113,"Overdue Restock"
"21171",120,2695.24,260,"Overdue Restock"
"85214",120,1081.11,169,"Overdue Restock"
"21272",120,3500.30,339,"Overdue Restock"
"22137",120,1599.86,43,"Overdue Restock"
"22194",120,3455.15,160,"Overdue Restock"
"21359",119,2279.26,73,"Overdue Restock"
"21332",115,1735.69,50,"Overdue Restock"
"21662",115,2066.20,107,"Overdue Restock"
"21069",113,5128.43,279,"Overdue Restock"
"21143",108,4441.80,182,"Overdue Restock"
"21870",107,8009.06,630,"Overdue Restock"
"20966",107,5347.23,420,"Overdue Restock"
"37501",107,3691.85,177,"Overdue Restock"
"85025C",106,1539.42,126,"Overdue Restock"
"22480",102,2995.56,263,"Overdue Restock"
"20897",101,1048.10,75,"Overdue Restock"
"22855",100,6401.92,427,"Overdue Restock"
"21609",100,4245.13,218,"Overdue Restock"
"22157",99,1400.85,124,"Overdue Restock"
"22245",98,4387.80,413,"Overdue Restock"
"85132C",98,6807.15,307,"Overdue Restock"
"21784",98,4731.66,178,"Overdue Restock"
"37342",97,2168.63,131,"Overdue Restock"
"22760",95,4846.93,120,"Overdue Restock"
"84660B",93,1100.67,67,"Overdue Restock"
"84507B",93,1894.16,115,"Overdue Restock"
"84660C",92,1665.85,113,"Overdue Restock"
"22256",92,1359.56,119,"Overdue Restock"
"21033",91,13769.26,574,"Overdue Restock"
"21743",87,3926.56,182,"Overdue Restock"
"20773",87,1036.36,117,"Overdue Restock"
"79000",87,10940.31,439,"Overdue Restock"
"22461",86,3362.87,146,"Overdue Restock"
"84016",85,7115.66,67,"Overdue Restock"
"21641",83,1151.49,111,"Overdue Restock"
"21735",83,10730.00,265,"Overdue Restock"
"21246",83,4286.36,210,"Overdue Restock"
"21179",83,3991.05,506,"Overdue Restock"
"84596L",82,1311.90,256,"Overdue Restock"
"23134",81,6447.74,38,"Overdue Restock"
"84508A",79,8087.31,109,"Overdue Restock"
"85049B",79,2741.12,342,"Overdue Restock"
"84912A",78,3732.75,232,"Overdue Restock"
"40016",78,6013.50,245,"Overdue Restock"
"22854",78,6041.35,244,"Overdue Restock"
"21447",78,4801.68,336,"Overdue Restock"
"84352",78,3660.41,127,"Overdue Restock"
"37343",77,2125.78,105,"Overdue Restock"
"84754",76,2775.98,218,"Overdue Restock"
"84637",76,2041.73,114,"Overdue Restock"
"22502",74,66750.61,932,"Overdue Restock"
"85049F",74,2671.61,314,"Overdue Restock"
"22837",74,18327.46,450,"Overdue Restock"
"20658",73,2781.03,353,"Overdue Restock"
"21363",71,5990.86,401,"Overdue Restock"
"20700",71,1822.60,103,"Overdue Restock"
"15044B",71,4908.91,189,"Overdue Restock"
"85049D",71,3029.37,402,"Overdue Restock"
"22740",70,12412.19,301,"Overdue Restock"
"22957",70,5085.10,214,"Overdue Restock"
"90209B",68,1007.72,97,"Overdue Restock"
"20830",67,1391.88,83,"Overdue Restock"
"21067",65,4318.86,266,"Overdue Restock"
"20774",65,1081.96,120,"Overdue Restock"
"22858",63,2011.08,139,"Overdue Restock"
"22700",62,3165.23,99,"Overdue Restock"
"47574A",62,1141.96,129,"Overdue Restock"
"85087",62,2454.27,146,"Overdue Restock"
"23412",59,2425.46,76,"Overdue Restock"
"21637",59,1923.16,93,"Overdue Restock"
"21364",57,3770.29,167,"Overdue Restock"
"23066",56,2303.72,85,"Overdue Restock"
