"customer_id","recency_days","monetary_gross","monetary_net","gross_net_gap","frequency_completed","cancellation_count"
"17187",226,467.71,467.71,0.00,2,0
"17217",233,210.10,210.10,0.00,2,0
"17245",204,371.63,371.63,0.00,2,0
"17263",207,63.44,63.44,0.00,1,0
"17277",227,1065.35,1065.35,0.00,2,0
"17278",240,271.24,271.24,0.00,2,0
"17367",237,167.55,167.55,0.00,1,0
"17394",218,203.87,203.87,0.00,1,0
"17443",219,534.24,534.24,0.00,1,0
"17455",203,131.70,131.70,0.00,1,0
"17492",247,1122.42,1122.42,0.00,3,0
"17501",220,288.60,288.60,0.00,2,0
"17556",205,300.67,300.67,0.00,2,0
"17574",242,185.65,185.65,0.00,1,0
"17601",238,412.66,412.66,0.00,2,0
"17604",216,942.38,942.38,0.00,6,0
"17670",227,205.70,205.70,0.00,1,0
"17697",235,338.95,338.95,0.00,1,0
"17715",200,489.60,489.60,0.00,2,0
"17849",217,1063.76,1063.76,0.00,8,0
"17871",204,1068.95,1068.95,0.00,5,0
"17889",211,746.42,746.42,0.00,7,0
"17893",224,107.21,107.21,0.00,1,0
"17906",246,72.90,72.90,0.00,1,0
"17946",232,149.58,149.58,0.00,2,0
"17956",248,12.75,12.75,0.00,1,0
"17970",210,562.79,562.79,0.00,1,0
"17972",241,135.19,135.19,0.00,1,0
"17991",224,298.65,298.65,0.00,3,0
"18048",202,394.93,394.93,0.00,3,0
"18078",216,725.53,725.53,0.00,4,0
"18120",213,111.15,111.15,0.00,1,0
"18129",242,112.55,112.55,0.00,1,0
"18133",211,931.50,931.50,0.00,1,0
"18185",248,304.25,304.25,0.00,1,0
"18213",236,232.48,232.48,0.00,1,0
"12353",203,406.76,406.76,0.00,2,0
"18239",218,1712.26,1712.26,0.00,6,0
"12354",231,1079.40,1079.40,0.00,1,0
"12355",213,947.61,947.61,0.00,2,0
"12447",242,431.49,431.49,0.00,1,0
"12506",232,73.50,73.50,0.00,1,0
"12573",226,717.41,717.41,0.00,5,0
"12580",246,962.90,962.90,0.00,2,0
"12582",238,1820.40,1820.40,0.00,4,0
"12622",231,162.10,162.10,0.00,1,0
"12639",238,1072.37,1072.37,0.00,3,0
"12690",205,335.01,335.01,0.00,1,0
"12754",235,3010.74,3010.74,0.00,3,0
"12769",238,1143.60,1143.60,0.00,1,0
"12821",213,220.80,220.80,0.00,2,0
"12897",204,514.25,514.25,0.00,4,0
"12976",211,3156.38,3156.38,0.00,8,0
"13052",211,3118.48,3118.48,0.00,7,0
"13101",233,695.40,695.40,0.00,4,0
"13120",238,30.60,30.60,0.00,1,0
"13221",239,844.86,844.86,0.00,2,0
"13227",201,257.70,257.70,0.00,1,0
"13229",225,160.95,160.95,0.00,1,0
"13235",211,1031.07,1031.07,0.00,1,0
"13243",202,1220.38,1220.38,0.00,5,0
"13339",200,860.12,860.12,0.00,1,0
"13391",203,59.80,59.80,0.00,1,0
"13474",235,646.59,646.59,0.00,3,0
"13482",231,336.09,336.09,0.00,2,0
"13508",243,287.05,287.05,0.00,2,0
"13531",204,1433.07,1433.07,0.00,6,0
"13561",215,1803.40,1803.40,0.00,11,0
"13570",242,239.49,239.49,0.00,1,0
"13572",205,1384.25,1384.25,0.00,1,0
"13712",246,766.42,766.42,0.00,2,0
"13718",245,306.55,306.55,0.00,2,0
"13723",216,1194.08,1194.08,0.00,6,0
"13731",218,610.59,610.59,0.00,2,0
"13740",240,1582.77,1582.77,0.00,5,0
"13837",211,266.59,266.59,0.00,2,0
"13887",203,349.55,349.55,0.00,1,0
"13976",206,1192.36,1192.36,0.00,4,0
"13990",212,311.30,311.30,0.00,1,0
"14022",224,792.15,792.15,0.00,2,0
"14148",233,466.29,466.29,0.00,2,0
"14161",215,2996.93,2996.93,0.00,7,0
"14220",246,1515.00,1515.00,0.00,4,0
"14242",234,280.55,280.55,0.00,2,0
"14271",225,214.18,214.18,0.00,2,0
"14340",218,134.70,134.70,0.00,1,0
"14353",214,376.50,376.50,0.00,3,0
"14393",217,67.95,67.95,0.00,1,0
"14465",246,3925.85,3925.85,0.00,11,0
"14489",206,1574.93,1574.93,0.00,4,0
"14616",242,527.78,527.78,0.00,5,0
"14647",200,506.04,506.04,0.00,2,0
"14669",241,3216.78,3216.78,0.00,7,0
"14672",234,1113.14,1113.14,0.00,4,0
"14689",208,112.80,112.80,0.00,1,0
"14697",217,188.61,188.61,0.00,2,0
"14699",213,702.60,702.60,0.00,4,0
"14873",209,854.13,854.13,0.00,2,0
"14888",206,369.20,369.20,0.00,1,0
"14920",212,1607.17,1607.17,0.00,3,0
"14924",245,931.01,931.01,0.00,3,0
"14964",246,206.21,206.21,0.00,1,0
"14988",211,2038.65,2038.65,0.00,7,0
"15063",212,370.80,370.80,0.00,1,0
"15119",245,266.40,266.40,0.00,1,0
"15139",239,178.96,178.96,0.00,2,0
"15143",225,563.63,563.63,0.00,2,0
"15210",224,1176.19,1176.19,0.00,3,0
"15225",233,409.40,409.40,0.00,1,0
"15230",238,429.60,429.60,0.00,2,0
"15235",217,2772.76,2772.76,0.00,16,0
"15246",237,780.40,780.40,0.00,3,0
"15292",200,178.39,178.39,0.00,1,0
"15333",207,1028.56,1028.56,0.00,1,0
"15442",248,594.00,594.00,0.00,1,0
"15517",232,267.03,267.03,0.00,1,0
"15552",216,252.52,252.52,0.00,2,0
"15668",217,76.32,76.32,0.00,1,0
"15705",200,143.10,143.10,0.00,1,0
"15717",233,607.00,607.00,0.00,5,0
"15775",244,150.50,150.50,0.00,2,0
"15813",207,1303.91,1303.91,0.00,2,0
"15891",226,509.13,509.13,0.00,1,0
"15917",247,530.17,530.17,0.00,5,0
"16006",210,332.82,332.82,0.00,2,0
"16055",220,134.80,134.80,0.00,1,0
"16097",239,185.05,185.05,0.00,1,0
"16105",248,2386.19,2386.19,0.00,5,0
