"stock_code","recency_days","monetary_net","avg_order_month","category"
"62097A",490,14.75,8.40,"Dead Stock Candidate"
"35980B",571,1.52,8.50,"Dead Stock Candidate"
"90066A",427,33.75,8.50,"Dead Stock Candidate"
"21343",665,58.10,8.67,"Dead Stock Candidate"
"18098B",652,8.85,8.67,"Dead Stock Candidate"
"18097B",690,17.85,9.25,"Dead Stock Candidate"
"21119",437,82.02,9.33,"Dead Stock Candidate"
"21853",599,30.80,9.33,"Dead Stock Candidate"
"84966C",401,276.00,9.50,"Dead Stock Candidate"
"49031B",433,0.00,10.00,"Dead Stock Candidate"
"22790",421,3884.00,10.00,"Dead Stock Candidate"
"22850",416,0.00,10.00,"Dead Stock Candidate"
"35817B",574,66.47,10.25,"Dead Stock Candidate"
"15002",398,0.00,11.00,"Seasonal Dormant"
"90142B",382,10.18,11.00,"Seasonal Dormant"
"90142C",395,10.18,11.00,"Seasonal Dormant"
"37477C",381,22.50,11.00,"Seasonal Dormant"
"35915A",721,365.76,12.00,"Seasonal Dormant"
"35837",729,1.70,12.00,"Seasonal Dormant"
"35821P",723,5.90,12.00,"Seasonal Dormant"
"35818C",724,6.86,12.00,"Seasonal Dormant"
"35815B",723,52.54,12.00,"Seasonal Dormant"
"35751D",736,5.32,12.00,"Seasonal Dormant"
"35751C",736,12.61,12.00,"Seasonal Dormant"
"35605A",737,0.00,12.00,"Seasonal Dormant"
"35603B",693,-28.56,12.00,"Seasonal Dormant"
"35051B",732,5.88,12.00,"Seasonal Dormant"
"35001P",617,3.49,12.00,"Seasonal Dormant"
"30086C",737,3.40,12.00,"Seasonal Dormant"
"21860",736,10.34,12.00,"Seasonal Dormant"
"21854",735,10.34,12.00,"Seasonal Dormant"
"21852",720,20.85,12.00,"Seasonal Dormant"
"21838",737,5.45,12.00,"Seasonal Dormant"
"21767",737,29.95,12.00,"Seasonal Dormant"
"21685",650,29.90,12.00,"Seasonal Dormant"
"21525",721,0.00,12.00,"Seasonal Dormant"
"21496",693,0.00,12.00,"Seasonal Dormant"
"21475",722,0.00,12.00,"Seasonal Dormant"
"21406",724,17.30,12.00,"Seasonal Dormant"
"21290",715,5.00,12.00,"Seasonal Dormant"
"21225",717,2.50,12.00,"Seasonal Dormant"
"21036",725,2.55,12.00,"Seasonal Dormant"
"20939",727,10.20,12.00,"Seasonal Dormant"
"20885",716,0.00,12.00,"Seasonal Dormant"
"20884",721,8.40,12.00,"Seasonal Dormant"
"20882",722,11.80,12.00,"Seasonal Dormant"
"20881",722,3.40,12.00,"Seasonal Dormant"
"20858",724,6.60,12.00,"Seasonal Dormant"
"20739",737,17.30,12.00,"Seasonal Dormant"
"20737",736,3.40,12.00,"Seasonal Dormant"
"20721",731,0.85,12.00,"Seasonal Dormant"
"20683",728,3.25,12.00,"Seasonal Dormant"
"20673",736,6.25,12.00,"Seasonal Dormant"
"18098A",721,5.90,12.00,"Seasonal Dormant"
"17084G",731,10.50,12.00,"Seasonal Dormant"
"17061",731,2.08,12.00,"Seasonal Dormant"
"17014C",729,47.18,12.00,"Seasonal Dormant"
"17013B",723,224.46,12.00,"Seasonal Dormant"
"17011E",723,80.60,12.00,"Seasonal Dormant"
"17011C",723,225.70,12.00,"Seasonal Dormant"
"16215",735,5.20,12.00,"Seasonal Dormant"
"16192",720,25.80,12.00,"Seasonal Dormant"
"16169G",728,10.50,12.00,"Seasonal Dormant"
"16161C",717,45.00,12.00,"Seasonal Dormant"
"72754D",736,1.69,12.00,"Seasonal Dormant"
"79065A",687,29.85,12.00,"Seasonal Dormant"
"78056",682,22.80,12.00,"Seasonal Dormant"
"79070B",737,22.52,12.00,"Seasonal Dormant"
"84572",736,8.49,12.00,"Seasonal Dormant"
"84626",730,45.95,12.00,"Seasonal Dormant"
"84648",737,12.75,12.00,"Seasonal Dormant"
"84721",734,87.80,12.00,"Seasonal Dormant"
"84814B",733,15.60,12.00,"Seasonal Dormant"
"84845A",732,1.25,12.00,"Seasonal Dormant"
"85024A",734,1.65,12.00,"Seasonal Dormant"
"85069",728,-50.85,12.00,"Seasonal Dormant"
"85072",728,66.00,12.00,"Seasonal Dormant"
"85077",717,11.90,12.00,"Seasonal Dormant"
"85083",728,-2.55,12.00,"Seasonal Dormant"
"85123B",716,12.08,12.00,"Seasonal Dormant"
"85171",731,2.55,12.00,"Seasonal Dormant"
"85185E",688,6.70,12.00,"Seasonal Dormant"
"85230C",728,6.96,12.00,"Seasonal Dormant"
"85230D",728,6.96,12.00,"Seasonal Dormant"
"90004A",723,3.75,12.00,"Seasonal Dormant"
"72752B",727,12.75,12.00,"Seasonal Dormant"
"72752A",734,4.25,12.00,"Seasonal Dormant"
"72751B",734,5.95,12.00,"Seasonal Dormant"
"72751A",734,5.95,12.00,"Seasonal Dormant"
"71101A",725,5.10,12.00,"Seasonal Dormant"
"48175",723,164.08,12.00,"Seasonal Dormant"
"47569",703,0.00,12.00,"Seasonal Dormant"
"47556",736,2.55,12.00,"Seasonal Dormant"
"47554",732,2.55,12.00,"Seasonal Dormant"
"40046C",722,3.75,12.00,"Seasonal Dormant"
"40002",632,61.20,12.00,"Seasonal Dormant"
"37484",730,6.75,12.00,"Seasonal Dormant"
"37438",725,3.75,12.00,"Seasonal Dormant"
"37432",730,3.90,12.00,"Seasonal Dormant"
"37408",735,6.25,12.00,"Seasonal Dormant"
"35999",726,2.55,12.00,"Seasonal Dormant"
"35976B",730,-13.75,12.00,"Seasonal Dormant"
"10109",736,1.68,12.00,"Seasonal Dormant"
"35974",722,3.75,12.00,"Seasonal Dormant"
"35945",720,1.95,12.00,"Seasonal Dormant"
"35930",722,0.38,12.00,"Seasonal Dormant"
