"stock_code","frequency_completed","frequency_all","cancellation_count"
"20617",105,105,0
"20618",137,137,0
"20619",196,196,0
"20620",14,14,0
"20621",33,33,0
"20622",128,128,0
"20652",174,174,0
"20653",81,81,0
"20654",120,120,0
"20655",189,189,0
"20657",120,120,0
"20658",353,356,3
"20659",138,138,0
"20660",26,26,0
"20661",123,127,4
"20662",49,50,1
"20663",44,46,2
"20664",31,31,0
"20665",350,355,5
"20666",46,47,1
"20667",24,24,0
"20668",367,369,2
"20669",214,214,0
"20670",48,51,3
"20671",143,143,0
"20672",36,36,0
"20673",2,2,0
"20674",463,466,3
"20675",693,702,9
"20676",967,980,13
"20677",761,764,3
"20678",1,1,0
"20679",715,724,9
"20680",4,4,0
"20681",342,357,15
"20682",593,612,19
"20683",1,1,0
"20684",176,181,5
"20685",1728,1740,12
"20686",186,193,7
"20688",11,11,0
"20689",41,42,1
"20692",139,141,2
"20693",18,19,1
"20694",54,55,1
"20695",61,63,2
"20696",60,60,0
"20697",21,21,0
"20698",21,21,0
"20699",88,88,0
"20700",103,105,2
"20701",50,50,0
"20702",245,251,6
"20703",169,184,15
"20704",80,81,1
"20705",53,54,1
"20707",199,202,3
"20711",1056,1068,12
"20712",1415,1433,18
"20713",1319,1331,12
"20714",28,28,0
"20715",1,2,1
"20716",246,248,2
"20717",757,762,5
"20718",1213,1222,9
"20719",1576,1593,17
"20721",1,1,0
"20723",1379,1402,23
"20724",2039,2075,36
"20725",3056,3135,79
"20726",1928,1966,38
"20727",2351,2396,45
"20728",2067,2110,43
"20729",121,124,3
"20730",102,104,2
"20731",73,74,1
"20733",294,295,1
"20734",117,118,1
"20735",203,203,0
"20736",19,19,0
"20737",1,1,0
"20738",75,75,0
"20739",1,1,0
"20747",108,111,3
"20748",183,183,0
"20749",766,776,10
"20750",909,918,9
"20751",471,474,3
"20752",358,361,3
"20753",56,57,1
"20754",852,858,6
"20755",122,122,0
"20756",64,64,0
"20757",78,78,0
"20758",95,96,1
"20759",63,63,0
"20760",81,81,0
"20761",146,147,1
"20762",136,137,1
"20763",74,75,1
"20764",193,194,1
"20765",146,148,2
"20766",155,156,1
"20767",179,181,2
"20768",149,149,0
"20769",79,79,0
"20770",201,203,2
"20771",140,141,1
"20772",161,164,3
"20773",117,118,1
"20774",120,121,1
"20775",112,112,0
"20776",84,84,0
"20777",169,171,2
"20778",90,92,2
"20780",98,99,1
"20781",61,64,3
"20782",87,89,2
"20783",56,60,4
"20784",39,40,1
"20785",37,38,1
"20786",33,35,2
"20787",33,33,0
"20791",1,2,1
"20793",22,23,1
"20794",48,52,4
"20795",29,32,3
"20796",22,22,0
"20798",84,99,15
"20799",27,29,2
"20800",5,5,0
"20801",111,113,2
"20802",116,120,4
"20803",85,88,3
"20804",61,62,1
"20812",3,3,0
"20814",13,14,1
"20816",7,8,1
"20818",30,30,0
"20819",65,65,0
"20820",9,9,0
"20821",26,29,3
"20822",1,2,1
"20823",19,20,1
"20825",8,9,1
"20826",14,14,0
"20827",9,9,0
"20828",607,612,5
"20829",481,495,14
"20830",83,87,4
"20831",79,80,1
"20832",158,161,3
"20833",5,6,1
"20835",10,10,0
"20836",22,24,2
"20837",18,18,0
"20838",63,64,1
"20839",119,119,0
"20840",94,97,3
"20845",24,24,0
"20846",169,169,0
"20847",27,28,1
"20848",12,12,0
"20849",24,24,0
"20850",23,23,0
"20851",28,29,1
"20852",5,5,0
"20854",107,109,2
"20855",47,48,1
"20856",123,125,2
"20857",73,75,2
"20858",1,1,0
"20860",11,11,0
"20861",16,16,0
"20862",37,38,1
"20863",50,51,1
"20864",29,30,1
"20865",33,35,2
"20866",191,192,1
"20867",153,153,0
"20868",71,71,0
"20869",53,53,0
"20870",7,8,1
"20871",127,129,2
"20877",5,5,0
"20878",85,85,0
"20879",11,12,1
"20881",2,2,0
"20882",2,2,0
"20884",3,3,0
"20885",1,2,1
"20886",308,309,1
"20887",8,8,0
"20888",19,19,0
"20889",13,13,0
"20890",4,4,0
"20891",3,3,0
"20892",38,45,7
"20893",78,82,4
"20894",79,82,3
"20895",4,4,0
"20896",14,14,0
"20897",75,77,2
"20898",53,54,1
"20899",12,12,0
"20901",67,68,1
"20902",116,116,0
"20903",86,87,1
"20905",4,4,0
"20906",47,47,0
"20910",47,47,0
"20913",43,43,0
"20914",2032,2116,84
"20931",157,166,9
"20932",81,87,6
"20933",52,52,0
"20934",74,82,8
"20935",46,47,1
"20936",76,79,3
"20939",1,1,0
"20940",22,24,2
"20941",124,129,5
"20942",4,5,1
"20943",71,72,1
"20950",83,83,0
"20952",24,26,2
"20953",9,9,0
"20954",3,3,0
"20956",236,240,4
"20957",15,16,1
"20958",10,10,0
"20960",215,215,0
"20961",514,516,2
"20963",509,510,1
"20964",6,6,0
"20966",420,421,1
"20967",297,300,3
"20968",19,19,0
"20969",613,615,2
"20970",574,576,2
"20971",1148,1160,12
"20972",1397,1407,10
"20973",658,662,4
"20974",823,829,6
"20975",903,915,12
"20976",76,76,0
"20977",485,490,5
"20978",557,559,2
"20979",709,736,27
"20980",58,59,1
"20981",513,520,7
"20982",576,582,6
"20983",641,646,5
"20984",246,249,3
"20985",291,297,6
"20986",204,204,0
"20987",22,22,0
"20988",9,9,0
"20989",57,58,1
"20990",103,104,1
"20991",32,32,0
"20992",433,433,0
"20993",32,32,0
"20994",12,12,0
"20996",335,336,1
"20997",83,83,0
"20998",127,127,0
"21000",94,94,0
"21001",90,90,0
"21002",184,184,0
"21003",64,64,0
"21004",70,70,0
"21007",49,49,0
"21008",1,1,0
"21009",102,105,3
"21010",83,84,1
"21011",118,119,1
"21012",299,301,2
"21014",189,190,1
"21015",186,187,1
"21016",82,83,1
"21017",87,87,0
"21018",44,44,0
"21025",81,81,0
"21026",124,124,0
"21027",77,77,0
"21028",92,92,0
"21030",51,51,0
"21031",39,40,1
"21032",50,51,1
"21033",574,576,2
"21034",1903,1912,9
"21035",929,934,5
"21036",1,1,0
"21038",52,53,1
"21039",228,232,4
"21040",68,68,0
"21041",525,531,6
"21042",399,409,10
"21043",141,142,1
"21051",127,128,1
"21054",182,183,1
"21055",222,224,2
"21056",195,199,4
"21058",275,276,1
"21059",221,224,3
"21060",151,151,0
"21061",163,164,1
"21062",136,136,0
"21063",238,239,1
"21064",171,174,3
"21065",118,120,2
"21066",131,132,1
"21067",266,271,5
"21068",373,381,8
"21069",279,283,4
"21070",229,231,2
"21071",472,476,4
"21076",92,93,1
"21077",192,192,0
"21078",741,742,1
"21080",2123,2134,11
"21081",4,4,0
"21082",163,165,2
"21084",223,224,1
"21085",66,66,0
"21086",843,847,4
"21087",32,32,0
"21088",136,138,2
"21089",41,41,0
"21090",279,282,3
"21091",47,47,0
"21092",29,31,2
"21094",984,989,5
"21095",40,40,0
"21096",143,144,1
"21097",7,7,0
"21098",598,604,6
"21099",33,36,3
"21100",272,276,4
"21102",20,21,1
"21106",169,169,0
"21107",313,313,0
"21108",613,617,4
"21109",224,225,1
"21110",329,332,3
"21111",214,216,2
"21112",189,192,3
"21114",494,499,5
"21115",431,432,1
"21116",548,549,1
"21117",26,26,0
"21118",7,7,0
"21119",3,3,0
"21120",1,1,0
"21121",873,882,9
"21122",807,811,4
"21123",252,254,2
"21124",629,632,3
"21125",246,250,4
"21126",285,287,2
"21127",48,49,1
"21128",57,57,0
"21129",60,62,2
"21130",50,51,1
"21131",49,49,0
"21132",47,47,0
"21133",44,44,0
"21134",46,46,0
"21135",408,414,6
"21136",740,744,4
"21137",634,641,7
"21143",182,187,5
"21144",60,61,1
"21145",49,51,2
"21146",58,59,1
"21147",118,119,1
"21153",139,141,2
"21154",903,909,6
"21155",969,994,25
"21156",930,946,16
"21157",176,177,1
"21158",310,313,3
"21159",251,254,3
"21160",58,61,3
"21161",206,209,3
"21162",285,287,2
"21163",253,256,3
"21164",721,726,5
"21165",966,972,6
"21166",1425,1442,17
"21167",114,115,1
"21169",772,781,9
"21171",260,260,0
"21172",972,979,7
"21173",77,78,1
"21174",1135,1138,3
"21175",1659,1671,12
"21179",506,507,1
"21181",1814,1830,16
"21185",44,47,3
"21186",369,370,1
"21187",144,144,0
"21188",128,130,2
"21189",123,123,0
"21190",111,113,2
"21191",201,201,0
"21192",217,218,1
"21193",22,22,0
"21194",95,98,3
"21195",150,150,0
"21196",22,22,0
"21197",45,46,1
"21198",118,121,3
"21199",149,150,1
"21200",126,127,1
"21201",236,238,2
"21202",66,69,3
"21203",145,147,2
"21204",205,207,2
"21205",144,148,4
"21206",238,242,4
"21207",282,286,4
"21208",121,126,5
"21209",137,144,7
"21210",1161,1171,10
"21211",237,238,1
"21212",3118,3144,26
"21213",1481,1484,3
"21214",200,201,1
"21215",291,292,1
"21216",802,819,17
"21217",928,957,29
"21218",897,924,27
"21219",176,177,1
"21220",159,159,0
"21221",107,107,0
"21222",133,133,0
"21223",43,43,0
"21224",312,315,3
"21225",2,2,0
"21226",37,37,0
"21228",31,31,0
"21231",1482,1553,71
"21232",2435,2618,183
"21238",903,925,22
"21239",751,760,9
"21240",769,776,7
"21241",260,261,1
"21242",657,663,6
"21243",504,506,2
"21244",445,453,8
"21245",304,305,1
"21246",210,214,4
"21247",81,81,0
"21248",158,161,3
"21249",259,262,3
"21250",60,60,0
"21251",132,132,0
"21252",22,22,0
"21253",122,122,0
"21255",96,98,2
"21256",65,65,0
"21257",532,547,15
"21258",528,570,42
"21259",655,672,17
"21260",534,541,7
"21261",77,77,0
"21262",132,137,5
"21263",56,57,1
"21264",68,70,2
"21265",34,37,3
"21266",9,9,0
"21267",10,10,0
"21268",49,49,0
"21269",65,65,0
"21270",51,51,0
"21272",339,343,4
"21274",105,106,1
"21275",55,63,8
"21276",29,32,3
"21277",48,52,4
"21278",118,121,3
"21279",101,107,6
"21280",70,71,1
"21281",67,68,1
"21282",69,70,1
"21283",81,82,1
"21284",140,143,3
"21285",99,102,3
"21286",101,102,1
"21287",93,93,0
"21288",224,226,2
"21289",102,104,2
"21290",1,1,0
"21291",153,158,5
"21292",91,92,1
"21293",85,86,1
"21294",140,140,0
"21298",14,19,5
"21299",34,37,3
"21300",12,14,2
"21303",30,34,4
"21304",18,18,0
"21306",68,70,2
"21307",72,73,1
"21308",6,7,1
"21309",5,6,1
"21310",4,5,1
"21311",94,96,2
"21312",27,30,3
"21313",415,430,15
"21314",1066,1132,66
"21316",47,49,2
"21317",74,77,3
"21318",93,105,12
"21319",66,70,4
"21320",57,65,8
"21321",18,21,3
"21322",14,14,0
"21323",81,82,1
"21324",175,178,3
"21326",643,654,11
"21327",495,495,0
"21328",643,643,0
"21329",555,557,2
"21330",201,202,1
"21331",30,32,2
"21332",50,55,5
"21333",222,232,10
"21335",28,32,4
"21336",43,45,2
"21337",12,12,0
"21338",13,13,0
"21339",12,12,0
"21340",419,433,14
"21341",29,29,0
"21343",3,4,1
"21344",26,28,2
"21347",4,4,0
"21348",133,138,5
"21349",171,173,2
"21350",42,43,1
"21351",178,183,5
"21352",158,162,4
"21353",9,9,0
"21354",217,217,0
"21355",341,344,3
"21356",349,350,1
"21357",211,212,1
"21358",222,223,1
"21359",73,77,4
"21360",101,102,1
"21361",286,299,13
"21363",401,410,9
"21364",167,169,2
"21365",77,77,0
"21366",77,77,0
"21367",60,60,0
"21368",47,47,0
"21369",22,22,0
"21370",22,22,0
"21371",64,64,0
"21372",50,50,0
"21373",61,62,1
"21374",71,71,0
"21375",61,61,0
"21376",46,46,0
"21377",98,99,1
"21378",88,88,0
"21379",125,125,0
"21380",651,657,6
"21381",532,538,6
"21382",152,153,1
"21383",323,328,5
"21384",150,150,0
"21385",690,693,3
"21386",105,105,0
"21387",4,4,0
"21388",29,29,0
"21389",261,267,6
"21390",588,592,4
"21391",176,177,1
"21392",48,50,2
"21393",43,45,2
"21394",151,155,4
"21395",115,119,4
"21396",77,78,1
"21397",181,182,1
"21398",127,128,1
"21399",118,122,4
"21400",91,92,1
"21401",121,121,0
"21402",151,152,1
"21403",157,157,0
"21406",1,1,0
"21407",453,455,2
"21408",240,243,3
"21409",1,1,0
"21410",150,151,1
"21411",624,627,3
"21412",67,69,2
"21413",52,52,0
"21414",36,37,1
"21415",82,82,0
"21416",22,22,0
"21417",118,120,2
"21418",66,67,1
"21419",19,19,0
"21420",31,31,0
"21421",106,107,1
"21422",147,149,2
"21424",143,152,9
"21425",95,103,8
"21426",99,109,10
"21427",119,127,8
"21428",465,474,9
"21429",997,1016,19
"21430",814,836,22
"21431",279,281,2
"21432",237,246,9
"21437",109,111,2
"21438",36,37,1
"21439",240,241,1
"21440",95,96,1
"21441",133,133,0
"21442",136,136,0
"21443",26,27,1
"21444",36,37,1
"21445",146,148,2
"21446",232,232,0
"21447",336,337,1
"21448",211,211,0
"21450",4,5,1
"21452",409,428,19
"21454",194,195,1
"21455",167,169,2
"21456",65,66,1
"21457",65,65,0
"21458",88,88,0
"21459",44,49,5
"21460",27,29,2
"21461",23,26,3
"21462",171,177,6
"21463",305,331,26
"21464",217,227,10
"21465",187,188,1
"21466",275,275,0
"21467",254,259,5
"21468",142,144,2
"21469",210,213,3
"21470",319,323,4
"21471",319,322,3
"21472",285,285,0
"21473",90,93,3
"21474",94,99,5
"21475",1,2,1
"21476",85,87,2
"21477",45,53,8
"21478",92,93,1
"21479",930,938,8
"21480",57,58,1
"21481",1050,1065,15
"21482",184,185,1
"21484",864,868,4
"21485",1385,1397,12
"21486",294,295,1
"21488",359,359,0
"21489",14,14,0
"21490",55,58,3
"21491",248,253,5
"21493",30,30,0
"21494",501,503,2
"21495",376,377,1
"21496",1,2,1
"21497",485,485,0
"21498",803,806,3
"21499",460,462,2
"21500",492,492,0
"21503",64,65,1
"21504",329,330,1
"21506",665,669,4
"21507",584,586,2
"21508",541,542,1
"21509",628,630,2
"21511",2,2,0
"21518",109,109,0
"21519",553,556,3
"21520",108,109,1
"21523",1128,1132,4
"21524",1152,1156,4
"21525",2,3,1
"21527",832,946,114
"21528",257,280,23
"21529",153,158,5
"21530",163,173,10
"21531",779,800,21
"21532",91,99,8
"21533",957,989,32
"21534",343,364,21
"21535",1112,1160,48
"21536",61,68,7
"21537",257,270,13
"21538",51,53,2
"21539",714,763,49
"21540",88,98,10
"21541",201,204,3
"21542",190,196,6
"21543",24,24,0
"21544",503,506,3
"21545",83,85,2
"21547",119,120,1
"21548",107,111,4
"21549",51,54,3
"21550",64,65,1
"21551",22,22,0
"21552",35,37,2
"21553",39,40,1
"21554",22,24,2
"21555",134,135,1
"21556",295,299,4
"21557",302,303,1
"21558",768,777,9
"21559",1224,1243,19
"21560",4,4,0
"21561",523,526,3
"21562",73,73,0
"21563",362,371,9
"21564",294,301,7
"21576",205,208,3
"21577",464,469,5
"21578",380,383,3
"21579",136,141,5
"21580",172,173,1
"21581",203,205,2
"21582",16,16,0
"21584",352,355,3
"21585",1,1,0
"21586",238,242,4
"21587",260,261,1
"21588",284,287,3
"21589",88,89,1
"21590",286,288,2
"21591",365,367,2
"21592",476,477,1
"21593",94,95,1
"21594",5,5,0
"21595",9,9,0
"21596",9,9,0
"21609",218,218,0
"21610",97,97,0
"21611",148,150,2
"21612",113,114,1
"21613",145,145,0
"21614",194,197,3
"21615",169,169,0
"21616",191,191,0
"21617",169,169,0
"21618",139,139,0
"21619",212,212,0
"21620",223,224,1
"21621",1294,1304,10
"21622",628,645,17
"21623",530,543,13
"21624",403,406,3
"21625",334,334,0
"21626",204,216,12
"21627",115,117,2
"21628",87,90,3
"21629",105,106,1
"21630",95,99,4
"21631",54,54,0
"21632",53,54,1
"21633",72,74,2
"21634",69,74,5
"21635",42,43,1
"21636",98,99,1
"21637",93,94,1
"21638",142,143,1
"21639",15,17,2
"21640",205,205,0
"21641",111,111,0
"21642",251,266,15
"21643",205,208,3
"21644",137,140,3
"21645",133,136,3
"21647",144,147,3
"21648",231,239,8
"21649",29,31,2
"21650",197,199,2
"21651",124,124,0
"21652",79,82,3
"21653",111,113,2
"21654",83,83,0
"21655",89,95,6
"21656",141,142,1
"21657",118,121,3
"21658",519,572,53
"21659",66,70,4
"21661",98,102,4
"21662",107,111,4
"21663",32,39,7
"21664",67,70,3
"21665",75,75,0
"21666",85,87,2
"21667",163,175,12
"21668",825,837,12
"21669",805,818,13
"21670",768,776,8
"21671",727,747,20
"21672",815,823,8
"21673",763,771,8
"21674",9,9,0
"21675",268,269,1
"21676",159,159,0
"21677",279,282,3
"21678",80,80,0
"21679",370,375,5
"21680",269,270,1
"21681",79,81,2
"21682",153,155,2
"21683",152,153,1
"21684",104,106,2
"21685",2,3,1
"21686",33,35,2
"21687",101,102,1
"21688",143,144,1
"21689",61,61,0
"21690",82,82,0
"21691",72,72,0
"21692",111,112,1
"21693",121,121,0
"21694",70,70,0
"21695",102,103,1
"21696",107,110,3
"21697",7,7,0
"21698",112,112,0
"21699",3,3,0
"21700",526,532,6
"21701",1,2,1
"21702",9,9,0
"21703",561,570,9
"21704",568,575,7
"21705",225,230,5
"21706",254,259,5
"21707",172,172,0
"21708",129,131,2
"21709",117,117,0
"21710",110,112,2
"21711",71,71,0
"21713",391,410,19
"21714",522,533,11
"21715",487,489,2
"21716",496,498,2
"21717",176,178,2
"21718",467,472,5
"21719",141,141,0
"21720",112,113,1
"21721",144,145,1
"21722",79,81,2
"21723",135,135,0
"21724",178,179,1
"21725",173,174,1
"21726",155,156,1
"21728",40,42,2
"21729",30,30,0
"21730",293,313,20
"21731",1537,1561,24
"21732",58,60,2
"21733",1761,1796,35
"21734",29,32,3
"21735",265,302,37
"21736",28,29,1
"21737",164,164,0
"21738",131,132,1
"21739",177,178,1
"21740",66,66,0
"21741",190,191,1
"21742",193,193,0
"21743",182,187,5
"21744",217,218,1
"21745",486,489,3
"21746",488,497,9
"21747",153,156,3
"21749",287,295,8
"21750",62,63,1
"21752",38,44,6
"21754",2066,2086,20
"21755",1696,1709,13
"21756",581,584,3
"21757",42,42,0
"21758",79,79,0
"21759",13,13,0
"21760",14,16,2
"21761",25,26,1
"21763",17,19,2
"21764",12,13,1
"21765",144,146,2
"21767",1,1,0
"21768",163,165,2
"21769",49,53,4
"21770",652,656,4
"21772",1,1,0
"21773",308,311,3
"21774",368,369,1
"21775",277,279,2
"21777",367,376,9
"21779",22,25,3
"21780",32,32,0
"21781",364,383,19
"21784",178,183,5
"21785",100,100,0
"21786",451,453,2
"21787",469,472,3
"21788",206,212,6
"21789",218,223,5
"21790",1888,1900,12
"21791",1316,1326,10
"21792",141,147,6
"21793",102,102,0
"21794",179,184,5
"21795",80,81,1
"21796",67,67,0
"21801",258,259,1
"21802",323,324,1
"21803",322,322,0
"21804",138,139,1
"21805",103,103,0
"21806",128,128,0
"21807",172,174,2
"21808",144,148,4
"21809",207,207,0
"21810",344,346,2
"21811",382,383,1
"21812",205,209,4
"21813",184,188,4
"21814",95,95,0
"21815",92,94,2
"21816",50,51,1
"21817",130,130,0
"21818",285,285,0
"21819",248,248,0
"21820",180,183,3
"21821",153,155,2
"21822",142,145,3
"21823",214,215,1
"21824",211,212,1
"21825",75,76,1
"21826",241,248,7
"21827",134,135,1
"21828",180,180,0
"21829",412,417,5
"21830",260,264,4
"21832",459,464,5
"21833",445,455,10
"21836",100,101,1
"21837",91,92,1
"21838",1,1,0
"21839",83,84,1
"21841",132,133,1
"21842",47,47,0
"21843",1532,1686,154
"21844",494,519,25
"21845",158,169,11
"21846",264,267,3
"21847",71,71,0
"21849",134,135,1
"21850",106,107,1
"21851",149,149,0
"21852",2,2,0
"21853",3,3,0
"21854",1,1,0
"21857",2,2,0
"21858",3,3,0
"21860",1,1,0
"21864",411,412,1
"21865",297,298,1
"21866",453,456,3
"21867",288,288,0
"21868",882,911,29
"21869",111,115,4
"21870",630,648,18
"21871",779,804,25
"21872",330,335,5
"21873",199,203,4
"21874",617,629,12
"21875",414,424,10
"21876",623,638,15
"21877",756,779,23
"21878",403,406,3
"21879",152,152,0
"21880",329,331,2
"21881",118,118,0
"21882",119,119,0
"21883",226,227,1
"21884",161,161,0
"21888",829,839,10
"21889",1124,1137,13
"21890",548,554,6
"21891",838,851,13
"21892",818,829,11
"21893",20,20,0
"21894",247,247,0
"21895",85,86,1
"21896",290,295,5
"21897",106,108,2
"21898",113,113,0
"21899",624,629,5
"21900",838,840,2
"21901",689,694,5
"21902",474,478,4
"21903",407,411,4
"21904",145,147,2
"21905",263,265,2
"21906",424,433,9
"21907",771,775,4
"21908",974,978,4
"21910",111,111,0
"21911",344,345,1
"21912",830,833,3
"21913",298,301,3
"21914",963,968,5
"21915",1027,1042,15
"21916",713,718,5
"21917",467,473,6
"21918",788,797,9
"21919",5,5,0
"21922",390,395,5
"21923",119,121,2
"21924",123,126,3
"21925",167,172,5
"21926",147,150,3
"21927",192,204,12
"21928",1542,1566,24
"21929",1619,1640,21
"21930",1321,1327,6
"21931",2330,2364,34
"21932",649,653,4
"21933",625,632,7
"21934",725,727,2
"21935",921,925,4
"21936",1046,1070,24
"21937",657,671,14
"21942",221,223,2
"21943",149,149,0
"21944",204,205,1
"21945",240,241,1
"21946",67,67,0
"21947",298,298,0
"21948",267,267,0
"21949",269,270,1
"21950",18,20,2
"21955",733,738,5
"21967",480,480,0
"21972",171,173,2
"21973",210,212,2
"21974",808,819,11
"21975",1303,1307,4
"21976",950,954,4
"21977",1993,2004,11
"21980",676,682,6
"21981",553,555,2
"21982",718,720,2
"21983",325,327,2
"21984",432,437,5
"21985",919,922,3
"21986",469,470,1
"21987",385,389,4
"21988",416,417,1
"21989",654,657,3
"21990",497,498,1
"21991",289,290,1
"21992",656,657,1
"21993",577,578,1
"22016",1,1,0
"22021",233,234,1
"22023",430,431,1
"22024",439,442,3
"22025",288,289,1
"22026",366,367,1
"22027",845,852,7
"22028",507,509,2
"22029",1101,1103,2
"22030",686,689,3
"22031",142,143,1
"22032",111,111,0
"22033",129,129,0
"22034",94,96,2
"22035",362,364,2
"22036",135,137,2
"22037",635,636,1
"22038",45,45,0
"22039",30,31,1
"22040",94,94,0
"22041",555,560,5
"22042",128,130,2
"22043",126,127,1
"22044",89,91,2
"22045",473,478,5
"22046",208,210,2
"22047",261,264,3
"22048",102,103,1
"22049",115,116,1
"22050",115,117,2
"22051",116,116,0
"22052",128,130,2
"22053",87,89,2
"22054",74,78,4
"22055",724,743,19
"22056",34,35,1
"22057",261,272,11
"22058",104,107,3
"22059",458,479,21
"22060",159,171,12
"22061",520,583,63
"22062",127,129,2
"22063",356,366,10
"22064",694,732,38
"22065",458,473,15
"22066",274,278,4
"22067",252,264,12
"22068",276,279,3
"22069",267,267,0
"22070",320,332,12
"22071",256,266,10
"22072",512,537,25
"22073",477,505,28
"22074",287,288,1
"22075",358,359,1
"22076",376,376,0
"22077",1751,1766,15
"22078",480,483,3
"22079",684,689,5
"22080",519,522,3
"22081",302,305,3
"22082",957,961,4
"22083",1401,1414,13
"22084",811,815,4
"22085",230,234,4
"22086",2018,2034,16
"22087",848,859,11
"22088",619,624,5
"22089",553,555,2
"22090",1704,1716,12
"22091",324,328,4
"22092",140,140,0
"22093",275,277,2
"22094",339,347,8
"22095",284,291,7
"22096",180,182,2
"22097",242,245,3
"22098",309,316,7
"22099",291,294,3
"22100",127,127,0
"22101",116,118,2
"22102",59,61,2
"22103",71,75,4
"22104",99,99,0
"22105",55,57,2
"22106",79,81,2
"22107",369,381,12
"22108",128,129,1
"22109",643,661,18
"22110",512,514,2
"22111",1689,1704,15
"22112",1721,1734,13
"22113",996,1002,6
"22114",1583,1596,13
"22115",500,501,1
"22116",198,200,2
"22117",230,231,1
"22118",271,273,2
"22119",340,344,4
"22120",367,374,7
"22121",440,443,3
"22122",191,191,0
"22123",166,168,2
"22124",132,132,0
"22125",183,186,3
"22126",2,2,0
"22127",157,162,5
"22128",196,199,3
"22129",174,175,1
"22130",426,434,8
"22131",692,696,4
"22132",388,389,1
