"customer_id","cancelled_line_items","total_line_items","line_item_return_rate_pct"
"15603",1,5,20.0
"13834",4,20,20.0
"14269",4,20,20.0
"14543",52,261,19.9
"14410",91,476,19.1
"14267",13,68,19.1
"17436",4,21,19.0
"16490",3,16,18.8
"15344",6,32,18.8
"14122",3,16,18.8
"15268",5,27,18.5
"13526",10,54,18.5
"16661",14,76,18.4
"14311",7,38,18.4
"14277",84,460,18.3
"13279",2,11,18.2
"18197",2,11,18.2
"16581",2,11,18.2
"17317",2,11,18.2
"13457",2,11,18.2
"15299",2,11,18.2
"17828",14,78,17.9
"16057",47,265,17.7
"12967",14,79,17.7
"14477",3,17,17.6
"15473",3,17,17.6
"15423",3,17,17.6
"15231",3,17,17.6
"12797",6,34,17.6
"17353",3,17,17.6
"17924",7,40,17.5
"17658",4,23,17.4
"13094",6,35,17.1
"16227",7,41,17.1
"14665",27,159,17.0
"16394",17,100,17.0
"12982",36,214,16.8
"13511",1,6,16.7
"17636",4,24,16.7
"12879",2,12,16.7
"15973",2,12,16.7
"18142",3,18,16.7
"13762",7,42,16.7
"14768",1,6,16.7
"15836",2,12,16.7
"13541",2,12,16.7
"13288",2,12,16.7
"14501",2,12,16.7
"12908",1,6,16.7
"15212",2,12,16.7
"16217",3,18,16.7
"13954",5,30,16.7
"15317",1,6,16.7
"15482",29,176,16.5
"12994",12,73,16.4
"13314",12,74,16.2
"13816",5,31,16.1
"16897",7,44,15.9
"18183",7,44,15.9
"14113",23,145,15.9
"16481",3,19,15.8
"13440",11,70,15.7
"15966",5,32,15.6
"14276",22,143,15.4
"12657",8,52,15.4
"15729",2,13,15.4
"16859",20,130,15.4
"13852",2,13,15.4
"13830",2,13,15.4
"12679",8,52,15.4
"13281",4,26,15.4
"15158",2,13,15.4
"16565",2,13,15.4
"16166",4,26,15.4
"16822",2,13,15.4
"12709",87,567,15.3
"12749",60,397,15.1
"18267",3,20,15.0
"15137",6,40,15.0
"15759",3,20,15.0
"14521",3,20,15.0
"15724",3,20,15.0
"14748",28,187,15.0
"16163",12,80,15.0
"13534",69,461,15.0
"12852",3,20,15.0
"12746",3,20,15.0
"16772",12,80,15.0
"13455",20,134,14.9
"16602",7,47,14.9
"15864",4,27,14.8
"12589",30,203,14.8
"17867",22,150,14.7
"17563",5,34,14.7
"13924",20,137,14.6
"15681",15,103,14.6
"16754",24,164,14.6
"16998",1,7,14.3
"14764",1,7,14.3
"14010",4,28,14.3
"12462",10,70,14.3
"18227",1,7,14.3
"16622",2,14,14.3
"13965",4,28,14.3
"18020",2,14,14.3
"13343",3,21,14.3
"14910",5,35,14.3
"17166",2,14,14.3
"17313",4,28,14.3
"12781",4,28,14.3
"12753",33,230,14.3
"15365",36,254,14.2
"15810",27,193,14.0
"14644",10,72,13.9
"17547",5,36,13.9
"16150",35,251,13.9
"17731",16,115,13.9
"16218",22,158,13.9
"16658",10,72,13.9
"15827",35,252,13.9
"15270",27,195,13.8
"15638",4,29,13.8
"12907",4,29,13.8
"16996",12,87,13.8
"13252",3,22,13.6
"15809",9,67,13.4
"15658",16,119,13.4
"14620",4,30,13.3
"13676",2,15,13.3
"12542",6,45,13.3
"16689",2,15,13.3
"12818",2,15,13.3
"18163",5,38,13.2
"14356",5,38,13.2
"12472",124,946,13.1
"14141",6,46,13.0
"15345",3,23,13.0
"14607",30,230,13.0
"14320",12,93,12.9
"13856",8,62,12.9
"16118",6,47,12.8
"17405",12,94,12.8
"12471",157,1245,12.6
"17506",2,16,12.5
"17342",5,40,12.5
"18269",1,8,12.5
"15337",3,24,12.5
"15224",5,40,12.5
"14460",6,48,12.5
"14495",1,8,12.5
"12427",4,32,12.5
"12672",3,24,12.5
"14928",3,24,12.5
"13674",2,16,12.5
"14323",5,41,12.2
"15073",22,181,12.2
"15430",5,41,12.2
"13641",6,49,12.2
"16590",4,33,12.1
"15222",19,157,12.1
"17653",6,50,12.0
"17422",28,233,12.0
"13338",17,143,11.9
"18167",5,42,11.9
"12980",7,59,11.9
"13725",14,118,11.9
"12479",4,34,11.8
"17856",2,17,11.8
"17169",10,85,11.8
"12915",8,68,11.8
"14558",2,17,11.8
"15294",2,17,11.8
"14168",2,17,11.8
"14621",21,180,11.7
"14301",7,60,11.7
"16067",9,77,11.7
"14290",20,171,11.7
"13012",20,173,11.6
"15326",17,146,11.6
"12997",14,121,11.6
"14680",165,1439,11.5
"16013",28,244,11.5
"13352",3,26,11.5
"14492",12,104,11.5
"17396",6,52,11.5
"15309",7,61,11.5
"14339",3,26,11.5
"14205",16,139,11.5
"18223",74,650,11.4
"12703",9,79,11.4
"13729",5,44,11.4
"15580",29,254,11.4
"13370",5,44,11.4
"16167",8,71,11.3
"13630",9,80,11.3
"16956",2,18,11.1
"15432",2,18,11.1
"18187",6,54,11.1
"12929",1,9,11.1
"16716",1,9,11.1
"12495",2,18,11.1
"14304",11,99,11.1
"16077",1,9,11.1
"17133",7,63,11.1
"17724",5,45,11.1
"16176",9,81,11.1
"15304",3,27,11.1
"17408",1,9,11.1
"12663",1,9,11.1
"17152",2,18,11.1
"13150",1,9,11.1
"14645",6,54,11.1
"17693",2,18,11.1
"17457",8,72,11.1
"15609",2,18,11.1
"15621",2,18,11.1
"15329",19,173,11.0
"17460",17,154,11.0
"14970",14,127,11.0
"17820",5,46,10.9
"15502",40,366,10.9
"16296",9,83,10.8
"17035",4,37,10.8
"12384",3,28,10.7
"13711",11,103,10.7
"13295",8,75,10.7
"18155",3,28,10.7
"16717",42,392,10.7
"15842",3,28,10.7
"16858",15,142,10.6
"13415",12,113,10.6
"12585",10,95,10.5
"17949",18,171,10.5
"16810",4,38,10.5
"17314",30,286,10.5
"16286",2,19,10.5
"15823",18,172,10.5
"13304",9,87,10.3
"13008",4,39,10.3
"14175",38,369,10.3
"14430",4,39,10.3
"16656",16,157,10.2
"13047",43,423,10.2
"16571",29,284,10.2
"14370",5,49,10.2
"13777",40,396,10.1
"15737",8,79,10.1
"18030",1,10,10.0
"12565",1,10,10.0
"17617",2,20,10.0
"16543",2,20,10.0
"18070",1,10,10.0
"15283",1,10,10.0
"14776",21,211,10.0
"14287",1,10,10.0
"14949",3,30,10.0
"18111",3,30,10.0
"13701",1,10,10.0
"12612",2,20,10.0
"17746",4,40,10.0
"17511",207,2075,10.0
"13406",1,10,10.0
"14199",2,20,10.0
"16362",10,100,10.0
"13145",1,10,10.0
"13894",3,30,10.0
"16584",9,91,9.9
"13446",21,213,9.9
"14695",9,91,9.9
"13175",5,51,9.8
"12644",12,122,9.8
"13317",37,380,9.7
"17671",8,83,9.6
"17411",8,83,9.6
"14045",4,42,9.5
"13961",2,21,9.5
"13345",2,21,9.5
"12677",2,21,9.5
"15308",2,21,9.5
"18059",2,21,9.5
"16739",4,42,9.5
"14861",9,95,9.5
"17495",5,53,9.4
"14475",5,53,9.4
"17531",6,64,9.4
"15881",3,32,9.4
"12972",8,85,9.4
"17034",6,64,9.4
"15101",6,64,9.4
"12809",8,86,9.3
"15197",6,65,9.2
"16653",7,76,9.2
"14902",6,65,9.2
"17380",1,11,9.1
"16297",2,22,9.1
"18176",3,33,9.1
"15029",1,11,9.1
"15468",8,88,9.1
"15181",2,22,9.1
"13826",1,11,9.1
"14314",1,11,9.1
"17170",1,11,9.1
"16080",3,33,9.1
"12494",10,110,9.1
"12440",3,33,9.1
"13587",3,33,9.1
"16598",1,11,9.1
"17339",1,11,9.1
"14111",1,11,9.1
"17627",1,11,9.1
"14773",1,11,9.1
"13164",1,11,9.1
"16160",2,22,9.1
"14147",3,33,9.1
"18217",4,44,9.1
"12457",8,89,9.0
"17610",15,169,8.9
"12616",5,56,8.9
"14112",32,358,8.9
"12505",4,45,8.9
"15514",31,347,8.9
"13925",4,45,8.9
"16839",34,384,8.9
"14831",8,90,8.9
"15606",14,159,8.8
"17696",35,400,8.8
"16947",5,57,8.8
"17476",3,34,8.8
"12476",48,546,8.8
"18207",3,34,8.8
"13024",3,34,8.8
"13861",2,23,8.7
"13092",10,115,8.7
"12529",2,23,8.7
"16875",22,252,8.7
"13604",2,23,8.7
"16573",4,46,8.7
"16191",22,254,8.7
"12643",4,46,8.7
"14640",19,222,8.6
"15031",37,432,8.6
"18053",3,35,8.6
"13799",10,116,8.6
"13479",5,58,8.6
"15822",6,71,8.5
"15107",4,47,8.5
"15469",4,47,8.5
"14188",6,71,8.5
"13396",4,47,8.5
"13360",6,71,8.5
"13359",5,59,8.5
"13787",8,94,8.5
"14397",8,95,8.4
"13552",19,226,8.4
"12891",1,12,8.3
"17193",4,48,8.3
"14840",2,24,8.3
"14860",1,12,8.3
"18018",4,48,8.3
"14717",1,12,8.3
"15922",1,12,8.3
"14119",1,12,8.3
"15643",3,36,8.3
"13631",1,12,8.3
"16302",1,12,8.3
"12895",2,24,8.3
"15816",1,12,8.3
"16576",3,36,8.3
"14981",2,24,8.3
"12708",25,303,8.3
"17010",1,12,8.3
"16278",5,60,8.3
"14142",4,48,8.3
"15618",4,48,8.3
"14342",3,36,8.3
"13624",2,24,8.3
"12468",13,158,8.2
"14842",13,158,8.2
"12465",4,49,8.2
"15655",3,37,8.1
"12674",7,86,8.1
"15125",21,261,8.0
"13877",2,25,8.0
"16262",4,50,8.0
"14808",20,251,8.0
"15291",21,264,8.0
"12790",3,38,7.9
"14102",5,63,7.9
"17119",3,38,7.9
"15785",19,244,7.8
"13889",7,90,7.8
"16735",25,319,7.8
"15622",36,462,7.8
"16177",10,128,7.8
"15322",7,90,7.8
"15722",15,193,7.8
"15391",1,13,7.7
"15045",1,13,7.7
"15257",1,13,7.7
"14229",6,78,7.7
"18075",27,350,7.7
"13236",3,39,7.7
"15189",20,261,7.7
"15342",2,26,7.7
"17307",4,52,7.7
"14846",1,13,7.7
"16476",2,26,7.7
"15648",2,26,7.7
"18282",1,13,7.7
"15207",2,26,7.7
"13085",7,91,7.7
"16299",1,13,7.7
"14299",28,363,7.7
"13407",7,92,7.6
"17113",13,171,7.6
"15874",28,370,7.6
"12989",8,105,7.6
"14634",9,118,7.6
"13136",26,341,7.6
"18232",3,40,7.5
"12450",3,40,7.5
"13662",11,147,7.5
"17147",11,147,7.5
"16292",5,67,7.5
"13430",4,53,7.5
"12719",3,40,7.5
"18135",3,40,7.5
"13699",3,40,7.5
"15602",10,136,7.4
"12943",2,27,7.4
"13807",2,27,7.4
"16546",7,95,7.4
"17368",18,244,7.4
"12889",2,27,7.4
"12930",2,27,7.4
"12993",6,82,7.3
"16570",19,260,7.3
"13350",3,41,7.3
"13599",31,423,7.3
"13958",18,245,7.3
"18218",3,41,7.3
"15489",9,123,7.3
"17490",9,125,7.2
"15791",13,180,7.2
"14426",47,651,7.2
"15801",5,69,7.2
"12474",53,734,7.2
"16817",11,152,7.2
"13043",1,14,7.1
"14483",1,14,7.1
"17578",5,70,7.1
"15766",2,28,7.1
"15240",17,241,7.1
"13651",1,14,7.1
"17172",3,42,7.1
"16038",2,28,7.1
"16094",15,211,7.1
"13284",1,14,7.1
"16424",1,14,7.1
"15769",17,240,7.1
"14146",35,491,7.1
"14073",1,14,7.1
"14609",1,14,7.1
"13020",3,42,7.1
"17053",1,14,7.1
"13049",2,28,7.1
"12722",4,56,7.1
"13014",17,242,7.0
"17115",9,129,7.0
"16449",3,43,7.0
"15110",4,57,7.0
"12352",7,102,6.9
"16924",6,87,6.9
"13813",10,145,6.9
"13734",2,29,6.9
"16045",11,159,6.9
"12501",11,159,6.9
"13405",3,44,6.8
"17997",12,176,6.8
"13466",4,59,6.8
"14292",14,207,6.8
"17612",25,365,6.8
"17204",13,190,6.8
"16124",6,88,6.8
"15706",4,59,6.8
"13927",3,44,6.8
"15696",16,237,6.8
"17969",15,219,6.8
"15971",3,44,6.8
"13035",3,45,6.7
"15788",1,15,6.7
"12771",1,15,6.7
"16966",2,30,6.7
"17681",1,15,6.7
"16579",1,15,6.7
"16747",3,45,6.7
"13499",3,45,6.7
"18194",2,30,6.7
"14226",7,104,6.7
"16133",39,583,6.7
"15691",1,15,6.7
"13005",4,60,6.7
"15596",11,166,6.6
"14938",5,76,6.6
"13872",4,61,6.6
"13650",12,184,6.5
"16488",2,31,6.5
"16341",11,169,6.5
"12500",9,139,6.5
"18214",4,62,6.5
"14590",14,216,6.5
"18087",6,93,6.5
"16485",10,154,6.5
"15676",14,216,6.5
"17677",48,733,6.5
"17451",7,107,6.5
"16768",11,172,6.4
"16233",5,78,6.4
"13919",5,78,6.4
"13078",54,845,6.4
"12712",16,251,6.4
"17477",3,47,6.4
"18136",6,94,6.4
"14423",1,16,6.3
"16498",1,16,6.3
"12807",1,16,6.3
"17044",10,159,6.3
"15527",22,350,6.3
"14987",1,16,6.3
"17929",1,16,6.3
"18228",2,32,6.3
"16234",1,16,6.3
"13922",2,32,6.3
"12426",5,80,6.3
"17838",17,271,6.3
"12779",18,287,6.3
"12375",1,16,6.3
"18280",2,32,6.3
"12651",2,32,6.3
"15302",1,16,6.3
"12408",10,162,6.2
"14198",6,97,6.2
"12415",61,985,6.2
"14853",2,33,6.1
"15251",15,245,6.1
"13461",4,66,6.1
"12666",2,33,6.1
"13266",20,327,6.1
"13836",2,33,6.1
"13299",4,66,6.1
"14894",3,49,6.1
"17702",10,163,6.1
"12782",14,231,6.1
"17114",8,131,6.1
"14488",3,49,6.1
"14688",32,521,6.1
"15611",6,98,6.1
"15128",8,131,6.1
"15138",2,33,6.1
"13417",5,82,6.1
"13186",5,84,6.0
"17213",17,283,6.0
"16401",23,385,6.0
"13980",4,67,6.0
"15311",273,4576,6.0
"14679",4,67,6.0
"14771",3,50,6.0
"17017",24,402,6.0
"12909",10,168,6.0
"13634",28,471,5.9
"14288",1,17,5.9
"15674",22,372,5.9
"12613",20,337,5.9
"13106",1,17,5.9
"15077",2,34,5.9
"14534",45,758,5.9
"13584",5,85,5.9
"15359",1,17,5.9
"15845",11,185,5.9
"13148",48,809,5.9
"15109",3,51,5.9
"17239",2,34,5.9
"17345",13,222,5.9
"13622",2,34,5.9
"14615",3,51,5.9
"18064",4,68,5.9
"17567",12,208,5.8
"14870",4,69,5.8
"15239",3,52,5.8
"15321",19,328,5.8
"14952",19,326,5.8
"12947",6,103,5.8
"16235",7,121,5.8
"15885",7,120,5.8
"14000",3,52,5.8
"13107",11,189,5.8
"13506",5,86,5.8
"16180",20,347,5.8
"13410",3,53,5.7
"15669",2,35,5.7
"13763",3,53,5.7
"13883",19,333,5.7
"16955",3,53,5.7
"13070",2,35,5.7
"16711",2,35,5.7
"18258",3,53,5.7
"12917",3,53,5.7
"12632",2,35,5.7
"12901",7,123,5.7
"12853",9,157,5.7
"13495",8,141,5.7
"16835",5,87,5.7
"13594",2,35,5.7
"16933",17,299,5.7
"12652",3,53,5.7
"13121",3,53,5.7
"14338",3,53,5.7
"18168",22,385,5.7
"16525",21,374,5.6
"16108",8,143,5.6
"13597",1,18,5.6
"18270",1,18,5.6
"15247",1,18,5.6
"14783",1,18,5.6
"12590",4,71,5.6
"16029",22,391,5.6
"14013",4,72,5.6
"13329",7,125,5.6
"17048",6,107,5.6
"16351",11,198,5.6
"13282",3,54,5.6
"12523",14,252,5.6
"13190",1,18,5.6
"18268",4,71,5.6
"15632",10,177,5.6
"13767",45,809,5.6
"13393",4,73,5.5
"17276",3,55,5.5
"15380",3,55,5.5
"16961",3,55,5.5
"13874",4,73,5.5
"14441",9,163,5.5
"17063",12,217,5.5
"14231",4,73,5.5
"14655",6,109,5.5
"13134",7,128,5.5
"13098",33,605,5.5
"13890",10,183,5.5
"17188",10,182,5.5
"13093",60,1097,5.5
"12560",6,109,5.5
"13863",4,74,5.4
"13648",6,111,5.4
"16027",2,37,5.4
"15079",8,149,5.4
"13271",5,92,5.4
"13109",4,74,5.4
"16239",2,37,5.4
"12434",4,74,5.4
"16156",15,276,5.4
"15581",39,718,5.4
"15194",27,503,5.4
"16911",2,37,5.4
"14217",10,184,5.4
"17603",6,112,5.4
"13505",12,223,5.4
"14564",6,113,5.3
"18062",3,57,5.3
"16566",1,19,5.3
"16600",8,151,5.3
"16048",2,38,5.3
"16642",3,57,5.3
"14133",2,38,5.3
"17094",1,19,5.3
"12693",4,76,5.3
"17005",1,19,5.3
"16145",22,418,5.3
"16909",1,19,5.3
"13668",42,798,5.3
"14747",1,19,5.3
"14020",4,76,5.3
"15347",2,38,5.3
"14533",5,94,5.3
"12566",1,19,5.3
"13267",23,434,5.3
"15598",2,38,5.3
"16157",1,19,5.3
"16683",1,19,5.3
"12544",1,19,5.3
"17588",4,75,5.3
"15694",8,150,5.3
"13554",11,208,5.3
"18051",3,58,5.2
"13300",3,58,5.2
"13855",4,77,5.2
"16643",3,58,5.2
"12424",5,97,5.2
"14233",4,77,5.2
"13983",18,343,5.2
"14400",4,77,5.2
"14359",3,58,5.2
"12975",6,118,5.1
"14211",13,253,5.1
"13745",3,59,5.1
"12578",9,177,5.1
"15620",7,136,5.1
"17873",9,176,5.1
"18276",5,99,5.1
"13982",12,237,5.1
"15888",2,39,5.1
"13503",10,198,5.1
"16648",2,39,5.1
"12519",2,39,5.1
"16042",7,136,5.1
"14714",5,98,5.1
"16493",6,117,5.1
"13250",1,20,5.0
"12697",2,40,5.0
"14676",7,140,5.0
"12829",1,20,5.0
"12410",2,40,5.0
"16615",1,20,5.0
"13310",5,100,5.0
"15670",1,20,5.0
"14950",1,20,5.0
"13519",1,20,5.0
"13929",3,60,5.0
"15372",3,60,5.0
"17071",11,222,5.0
"13324",7,139,5.0
"15091",3,60,5.0
"17550",17,338,5.0
"15088",3,60,5.0
"16690",1,20,5.0
"17688",1,20,5.0
"12628",2,40,5.0
"13080",1,20,5.0
"17069",15,299,5.0
"17464",2,41,4.9
"13004",42,857,4.9
"15805",27,556,4.9
"12721",12,243,4.9
"15297",2,41,4.9
"12921",78,1577,4.9
"15777",2,41,4.9
"14425",2,41,4.9
"17156",2,41,4.9
"15830",2,41,4.9
"17644",17,344,4.9
"16781",2,41,4.9
"16240",7,142,4.9
"12998",3,61,4.9
"13659",14,288,4.9
"12463",4,83,4.8
"13057",2,42,4.8
"16436",2,42,4.8
"16908",1,21,4.8
"13447",3,62,4.8
"12493",1,21,4.8
"14350",3,62,4.8
"16701",14,289,4.8
"16652",14,289,4.8
"15781",1,21,4.8
"17340",34,712,4.8
"13115",16,330,4.8
"13453",2,42,4.8
"17680",1,21,4.8
"17706",37,774,4.8
"14497",2,42,4.8
"13513",2,42,4.8
"18199",1,21,4.8
"12559",1,21,4.8
"14105",14,293,4.8
"15135",1,21,4.8
"15614",4,85,4.7
"13643",5,107,4.7
"12610",5,107,4.7
"17714",4,85,4.7
"14431",4,85,4.7
"14546",39,829,4.7
"12720",23,487,4.7
"16398",4,86,4.7
"12381",4,86,4.7
"12886",4,86,4.7
"13000",3,65,4.6
"14643",3,65,4.6
"15745",3,65,4.6
"14032",11,241,4.6
"14847",3,65,4.6
"15839",3,65,4.6
"14685",9,196,4.6
"13902",3,65,4.6
"13478",6,131,4.6
"18221",4,88,4.5
"18250",1,22,4.5
"12588",2,44,4.5
"18024",1,22,4.5
"13365",6,134,4.5
"15120",1,22,4.5
"17597",6,134,4.5
"12531",6,132,4.5
"16289",1,22,4.5
"18277",3,67,4.5
"15377",1,22,4.5
"16309",2,44,4.5
"12393",5,112,4.5
"14305",5,110,4.5
"15248",5,111,4.5
"18141",2,44,4.5
"13693",5,111,4.5
"12705",27,617,4.4
"15157",7,159,4.4
"18260",19,429,4.4
"15607",5,114,4.4
"12626",13,298,4.4
"17663",11,249,4.4
"14225",4,90,4.4
"17646",9,205,4.4
"12600",5,114,4.4
"13784",2,45,4.4
"17423",2,45,4.4
"13974",2,45,4.4
"17524",2,45,4.4
"16975",2,47,4.3
"16705",31,721,4.3
"14214",3,70,4.3
"15633",8,184,4.3
"13510",13,302,4.3
"16092",4,94,4.3
"14916",6,140,4.3
"16306",3,70,4.3
"15331",2,46,4.3
"13028",2,47,4.3
"18286",3,69,4.3
"13626",2,46,4.3
"13981",1,23,4.3
"12619",4,96,4.2
"18198",7,166,4.2
"13400",1,24,4.2
"15561",4,96,4.2
"13319",40,963,4.2
"15639",3,72,4.2
"16136",2,48,4.2
"12445",1,24,4.2
"13769",12,287,4.2
"15146",4,95,4.2
"14306",2,48,4.2
"14537",1,24,4.2
"14733",14,333,4.2
"17526",4,96,4.2
"15558",1,24,4.2
"15664",3,72,4.2
"13069",46,1084,4.2
"17718",1,24,4.2
"12473",7,167,4.2
"16670",21,506,4.2
"13143",1,24,4.2
"13171",2,48,4.2
"16518",3,71,4.2
"14038",7,168,4.2
"15841",4,96,4.2
"17865",44,1053,4.2
"15093",14,330,4.2
"16637",3,72,4.2
"16404",1,24,4.2
"16325",6,144,4.2
"13853",1,24,4.2
"14511",3,71,4.2
"12425",4,95,4.2
"16677",2,49,4.1
"13308",3,74,4.1
"18248",2,49,4.1
"17527",2,49,4.1
"12683",20,488,4.1
"14420",4,97,4.1
"17652",11,270,4.1
"16863",2,49,4.1
"14295",3,74,4.1
"18108",2,49,4.1
"16298",2,49,4.1
"15253",5,121,4.1
"14236",2,49,4.1
"12878",2,49,4.1
"15600",3,74,4.1
"14745",6,146,4.1
"15916",13,319,4.1
"12439",3,74,4.1
"15521",17,418,4.1
"18073",3,75,4.0
"16684",30,748,4.0
"12605",3,75,4.0
"15281",22,544,4.0
"17429",4,99,4.0
"18164",1,25,4.0
"13964",1,25,4.0
"15381",1,25,4.0
"17705",5,125,4.0
"15213",1,25,4.0
"18110",3,75,4.0
"15341",1,25,4.0
"12843",9,225,4.0
"13948",1,25,4.0
"13735",27,674,4.0
"16155",2,50,4.0
"17406",10,248,4.0
"16101",8,200,4.0
"16467",1,25,4.0
"18225",24,596,4.0
"17707",1,25,4.0
"13433",1,25,4.0
"16355",2,50,4.0
"16499",6,150,4.0
"16592",18,446,4.0
"12940",4,100,4.0
"14407",3,75,4.0
"15804",11,274,4.0
"17306",3,75,4.0
"16660",1,25,4.0
"15244",2,50,4.0
"14678",1,25,4.0
"13696",1,25,4.0
"16054",5,127,3.9
"17183",3,76,3.9
"14798",2,51,3.9
"13576",11,279,3.9
"15406",5,127,3.9
"16350",5,127,3.9
"16732",9,230,3.9
"17912",2,51,3.9
"15764",10,259,3.9
"12483",5,127,3.9
"15015",12,305,3.9
"12597",8,210,3.8
"17573",1,26,3.8
"16830",3,78,3.8
"15682",1,26,3.8
"16359",5,130,3.8
"15005",93,2478,3.8
"16484",1,26,3.8
"16168",12,318,3.8
"12919",2,52,3.8
"14618",2,53,3.8
"13971",10,265,3.8
"14182",2,52,3.8
"12346",1,26,3.8
"15490",1,26,3.8
"18257",11,286,3.8
"14189",12,319,3.8
"17420",2,52,3.8
"17096",8,213,3.8
"14047",6,158,3.8
"14145",1,26,3.8
"17857",2,52,3.8
"13612",2,52,3.8
"17736",1,26,3.8
"13824",4,104,3.8
"18009",7,186,3.8
"15238",2,52,3.8
"18094",5,131,3.8
"16104",9,241,3.7
"12854",10,271,3.7
"17866",1,27,3.7
"14442",7,190,3.7
"14690",4,107,3.7
"13082",5,134,3.7
"14264",3,82,3.7
"16756",3,82,3.7
"13151",6,163,3.7
"14319",1,27,3.7
"14905",3,81,3.7
"17504",13,355,3.7
"13037",9,241,3.7
"14507",10,268,3.7
"13255",1,27,3.7
"15713",2,54,3.7
"15351",12,326,3.7
"15960",1,27,3.7
"14735",14,379,3.7
"14237",1,27,3.7
"14180",11,300,3.7
"15671",3,81,3.7
"15840",1,28,3.6
"16393",28,775,3.6
"17480",2,55,3.6
"15523",8,220,3.6
"13126",9,247,3.6
"16556",18,500,3.6
"14296",1,28,3.6
"14443",5,138,3.6
"15400",1,28,3.6
"13545",2,56,3.6
"16161",42,1176,3.6
"14256",5,138,3.6
"14907",10,278,3.6
"15434",5,139,3.6
"14738",3,83,3.6
"14245",4,112,3.6
"13846",3,84,3.6
"17462",1,28,3.6
"12785",2,55,3.6
"17049",21,579,3.6
"15141",3,83,3.6
"17389",16,445,3.6
"14869",9,253,3.6
"16019",15,418,3.6
"13684",4,112,3.6
"17469",10,277,3.6
"13414",2,57,3.5
"14258",11,312,3.5
"12951",7,201,3.5
"15730",4,115,3.5
"15533",3,86,3.5
"13050",36,1016,3.5
"13026",3,85,3.5
"15339",8,228,3.5
"15953",6,173,3.5
"16463",3,85,3.5
