"customer_id","frequency_completed_only","frequency_all_orders","cancellation_gap"
"12437",39,47,8
"16163",6,14,8
"12957",13,21,8
"15382",12,20,8
"16735",14,22,8
"17644",20,28,8
"17442",15,23,8
"12483",19,27,8
"16019",27,35,8
"13881",43,51,8
"14441",11,19,8
"16652",16,24,8
"15521",16,24,8
"12494",9,17,8
"15719",31,39,8
"12705",14,22,8
"16701",26,34,8
"18225",26,34,8
"15518",15,23,8
"15059",19,27,8
"13458",16,24,8
"15527",23,31,8
"12997",8,16,8
"12901",28,36,8
"13890",14,22,8
"16094",11,19,8
"15696",13,21,8
"17448",46,54,8
"14590",20,28,8
"18102",145,153,8
"15240",12,20,8
"14505",19,27,8
"14211",18,26,8
"15296",12,20,8
"17213",13,20,7
"16168",66,73,7
"14227",15,22,7
"12712",21,28,7
"17969",20,27,7
"17611",28,35,7
"17069",14,21,7
"14258",25,32,7
"17603",4,11,7
"14907",16,23,7
"13999",29,36,7
"12510",9,16,7
"12523",23,30,7
"14667",54,61,7
"17954",19,26,7
"13014",11,18,7
"12417",20,27,7
"16556",17,24,7
"13021",17,24,7
"15015",13,20,7
"15465",32,39,7
"16057",10,17,7
"16839",44,51,7
"12779",14,21,7
"12749",9,16,7
"17147",9,16,7
"16571",10,17,7
"14808",8,15,7
"15615",47,54,7
"16393",23,30,7
"14625",11,18,7
"14040",35,42,7
"13446",11,18,7
"14621",9,16,7
"15596",9,16,7
"15100",7,14,7
"18109",38,45,7
"16933",9,16,7
"15201",7,14,7
"14849",43,50,7
"17071",13,20,7
"16700",25,31,6
"14081",10,16,6
"17652",12,18,6
"13662",11,17,6
"15079",11,17,6
"14451",12,18,6
"17651",16,22,6
"17940",16,22,6
"18118",29,35,6
"17428",45,51,6
"12408",8,14,6
"14961",22,28,6
"13711",9,15,6
"13329",8,14,6
"14410",11,17,6
"15804",13,19,6
"16858",10,16,6
"12457",8,14,6
"18009",8,14,6
"12409",7,13,6
"14688",28,34,6
"13768",2,8,6
"13338",4,10,6
"15764",8,14,6
"16218",13,19,6
"14243",17,23,6
"15750",18,24,6
"12500",19,25,6
"14064",15,21,6
"13126",13,19,6
"14056",23,29,6
"14267",3,9,6
"16316",13,19,6
"14276",7,13,6
"13107",9,15,6
"12431",27,33,6
"13090",24,30,6
"13418",31,37,6
"14290",8,14,6
"17531",3,9,6
"12747",26,32,6
"17888",25,31,6
"15611",26,32,6
"14593",12,18,6
"13448",13,19,6
"12757",13,19,6
"15580",8,14,6
"18168",16,22,6
"17315",43,49,6
"12683",21,27,6
"15544",20,26,6
"17802",10,16,6
"14640",10,16,6
"13488",23,29,6
"15513",35,41,6
"13503",6,12,6
"14748",10,16,6
"16525",48,54,6
"13510",11,17,6
"13776",2,8,6
"17204",9,15,6
"13854",39,45,6
"17115",7,13,6
"18257",12,18,6
"16592",28,34,6
"15321",12,18,6
"15309",4,10,6
"14800",17,23,6
"15298",23,29,6
"12989",33,39,6
"15281",16,22,6
"17096",11,17,6
"17924",8,14,6
"15856",52,58,6
"15222",11,17,6
"16717",14,20,6
"12949",22,28,6
"17049",19,25,6
"14389",5,11,6
"16156",20,26,6
"15981",21,27,6
"17663",17,23,6
"16754",29,35,6
"13650",10,16,6
"12679",4,9,5
"12753",6,11,5
"16362",6,11,5
"15326",5,10,5
"16732",4,9,5
"15625",9,14,5
"12525",3,8,5
"15810",8,13,5
"12839",26,31,5
"12553",12,17,5
"12809",3,8,5
"15299",10,15,5
"16351",13,18,5
"16764",13,18,5
"15633",13,18,5
"14047",14,19,5
"15640",29,34,5
"14390",13,18,5
"16768",9,14,5
"13102",37,42,5
"14456",9,14,5
"13295",4,9,5
"14049",13,18,5
"16325",12,17,5
"14286",7,12,5
"15260",25,30,5
"17095",7,12,5
"17828",4,9,5
"12980",21,26,5
"15658",8,13,5
"14051",37,42,5
"14277",9,14,5
"13901",15,20,5
"12415",28,33,5
"13394",19,24,5
"12600",21,26,5
"15674",13,18,5
"17469",17,22,5
"15694",24,29,5
"15708",9,14,5
"17404",23,28,5
"17406",13,18,5
"16678",12,17,5
"13643",10,15,5
"17867",15,20,5
"17032",8,13,5
"14732",19,24,5
"15101",6,11,5
"14607",22,27,5
"17460",16,21,5
"16170",20,25,5
"15202",3,8,5
"15769",46,51,5
"12346",12,17,5
"14210",16,21,5
"14159",20,25,5
"14685",8,13,5
"18220",6,11,5
"16947",5,10,5
"13736",7,12,5
"14903",5,10,5
"15796",17,22,5
"12853",11,16,5
"15122",11,16,5
"16873",12,17,5
"14912",6,11,5
"14944",19,24,5
"14442",7,12,5
"13623",10,15,5
"12468",5,10,5
"12951",15,20,5
"16729",21,26,5
"13993",19,24,5
"16817",13,18,5
"13324",18,23,5
"14755",25,30,5
"14655",7,12,5
"15885",15,20,5
"13802",19,24,5
"15482",19,24,5
"17230",18,23,5
"14745",12,17,5
"16499",8,13,5
"14644",7,12,5
"12770",2,7,5
"16103",22,27,5
"15538",6,11,5
"15998",16,21,5
"17314",17,22,5
"13924",6,11,5
"13455",6,11,5
"15351",10,15,5
"15021",12,17,5
"15581",38,43,5
"12909",8,13,5
"15601",30,35,5
"13659",12,17,5
"12947",6,11,5
"14676",12,16,4
"18183",2,6,4
"13268",11,15,4
"13813",8,12,4
"15916",13,17,4
"14573",13,17,4
"14572",11,15,4
"17809",20,24,4
"15898",25,29,4
"13287",3,7,4
"14562",26,30,4
"15874",21,25,4
"15867",31,35,4
"17552",12,16,4
"12533",2,6,4
"15838",34,38,4
"17774",9,13,4
"17602",14,18,4
"17426",13,17,4
"15791",5,9,4
"15786",5,9,4
"17769",17,21,4
"17757",56,60,4
"18178",11,15,4
"15738",41,45,4
"15737",8,12,4
"14831",3,7,4
"17411",5,9,4
"15722",11,15,4
"12656",8,12,4
"13384",11,15,4
"14533",11,15,4
"15628",17,21,4
"15620",4,8,4
"15607",9,13,4
"18087",17,21,4
"17714",5,9,4
"15563",7,11,4
"17307",11,15,4
"14525",17,21,4
"14713",21,25,4
"15535",6,10,4
"13485",11,15,4
"13505",4,8,4
"15489",8,12,4
"15468",3,7,4
"13520",11,15,4
"17188",13,17,4
"12797",2,6,4
"14493",10,14,4
"17139",25,29,4
"17679",7,11,4
"15354",3,7,4
"15339",7,11,4
"14802",2,6,4
"15290",26,30,4
"13576",28,32,4
"15253",8,12,4
"17091",19,23,4
"14462",12,16,4
"18064",11,15,4
"13588",9,13,4
"17085",28,32,4
"12583",27,31,4
"15215",7,11,4
"15197",6,10,4
"13611",10,14,4
"13615",8,12,4
"15179",13,17,4
"15159",34,38,4
"12359",10,14,4
"15152",14,18,4
"15144",29,33,4
"13630",7,11,4
"15128",5,9,4
"17048",7,11,4
"17044",12,16,4
"18136",5,9,4
"12598",11,15,4
"13658",9,13,4
"17526",12,16,4
"13672",3,7,4
"12840",7,11,4
"12843",30,34,4
"17593",11,15,4
"13693",9,13,4
"17646",12,16,4
"16996",9,13,4
"14970",12,16,4
"13709",18,22,4
"14934",5,9,4
"13715",17,21,4
"12854",7,11,4
"13958",8,12,4
"17997",8,12,4
"14898",14,18,4
"14875",3,7,4
"14861",10,14,4
"13758",15,19,4
"12616",3,7,4
"16928",29,33,4
"14842",4,8,4
"12619",10,14,4
"16919",24,28,4
"12454",5,9,4
"17965",29,33,4
"13969",35,39,4
"13971",14,18,4
"14776",15,19,4
"16835",6,10,4
"13979",7,11,4
"13980",5,9,4
"16797",5,9,4
"12422",17,21,4
"13982",9,13,4
"12915",4,8,4
"14769",17,21,4
"14397",19,23,4
"14395",20,24,4
"12935",15,19,4
"17931",14,18,4
"16746",42,46,4
"13995",14,18,4
"14388",16,20,4
"16722",22,26,4
"17576",41,45,4
"12971",116,120,4
"16634",6,10,4
"13799",9,13,4
"12473",5,9,4
"16607",25,29,4
"13001",33,37,4
"13008",3,7,4
"13012",11,15,4
"13856",11,15,4
"16555",6,10,4
"13026",9,13,4
"13027",19,23,4
"12626",9,13,4
"13037",12,16,4
"14648",15,19,4
"13048",9,13,4
"16474",7,11,4
"16454",4,8,4
"12484",12,16,4
"13069",38,42,4
"16394",5,9,4
"18276",6,10,4
"17490",9,13,4
"13082",21,25,4
"16359",16,20,4
"13094",13,17,4
"13871",17,21,4
"16327",16,20,4
"13109",3,7,4
"18198",17,21,4
"16293",15,19,4
"16292",5,9,4
"16283",8,12,4
"16278",3,7,4
"14256",5,9,4
"16255",15,19,4
"13141",17,21,4
"14063",9,13,4
"16242",14,18,4
"17861",18,22,4
"12380",11,15,4
"14626",11,15,4
"17457",14,18,4
"16186",26,30,4
"14229",7,11,4
"16177",8,12,4
"13178",21,25,4
"12693",7,11,4
"14088",16,20,4
"17850",155,159,4
"16143",12,16,4
"13198",8,12,4
"14209",15,19,4
"13884",10,14,4
"16118",1,5,4
"16108",4,8,4
"14198",9,13,4
"16092",6,10,4
"14195",6,10,4
"14105",5,9,4
"14188",6,10,4
"16180",13,16,3
"12540",33,36,3
"16736",5,8,3
"17667",9,12,3
"18053",3,6,3
"12592",5,8,3
"14370",6,9,3
"13627",7,10,3
"12590",2,5,3
"12826",12,15,3
"12589",8,11,3
"14367",16,19,3
"16042",8,11,3
"12955",11,14,3
"16719",14,17,3
"15181",5,8,3
"15182",11,14,3
"18097",11,14,3
"16714",4,7,3
"18247",3,6,3
"13610",14,17,3
"14000",5,8,3
"18062",6,9,3
"15218",22,25,3
"14226",6,9,3
"14359",3,6,3
"15221",4,7,3
"14460",9,12,3
"16672",20,23,3
"16176",4,7,3
"18277",5,8,3
"15224",5,8,3
"14342",6,9,3
"17610",5,8,3
"16658",6,9,3
"17676",10,13,3
"13590",18,21,3
"15249",18,21,3
"17092",11,14,3
"12578",4,7,3
"13577",11,14,3
"14339",2,5,3
"15759",7,10,3
"17107",10,13,3
"16027",15,18,3
"15760",2,5,3
"16626",17,20,3
"14475",4,7,3
"12362",11,14,3
"15808",21,24,3
"16602",2,5,3
"12424",4,7,3
"14766",11,14,3
"14477",7,10,3
"16600",13,16,3
"13557",13,16,3
"13555",13,16,3
"13554",7,10,3
"14492",7,10,3
"15811",7,10,3
"12576",8,11,3
"16576",2,5,3
"17145",4,7,3
"13939",7,10,3
"18065",29,32,3
"17146",13,16,3
"13320",6,9,3
"17169",3,6,3
"17172",3,6,3
"17180",11,14,3
"13183",15,18,3
"16067",3,6,3
"18245",20,23,3
"13015",11,14,3
"17193",9,12,3
"14733",15,18,3
"14496",7,10,3
"14499",7,10,3
"13020",2,5,3
"14502",11,14,3
"12782",11,14,3
"16553",33,36,3
"12477",9,12,3
"15469",3,6,3
"12428",9,12,3
"15823",3,6,3
"12569",32,35,3
"16549",34,37,3
"15473",8,11,3
"13313",12,15,3
"17563",2,5,3
"14308",2,5,3
"12781",2,5,3
"13506",5,8,3
"18167",3,6,3
"13310",5,8,3
"17700",14,17,3
"14735",56,59,3
"14301",4,7,3
"13495",10,13,3
"14507",11,14,3
"12481",15,18,3
"17702",6,9,3
"13929",11,14,3
"13481",11,14,3
"13479",4,7,3
"15841",9,12,3
"12482",29,32,3
"17284",8,11,3
"18230",9,12,3
"14515",12,15,3
"13304",4,7,3
"12633",7,10,3
"14744",14,17,3
"14714",4,7,3
"16463",4,7,3
"14634",4,7,3
"17509",8,11,3
"15845",11,14,3
"14038",5,8,3
"16444",17,20,3
"12395",15,18,3
"15932",8,11,3
"14295",5,8,3
"17528",8,11,3
"17716",24,27,3
"13902",5,8,3
"13440",7,10,3
"13870",15,18,3
"16395",14,17,3
"15950",10,13,3
"15953",18,21,3
"15614",4,7,3
"14102",5,8,3
"13077",11,14,3
"17337",4,7,3
"17719",15,18,3
"17477",2,5,3
"17338",17,20,3
"15955",22,25,3
"14045",16,19,3
"13425",5,8,3
"13421",8,11,3
"12703",4,7,3
"16353",38,41,3
"17342",4,7,3
"17725",11,14,3
"15638",6,9,3
"13091",3,6,3
"13092",12,15,3
"17728",5,8,3
"14205",9,12,3
"16350",9,12,3
"17730",20,23,3
"12744",11,14,3
"17539",4,7,3
"16341",7,10,3
"15861",12,15,3
"13410",9,12,3
"17799",20,23,3
"13407",3,6,3
"13405",6,9,3
"15643",3,6,3
"17353",4,7,3
"16321",7,10,3
"15881",5,8,3
"17735",26,29,3
"15660",15,18,3
"15664",4,7,3
"13397",10,13,3
"17364",28,31,3
"15671",7,10,3
"17884",20,23,3
"14530",16,19,3
"13118",9,12,3
"16306",7,10,3
"13872",3,6,3
"16131",12,15,3
"17372",28,31,3
"16297",1,4,3
"15684",3,6,3
"14092",24,27,3
"17402",23,26,3
"16128",11,14,3
"13381",12,15,3
"12530",9,12,3
"13209",13,16,3
"15706",4,7,3
"16265",12,15,3
"14564",2,5,3
"13134",6,9,3
"17451",7,10,3
"13787",6,9,3
"17609",11,14,3
"17746",4,7,3
"14255",1,4,3
"14062",24,27,3
"16054",4,7,3
"13213",11,14,3
"17412",16,19,3
"15993",7,10,3
"13246",11,14,3
"16240",2,5,3
"17416",22,25,3
"14854",11,14,3
"12615",8,11,3
"16940",8,11,3
"12867",13,16,3
"13362",7,10,3
"14852",18,21,3
"16233",9,12,3
"14857",7,10,3
"13360",4,7,3
"13763",3,6,3
"14867",16,19,3
"14777",1,4,3
"13874",7,10,3
"14701",15,18,3
"14869",6,9,3
"14870",6,9,3
"14837",9,12,3
"17613",14,17,3
"14245",2,5,3
"14794",10,13,3
"14878",25,28,3
"16232",7,10,3
"17994",11,14,3
"16918",16,19,3
"15751",11,14,3
"16912",15,18,3
"17589",18,21,3
"12613",10,13,3
"16905",17,20,3
"14893",3,6,3
"16955",6,9,3
"16961",3,6,3
"13725",8,11,3
"14702",29,32,3
"16227",3,6,3
"14910",4,7,3
"16225",15,18,3
"14420",4,7,3
"13282",4,7,3
"16966",7,10,3
"16859",7,10,3
"13717",8,11,3
"16843",35,38,3
"14916",8,11,3
"14930",6,9,3
"16979",9,12,3
"15754",9,12,3
"14825",24,27,3
"16985",23,26,3
"14738",9,12,3
"14407",6,9,3
"14994",5,8,3
"13692",5,8,3
"15023",20,23,3
"14403",6,9,3
"14239",21,24,3
"15027",10,13,3
"12463",4,7,3
"16016",11,14,3
"13162",16,19,3
"12352",10,13,3
"17754",13,16,3
"14233",7,10,3
"15034",14,17,3
"15046",25,28,3
"17578",7,10,3
"14147",9,12,3
"16791",15,18,3
"14443",5,8,3
"14401",22,25,3
"18135",10,13,3
"14659",9,12,3
"13952",14,17,3
"13988",8,11,3
"15755",17,20,3
"15091",3,6,3
"14232",5,8,3
"12674",4,7,3
"13656",4,7,3
"15107",9,12,3
"12933",8,11,3
"15110",6,9,3
"14739",25,28,3
"16101",4,7,3
"16755",7,10,3
"13648",8,11,3
"17659",14,17,3
"15137",2,5,3
"15903",12,15,3
"16048",4,6,2
"14829",7,9,2
"14824",10,12,2
"12623",7,9,2
"14817",7,9,2
"13786",6,8,2
"14740",11,13,2
"13814",3,5,2
"13815",8,10,2
"13816",2,4,2
"13820",3,5,2
"12412",6,8,2
"12632",2,4,2
"13824",12,14,2
"14709",25,27,2
"17599",1,3,2
"17597",5,7,2
"13831",18,20,2
"12637",12,14,2
"17588",7,9,2
"14696",8,10,2
"14679",3,5,2
"14665",7,9,2
"12643",12,14,2
"12644",4,6,2
"12645",8,10,2
"17567",9,11,2
"12413",4,6,2
"14649",9,11,2
"12649",8,10,2
"13862",9,11,2
"13863",4,6,2
"14639",9,11,2
"12414",6,8,2
"14627",1,3,2
"13877",3,5,2
"14623",10,12,2
"14618",7,9,2
"13889",6,8,2
"14586",1,3,2
"13894",3,5,2
"13895",6,8,2
"14565",5,7,2
"14560",44,46,2
"14558",3,5,2
"13905",1,3,2
"14551",7,9,2
"17548",4,6,2
"13911",20,22,2
"14535",9,11,2
"17547",2,4,2
"13922",3,5,2
"13925",4,6,2
"17527",4,6,2
"12662",20,22,2
"13941",15,17,2
"14482",12,14,2
"12665",3,5,2
"12668",10,12,2
"14440",13,15,2
"14437",5,7,2
"14430",3,5,2
"18094",13,15,2
"14428",5,7,2
"12421",6,8,2
"17519",15,17,2
"13965",3,5,2
"14425",3,5,2
"14422",19,21,2
"13974",2,4,2
"13975",12,14,2
"14404",13,15,2
"17512",18,20,2
"13985",22,24,2
"14400",3,5,2
"12675",2,4,2
"14356",2,4,2
"14341",18,20,2
"14338",3,5,2
"12678",21,23,2
"14334",12,14,2
"14328",1,3,2
"14016",11,13,2
"14323",2,4,2
"14322",4,6,2
"18241",21,23,2
"14320",5,7,2
"14315",8,10,2
"14305",3,5,2
"14025",8,10,2
"14304",3,5,2
"14028",3,5,2
"14030",20,22,2
"14298",82,84,2
"14035",9,11,2
"14297",4,6,2
"14291",23,25,2
"17476",2,4,2
"14264",6,8,2
"14060",30,32,2
"17465",7,9,2
"17463",7,9,2
"14236",5,7,2
"14231",4,6,2
"14221",17,19,2
"14214",5,7,2
"18231",28,30,2
"14087",3,5,2
"14206",3,5,2
"14201",10,12,2
"14199",4,6,2
"14099",20,22,2
"12427",3,5,2
"14191",15,17,2
"14107",11,13,2
"12697",3,5,2
"14110",33,35,2
"14154",8,10,2
"12700",4,6,2
"14121",4,6,2
"14122",3,5,2
"14152",7,9,2
"14149",1,3,2
"14142",2,4,2
"17440",4,6,2
"14141",4,6,2
"14136",5,7,2
"14133",4,6,2
"12704",8,10,2
"17436",5,7,2
"17434",7,9,2
"17429",5,7,2
"17423",3,5,2
"18092",18,20,2
"12721",8,10,2
"12722",4,6,2
"17420",6,8,2
"17419",18,20,2
"12727",10,12,2
"17405",3,5,2
"12731",17,19,2
"12733",4,6,2
"17396",14,16,2
"17368",14,16,2
"17345",10,12,2
"12746",1,3,2
"12754",3,5,2
"17323",12,14,2
"17322",5,7,2
"17317",3,5,2
"17306",21,23,2
"17289",9,11,2
"12766",9,11,2
"17287",21,23,2
"12434",3,5,2
"18084",3,5,2
"17239",4,6,2
"12783",6,8,2
"17211",13,15,2
"12785",3,5,2
"18069",11,13,2
"12791",6,8,2
"17183",6,8,2
"17165",6,8,2
"12802",7,9,2
"17126",9,11,2
"12807",1,3,2
"17114",8,10,2
"17113",6,8,2
"17109",8,10,2
"17090",13,15,2
"12820",11,13,2
"17083",9,11,2
"17068",47,49,2
"17034",5,7,2
"12836",15,17,2
"17019",11,13,2
"12838",10,12,2
"12841",40,42,2
"16998",5,7,2
"16992",13,15,2
"16975",3,5,2
"18041",38,40,2
"12856",6,8,2
"16950",10,12,2
"16945",33,35,2
"16943",5,7,2
"12450",5,7,2
"12451",8,10,2
"18221",6,8,2
"17975",24,26,2
"16900",3,5,2
"16894",3,5,2
"16892",7,9,2
"12888",2,4,2
"12889",4,6,2
"16863",3,5,2
"17961",100,102,2
"16841",12,14,2
"16838",4,6,2
"16822",1,3,2
"16818",11,13,2
"16810",2,4,2
"12462",2,4,2
"12908",5,7,2
"16807",6,8,2
"16795",3,5,2
"16794",15,17,2
"12917",6,8,2
"12918",1,3,2
"12919",6,8,2
"16790",6,8,2
"12924",12,14,2
"16772",3,5,2
"16770",9,11,2
"18219",17,19,2
"12930",2,4,2
"16756",7,9,2
"16747",2,4,2
"12940",2,4,2
"16739",2,4,2
"12943",2,4,2
"18218",4,6,2
"16725",14,16,2
"17930",13,15,2
"12963",12,14,2
"16686",16,18,2
"12967",3,5,2
"12972",4,6,2
"16669",3,5,2
"12975",6,8,2
"16642",3,5,2
"12986",10,12,2
"16609",7,9,2
"12993",8,10,2
"12994",3,5,2
"17921",10,12,2
"16584",5,7,2
"13005",4,6,2
"16573",2,4,2
"16560",8,10,2
"13013",29,31,2
"13018",35,37,2
"13019",6,8,2
"17920",54,56,2
"16546",5,7,2
"16544",4,6,2
"13032",9,11,2
"16533",3,5,2
"12479",1,3,2
"16520",6,8,2
"16518",4,6,2
"16503",11,13,2
"18217",4,6,2
"13044",11,13,2
"16493",7,9,2
"16485",5,7,2
"16481",1,3,2
"16476",1,3,2
"13055",4,6,2
"16471",4,6,2
"13059",10,12,2
"16455",11,13,2
"16446",2,4,2
"17908",5,7,2
"16398",2,4,2
"17900",2,4,2
"16396",1,3,2
"16383",7,9,2
"17894",18,20,2
"16360",6,8,2
"13085",8,10,2
"16347",11,13,2
"16332",11,13,2
"16326",24,26,2
"18207",1,3,2
"13110",12,14,2
"16320",6,8,2
"13112",1,3,2
"17873",18,20,2
"16303",7,9,2
"16298",7,9,2
"16296",4,6,2
"16286",2,4,2
"16262",1,3,2
"18193",3,5,2
"18272",9,11,2
"16253",7,9,2
"16245",3,5,2
"16235",9,11,2
"13151",3,5,2
"13152",7,9,2
"13154",3,5,2
"17858",30,32,2
"16217",2,4,2
"16210",35,37,2
"12504",4,6,2
"16202",9,11,2
"12505",1,3,2
"17857",24,26,2
"16187",15,17,2
"13171",3,5,2
"13173",11,13,2
"13175",2,4,2
"16166",2,4,2
"13184",10,12,2
"16160",2,4,2
"13186",3,5,2
"18268",6,8,2
"16153",11,13,2
"17856",4,6,2
"13192",6,8,2
"16148",2,4,2
"16147",5,7,2
"13199",67,69,2
"16140",3,5,2
"16134",5,7,2
"13206",13,15,2
"16124",4,6,2
"13211",10,12,2
"18258",6,8,2
"16104",9,11,2
"13217",4,6,2
"16080",4,6,2
"17838",13,15,2
"17837",8,10,2
"16065",8,10,2
"16061",1,3,2
"16053",6,8,2
"14832",1,3,2
"18189",3,5,2
"17820",1,3,2
"16037",5,7,2
"18188",6,8,2
"18187",1,3,2
"17813",5,7,2
"15994",3,5,2
"15984",30,32,2
"13257",1,3,2
"15980",7,9,2
"15978",3,5,2
"15973",3,5,2
"15971",18,20,2
"15940",1,3,2
"13269",28,30,2
"15911",8,10,2
"15906",10,12,2
"13276",5,7,2
"15901",7,9,2
"12528",6,8,2
"13281",1,3,2
"18181",5,7,2
"15882",8,10,2
"13290",1,3,2
"15864",7,9,2
"13299",3,5,2
"13300",3,5,2
"15858",13,15,2
"15839",3,5,2
"17779",3,5,2
"15834",7,9,2
"15826",4,6,2
"13316",10,12,2
"15822",6,8,2
"15814",6,8,2
"15809",7,9,2
"13327",20,22,2
"15802",1,3,2
"12536",3,5,2
"15782",4,6,2
"15777",7,9,2
"15768",34,36,2
"15745",4,6,2
"13359",2,4,2
"15732",10,12,2
"12542",2,4,2
"13365",2,4,2
"15730",5,7,2
"15729",3,5,2
"18248",2,4,2
"17739",18,20,2
"13371",2,4,2
"15724",3,5,2
"15713",4,6,2
"13377",2,4,2
"15704",6,8,2
"15687",9,11,2
"17738",13,15,2
"15681",14,16,2
"15680",10,12,2
"15676",3,5,2
"13393",4,6,2
"13396",2,4,2
"15648",2,4,2
"17732",8,10,2
"15639",3,5,2
"13413",6,8,2
"13420",2,4,2
"15632",8,10,2
"17722",5,7,2
"13426",22,24,2
"13430",2,4,2
"17720",10,12,2
"15621",4,6,2
"13435",9,11,2
"15606",17,19,2
"15598",2,4,2
"18171",9,11,2
"13451",11,13,2
"13453",3,5,2
"13457",2,4,2
"15579",5,7,2
"15570",25,27,2
"13461",6,8,2
"13466",5,7,2
"15551",7,9,2
"15550",12,14,2
"15547",26,28,2
"13473",8,10,2
"13476",5,7,2
"13477",11,13,2
"13478",5,7,2
"15533",3,5,2
"15532",10,12,2
"15523",16,18,2
"15514",18,20,2
"15505",5,7,2
"15497",9,11,2
"13499",5,7,2
"18142",2,4,2
"13501",3,5,2
"12567",15,17,2
"15493",9,11,2
"15480",5,7,2
"13517",3,5,2
"15449",3,5,2
"17693",1,3,2
"15446",3,5,2
"15443",14,16,2
"17692",12,14,2
"15434",11,13,2
"15432",2,4,2
"13526",2,4,2
"13527",12,14,2
"15426",9,11,2
"15416",7,9,2
"15413",5,7,2
"15406",4,6,2
"15394",11,13,2
"15380",11,13,2
"15372",8,10,2
"15369",11,13,2
"13539",7,9,2
"15367",11,13,2
"18141",2,4,2
"17685",12,14,2
"15365",13,15,2
"15347",4,6,2
"15344",3,5,2
"15312",12,14,2
"15304",9,11,2
"15301",17,19,2
"18139",6,8,2
"15289",5,7,2
"15279",5,7,2
"15271",24,26,2
"15255",9,11,2
"15252",5,7,2
"13584",3,5,2
"12579",1,3,2
"13587",4,6,2
"13593",14,16,2
"15238",3,5,2
"17673",13,15,2
"15207",3,5,2
"12585",2,4,2
"15187",16,18,2
"17672",7,9,2
"15157",5,7,2
"17671",5,7,2
"13632",8,10,2
"13635",4,6,2
"15141",7,9,2
"13641",5,7,2
"12594",15,17,2
"15106",5,7,2
"13655",6,8,2
"15098",3,5,2
"15097",3,5,2
"15077",2,4,2
"15076",3,5,2
"15065",5,7,2
"15050",5,7,2
"17649",3,5,2
"13684",4,6,2
"15032",8,10,2
"15031",14,16,2
"14978",10,12,2
"12406",5,7,2
"17640",6,8,2
"14949",4,6,2
"14938",2,4,2
"14936",12,14,2
"14915",11,13,2
"12610",5,7,2
"14909",3,5,2
"14906",1,3,2
